generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
0,100,0,13,4.76667,2.93238,2.61335,3.21517,-4.08823,2.68528,-2.39965,-1.56002,-0.394147,-4.22924,-5.05652,1.07896,-0.812197,-0.65075,-6.41667,2.33741,-5.05457,-1.3148,-1.63803,-7.45814,2.32852,-7.26672,-3.69056,-3.46949,0,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,5,6,6,6,7,8,8,9,9,10,13
1,200,7,31,17.7667,6.84651,3.00619,-4.26586,-10.8134,1.78912,-8.32291,-4.12688,1.24225,-8.55627,-6.8981,0.834677,0.472746,-8.07479,-11.2527,-4.57673,-6.74986,2.12069,-3.38505,-8.73162,2.57879,-4.36335,-14.1038,-4.98248,7,10,11,11,11,12,12,12,12,13,13,13,14,14,15,15,18,19,20,21,22,22,23,24,25,25,29,29,30,31
2,300,14,61,33.3,11.7007,4.6659,-5.88713,-16.0468,2.79192,-10.4154,-5.95854,1.88783,-9.79408,-4.53936,-3.03178,2.38758,-9.57822,-13.0836,-4.01566,-5.17241,-0.862871,-4.50059,-10.3735,2.53901,-4.62447,-19.478,-8.13895,14,18,20,20,22,23,24,25,25,25,26,28,28,30,31,32,35,35,36,36,38,39,39,43,44,46,47,51,58,61
3,400,18,104,56.3667,22.9519,3.67192,-3.69876,-20.2615,1.40967,-9.88492,-7.95629,-1.74207,-9.15185,-9.96138,-7.202,-2.4094,-9.62104,-13.8366,-3.23781,-3.78311,-4.72805,-7.88508,-11.7208,1.67451,-4.36553,-25.1733,-11.1507,18,27,28,30,33,34,34,41,42,44,47,48,50,51,51,54,55,57,57,57,61,65,68,84,86,88,90,92,95,104
4,500,25,144,62.3333,27.2414,2.31374,-3.79348,-15.1975,0.263781,-9.2702,-6.86452,-4.24407,-10.1315,-4.18451,-7.03618,-0.659435,-8.2375,-13.6692,-6.33449,-2.6879,-7.04361,-4.97409,-11.7782,-0.241162,-3.63912,-25.797,-13.2894,25,29,29,31,37,41,45,46,47,47,52,54,55,57,58,58,59,62,65,67,68,71,72,73,77,79,83,117,122,144
5,600,17,157,69.4333,35.0356,6.44212,-7.26225,-15.5002,-2.79379,-7.74982,-5.21838,-5.91743,-10.1416,-6.16653,-7.13713,3.02886,-7.02808,-14.7328,-7.83999,-2.18098,-3.12488,-4.91665,-10.9134,0.219668,-1.92214,-23.7478,-14.6923,17,27,33,36,36,38,38,39,43,43,47,49,51,60,65,67,68,75,77,79,80,84,89,94,99,113,118,125,136,157
6,700,31,193,88.1,40.1509,3.5997,-6.16655,-11.0473,-5.60615,-6.35363,-6.65266,-5.47376,-11.0136,-5.52896,-8.8231,1.9209,-7.69733,-14.6081,-8.31903,-4.17553,-2.90253,-5.50818,-11.009,-1.25872,-3.90723,-23.4954,-17.659,31,42,42,47,50,51,52,54,54,60,64,68,69,75,80,88,91,94,94,99,100,106,113,114,122,134,144,147,165,193
7,800,30,182,87.4667,36.5256,6.74649,-4.19946,-9.48838,-6.46781,-7.4712,-7.92131,-6.61126,-11.9052,-4.90967,-8.352,2.13342,-7.47144,-15.7914,-9.29655,-4.18604,-4.66487,-6.39323,-9.19958,-3.55377,-6.44253,-25.7264,-17.3474,30,40,41,52,54,58,60,61,61,68,69,71,71,72,75,80,83,85,91,94,104,112,113,116,125,126,133,142,155,182
8,900,21,226,100.133,48.1648,11.1927,0.879949,-14.3975,-5.12575,-7.17715,-8.22547,-6.49282,-13.4231,-4.81232,-8.88704,2.35535,-5.98786,-14.9736,-7.40597,-4.63037,-6.1583,-4.3648,-9.6366,-3.65129,-9.91369,-27.3151,-20.5703,21,37,45,49,54,60,64,67,70,71,72,76,77,78,82,83,100,103,117,121,125,126,131,136,147,155,157,170,184,226
9,1000,46,272,104.733,63.5469,13.1769,1.24283,-16.8853,-5.51172,-8.49035,-7.62843,-5.39498,-13.5675,-3.35875,-8.91732,2.6551,-7.12834,-15.6367,-7.01904,-5.09074,-6.55591,-5.02276,-10.3143,-3.75637,-8.77806,-25.0341,-23.3114,46,48,49,50,51,51,54,57,64,66,67,74,77,80,81,84,85,85,102,103,106,109,110,121,187,197,211,225,230,272
