generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
67,6800,6207,353189,107401,90023.9,16.6376,12.3233,-9.36747,-1.50473,-1.99077,-1.07431,-1.24758,-5.37316,1.73815,-13.2245,13.4504,-19.7373,-16.1372,-17.1075,-14.915,-15.4617,-16.4054,-16.0787,-13.5869,-21.2204,-10.4887,-89.1826,6207,7172,8616,14065,24875,25039,30188,33149,35712,36061,59663,65587,67991,73694,74404,101457,105192,105536,117872,132565,136656,139586,152623,168282,189050,189164,210861,251199,306373,353189
68,6900,734,335655,119357,92849.7,16.387,12.1948,-9.09302,-1.7919,-3.08025,-2.27722,-2.51102,-4.00746,0.708098,-12.7425,14.2355,-19.9028,-15.6986,-18.5548,-14.4577,-17.6074,-14.9214,-16.2241,-12.612,-21.1044,-10.0285,-89.0232,734,1803,17349,17554,29953,31727,32486,50055,56282,58003,59794,68696,71741,81930,91475,104310,105188,124844,134124,137337,148053,172945,200417,214399,215460,219733,226370,258331,313954,335655
69,7000,1833,924587,153366,195136,16.0819,12.5078,-10.8334,-0.912357,-2.50457,-2.99758,-2.33806,-4.35219,1.28112,-13.7717,14.3248,-19.6389,-15.7647,-18.3929,-14.6056,-17.8021,-15.3467,-16.4176,-13.2303,-23.2944,-8.59665,-88.0839,1833,2721,7887,13742,20901,21869,23731,24904,24930,29330,41160,52539,66334,81727,84484,111994,113056,122718,135670,139808,166656,167570,199793,217078,237638,292399,310818,431888,531209,924587
70,7100,382,605383,131640,133012,16.3206,13.0199,-11.6162,-2.27667,-2.48369,-2.5463,-3.36973,-5.37178,-0.76916,-13.5031,14.0872,-18.9369,-15.5067,-17.8731,-14.4637,-16.7448,-15.8304,-16.3099,-14.8439,-22.1154,-10.4569,-89.0682,382,12351,12479,24899,26449,26810,29960,31173,34668,41905,49521,58970,59359,66353,67559,74878,112013,134090,141396,158007,170343,170512,201516,215956,228118,244439,283400,320113,346211,605383
71,7200,3654,456535,132855,124722,13.433,11.6736,-10.1619,-1.52437,-0.511139,-2.06655,-3.84608,-4.88649,1.72184,-12.0781,14.0521,-19.1153,-14.6677,-17.1435,-14.723,-18.0812,-16.7566,-16.5734,-14.3747,-22.2,-8.20388,-89.4289,3654,16310,19770,23693,26199,29950,30821,42866,53450,57178,61378,63960,66502,66600,83776,89890,90762,124441,126634,131782,138180,189141,195844,218301,226128,268094,270207,364022,449578,456535
72,7300,2519,544680,145500,134093,11.6038,12.5853,-9.70185,-2.71372,-0.423471,-2.6272,-2.60771,-5.05943,3.07965,-12.5796,13.3748,-19.0134,-13.3005,-17.159,-13.9021,-19.8502,-15.7422,-17.6121,-14.0676,-23.0894,-8.90412,-91.3825,2519,14675,17082,22164,23204,26719,32477,44883,49687,57185,59316,67730,74577,88289,99010,107682,118704,123128,162003,172094,174594,190436,203865,272335,278932,294902,302064,304835,435231,544680
73,7400,1437,243377,71789.3,67728.9,15.2892,11.439,-11.7802,-0.446296,-0.631755,-4.07513,-3.57743,-3.05848,2.87465,-11.5596,12.3704,-19.0776,-14.6586,-16.4721,-13.5902,-19.6496,-16.1901,-17.2133,-16.696,-23.9101,-9.65472,-94.4179,1437,3406,3899,12911,14933,17225,21592,22649,23202,24038,25441,35238,37373,46477,49720,50444,50542,66409,78212,78688,82529,89265,103241,111478,116373,121072,188322,211142,223043,243377
74,7500,2390,264015,81166.1,68391.6,18.7317,9.78907,-11.5382,-0.624347,-1.70234,-4.00811,-1.83994,-4.83283,1.52547,-10.2582,12.0688,-19.6254,-16.4299,-17.3636,-13.3399,-18.2105,-16.3508,-17.8634,-16.2092,-22.5899,-10.3737,-92.2284,2390,17133,19807,20562,21508,25006,26359,27024,27704,29588,46588,46821,46954,51080,52754,52801,54119,56597,73523,88986,96491,121840,137505,139726,144956,146320,184165,202094,210566,264015
75,7600,7939,167434,63184.1,42184.6,17.7568,13.5978,-11.7375,-1.14232,-2.69581,-2.30076,-1.70849,-3.45257,0.786886,-10.6864,11.1517,-19.7311,-17.671,-16.8839,-12.9531,-19.1186,-16.9475,-18.073,-14.4581,-22.9199,-10.8725,-90.3449,7939,9782,13550,17374,20036,24458,24653,29229,39332,40330,42606,42651,46607,49009,52867,55515,62251,62898,72168,72983,78262,79847,80051,82440,102558,113332,116741,132866,155755,167434
76,7700,2796,277634,105590,71897.7,17.8914,13.7594,-10.5556,-2.96656,-1.33457,-1.60001,-0.322071,-4.1276,1.83004,-9.41956,10.8019,-20.5862,-16.7981,-18.4974,-12.8248,-19.069,-18.3486,-18.0777,-13.7561,-22.2777,-9.71165,-89.1048,2796,3640,17679,32860,36774,37046,40514,55961,60889,62872,63025,70046,73088,76796,82753,87968,90903,98241,110279,120987,148751,166800,169618,181134,187558,196455,199266,203141,212233,277634
77,7800,1108,650281,92311.3,128813,19.4192,13.4103,-8.67916,-3.94508,-2.48605,-2.95455,-1.22479,-1.94606,0.736037,-8.57376,9.5543,-20.5071,-15.407,-17.8417,-16.0795,-16.9969,-17.7933,-18.7086,-15.7494,-21.6432,-10.135,-89.6771,1108,1202,3977,7605,11928,15668,17401,22098,22935,23317,28218,31498,36360,38656,46118,47813,69050,74433,77983,78965,88694,103516,105543,133782,138456,159788,168937,275575,288435,650281
78,7900,2936,228449,70517.8,63971.5,20.5518,13.8707,-7.69157,-2.51302,-2.1659,-2.56456,-0.15151,-2.19449,0.570105,-6.79728,10.2867,-21.4918,-15.3086,-18.0774,-16.2619,-17.0252,-18.2035,-18.5268,-16.0867,-20.6693,-10.045,-93.4908,2936,5979,6410,14268,16228,16798,17998,23840,29150,30406,30436,38148,41306,43880,52791,53978,55228,56321,63853,70679,73056,75888,106803,109742,115247,153731,171551,200596,209839,228449
79,8000,889,159929,43343.3,42126.3,21.5063,12.8779,-7.02875,-2.87767,-5.0702,-2.58459,-0.593234,-2.57646,0.820854,-7.75699,10.9389,-21.2711,-15.9448,-16.5223,-17.6714,-15.8691,-17.9197,-19.2224,-18.2671,-22.4061,-9.33607,-96.9019,889,958,2000,2739,3097,4843,6923,8324,13408,13408,14151,19200,20916,24633,30087,31632,36567,50166,54334,59519,61014,63520,63592,65026,68475,71976,98743,103918,146313,159929
80,8100,9508,189100,68067.6,50688.4,20.2333,14.1848,-8.64944,-2.07516,-6.30588,-1.19141,0.262763,-3.13573,-0.310646,-7.04621,11.6453,-22.8,-15.5873,-16.7004,-18.0338,-16.2488,-17.7114,-19.2919,-17.9142,-24.4045,-8.71194,-98.6911,9508,10657,12153,13969,16913,17687,17957,20523,23383,25015,25391,41709,47573,51738,60677,67613,68910,73068,82937,84566,85467,88860,98540,118612,125487,128000,129178,145728,161109,189100
