generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
0,100,8,59,24.5,11.9301,-0.525069,-0.988284,-5.27504,-3.27933,-4.00168,-3.69347,-2.37602,0.452141,0.686821,-3.0427,-0.716949,-1.95761,4.27003,-6.06981,-5.6691,-0.371146,-2.12153,0.542862,-1.61271,-2.06044,0.44769,-13.1264,8,10,12,13,13,13,13,14,16,18,19,21,21,21,22,23,25,25,25,26,28,29,29,31,33,38,39,42,49,59
1,200,3,200,85.5,47.9905,-4.73418,1.7277,-10.0047,-5.82651,-0.762558,-6.57641,-3.71008,0.22274,-0.534802,-10.6264,2.19088,-6.26001,-4.86462,-8.13778,-2.6413,-2.04668,-8.40929,-2.72752,-1.81375,-4.89245,-6.2343,-16.6107,3,24,27,31,34,39,50,62,63,63,63,65,66,75,75,76,80,83,87,88,102,105,105,127,139,146,150,159,178,200
2,300,40,365,135.833,71.4476,-10.1053,2.40623,-9.93843,-7.92723,0.391671,-7.30591,-0.947453,-4.60006,-0.474674,-12.7512,-2.44875,-5.56218,-7.00595,-7.84251,-4.01948,-4.38134,-6.87079,-8.01629,-8.2218,-8.05736,-14.2105,-22.2654,40,53,54,55,64,74,81,83,86,89,90,97,107,120,137,137,144,148,152,158,166,166,175,175,179,187,187,224,282,365
3,400,48,403,203.433,96.015,-12.5662,3.67485,-14.6347,-6.05344,0.0322605,-9.03017,-0.542246,-4.67733,0.0322154,-12.261,1.11536,-6.51437,-5.9826,-6.91022,-8.44587,-5.4822,-7.37938,-8.11279,-8.88207,-11.4848,-15.381,-30.1226,48,57,71,85,95,101,104,133,140,142,144,158,175,205,210,222,224,229,238,246,261,268,271,278,281,282,296,336,400,403
4,500,97,977,442,235.182,-14.3661,2.28522,-11.9631,-5.8062,-0.247811,-8.25613,-6.07317,-7.04886,-0.224574,-11.5822,1.52505,-6.24345,-6.53911,-6.81611,-7.16738,-6.19901,-5.26212,-6.48544,-7.69322,-12.786,-18.6066,-34.8574,97,102,108,198,199,224,246,263,265,304,320,322,334,339,357,408,458,480,505,555,579,588,625,683,688,697,724,773,842,977
5,600,110,974,417.167,250.223,-13.6745,3.14117,-12.4954,-6.06758,-1.41609,-8.90159,-7.1451,-6.46107,-0.169572,-12.2162,0.746061,-8.80567,-5.763,-8.55067,-9.40495,-5.73253,-5.00591,-7.22918,-8.19175,-14.6351,-19.5817,-40.9458,110,116,131,142,146,154,197,206,210,229,296,307,318,322,328,347,425,439,467,483,488,519,611,637,717,731,798,806,861,974
6,700,78,2105,665.6,463.351,-14.9964,2.64349,-10.8515,-7.22061,-0.789685,-6.26392,-6.2642,-7.5538,-1.05137,-11.9289,1.42112,-8.64155,-4.91778,-10.6504,-10.4817,-5.92734,-4.53454,-7.36061,-9.84631,-17.4769,-17.8801,-45.8598,78,130,152,198,206,225,242,260,364,368,473,494,509,553,608,610,651,665,701,779,820,840,862,898,946,1111,1215,1347,1558,2105
7,800,73,2309,858.967,598.331,-16.1055,1.48372,-10.6557,-8.3,-2.52259,-8.25951,-6.24602,-7.1521,-1.0775,-13.7309,0.974599,-10.2078,-5.51813,-12.2602,-9.71931,-5.96289,-6.07644,-8.38646,-10.0083,-17.0624,-17.2171,-47.45,73,109,139,142,268,331,370,469,492,523,530,592,632,711,718,738,770,849,920,945,1021,1125,1174,1207,1283,1529,1698,2023,2079,2309
8,900,42,1817,648.433,436.147,-16.5963,1.51563,-10.5167,-7.2058,-2.41816,-8.60844,-6.67104,-5.44825,-1.5924,-13.9985,0.791673,-12.2416,-4.51013,-11.5903,-10.4356,-5.65919,-5.74069,-10.1257,-7.84855,-14.8543,-19.208,-50.1239,42,124,145,191,213,223,239,258,297,322,350,435,457,523,525,642,688,696,705,770,862,959,969,1056,1076,1158,1164,1271,1276,1817
9,1000,139,4916,1338.13,1197.07,-17.4242,4.17961,-10.4033,-4.67297,-4.22694,-7.42229,-5.47259,-5.25749,-1.50067,-14.1128,3.67309,-13.1384,-4.69424,-11.2901,-9.44325,-5.38529,-5.55435,-9.6779,-6.2829,-14.9075,-16.9392,-51.8671,139,180,250,315,356,369,470,494,526,533,536,623,763,828,968,1073,1076,1235,1362,1474,1475,1501,1928,1992,2369,2436,2515,2951,4491,4916
