generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
0,100,6,54,20.6333,10.7044,4.71172,2.55114,-6.29257,0.724535,0.799432,-2.84555,-3.98875,-0.912118,-3.84,-2.3771,-3.76948,-0.89012,-2.54629,3.65848,-0.475726,-2.31322,-2.94549,-4.44692,-0.534922,-2.51124,-1.93073,-4.75533,6,11,12,12,12,12,13,13,13,14,14,15,15,16,17,18,18,19,19,22,22,23,25,25,32,35,36,37,39,54
1,200,35,150,81.9333,26.2756,1.14909,1.39357,-7.34276,-2.95405,-2.51751,-5.02573,-6.99413,-2.1402,-7.06007,-2.32702,-3.08192,-5.35556,-5.0095,-1.93448,0.214197,-7.18773,-3.20919,-6.43014,-8.40964,-7.55584,-5.43627,-13.9228,35,44,48,57,58,60,60,61,62,64,70,74,75,76,79,81,82,85,88,89,93,96,97,98,108,110,110,112,136,150
2,300,19,374,134.167,78.3771,6.67251,0.488178,-5.23506,-4.29272,-5.3912,-4.3964,-5.1145,-1.88827,-9.54074,-4.79772,-8.86625,-7.18424,-8.61584,-6.14655,-7.2384,-10.548,-4.43291,-9.43807,-7.6802,-9.55318,-4.49339,-22.422,19,37,44,48,58,65,66,77,81,81,87,90,92,109,111,124,124,136,165,185,188,191,199,203,206,210,211,218,226,374
3,400,46,580,161.7,103.22,10.1865,3.21667,-10.6208,-7.09425,-4.72196,-5.17025,-6.3501,-1.22342,-12.8782,-9.1293,-10.7057,-11.0796,-8.41248,-8.21235,-7.30035,-12.9818,-8.32006,-8.54653,-9.51822,-10.2514,-8.17902,-30.6478,46,52,54,70,87,87,92,96,96,98,117,118,121,125,150,151,158,162,162,173,186,189,209,210,211,220,252,288,291,580
4,500,77,669,286.467,172.923,10.135,1.56705,-11.27,-6.44751,-9.06464,-5.35131,-8.97192,-2.28768,-10.359,-10.4892,-9.15848,-10.8027,-9.81327,-11.6984,-12.6155,-12.5781,-9.86761,-9.55106,-8.01639,-9.24862,-12.0803,-37.788,77,92,95,97,110,135,137,154,159,164,170,171,171,200,236,256,262,286,317,340,361,401,415,426,473,479,572,578,591,669
5,600,109,2409,931.3,648.82,11.5718,1.30726,-14.5813,-7.09362,-12.1979,-8.1572,-8.89359,-4.11392,-9.57088,-10.4066,-5.71275,-11.1819,-8.77291,-11.3196,-14.4934,-11.0708,-13.3755,-10.3784,-7.91,-7.52751,-11.9751,-44.4401,109,143,197,209,239,347,360,388,415,417,433,540,614,630,772,813,900,1093,1105,1107,1259,1393,1470,1546,1556,1729,1731,1984,2031,2409
6,700,133,2894,770.8,653.758,11.8742,0.549778,-16.4848,-7.19286,-10.5622,-8.4735,-9.91976,-6.31822,-12.2241,-10.4006,-4.70683,-12.0817,-7.12835,-11.618,-18.5923,-9.14471,-12.5041,-8.55828,-5.23355,-9.53518,-12.7962,-44.7841,133,156,156,157,192,228,257,262,272,306,318,389,483,521,536,573,621,779,924,941,945,953,1013,1048,1290,1339,1719,1818,1901,2894
7,800,161,3550,904.4,820.331,13.1724,2.41087,-15.8285,-6.93293,-12.0545,-7.58534,-8.17705,-7.90651,-11.7255,-12.0147,-3.91385,-10.1275,-8.90145,-12.1347,-15.877,-9.92604,-13.5087,-10.9385,-4.84369,-11.1741,-12.479,-45.6448,161,162,165,205,207,214,354,360,403,420,454,496,604,622,711,748,764,770,964,968,984,1051,1054,1058,1175,1401,1844,2163,3100,3550
8,900,68,3198,847.167,728.754,12.7053,1.63575,-14.3929,-7.44718,-10.9931,-9.17174,-8.71867,-8.17407,-10.3918,-12.9072,-2.32228,-13.1405,-6.39817,-14.7954,-17.4923,-8.66243,-12.9333,-11.0762,-4.7667,-12.6307,-11.1261,-46.7538,68,103,148,178,193,218,290,293,388,400,461,509,509,585,644,664,671,870,885,906,993,1020,1116,1158,1280,1536,1762,1995,2374,3198
9,1000,107,2725,1040.7,863.493,12.3369,-1.32217,-14.0719,-6.48509,-8.88229,-9.55478,-8.54069,-7.93021,-12.8521,-13.6535,-2.14811,-13.5548,-5.93345,-12.7497,-17.5983,-10.3872,-11.4427,-13.2529,-5.96115,-14.3544,-8.81832,-46.6015,107,189,191,233,251,282,285,369,372,447,457,578,608,686,701,741,813,830,965,968,1041,1435,1593,2144,2182,2419,2470,2481,2658,2725
