generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
0,100,0,7,0.933333,1.52978,-0.292474,2.32517,0.402666,-9.10135,0.689762,-2.90657,2.00837,2.74289,0.736622,-6.46783,-1.00437,-6.49227,-0.895471,-0.0235713,-3.15965,0.157179,0.00754354,-3.51213,-1.06346,-2.46007,-2.97561,-6.83017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,3,3,7
1,200,1,23,5.86667,4.53898,-1.9975,8.1704,-4.64129,-8.84583,2.27622,-6.75488,3.01677,6.44327,-1.58378,-6.7169,-3.75524,-4.99633,-3.77628,7.85626,-9.41618,-5.707,-0.657657,-8.21024,2.76679,-3.48353,-5.63465,-19.402,1,1,1,2,2,2,2,2,2,3,3,4,5,5,5,5,6,6,6,7,8,8,8,8,9,9,10,11,12,23
2,300,0,31,11.2333,7.27624,3.82504,5.92988,-2.70526,-10.2596,-5.01916,-5.75587,3.45778,5.14279,-0.0663092,-7.13042,-2.08713,-4.79029,-4.37169,3.05135,-9.39774,-5.47856,2.83663,-9.23776,3.54671,-2.82477,-7.57345,-27.6086,0,2,3,4,4,5,5,5,6,7,9,9,9,9,10,10,11,12,12,13,13,13,14,16,17,19,20,22,27,31
3,400,32,144,78.0333,31.3044,4.28569,6.08782,-0.460074,-7.32789,-7.33828,-6.4116,-6.09496,3.54826,2.69594,-6.45198,-3.09399,-5.92235,-7.65363,-3.53088,-10.9644,-10.0832,-5.24803,-8.41071,1.58904,-4.95768,-10.4606,-33.0353,32,36,39,40,48,51,53,56,58,61,63,65,66,66,69,73,75,75,85,89,91,92,94,95,104,116,130,137,138,144
4,500,72,924,416.7,240.565,5.70777,6.15727,-3.65658,-6.58021,-0.671355,-7.94514,-4.14328,2.34505,-3.98267,-5.56333,-0.214577,-4.72781,-9.26314,-7.70977,-13.3425,-11.0033,-6.23169,-9.48621,-1.12021,-3.75375,-14.6654,-35.3939,72,120,151,175,177,180,185,202,228,243,251,285,329,354,379,382,398,432,449,488,514,528,620,626,652,677,764,854,862,924
5,600,51,1297,433.033,310.32,6.10128,6.93809,-5.3861,-7.26488,-1.78532,-8.91712,-2.82282,2.40721,-7.80798,-6.92726,0.866535,-2.96235,-9.42387,-9.44182,-12.0793,-12.1535,-7.98066,-10.741,-3.3902,-5.05228,-15.6264,-37.2987,51,112,120,128,141,150,178,213,223,228,280,300,302,304,309,332,366,379,424,519,533,548,548,717,728,737,817,879,1128,1297
6,700,96,2963,824.867,769.58,4.29012,6.39428,-2.96302,-7.32936,-1.95173,-7.93314,-3.90233,2.41234,-5.77839,-6.72701,1.44735,-3.63309,-9.19982,-14.4369,-11.2151,-11.2742,-9.41286,-11.5218,-4.09684,-6.79082,-16.1195,-46.0287,96,100,115,130,139,178,191,193,242,255,262,435,470,471,495,687,695,825,878,959,991,1003,1191,1381,1483,1532,1711,1826,2849,2963
7,800,44,7938,1438.2,1942.57,6.44172,7.54763,-2.19105,-7.10392,-1.92205,-7.21029,-2.5531,0.672605,-6.27042,-5.96557,1.85498,-4.50265,-9.91677,-10.4083,-9.33527,-12.2767,-9.11021,-12.5267,-4.33398,-6.70621,-16.9275,-54.1841,44,77,94,110,159,225,256,273,376,422,476,479,580,679,681,771,947,992,1027,1046,1103,1224,1455,1705,2472,2770,2785,5475,6505,7938
8,900,41,7265,1892.03,1845.97,4.41499,7.13341,-2.26503,-7.36916,-2.91137,-6.45407,-2.69534,0.462582,-6.32859,-7.17316,1.87742,-5.14755,-11.2668,-12.1191,-10.5873,-16.034,-8.13597,-14.0026,-4.52213,-7.40931,-15.3569,-58.5363,41,87,164,283,346,367,464,478,608,996,997,1137,1196,1331,1472,1472,1497,1504,1611,1874,2100,2295,2537,2716,2960,3295,3413,5429,6826,7265
9,1000,68,10081,3015.6,2598.46,5.2135,5.2922,-2.25217,-7.6375,-2.07822,-5.99793,-1.97912,1.82637,-5.02014,-6.59928,3.13533,-7.21989,-12.5937,-13.782,-10.0274,-14.1669,-7.35074,-15.5156,-6.10936,-8.46054,-15.4712,-64.3071,68,118,512,608,704,735,763,914,1184,1636,1726,1984,2028,2132,2182,2185,2643,2748,3108,3423,3492,3546,3780,4253,5228,5663,6500,6944,9580,10081
10,1100,245,15402,3648.4,3098.2,5.19483,5.45604,-3.24957,-7.52805,-3.87705,-6.08459,-0.549667,0.213353,-3.20049,-7.54447,4.9383,-8.69577,-11.0676,-11.3566,-10.1407,-14.4327,-5.78766,-14.685,-5.91087,-8.50328,-14.08,-65.5466,245,470,640,740,1110,1138,1282,1372,1410,1607,1747,2130,2437,2494,2735,3106,3402,3600,4432,4483,4744,4923,5201,5255,5399,6011,6925,7247,7765,15402
11,1200,454,29178,5609.6,6237.08,2.68842,4.91857,-5.28983,-6.74569,-3.63339,-5.79789,0.202667,0.874093,-5.22664,-6.87789,6.99513,-9.23519,-10.2924,-12.6768,-12.5361,-13.6795,-5.07362,-18.5273,-5.54768,-10.0102,-14.1591,-66.6546,454,762,779,864,1033,1033,1577,1600,1602,1614,1865,2259,2627,2872,3007,3042,3055,3592,3994,6156,6495,7197,8677,8987,9719,11341,13393,14458,15056,29178
12,1300,216,18813,5264.93,4532.85,1.84743,4.63691,-4.84438,-7.73061,-5.20221,-5.22516,1.35934,-0.682737,-4.15914,-4.84384,7.11504,-10.6849,-10.9726,-12.7223,-11.8412,-13.6904,-6.54315,-17.6772,-5.82412,-10.0442,-14.1853,-69.3886,216,237,468,493,854,1167,1387,1873,2201,2236,2295,2513,2663,2931,3753,3992,4926,5180,5491,5627,7386,9188,9439,9510,9745,9868,10626,11209,11661,18813
13,1400,208,48329,10386.8,12901.7,2.27431,5.29765,-4.76432,-6.4607,-4.7893,-4.76397,2.33486,-0.368166,-4.73006,-5.88169,7.15174,-10.418,-9.51669,-13.7088,-12.5873,-13.0556,-6.17883,-19.2917,-4.95753,-11.548,-14.1983,-67.9503,208,463,630,735,900,951,1143,1191,1945,2054,2109,2942,3001,3101,3767,3876,4063,8117,9765,11299,12277,13112,14224,16047,20380,25267,25285,30035,44389,48329
14,1500,512,20427,7878.63,6746.18,-2.42311,6.2091,-6.72772,-5.05399,-5.19675,-4.52906,3.45315,0.116499,-3.99137,-6.95976,7.9428,-9.70431,-9.23072,-12.627,-13.26,-12.9554,-8.07569,-16.6581,-5.44912,-10.784,-13.5174,-69.3328,512,840,1123,1171,1299,1865,2145,2162,2590,2705,3188,3204,3335,4212,5130,5378,6314,6927,6989,9782,11935,12212,15282,15761,16052,17460,18053,18898,19408,20427
15,1600,389,47041,13245.8,12292.7,-1.3882,6.49282,-5.4657,-3.549,-6.6179,-3.23697,4.0629,0.24209,-5.04048,-8.08953,7.73705,-11.2901,-7.03547,-14.6766,-12.7575,-13.1203,-10.9473,-20.4974,-6.83823,-11.1851,-12.6292,-69.4594,389,751,912,1457,1462,1846,3758,4623,4691,4869,4967,6474,9169,9750,9954,10009,11451,12357,12396,14188,14767,16233,16267,22466,23852,26902,27571,36706,40095,47041
16,1700,475,72785,20083.9,20181.4,-2.5772,6.39413,-7.15527,-3.17727,-6.94659,-3.956,2.16866,-1.03319,-3.41606,-7.87456,6.88686,-12.7703,-7.68255,-15.1216,-11.6486,-13.5414,-9.59071,-19.8978,-7.80371,-12.825,-11.6049,-68.528,475,1947,2896,3840,4444,4768,6376,6457,6724,6735,6858,7122,8262,9439,12305,14115,14382,15031,15035,16022,17808,25536,31331,33482,40518,41181,53748,60810,62086,72785
