0,1.16667
1,29.4667
2,46.1333
3,103.733
4,195.667
5,208.1
6,287.433
7,382.867
8,371.567
9,492.7
10,369.433
11,536.967
12,519
13,1280.03
14,1378.33
15,1411.67
16,1621.8
17,967.533
18,2697.03
19,3258.57
20,4577
21,4306.4
22,6499.33
23,4492.13
24,8203.63
25,10970.7
26,17362
27,27358.5
28,17220.3
29,40870
30,41109
31,39674.9
32,54537
33,76158.7
34,58445.5
35,75615.4
36,103856
37,127638
38,61244
39,83408.9
40,73402
41,78686.3
42,119538
43,95877
44,71753.3
45,89945.2
46,89762.7
47,130792
48,105628
49,85544.5
50,136118
51,135812
52,123522
53,133969
54,117986
55,116617
56,127813
57,126024
58,156373
59,152678
60,144996
61,151764
62,120937
63,150131
64,140853
