generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,100,0,3,0.266667,0.639684,1.99695,-2.78153,-1.79247,-6.68938,4.29369,-3.50229,0.077237,-2.2702,-0.967653,-8.37876,-2.31254,-2.1119,1.36471,1.55009,-2.86891,-3.37417,-1.44904,0.0960796,3.14852,1.08121,2.07256,-7.32138
1,200,1,20,7.73333,5.16576,2.53256,-2.28845,0.309757,-4.70855,5.07429,-7.52505,-1.75767,-6.32597,-11.5472,-8.58472,-0.21715,-5.95196,-2.2563,-1.54368,-1.84593,-2.2716,-4.28235,-4.30651,4.28117,0.190846,-0.643641,-11.0156
2,300,13,53,31,9.36612,3.89657,3.67436,-2.80631,-6.66382,3.52861,-10.6445,-7.36819,-6.95253,-5.12844,-7.4825,-0.113653,-3.24131,-2.67735,-3.75776,-3.78069,-4.36883,-3.29413,-4.59219,-1.23725,-4.29791,-7.38389,-10.3318
3,400,22,123,61.9333,28.5185,7.08407,1.64545,-0.643216,-7.22871,1.75551,-11.7775,-5.06771,-6.15117,-6.44131,-9.20308,-0.947819,-3.58032,-5.80799,-6.35796,-6.9143,-8.93955,-4.1679,-3.62863,-2.61371,-4.98002,-11.7766,-11.503
4,500,27,275,81.9333,49.1605,3.9079,-0.0174219,-5.1323,-7.25188,-1.90081,-11.446,-5.09466,-4.61213,-6.12278,-7.31112,-0.899289,-8.08083,-6.47882,-9.46648,-7.33778,-7.00178,-4.45313,-6.8139,-7.04587,-6.63938,-12.4211,-11.8101
5,600,26,179,89.6667,38.796,2.42134,0.0994013,-8.52534,-9.9817,-5.86204,-10.6424,-5.61407,-7.97713,-6.04568,-8.36637,0.245044,-9.0607,-7.64737,-10.7938,-8.4343,-8.38878,-4.94669,-6.12281,-7.50057,-6.16547,-13.0183,-14.0889
6,700,38,251,96.6,53.2208,3.07129,0.350385,-9.08153,-9.10768,-6.59315,-12.5269,-5.87909,-8.02336,-3.38482,-10.7403,-1.09413,-7.58171,-7.1306,-11.8502,-8.70049,-7.35767,-3.82643,-7.18075,-1.81599,-6.17708,-17.0925,-15.9359
7,800,26,387,133.567,82.2904,1.82749,-0.546649,-12.9499,-11.1854,-7.87059,-12.7205,-5.53404,-7.39566,-4.58594,-11.5224,0.0762619,-7.36674,-8.90909,-12.3519,-8.21149,-8.84582,-5.02478,-6.06772,-2.41269,-5.69324,-16.3891,-18.4934
8,900,57,665,229.4,122.799,-0.754082,-0.425751,-11.4513,-9.81887,-9.57219,-13.1607,-5.89935,-11.6972,-7.07952,-10.0414,-1.2448,-6.96282,-8.49991,-9.76763,-6.97778,-9.19444,-5.18367,-9.04223,-2.97304,-6.15882,-14.4578,-20.1556
9,1000,26,628,280.267,155.987,0.16071,-1.98263,-10.6671,-10.0738,-8.51733,-11.9211,-5.76965,-10.8013,-7.98547,-7.80295,-3.68735,-6.28737,-9.36134,-9.08483,-6.16878,-8.43565,-5.34119,-8.62815,-4.34033,-6.46062,-13.2821,-23.5112
10,1100,55,902,359.1,231.192,2.44933,-3.27978,-11.7914,-8.69721,-9.08349,-11.5384,-6.84274,-11.473,-7.91975,-8.16234,-2.93038,-5.81554,-8.84883,-10.1544,-5.80193,-8.36129,-5.54144,-6.9052,-4.65353,-6.15587,-14.7305,-23.9975
11,1200,61,1397,356.633,332.038,7.63728,-3.18967,-11.5868,-9.04326,-8.7174,-13.1082,-8.44328,-12.0248,-7.35806,-9.50184,-4.26485,-5.0148,-7.98314,-10.4152,-5.3078,-7.15384,-6.19147,-7.32873,-6.52729,-7.83387,-14.1941,-26.7785
12,1300,38,1644,453.467,426.24,7.61814,-2.34921,-13.4891,-9.07909,-10.3067,-11.9814,-9.45116,-11.78,-7.16955,-8.92641,-4.05564,-2.77306,-7.82351,-8.313,-4.7902,-6.6754,-6.65416,-8.26521,-5.77261,-7.94636,-15.6166,-30.1037
13,1400,44,1911,611.133,539.801,4.40558,-1.93375,-13.1759,-9.43438,-10.2988,-10.5628,-8.07475,-12.5961,-7.79328,-9.94325,-4.47782,-3.38319,-5.88113,-7.51374,-4.13629,-7.09116,-7.215,-8.62731,-4.30001,-7.10883,-15.084,-30.1962
14,1500,4,1983,634.133,477.471,6.70642,-1.95305,-14.4119,-9.574,-10.9236,-9.18897,-10.6512,-12.804,-9.23738,-10.0239,-4.18787,-3.34024,-6.80087,-7.13354,-5.35002,-7.08402,-6.87215,-7.30687,-3.58468,-7.23352,-15.1909,-32.29
15,1600,86,1598,513.8,359.898,8.08101,-1.21812,-13.3593,-8.0333,-9.75647,-10.7922,-7.82459,-12.5489,-8.93304,-10.0641,-3.11628,-3.96132,-6.38132,-7.13022,-4.58077,-5.91385,-6.42419,-6.86221,-4.35197,-7.1364,-15.905,-32.9786
16,1700,163,2889,882.233,595.432,12.1019,-1.44047,-12.8091,-7.93064,-10.2018,-10.0419,-8.73615,-11.6264,-8.9867,-10.6227,-0.988998,-4.06472,-5.81476,-9.31582,-4.7727,-4.56042,-5.42309,-9.64179,-6.00089,-8.30164,-15.6135,-33.0172
17,1800,92,2732,736.333,563.659,15.2067,-1.0916,-12.8577,-10.5257,-10.4162,-11.5366,-8.20529,-12.9284,-9.94202,-10.9621,-0.966474,-6.15276,-6.63782,-10.776,-5.09348,-6.28256,-6.17838,-12.0426,-6.78014,-7.65289,-16.7165,-33.9553
18,1900,48,2549,1008.73,795.017,20.3729,-1.89162,-13.1958,-11.4791,-10.147,-11.3514,-9.09834,-13.1733,-10.8576,-12.6384,-0.576537,-7.13076,-7.84137,-10.098,-6.25114,-7.04922,-5.21486,-10.5508,-6.89468,-7.40121,-15.7508,-36.2086
