generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,100,0,1,0.133333,0.345746,0.215995,1.19972,6.1365,-2.59865,-1.88955,-1.60885,-10.2963,-1.91662,-2.21681,1.84835,-1.97884,-2.85872,1.00881,-0.116652,-2.14008,1.57292,-0.965235,-1.0308,-1.02779,-6.43053,3.31785,-5.34879
1,200,0,18,3.9,4.72229,-1.16953,-2.73043,8.582,-1.10149,-1.73071,-7.29293,-10.5649,0.195958,-0.00846748,1.62981,-6.87331,-7.78858,5.9712,0.0479372,3.56797,-3.78972,-0.0928906,1.25762,-3.09792,-8.80425,2.7446,-9.65847
2,300,0,21,6.66667,4.99195,6.50156,-1.8535,8.40235,-0.56471,-6.00872,-7.64956,-23.9107,-1.8523,-7.00537,1.73879,-8.34286,-10.1346,8.41316,-4.60836,-1.02998,-5.33675,-5.83848,0.530421,-3.17154,-8.15739,1.48341,-15.2506
3,400,4,41,13.6333,7.46247,6.09168,-4.18614,6.7768,-3.02591,-9.40537,-10.3091,-19.4583,-1.61245,-9.30036,-3.18763,-6.06194,-13.168,6.6401,-4.92589,-11.4892,-3.82603,-9.15242,-0.593962,-2.79536,-8.54036,-9.06281,-15.5486
4,500,11,57,27.6,11.1806,4.03599,-5.92381,1.34265,0.822253,-15.8973,-10.1221,-22.2405,-4.37983,3.51044,-6.12754,-6.56401,-13.9798,3.60082,-6.29698,-13.8663,-3.57439,-12.2866,-3.77739,-4.36017,-11.6177,-11.0298,-22.8582
5,600,34,170,89.5333,36.1594,3.1493,-4.58123,-2.30594,1.18767,-12.3304,-10.0814,-22.2764,-4.47971,0.977442,-4.31072,-5.20368,-14.8277,1.94117,-10.8426,-15.1429,-9.59911,-12.9494,-9.73976,-6.19145,-12.4147,-13.2836,-29.7442
6,700,92,938,339.1,195.188,3.35084,-3.91593,-6.03949,-1.31198,-10.3336,-9.82761,-15.7813,-5.1763,-0.454551,-8.62714,-4.73886,-13.3733,-1.54271,-11.3491,-15.969,-11.2042,-12.6414,-5.71032,-8.15188,-13.2253,-10.5344,-40.6142
7,800,33,1897,528.367,459.798,4.42229,-3.84234,-5.81734,0.333787,-8.07295,-7.35248,-11.2674,-6.35199,-1.35797,-7.57321,-4.42527,-14.2795,-1.37482,-10.139,-16.0863,-12.7689,-13.7283,-10.0212,-9.06012,-13.3793,-10.2599,-46.8958
8,900,71,1272,498.9,357.477,2.41213,-2.30741,-7.22506,0.89193,-6.76933,-6.91772,-7.98599,-7.35403,-2.31384,-7.35571,-3.51351,-13.3563,-2.85344,-11.5499,-16.7569,-13.3005,-13.0749,-13.9329,-9.29389,-11.3553,-11.9204,-48.7847
9,1000,70,2850,743.9,655.808,4.02364,-1.40402,-9.19892,-2.41341,-8.40294,-8.85807,-7.40496,-7.48277,-5.8803,-9.64087,-2.21036,-14.9375,-2.96377,-11.6418,-16.8967,-14.086,-10.7801,-11.5946,-7.52813,-12.0935,-12.6885,-48.2386
