generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
88,17800,5140,384357,111267,89134.9,32.1775,14.4161,-14.3851,0.27236,-6.51788,-1.88565,-2.50125,-4.02729,-3.06418,-15.0365,14.5531,-28.6469,-18.0923,-24.2964,-21.4128,-22.7698,-18.6658,-21.6871,-18.6105,-26.9183,-9.51343,-113.193,5140,6360,6495,8986,19246,24673,30442,31595,44947,65765,86205,88065,91092,97064,97274,101916,106478,113716,114418,115146,128758,131393,151787,160308,185775,188180,245227,253041,254175,384357
89,18000,3121,613022,140948,141308,28.6995,14.1788,-14.6049,0.734288,-6.31011,-3.05385,-2.91115,-4.81186,-3.13394,-14.8604,15.8956,-27.9026,-18.842,-25.3087,-21.9693,-23.3989,-18.4969,-21.9179,-18.261,-26.8065,-9.57373,-114.63,3121,3923,6560,13987,15000,15604,27665,34529,42353,49067,52544,56287,61400,67795,85360,108130,114228,115622,146435,170374,192353,205615,226854,245647,263151,275589,317483,326767,371966,613022
90,18200,198,380706,74439.3,81992.4,30.904,14.9136,-14.5421,1.02054,-5.75213,-2.92283,-1.98064,-4.93612,-3.45352,-15.6501,15.8144,-28.9253,-18.9819,-25.1213,-22.4682,-23.6417,-19.3189,-21.0675,-17.4752,-26.9993,-9.88819,-114.283,198,921,7042,13921,14076,15729,21783,22467,22673,24585,32979,33439,39086,39681,40321,48001,50490,51011,55554,86650,87007,92049,96656,103463,117135,140229,176826,199932,218569,380706
91,18400,9621,266967,106414,74134.8,34.4887,15.1149,-15.376,0.866872,-5.74771,-3.33871,-1.13285,-4.87253,-1.93961,-15.3628,16.4035,-29.3773,-18.0793,-25.8105,-22.0277,-22.942,-19.4549,-20.8524,-16.9456,-27.5954,-10.4077,-115.499,9621,16136,29175,32155,32668,41115,45007,48302,48443,49128,56912,66654,69441,71943,80669,98073,102369,106901,118092,127876,135071,150594,158674,158726,169135,175724,229854,231316,265678,266967
92,18600,7506,745668,147106,169062,34.2313,16.0042,-14.9983,0.70529,-5.21521,-3.64899,-1.87172,-5.8247,-1.61478,-15.2197,16.364,-28.8788,-17.9256,-25.139,-21.9591,-23.3837,-19.5331,-20.9348,-17.0319,-27.817,-10.6602,-116.406,7506,14482,15071,18759,25547,35433,37728,40420,43829,50638,62458,66568,69123,71918,74102,75953,77126,81247,88478,105888,114614,217887,218090,260461,260740,287408,359492,413240,473315,745668
93,18800,5898,621832,158845,183563,34.9996,15.936,-15.1898,-0.0111627,-5.28754,-3.24125,-1.51208,-5.75502,-1.59815,-15.7426,16.0653,-29.9022,-18.0116,-25.3532,-21.8626,-24.1547,-20.0544,-20.7743,-18.1956,-29.0197,-11.1874,-117.35,5898,7212,8849,13183,14297,14427,16617,19479,22048,29059,29451,35516,58887,67344,68520,75792,83894,97721,158331,167448,181969,205509,261428,272428,277002,418439,478682,524994,529108,621832
94,19000,7506,544905,117860,139827,39.5061,15.8122,-15.1201,-0.0201833,-4.53913,-3.42112,-2.22988,-6.08,-1.47158,-16.3196,16.2053,-30.1144,-17.9215,-25.0471,-22.1431,-24.442,-20.513,-21.2394,-18.178,-29.0828,-10.8885,-117.203,7506,15559,16277,19775,21354,22977,26317,27623,31974,44256,46718,47356,48052,56958,57163,59474,64462,74172,86994,97820,125143,134976,144984,151785,207193,228191,278911,306220,540698,544905
95,19200,3218,724440,92795.7,141536,40.2652,16.5395,-15.6774,0.279784,-4.78457,-4.5335,-1.52667,-5.19255,-0.38772,-15.9388,16.8447,-30.2793,-17.2512,-24.6867,-22.0584,-25.3173,-20.6471,-21.1448,-18.2956,-29.7992,-10.9962,-118.233,3218,5807,9756,12291,12806,13837,17191,23044,23268,24344,33446,36075,38810,46653,50416,55618,55871,63489,70646,83101,85540,104245,105286,111483,113977,119520,153128,202144,384421,724440
96,19400,6607,646388,157102,145606,39.4838,16.8743,-15.5235,-0.873081,-4.38142,-4.20705,-1.82144,-6.25682,-0.329591,-15.8749,17.369,-30.6323,-17.9513,-24.8735,-22.5679,-26.0697,-21.1588,-21.3591,-18.9357,-29.8989,-11.0814,-120.079,6607,13949,15954,16206,36383,36996,40406,43683,46454,58387,66153,76891,85151,92367,95821,96111,113345,136748,152400,181393,253644,270421,270688,274740,289892,293056,311641,328211,362971,646388
97,19600,690,584098,162059,143986,36.806,16.4876,-14.719,-1.09839,-4.78989,-3.92957,-2.13533,-5.72464,-1.13044,-15.8943,17.7902,-30.9469,-18.3221,-25.2904,-20.8187,-26.1171,-20.6503,-21.9172,-19.3786,-29.4695,-10.9947,-120.274,690,4061,12349,13113,41725,53863,55706,64966,68230,81117,84457,84645,102626,116982,119182,138222,143707,145015,155573,164095,183146,212088,239011,248618,248948,267790,342290,344121,541332,584098
98,19800,10129,561724,154990,139201,36.0958,16.351,-13.8464,-0.40323,-4.68702,-5.3265,-2.91272,-5.95846,-0.799992,-14.7694,18.0596,-30.7574,-19.0883,-25.2958,-20.8069,-25.8279,-21.3575,-21.9132,-19.5409,-29.7328,-11.2194,-120.455,10129,15017,18546,24504,27469,29855,36138,47279,60089,62326,77365,79720,85811,89837,106217,149177,152176,162648,172614,188038,194731,197362,201779,233644,239126,242108,292595,391525,500140,561724
99,20000,777,951129,169383,203858,35.7919,16.4797,-13.7893,-0.582028,-3.23365,-5.17508,-2.27311,-5.20054,-0.135039,-13.555,17.9765,-31.3537,-18.8176,-24.9986,-19.9152,-25.701,-21.0026,-21.639,-18.2604,-29.273,-10.1123,-120.639,777,793,5093,12033,21116,22420,38673,40234,44089,46249,50599,56757,66628,80452,99209,114753,123739,141104,145583,182686,182950,218136,223242,244552,267481,290297,414874,430998,564842,951129
100,20200,1517,282102,104157,75873,32.1672,16.4214,-13.1086,-0.226998,-1.76451,-6.10293,-0.999292,-4.17796,-0.155651,-13.4453,17.8682,-31.5205,-18.1998,-25.6232,-20.3998,-24.8064,-21.0372,-21.72,-18.7561,-29.5903,-10.9966,-121.029,1517,12248,15213,25129,25235,27873,30475,44454,51227,59084,65902,67289,74487,74796,90583,91970,93159,98288,100731,120796,132006,143345,156132,180409,184091,193354,223564,227627,231632,282102
