generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
0,200,0,10,3.9,3.11116,-0.0814982,1.74291,-2.10099,-2.32645,-2.73988,-1.26455,1.79589,-0.204265,1.08483,0.307068,-1.15082,-0.631397,-1.55825,-4.0311,0.906505,-0.0970534,-0.702435,-2.11371,1.47088,-1.12634,1.46153,-2.48793,0,0,0,0,0,1,1,1,2,2,2,2,2,3,4,4,4,5,5,5,5,5,6,7,7,7,7,10,10,10
1,400,4,39,13.1333,6.75039,1.18335,3.04282,-2.73323,-1.80979,-5.66412,-0.272377,3.01191,-2.88812,-0.749139,-2.27113,-1.58115,-0.971014,-2.14045,-4.0841,0.758662,-0.563467,-2.00609,-4.66151,-1.11877,-0.885081,-0.832975,-7.28782,4,5,5,8,8,8,9,9,9,10,10,11,11,11,12,13,13,13,14,14,14,14,15,16,16,19,19,21,24,39
2,600,13,81,34.0333,16.4348,-0.555567,2.15765,-5.4269,-3.78907,-6.30888,-4.02761,0.948197,-5.41282,-1.06518,-4.13903,-1.03696,-1.02926,-1.46407,-5.74029,0.679569,-2.81269,-1.56673,-9.08775,-3.72669,-5.10782,-3.87603,-8.89684,13,14,15,18,21,21,21,22,24,26,26,26,27,27,29,31,32,32,33,33,38,41,42,44,49,53,55,57,70,81
3,800,29,225,80.8333,44.4406,-0.251663,1.13258,-7.18647,-6.49531,-7.4997,-5.46506,-0.747559,-6.03927,-2.58731,-5.42843,-2.144,-2.65525,-2.00393,-9.47819,-1.54884,-4.84898,-3.70425,-7.97287,-3.82377,-7.56458,-7.90971,-10.6254,29,32,32,36,39,48,52,54,56,58,60,60,60,64,66,71,76,82,82,87,96,97,98,102,104,112,121,134,192,225
4,1000,39,401,103,69.2596,-1.13046,-0.911733,-6.73756,-5.7541,-7.70312,-4.75092,-1.73744,-8.15406,-4.0302,-6.39044,-5.09157,-3.36436,-3.31026,-12.2297,-3.49435,-6.84097,-5.97982,-9.20369,-3.66988,-8.97125,-11.9217,-12.1384,39,40,42,43,43,48,53,55,61,70,78,86,87,94,94,96,97,98,98,101,112,116,117,125,130,146,150,184,186,401
5,1200,23,170,68.9333,29.9976,-0.99264,-2.77946,-10.3614,-6.85523,-8.81903,-5.29577,-1.95143,-9.56946,-4.90258,-7.13402,-4.85618,-3.74827,-6.35113,-13.7715,-6.34214,-8.45822,-9.49186,-10.7861,-4.60868,-10.2572,-14.7834,-13.3122,23,34,35,39,39,43,45,47,57,59,60,62,64,64,65,66,67,68,69,71,72,79,79,84,85,85,89,122,126,170
6,1400,28,142,81.6,33.4443,-1.28356,-0.420598,-11.0682,-7.06471,-8.16155,-8.63888,-2.07162,-10.2841,-5.43978,-9.33516,-5.94107,-4.18747,-6.69539,-12.5844,-6.10669,-9.90819,-9.2792,-11.1623,-6.32463,-10.3015,-18.0663,-16.9465,28,35,43,43,49,50,50,53,56,58,58,64,64,64,69,89,91,91,93,94,95,100,114,117,120,125,129,130,134,142
7,1600,44,312,99.2333,60.1078,0.0573246,0.532254,-10.8742,-7.96956,-8.33019,-7.89963,-2.16748,-10.2931,-6.8837,-7.26859,-7.41245,-4.14633,-8.10871,-11.7848,-8.18681,-9.88412,-9.42802,-12.4187,-6.16425,-10.5531,-20.2919,-19.9061,44,45,49,55,57,58,63,69,74,75,75,76,77,79,79,80,80,81,83,87,88,95,106,115,118,148,164,208,237,312
8,1800,25,261,108.133,47.3532,1.21859,0.344751,-10.6981,-8.32081,-9.85832,-9.36412,-3.28723,-10.5196,-7.18619,-9.38044,-6.47336,-3.88542,-8.65882,-12.8853,-7.42604,-11.3759,-9.3991,-12.0269,-5.03487,-11.8884,-23.0108,-23.026,25,44,47,51,66,73,76,78,82,82,82,95,97,98,101,104,109,110,117,124,128,130,137,137,145,151,154,157,183,261
9,2000,28,514,135.2,98.7621,-0.0701868,0.373698,-10.6456,-9.69934,-10.1393,-9.67299,-5.5879,-11.4989,-6.5482,-9.13308,-6.96908,-5.06361,-9.16828,-13.8481,-7.20251,-12.7045,-8.34515,-10.9322,-5.48605,-13.1665,-24.6147,-25.2999,28,37,41,51,55,62,73,77,77,85,86,88,90,91,102,108,119,126,128,135,138,167,171,200,207,212,253,267,268,514
