generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
0,200,1,26,10.0333,5.88677,1.04521,-0.346637,-4.56835,-1.10114,-2.25815,0.650394,0.293572,-0.974863,-0.0689438,-0.947572,2.42031,1.28445,-1.25702,-1.43666,-2.00535,1.43185,-0.0115599,-0.791873,-2.51987,-0.795792,-0.427247,-6.3817,1,2,4,4,4,4,5,5,6,6,6,7,7,8,8,11,11,11,12,12,13,14,14,15,15,15,18,18,19,26
1,400,15,86,41.2333,18.0415,-0.467453,-0.272866,-7.55677,-1.3127,-3.11828,0.0536561,-0.679277,-0.439175,0.298804,-2.8268,3.97846,-2.31501,-1.74818,-4.27461,-1.56675,-0.272534,-0.236652,-4.25767,-5.29915,-2.99507,-4.77834,-10.2108,15,16,17,18,25,25,25,26,29,29,33,35,36,37,38,38,41,43,43,45,48,51,58,59,59,61,63,67,71,86
2,600,18,113,60.9,26.3443,1.09725,2.42487,-6.71638,-4.91104,-4.76194,2.04743,-0.269639,-0.0630873,-1.5962,-2.52314,2.94997,-1.89594,-0.31698,-8.71456,-2.69683,-2.40301,-2.17032,-6.27382,-6.61563,-2.71569,-8.2539,-12.4212,18,21,21,32,36,38,41,43,44,49,51,52,54,54,54,55,56,61,65,70,71,71,72,87,87,98,99,104,110,113
3,800,26,128,64.2333,29.4017,0.142199,1.55662,-10.5696,-6.14625,-4.82215,0.387013,-1.84213,1.08431,-2.49592,-2.91709,2.408,-5.15431,-2.78666,-9.32575,-2.58663,-3.49943,-5.96329,-7.22573,-6.74573,-5.57779,-12.1201,-14.861,26,28,30,31,33,39,39,42,44,45,48,49,51,54,54,55,65,66,67,74,74,77,79,90,91,102,103,119,124,128
4,1000,33,269,108.3,55.799,1.36607,3.47643,-10.8575,-7.64995,-6.49852,0.651459,-4.31457,-1.16857,-3.73597,-5.92186,1.7544,-4.80295,-3.44651,-11.3297,-4.08288,-5.16567,-7.26985,-10.6335,-7.66193,-6.21605,-16.5378,-18.7761,33,37,42,43,50,58,64,68,75,76,82,86,86,87,97,107,116,116,118,122,123,129,130,150,151,155,157,197,225,269
5,1200,45,273,102.767,61.2157,1.17516,1.17237,-9.59219,-6.85826,-8.2595,1.62983,-4.54707,-4.74867,-6.09418,-7.21629,0.898034,-6.24821,-4.41828,-11.5915,-6.53717,-8.54196,-9.74641,-10.3701,-9.953,-8.88764,-20.1369,-22.3772,45,53,53,55,56,57,59,64,64,64,69,72,72,72,74,82,83,84,94,99,110,113,121,124,150,153,175,239,254,273
6,1400,27,314,105.133,67.5618,0.609045,2.29143,-8.02953,-6.4215,-11.51,0.531503,-5.44724,-5.91286,-5.54928,-10.1608,0.318521,-6.72837,-2.94839,-11.6558,-7.57379,-10.0864,-8.64108,-10.9947,-11.2297,-9.44668,-24.8616,-24.6951,27,29,32,39,41,48,51,53,55,66,67,73,77,83,87,91,93,111,112,124,126,127,138,151,156,157,164,213,249,314
7,1600,28,406,149.6,88.3085,1.51665,2.23053,-8.59393,-8.31709,-11.8154,0.586887,-6.99176,-6.85979,-6.49124,-11.2617,-0.871494,-7.159,-3.53046,-11.1498,-6.4936,-9.00499,-9.75884,-11.5565,-10.2569,-9.79838,-24.6364,-27.1414,28,57,69,76,81,82,83,85,97,98,98,105,110,119,122,131,142,145,156,159,168,180,188,192,199,202,235,284,391,406
8,1800,39,395,156.167,92.361,1.99501,2.61829,-9.5259,-8.44423,-11.296,-0.588458,-7.62286,-7.21405,-6.80118,-12.205,0.0358002,-6.99138,-4.74171,-11.6816,-7.0386,-9.91486,-9.38537,-12.004,-9.95396,-10.6994,-23.5172,-29.1679,39,42,43,53,60,62,73,77,97,99,101,103,122,126,143,150,153,163,190,192,201,206,213,220,231,233,247,290,361,395
9,2000,52,491,175.667,100.734,2.79344,4.13575,-9.29205,-8.08221,-11.2849,-0.413572,-8.01931,-7.4414,-6.31074,-12.7293,-0.022645,-7.73309,-6.53026,-11.6929,-9.4048,-10.3617,-10.8988,-10.4419,-11.0879,-10.3285,-23.7879,-31.4016,52,56,74,76,87,90,97,102,103,115,115,118,121,136,140,150,183,186,188,199,217,226,243,246,248,253,272,295,391,491
10,2200,65,471,194.633,113.213,4.39373,4.80257,-9.62471,-7.65969,-11.5378,-1.94319,-10.1772,-6.48053,-7.46363,-12.9693,0.173899,-7.24941,-6.67586,-13.2403,-8.05894,-10.9219,-12.4362,-10.0848,-10.3537,-9.70321,-24.2384,-31.6523,65,74,74,80,85,90,92,123,124,125,131,132,132,147,149,151,152,175,183,194,201,306,307,309,320,332,354,374,387,471
11,2400,62,420,178.233,93.2363,3.87878,4.75752,-10.7701,-7.06568,-11.969,-1.8652,-10.088,-7.04258,-6.81808,-13.0294,1.93588,-8.48681,-6.20017,-12.6113,-8.78688,-11.173,-12.75,-10.7056,-9.76184,-10.6372,-24.8624,-34.5076,62,87,90,93,96,107,110,119,119,120,123,123,127,140,147,152,154,155,169,170,180,190,245,250,274,279,333,348,365,420
12,2600,67,583,257.533,144.084,4.2561,2.96693,-10.4524,-7.83704,-11.981,-2.79327,-10.6981,-5.72482,-6.848,-14.2538,2.41322,-7.58472,-7.0302,-13.0913,-9.3912,-10.9141,-12.3737,-11.7465,-9.63238,-11.6072,-24.0242,-37.5888,67,90,93,98,99,103,122,144,164,167,174,176,197,200,217,227,247,251,281,304,314,315,400,401,422,425,453,468,524,583
13,2800,69,804,277.6,143.281,2.52559,3.32376,-10.3006,-8.07983,-11.323,-2.76626,-9.78522,-7.05273,-7.34586,-13.2115,1.56046,-6.63494,-6.9642,-13.6914,-10.8297,-10.5758,-10.356,-11.9103,-9.96347,-12.1026,-23.5078,-40.8398,69,122,139,168,179,195,196,197,204,212,212,215,216,225,228,230,254,265,286,289,293,293,306,319,346,394,454,505,513,804
14,3000,72,1309,463.167,354.628,3.16015,3.39182,-10.2259,-7.32304,-11.3771,-4.17591,-7.47942,-7.69139,-7.04466,-13.2343,3.43341,-7.38373,-7.88654,-12.5611,-9.86887,-10.2962,-9.75754,-11.8525,-9.27103,-12.2642,-24.2838,-44.7932,72,80,116,128,144,148,163,185,189,197,211,247,272,285,292,341,348,379,579,602,663,735,747,756,757,763,885,1033,1269,1309
15,3200,91,3049,645.067,665.509,2.32955,3.48384,-10.7416,-6.52674,-10.3878,-4.59238,-8.7049,-7.8764,-6.9732,-12.9436,3.96467,-7.32843,-6.99596,-12.1582,-9.97698,-11.7182,-9.3698,-12.7787,-9.98829,-11.8603,-22.2307,-46.8467,91,116,123,150,156,168,216,230,250,262,267,281,321,337,365,383,430,512,592,613,699,715,730,752,1163,1345,1464,1579,1993,3049
16,3400,98,2455,911.933,691.15,2.72473,3.00275,-11.5698,-5.84395,-10.2178,-4.47523,-7.72858,-6.76495,-6.21063,-11.3281,3.23028,-8.66989,-6.28986,-12.5509,-10.6008,-11.0099,-9.3715,-12.9912,-9.02711,-12.0885,-20.2031,-49.1554,98,196,209,263,291,327,340,367,382,412,505,551,621,643,690,776,819,820,825,931,937,1155,1280,1546,1615,1645,1860,2394,2405,2455
17,3600,156,4811,1629.23,1239.3,3.99242,3.68429,-11.6186,-7.08682,-10.7823,-4.20045,-7.23753,-7.94415,-7.66301,-11.4449,2.99693,-10.4291,-6.29051,-12.1923,-11.7094,-9.66097,-8.61586,-13.0563,-8.10781,-11.4848,-18.6381,-50.4058,156,223,260,312,313,370,428,575,578,688,803,898,1049,1146,1492,1553,1653,1700,1774,1826,2227,2290,2580,2773,2857,3178,3414,3420,3530,4811
18,3800,100,7058,1561.43,1469.59,4.91223,3.68495,-12.1966,-5.83296,-9.54468,-3.17334,-6.96907,-7.57158,-7.7586,-10.8042,3.34006,-10.8731,-6.71836,-12.2246,-11.6647,-9.30665,-9.93535,-11.7684,-7.93054,-12.0962,-17.2949,-50.0879,100,202,323,350,365,387,441,558,607,695,775,834,900,924,1190,1255,1300,1312,1565,1581,1874,1874,1914,2110,2649,3001,3045,3791,3863,7058
19,4000,53,5936,1568.77,1194.02,6.22019,3.26466,-11.6867,-5.612,-8.98204,-4.41591,-6.87319,-5.09154,-9.40107,-9.76709,2.4638,-11.6537,-6.30867,-12.474,-12.5498,-9.97527,-9.92517,-12.1815,-9.30741,-12.98,-16.7803,-51.1539,53,229,262,347,375,464,691,691,704,768,1017,1226,1245,1292,1477,1493,1494,1717,1885,1896,2007,2015,2149,2177,2224,2293,2462,2976,3498,5936
20,4200,229,10960,2110.83,2139.41,8.27721,3.41105,-12.502,-5.06252,-9.26045,-4.72565,-7.77834,-5.05096,-9.21498,-10.2164,3.81774,-12.6056,-5.90509,-12.0286,-13.3478,-10.4336,-9.83306,-13.1372,-9.79895,-14.193,-16.8738,-53.4348,229,526,614,658,689,758,809,852,896,922,973,1000,1048,1068,1141,1172,1431,1581,1649,2070,2589,2699,2802,3123,3156,3966,4044,4887,5013,10960
21,4400,83,4640,1719.57,1359.81,9.04114,4.30974,-12.7628,-6.6786,-8.88258,-5.28382,-7.6349,-4.5217,-8.45991,-11.2404,4.07323,-12.4896,-6.06389,-12.0288,-12.927,-10.0343,-11.0429,-13.5285,-9.71404,-12.8877,-16.9893,-54.8586,83,222,308,434,466,514,538,560,605,708,852,1080,1095,1179,1300,1356,1357,1423,2015,2020,2102,2188,2649,2714,2897,3757,3911,4294,4320,4640
22,4600,230,5553,1973.93,1649.23,9.86515,3.43181,-12.2985,-6.21501,-8.42197,-5.14919,-7.4837,-6.27733,-8.01734,-11.1705,4.03027,-14.22,-6.56745,-12.7724,-13.1563,-10.4077,-10.8766,-12.6263,-9.76039,-13.2595,-16.4695,-56.196,230,250,276,332,339,524,572,586,602,638,641,645,676,1423,1491,1777,1790,2231,2324,2326,2462,2587,3598,3643,3706,3862,4147,4528,5459,5553
23,4800,109,9440,2106.37,1928.05,9.17627,4.28853,-12.1389,-6.19533,-7.90915,-5.74356,-7.33071,-6.08275,-6.85882,-11.3057,3.75117,-14.2123,-7.24269,-12.1294,-14.2078,-11.7154,-11.9493,-12.3995,-9.80828,-13.4689,-17.3343,-57.3134,109,162,222,265,523,612,619,636,673,795,826,889,1001,1559,1747,1983,2155,2246,2434,2782,2785,2929,2992,3023,3027,3965,4189,4231,4372,9440
24,5000,108,12382,2260.13,2545.03,9.04736,3.88375,-11.5126,-7.15785,-7.55011,-4.98328,-6.70878,-5.91367,-6.90976,-11.5056,3.94121,-12.8026,-7.28699,-11.4362,-14.3558,-11.7726,-12.3412,-12.2389,-9.23256,-14.253,-16.3255,-57.8413,108,252,257,302,335,359,401,804,811,888,911,960,1002,1008,1158,1414,1845,2244,2335,2405,2476,2483,2780,2890,3617,4224,5149,5558,6446,12382
25,5200,54,16662,3223.63,3478.56,9.1721,3.55616,-10.6933,-7.34398,-7.13136,-5.58275,-7.74456,-5.75937,-6.25555,-11.7264,4.53762,-13.0587,-7.22395,-10.9831,-13.781,-11.8938,-11.7373,-12.2045,-9.53809,-13.468,-15.1861,-58.8109,54,246,374,447,448,515,609,764,1380,1405,1478,1599,1643,1941,2125,2165,2208,2602,2679,3554,3911,3948,4639,5004,5152,5235,6247,8183,9492,16662
26,5400,201,11098,3846.2,2863.48,8.88108,3.04616,-11.3937,-6.76077,-6.78735,-5.77721,-7.96915,-6.18733,-6.50012,-11.6681,4.65712,-13.3707,-7.68422,-10.8107,-13.7928,-12.179,-11.7514,-12.1121,-10.0375,-13.4036,-14.9764,-59.3108,201,240,258,277,719,1215,1227,1255,1563,1709,2414,2423,2439,3296,3344,3881,3886,3953,4463,4677,5378,5549,5695,6440,6811,7125,7737,7980,8133,11098
27,5600,221,29644,5934.27,6250.46,9.81585,4.05275,-11.5415,-6.42431,-5.716,-5.36571,-7.07216,-7.51908,-5.72662,-11.2024,4.87874,-13.3509,-9.15251,-11.0937,-12.161,-12.3925,-11.0906,-13.1995,-9.2653,-13.5507,-13.1175,-59.8829,221,276,448,853,880,1328,1409,1545,1605,1661,2093,2192,2392,3189,3506,4164,4633,4993,5817,8071,8470,8541,8624,9431,9612,11312,11908,14092,15118,29644
