generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
0,200,0,13,4.53333,3.8032,0.437313,1.81492,2.10553,0.909921,-0.560228,-3.99027,-3.15265,-0.00473003,0.229591,-1.16033,2.38005,-2.22574,-0.0206478,-1.79808,-1.39076,-1.11413,-2.61399,0.376422,-2.51204,2.89434,-2.01306,-3.86799,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,5,6,6,6,6,6,7,8,8,8,9,9,10,11,13
1,400,15,63,30.1333,10.4477,0.701986,1.361,2.49489,-0.85343,-2.3041,-5.20653,-3.0984,-2.72489,-0.962411,-0.538174,1.29469,-3.63509,-0.452771,-5.96513,-3.12229,-1.62376,-2.26866,-2.07586,-4.42694,1.20149,-3.38291,-10.5363,15,18,19,19,19,23,23,24,26,26,26,26,27,27,28,28,28,28,29,30,31,31,35,35,39,41,43,47,50,63
2,600,30,160,77.3667,32.5846,1.01695,1.66185,3.8838,-1.77766,-2.98562,-5.06567,-7.24017,-3.21676,-3.59698,-2.18891,1.74756,-4.4904,-2.95381,-9.90839,-4.94632,-2.42589,-4.51964,-1.4719,-6.6228,-1.8795,-5.19768,-19.1204,30,35,40,41,47,49,52,55,57,60,61,61,67,68,71,72,74,76,79,84,86,90,92,96,101,113,121,140,143,160
3,800,23,70,44.1,13.6289,1.36884,1.78516,3.9828,-3.02864,-7.22328,-6.49325,-8.76378,-4.71851,-5.29445,-3.61569,1.46669,-4.54826,-2.57178,-9.89935,-5.44256,-7.29794,-8.70413,-3.38007,-6.25103,-2.70456,-3.37009,-22.6148,23,24,30,31,31,33,33,34,35,35,35,38,39,39,40,40,42,43,44,46,50,51,55,59,59,62,66,66,70,70
4,1000,38,133,69.1667,23.1786,3.90302,2.69512,0.53114,-2.92127,-8.16451,-8.52065,-10.8469,-7.4845,-7.61213,-5.25242,1.08538,-5.88256,-5.49423,-9.45261,-8.37768,-9.46149,-11.2275,-3.31252,-7.47051,-4.03539,-4.37868,-24.3477,38,40,42,42,43,49,49,52,54,58,62,63,64,64,64,67,68,70,73,73,74,78,81,83,86,89,89,99,128,133
5,1200,40,265,77.0667,43.3939,4.56087,2.76919,-2.69846,-2.42627,-9.42247,-11.1362,-10.8819,-7.91467,-8.4841,-8.34041,2.06273,-8.13714,-7.07303,-10.5396,-8.66801,-9.31869,-10.1458,-6.82878,-8.93479,-4.41242,-3.33317,-25.846,40,43,43,45,47,47,51,54,54,54,57,59,62,62,67,69,70,70,71,76,79,86,88,92,92,99,104,112,154,265
6,1400,71,514,206.233,122.62,5.64751,2.14648,-6.63871,-4.37309,-7.95929,-10.9147,-9.4288,-7.12001,-8.94342,-8.03021,1.85984,-9.07601,-9.85796,-11.9581,-10.1246,-9.7924,-11.7613,-7.09763,-11.6407,-7.10886,-5.62306,-28.4146,71,81,91,94,97,98,109,130,131,140,140,152,158,171,174,178,181,190,195,202,204,225,232,241,287,347,374,468,512,514
7,1600,61,754,276.433,177.213,3.85154,2.04852,-7.4994,-3.42372,-8.09477,-9.1735,-9.11304,-7.81872,-9.6412,-7.71323,1.46408,-9.09126,-10.8492,-13.0778,-11.2744,-9.65264,-11.5744,-7.0746,-13.8926,-8.28903,-7.31794,-30.3559,61,76,91,99,135,146,150,168,170,171,171,194,194,211,218,234,249,250,261,267,323,324,329,383,401,426,529,625,683,754
8,1800,74,748,250.6,169.181,3.07103,2.29878,-8.74499,-4.35989,-8.30158,-8.71663,-9.64704,-5.25223,-9.73697,-8.25485,-0.439785,-8.84912,-12.0409,-13.6808,-10.9083,-13.1481,-11.6834,-8.19221,-14.1131,-10.119,-9.50619,-32.2171,74,79,86,97,109,112,115,138,146,149,153,170,175,180,190,193,201,207,220,296,300,309,328,338,356,411,429,601,608,748
9,2000,58,978,295.533,226.607,4.9945,1.11901,-10.4618,-5.33669,-8.00123,-8.03993,-9.55078,-5.00765,-12.2776,-7.70402,-1.40812,-8.50302,-12.9214,-14.2129,-10.9335,-14.2858,-11.1246,-8.24447,-14.675,-11.1058,-9.85639,-34.7782,58,89,95,104,105,131,139,141,144,147,171,187,189,190,198,248,264,267,268,286,305,322,377,421,432,460,605,714,831,978
