generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize
0,13,0,6,0.366667,1.18855,9.31833
1,26,0,4,0.533333,1.04166,8.90588
2,39,0,12,4.33333,3.06632,8.75465
3,52,0,10,4.26667,2.76597,8.77646
4,65,0,19,6.83333,4.38715,8.90617
5,78,2,18,10.5,4.75431,9.01313
6,91,6,30,16.9667,6.01999,9.14028
7,104,3,80,48.4,19.2884,9.18255
8,117,5,137,62.2667,32.0365,9.54913
9,130,18,384,124.933,84.4209,9.72742
10,143,27,292,83.1333,49.5056,9.96066
11,156,5,227,85.9,51.9193,10.1762
12,169,5,119,36.1,27.0916,9.9226
13,182,30,203,75.3,37.2699,9.50976
14,195,43,345,131.133,70.4188,9.23598
15,208,43,1000,227.233,195.624,9.24849
16,221,5,609,221.467,155.446,9.26422
17,234,50,679,178.767,135.22,9.6175
18,247,42,500,156.2,97.7616,9.8954
19,260,38,510,180.667,120.891,10.209
20,273,60,834,254.067,179.305,10.4172
21,286,42,637,199.3,135.725,10.5366
22,299,35,467,138.967,84.5611,10.8286
23,312,52,340,126.033,66.6331,11.3997
24,325,45,704,187.433,127.946,12.0373
25,338,57,623,263.967,145.456,12.4558
26,351,63,1136,436,263.966,12.7301
27,364,55,1333,457.867,292.016,13.2948
28,377,50,1262,378.967,278.549,13.5818
29,390,60,1136,274.133,206.393,14.118
30,403,66,1323,422.433,358.225,14.6497
31,416,37,2328,455.533,482.484,14.7062
32,429,10,1598,390.433,340.119,14.7694
33,442,31,1710,397.967,389.419,14.3127
34,455,28,1642,493,386.674,13.9952
35,468,117,1492,539.367,358.333,14.3756
36,481,74,1335,499.933,344.959,14.8295
37,494,25,2721,933.133,843.042,15.1167
38,507,27,2193,756.7,587.041,15.2688
39,520,127,7713,1042.33,1498.59,15.1926
40,533,7,11415,2520.53,2641.8,15.1288
41,546,850,47232,11217,10694.9,14.9568
42,559,323,27582,6755.5,6503.31,14.9836
43,572,311,38889,11026.8,9559.67,14.8441
44,585,127,83481,14465.8,19448.1,14.1083
45,598,132,41586,10740.2,11436.7,13.401
46,611,94,22634,8405.87,6839.61,12.9124
47,624,693,47306,12399.3,11869.5,12.3395
