generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize
0,13,0,2,0.2,0.550861,9.27693
1,26,0,5,1.86667,1.65536,8.73501
2,39,0,6,1.06667,1.55216,8.89997
3,52,0,1,0.0333333,0.182574,8.86323
4,65,0,7,1.46667,1.67607,8.62767
5,78,2,17,6.93333,3.99943,8.64912
6,91,5,37,17.0667,8.37868,8.80013
7,104,3,63,30.6333,17.5587,9.0148
8,117,9,135,55.8667,33.2179,9.11096
9,130,16,238,100.4,53.6075,9.44538
10,143,27,374,89.9,75.1221,9.6812
11,156,33,216,76.5667,38.4759,9.65147
12,169,27,148,76.1333,28.6269,9.60476
13,182,30,221,100.833,45.1,9.59565
14,195,28,211,79.2333,42.4741,9.4065
15,208,44,313,119.3,66.5454,9.23043
16,221,33,308,117,67.4976,9.17076
17,234,36,253,108.967,56.6511,9.19955
18,247,72,258,136.633,53.7295,9.37747
19,260,40,359,126.967,78.2963,9.32957
20,273,38,447,195.167,125.343,9.32466
21,286,58,580,233.833,122.013,9.33257
22,299,42,926,228.033,216.617,9.23987
23,312,30,789,254.633,182.721,9.34949
24,325,12,1321,259.9,270.551,9.26214
25,338,45,1316,384.167,281.09,9.04567
26,351,48,1429,418.167,329.767,9.11441
27,364,62,1051,308.467,272.828,9.14661
28,377,27,1108,402.233,285.802,8.99399
29,390,80,638,262,141.921,8.81416
30,403,73,893,324.867,186.907,8.77577
31,416,64,1132,339.933,231.177,8.7211
32,429,50,1411,488.6,416.748,8.62879
33,442,42,1917,416.467,436.933,8.73607
34,455,100,1783,439.367,412.188,8.84208
35,468,82,891,351.633,203.547,8.93466
36,481,54,1057,368.367,262.828,8.96253
37,494,54,2610,507.667,494.935,8.7584
38,507,131,1160,485.933,308.524,8.30269
39,520,80,1255,500.833,336.804,7.87479
40,533,67,3323,536.567,631.488,7.85093
41,546,137,1500,384.733,271.281,7.57347
42,559,76,825,336.567,204.798,7.64098
43,572,65,1588,445,341.625,7.58546
44,585,109,2115,566.567,430.878,7.32409
45,598,54,2732,633.533,530.938,7.05166
46,611,71,2474,782.333,639.158,6.7711
47,624,99,2583,676.967,640.3,6.61382
48,637,49,1880,760.633,605.186,6.63199
49,650,15,2304,746.7,634.168,6.61276
50,663,14,3277,826.467,696.023,6.36956
51,676,106,2346,694.5,489.292,6.19471
52,689,151,3061,899.767,611.967,6.27339
53,702,94,2000,775.933,546.434,6.19909
54,715,45,2877,893.733,751.866,6.19163
55,728,62,3077,981,782.188,6.09954
56,741,76,3644,1038.77,944.4,6.03038
57,754,44,3655,1088.53,985.438,5.94662
58,767,57,4068,737.933,832.585,5.75158
59,780,55,2025,536.6,447.034,5.3196
60,793,79,4492,1057.27,893.071,5.01621
61,806,98,3674,1098.77,1033.83,4.90297
62,819,68,5684,926.433,1036.1,4.92333
63,832,97,3938,1075.97,955.092,4.93249
64,845,132,3458,824.9,713.056,4.94409
65,858,82,4400,965,969.257,4.93933
66,871,136,5102,1069.83,1070.4,4.95355
67,884,134,2758,960.633,712.176,4.96781
68,897,170,3285,1262.53,953.222,4.98836
69,910,48,3368,1301.93,1110.63,4.99998
70,923,163,7722,2444.87,1912.26,5.01712
71,936,82,7207,2374.37,2014.97,5.02744
72,949,96,4899,1772.33,1436.74,5.0393
73,962,131,4670,1725.37,1379.31,5.03476
74,975,126,5123,1382.67,1286.34,5.1261
75,988,50,5228,1661.4,1320.47,5.27847
76,1001,88,4558,1610.83,1249.49,5.38789
77,1014,102,6148,1637.57,1698.95,5.33051
78,1027,131,6656,1666.2,1503.64,5.2447
79,1040,42,5102,1583.7,1343.12,5.13723
80,1053,53,5166,1363.77,1215.29,5.14064
81,1066,99,4374,1517.2,1101.29,5.21842
82,1079,46,7158,1670.2,1637.66,5.27785
83,1092,117,3182,1057.17,805.141,5.46483
84,1105,108,5027,1556.97,1243.05,5.53021
85,1118,151,7865,1678.97,1740.67,5.51934
86,1131,76,7432,1566.77,1673.37,5.47093
87,1144,161,6263,1468.2,1502.34,5.52867
88,1157,302,7292,1806.53,1466.84,5.40842
89,1170,103,11530,2434.9,2835.6,5.29696
90,1183,31,5130,1509.03,1341.47,5.33962
91,1196,28,15941,3813.6,3532.66,5.42646
92,1209,315,9731,2752.33,2530.13,5.37593
93,1222,126,19994,4908.3,5371.07,5.39899
94,1235,184,18211,4616.47,4362.42,5.49322
95,1248,437,19875,5408.03,4816.39,5.46086
96,1261,75,28374,4628.17,5691.92,5.49485
97,1274,40,25434,5707.37,5734.9,5.49895
98,1287,236,11926,4179.63,3134.26,5.77113
99,1300,237,20903,5160.53,5268.37,5.83102
100,1313,504,24424,6977.8,5685.34,5.96008
101,1326,174,19727,4855.37,4613.11,6.02557
102,1339,126,15337,4647.63,4209.61,6.00258
103,1352,129,56967,11043.5,13076.5,6.08618
104,1365,716,23743,8551.5,5696.85,6.10097
105,1378,616,17277,5946.53,4524.91,6.03382
106,1391,280,28316,8498.17,8108.54,5.94651
107,1404,141,24205,7394.8,6880.81,5.91181
108,1417,939,65555,12431.1,13545.8,5.9715
109,1430,444,41632,10628.6,10032.6,5.8582
110,1443,380,41609,7386.87,9805.5,5.78498
111,1456,252,36560,8869.57,8233.39,5.82418
112,1469,971,41329,11421,11431.4,5.66028
113,1482,742,83915,13531.6,15943.2,5.63331
114,1495,67,171532,20975.9,31919.4,5.53466
115,1508,988,78506,19469.7,20665.2,5.552
116,1521,79,66013,17257,15677.7,5.54486
117,1534,730,55537,14472.5,14216.5,5.5631
118,1547,396,25328,9789.47,7793.47,5.57647
119,1560,792,102315,20231.5,24034.7,5.59836
120,1573,263,26022,11373.6,7290.82,5.61571
121,1586,44,73428,18418.9,20111.6,5.63227
122,1599,489,82632,13381.2,16230.9,5.65449
123,1612,703,53911,16781.9,13542.2,5.69829
124,1625,97,28513,8480.43,7725.55,5.81141
125,1638,495,33049,7370.87,6697.72,5.71085
126,1651,193,70257,14969.6,15539.5,5.73289
127,1664,206,44484,11916.4,12406.5,5.72923
128,1677,266,39771,8772.67,9500.77,5.74016
129,1690,905,45036,11563.4,10718.3,5.75757
130,1703,50,32692,11762.1,8814.98,5.7805
131,1716,162,33897,9952.97,8922.52,5.78528
132,1729,669,94311,18478.6,20208.8,5.80259
133,1742,95,69734,18178.3,17761.8,5.80886
134,1755,153,76854,14769.3,16963.9,5.82492
135,1768,371,38319,10640.4,10232.4,5.83263
136,1781,393,33767,13467.9,9876.76,5.8406
137,1794,1697,27097,9914.23,6832.72,5.86174
138,1807,519,99080,13988.7,18529.8,5.86088
139,1820,1532,57273,14749.1,14813.8,5.93343
140,1833,364,61176,14745.1,13220.9,5.97504
141,1846,44,52839,12542.7,12076.3,6.1081
142,1859,201,35228,10672,8239.96,6.12799
143,1872,302,69989,15984.3,15778.4,5.92511
144,1885,334,59168,16315.3,13988.5,5.94174
145,1898,249,78913,22097.4,21897.8,5.94646
146,1911,567,59513,20087.6,17335.2,5.93726
147,1924,387,93225,15145,19254.1,5.95062
148,1937,112,66109,19990.3,19218,5.95448
149,1950,400,41208,11617.4,11057,5.97419
150,1963,650,25637,8475.23,6248.37,6.19384
151,1976,264,42208,16047,12958.8,6.06264
152,1989,1269,72272,16788.4,14502.2,5.94902
153,2002,155,32653,8767.77,8766.65,5.96683
154,2015,572,43263,12242.4,11091,5.98115
155,2028,963,61267,12215.8,12989.8,6.00549
156,2041,127,73833,15150.1,14867.3,6.03433
157,2054,65,82334,26976.4,20926.5,6.05671
158,2067,85,50281,10862.1,12283.9,6.04625
159,2080,354,38058,8868.47,9159.04,6.07328
160,2093,726,30812,11557.9,9111.27,6.0961
161,2106,1043,63872,11557.5,13264.5,6.09906
162,2119,135,39203,10720.4,10091.2,6.09631
163,2132,185,40841,11732,11608.3,6.11365
164,2145,242,37753,9877.17,10008,6.12993
165,2158,332,30005,8143.07,8132.37,6.15218
166,2171,1237,43050,13859.2,11171.5,6.15039
167,2184,346,71038,17351.8,16674.9,6.15791
168,2197,582,82414,17456.5,19560,6.17698
169,2210,906,28211,12269.1,7802.18,6.1848
170,2223,96,87060,13710.3,16852.1,6.20021
171,2236,94,45966,10409.6,9858.94,6.20557
172,2249,55,34489,10579,9756.99,6.21661
173,2262,218,42085,11712.8,10589.2,6.23297
174,2275,270,33497,11304.1,8999.51,6.25458
175,2288,406,131460,16997.8,24328.6,6.27445
176,2301,316,47027,14571.2,12961.3,6.29395
177,2314,781,66506,21570.1,15483.5,6.30811
178,2327,1223,71185,20634.4,18253,6.32004
179,2340,195,68087,15204.8,15719.2,6.33705
180,2353,385,78868,19848.4,19795.7,6.36296
181,2366,360,57595,17605.8,15562.7,6.46564
182,2379,524,109194,23072.9,23172.4,6.54766
183,2392,297,33381,11612,9846.72,6.67733
184,2405,110,36875,14042.9,12251.3,6.62703
185,2418,233,32218,12300,9817.65,6.61661
186,2431,479,32982,7079.7,8145.09,6.68433
187,2444,370,31519,9330.93,7987.09,6.91076
188,2457,58,26936,9559.93,7308.01,6.75735
189,2470,188,25448,7516.13,7020.99,6.68825
190,2483,742,44010,7804.07,9545.05,6.66422
191,2496,83,16919,4731.13,4231.34,6.56563
192,2509,131,19023,4478.2,5075.01,6.5527
193,2522,45,23312,5275.07,5340.15,6.51367
194,2535,390,36159,8647.77,9026.71,6.46186
195,2548,21,85956,18088,19575.3,6.46427
196,2561,400,28723,10626.7,8548.83,6.43553
197,2574,338,52699,11022.3,12672.5,6.45144
198,2587,272,28104,11762.4,8699.45,6.45111
199,2600,200,22436,7594.17,6252.72,6.43825
200,2613,1517,36402,12448.3,9520.63,6.45554
201,2626,1656,110658,16881.3,20158.7,6.46763
202,2639,730,65586,15635,14804.3,6.47945
203,2652,255,71363,19695.3,18903.8,6.49513
204,2665,248,96934,23342.3,26021.8,6.52805
205,2678,269,49114,12082.3,11782.1,6.54539
206,2691,797,73835,21056.2,18280.2,6.57421
207,2704,210,136998,33043.3,31613.5,6.71819
208,2717,325,163678,38091.6,47130.7,6.69563
209,2730,439,142629,29093.4,35076.4,6.7105
210,2743,940,114246,34222.4,32945.5,6.63025
211,2756,192,72139,16837.7,17754.4,6.66386
212,2769,529,78409,20816,21896,6.66649
213,2782,292,82514,20176.4,18070.7,6.66863
214,2795,292,45250,14591.2,12906.6,6.68927
215,2808,884,70196,18495.8,16508.4,6.70238
216,2821,2182,39090,17502.2,10591,6.68253
217,2834,230,59592,19012.2,14790.8,6.69448
218,2847,239,55692,19654.3,15438.4,6.72126
219,2860,707,59402,15284,12893,6.75537
220,2873,312,47916,13137.5,11143.5,6.76943
221,2886,293,49530,11703.8,13988,6.75619
222,2899,506,89174,17799.6,18622.6,6.86397
223,2912,2167,71689,14439.8,17787.8,6.85032
224,2925,600,34614,11916.2,10547,6.8719
225,2938,675,56658,17386.5,14935.3,6.9097
226,2951,172,43745,14818.7,10339,6.99894
227,2964,33,52360,15633,13098.5,6.97579
228,2977,1826,53410,16198.1,14230.6,6.83941
229,2990,186,46455,9968.63,11701.2,6.85259
230,3003,194,56911,18673.4,16491,6.8681
231,3016,588,60459,12349.7,13387.6,6.89553
232,3029,189,44718,12653,12929.3,6.92293
233,3042,232,47475,14660.3,12251.6,6.94089
234,3055,226,65455,15072.4,14571.1,6.96795
235,3068,983,59463,21349.3,16409.5,6.94145
236,3081,144,63334,17166.1,16579.8,6.95649
237,3094,959,57206,14899.2,14812.6,7.06195
238,3107,1055,57915,19616.6,15192.1,7.17015
239,3120,657,32342,13626.7,8981.49,7.24316
240,3133,83,52168,20254.5,17231.8,7.08633
241,3146,682,60565,18970.4,15533.9,7.04217
242,3159,243,54533,16420.7,14198.5,7.03785
243,3172,419,41049,10941.1,11214.5,7.04465
244,3185,36,33928,9697.5,9763.89,7.09059
245,3198,620,59771,10096.3,12051.8,7.18843
246,3211,142,63042,11619.7,14539.7,7.2473
247,3224,432,62024,15977.7,17365.2,7.23395
248,3237,227,95196,17938.7,18410.7,7.39199
249,3250,450,90449,13539.7,17302.6,7.25111
250,3263,266,76537,20601.9,18895.2,7.22637
251,3276,102,54086,18875.3,14561.9,7.25342
252,3289,666,70465,18587.1,16436.7,7.26216
253,3302,906,153321,24428.6,30660.8,7.23179
254,3315,868,132404,22348.3,27877.2,7.24577
255,3328,440,69897,21551.1,20278.9,7.25577
256,3341,1627,170709,31599.2,34399.3,7.28122
257,3354,298,77356,23067.8,23458.7,7.28811
258,3367,160,98497,32340.8,26680.2,7.30539
259,3380,3405,123449,32222.1,26977.6,7.33415
260,3393,1081,88364,28244.3,26728.9,7.35766
261,3406,867,146007,37297.5,33097.8,7.34706
262,3419,490,91137,24444.8,26523.8,7.35292
263,3432,287,195833,41537.2,41711.2,7.33685
264,3445,814,169274,36724.1,37856.5,7.52642
265,3458,259,88685,24725.5,22810.6,7.61217
266,3471,157,134302,23137.7,28589.2,7.46918
267,3484,409,75218,20383,20185.8,7.7768
268,3497,1429,35878,13098.9,9503.18,8.08372
269,3510,638,31771,14525.3,10020.4,8.17584
270,3523,111,62139,16814.4,16125.3,8.42872
271,3536,942,98353,19873.3,22569.3,8.41836
272,3549,51,101637,25297.1,22945.3,8.35965
273,3562,754,76076,26931.5,21203,8.67342
274,3575,3543,111500,20150.5,20817.2,9.01704
275,3588,547,109830,23304.7,25645.3,9.16539
276,3601,715,100571,30722.2,27696.5,9.04103
277,3614,883,133437,40571.7,32922.3,9.10648
278,3627,187,137548,27317.6,28905.5,9.23739
279,3640,456,185748,34364.5,36254,9.15952
280,3653,380,180231,47785.9,39407.1,8.96405
281,3666,938,151539,39312.6,36751.2,8.61936
282,3679,1479,203257,41956.9,49373.5,8.37497
283,3692,3646,181285,47025.5,39771.6,8.31528
284,3705,4718,181142,47646.3,40096.6,8.16833
285,3718,148,107400,24656.8,23391.1,8.07944
286,3731,159,215917,52257.8,50111.9,7.99899
287,3744,110,113206,26262.8,26084.1,8.11721
288,3757,68,139589,37552.2,39406.3,8.19906
289,3770,1551,93344,23614.6,22695,8.24438
290,3783,755,79874,24043.7,23180.2,8.44352
291,3796,362,97324,30685.6,31772.7,8.541
292,3809,642,103917,34835.7,26276.1,8.27441
293,3822,5041,184290,39342.8,37675.5,7.97011
294,3835,904,97723,30465.7,24812.1,7.83105
295,3848,2152,373326,56125.8,69188.3,7.82175
296,3861,2994,259213,64352.8,66755.1,7.84888
297,3874,6095,158155,57773.6,43702.9,7.85961
298,3887,2835,208171,53579.6,51780.4,7.83537
299,3900,410,194470,41969.3,44102.7,7.86801
300,3913,289,240607,72570.8,64547.5,7.87758
301,3926,1073,224527,59853.7,50464.4,7.81683
302,3939,2799,286222,68522.5,64473.8,7.96233
303,3952,1696,193843,57126.1,55435.2,8.05857
304,3965,672,195648,43833.1,45304.3,7.92289
305,3978,6285,377187,73040.6,77956.3,7.88372
306,3991,1944,113751,36632.1,28520,7.98005
307,4004,1313,116734,34375.4,24250.6,8.07885
308,4017,611,110447,27301.8,26342.5,8.17037
309,4030,678,158236,33457.2,33151.4,8.16645
310,4043,2280,105366,41284.8,32345.7,8.08981
311,4056,2577,168235,44415.2,40561.1,8.00079
312,4069,1383,83005,29662.4,25099.6,7.99898
313,4082,330,174165,45578,46692.5,8.02477
314,4095,1703,123664,40772.6,35022.7,8.04089
315,4108,1661,145043,34160.7,35320.8,8.06622
316,4121,2426,172711,41664,41611.3,8.08282
317,4134,878,207695,50878.3,51532.1,8.10235
318,4147,3470,326642,69030.3,62312.6,8.1025
319,4160,366,135287,32417.1,32261.7,8.12664
320,4173,3621,186809,56464.5,50045.9,8.25511
321,4186,256,140389,41739.2,35291.3,8.29582
322,4199,513,170830,41417.8,42424.9,8.1649
323,4212,1300,107560,43315.1,31474,8.19201
324,4225,1040,105458,31828.6,27648.5,8.43458
325,4238,952,92903,28396.8,22383.3,8.33222
326,4251,793,69628,23454.8,20093.6,8.20639
327,4264,749,93296,32555.6,25708.8,8.2103
328,4277,854,185133,30098.6,37922,8.23619
329,4290,381,127338,27583.7,30594.5,8.2689
330,4303,1358,76612,28221.1,21765,8.30084
331,4316,3111,74374,26269.2,21523,8.32034
332,4329,2747,205587,38723.6,46274.3,8.33875
333,4342,2188,139515,38551.2,33011.6,8.36507
334,4355,233,175156,29274.2,36214.4,8.39231
335,4368,750,136293,28554.6,31856.5,8.41474
336,4381,2317,94505,32835.5,27735.6,8.44618
337,4394,1926,195114,38774.1,47677.4,8.46785
338,4407,436,95404,28681.5,23590.8,8.49277
339,4420,3587,375131,59870.8,73862.7,8.50775
340,4433,1020,165919,36758.2,44045.3,8.47781
341,4446,959,184366,40474.1,42235.1,8.49286
342,4459,450,150242,35185.7,37344.7,8.50957
343,4472,1929,135532,34253.4,36749.1,8.53946
344,4485,2059,157209,43000.7,37966.1,8.57074
345,4498,1453,72323,27714.1,23466.2,8.60875
346,4511,860,88187,31051.7,20638.9,8.63559
347,4524,878,62554,19959.6,15673.4,8.62318
348,4537,298,114343,37402.9,32381.4,8.51446
349,4550,1333,235355,54222.7,56218.7,8.50875
350,4563,3945,158065,40610.8,35324.1,8.52847
351,4576,281,100407,34511.9,27337.8,8.533
352,4589,604,129525,36882.7,38772.2,8.5179
353,4602,3479,244575,64325.4,59405.8,8.59011
354,4615,4140,328514,53567.6,62291.9,8.89808
355,4628,1601,212833,51912.2,50823.1,9.41627
356,4641,4865,445087,57573.1,79180.7,9.5553
357,4654,337,489865,62162.4,96634.3,9.61919
358,4667,1467,237846,48237,46555,9.73186
359,4680,2229,168141,43038.3,39586.6,10.0216
360,4693,3196,276861,57142.8,64120.4,10.096
361,4706,453,156307,45453.2,43339.1,9.9593
362,4719,1062,191468,41091.8,50662,9.51984
363,4732,9084,232272,65146.2,53587.4,9.08464
364,4745,4898,329774,67761.7,71578.5,8.80801
365,4758,1082,300759,61143.1,61141.7,8.71918
366,4771,450,218145,64964.4,59199.6,8.72785
367,4784,2412,319566,61172.4,76021.3,8.7822
368,4797,858,211452,58260.2,63728.3,9.18703
369,4810,3609,370058,90047.7,77467.1,9.4456
370,4823,1691,212571,66221.6,57630.9,9.54974
371,4836,1707,304072,82357.7,69908.6,9.71096
372,4849,1437,312549,82059.1,81194.9,9.70439
373,4862,6235,685204,89217.3,127370,9.77
374,4875,2744,278254,68954,77646.4,9.69551
375,4888,949,450717,135033,128713,9.49915
376,4901,725,379501,87697.3,86685.5,9.3748
377,4914,259,492574,73069.8,97092.5,9.35313
378,4927,2059,207857,72584.1,55187.9,9.0852
379,4940,2208,329916,88697.7,87940.1,8.93214
380,4953,5487,255655,91014.1,77349.3,8.94756
381,4966,5208,483071,120404,96523.3,8.97722
382,4979,824,484642,104721,105192,8.99157
383,4992,440,166690,61051.9,43934.6,8.9777
384,5005,3941,253074,82329.7,73039.2,9.01134
385,5018,422,296315,62689.3,63020.9,9.03712
386,5031,190,267513,62209.8,61659.5,9.05754
387,5044,3377,708594,114888,133535,9.10074
388,5057,11682,323481,94564.9,91252.5,9.1204
389,5070,589,494239,125274,131496,9.14421
390,5083,980,258338,101488,73798,9.16293
391,5096,4232,321116,70915.4,77734.2,9.17743
392,5109,1989,363162,93216.6,89371.6,9.20345
393,5122,2027,191196,76550.3,52468.9,9.17677
394,5135,3504,527632,89725.3,105797,9.17642
395,5148,120,291992,80584.5,65401.4,9.18448
396,5161,523,397486,84946.6,97259.5,9.26183
397,5174,2288,135768,40082.1,32958,9.53178
398,5187,2888,251638,56788.4,63982,9.90965
399,5200,378,91101,21846.4,24634.9,10.2506
400,5213,7337,353510,58839.1,70213.3,10.2733
401,5226,891,235609,55374.9,47931.8,10.0587
402,5239,917,143289,46442.3,39797.2,9.97897
403,5252,328,238323,87345.3,63958.9,9.87682
404,5265,7160,181602,67126.3,52111,9.89058
405,5278,1740,213363,73292.1,66646.2,9.97161
406,5291,284,246276,78983.8,74780.8,10.0192
407,5304,530,264741,78287.2,71404.2,10.1285
408,5317,293,207197,49607.8,58684.3,10.2669
409,5330,615,569769,77378.7,106834,10.3229
410,5343,673,175673,62697.8,50831.2,10.3506
411,5356,2650,219730,50721.5,49451.6,10.0939
412,5369,39,138366,36723.1,34789.8,10.0772
413,5382,282,226928,49278,56127.5,9.74159
414,5395,1707,233309,55242,56881.3,9.79339
415,5408,340,219731,51031.8,54226.8,9.63058
416,5421,1912,300378,68123.1,75742.7,9.53674
417,5434,441,214651,61760.3,46628.8,9.47289
418,5447,652,317372,61542.4,73785.7,9.59333
419,5460,3966,168685,41619.2,40553.7,9.87343
420,5473,4942,274204,84334.5,75654.2,9.96125
421,5486,2014,161662,46045,43199.1,10.1717
422,5499,66,141696,46862.4,42576,10.1293
423,5512,3158,204339,62087.6,53742.7,10.1269
424,5525,1557,194944,57112.8,54468.9,10.4453
425,5538,929,200203,56410.7,47315.5,10.4532
426,5551,2165,227202,72646.3,62037.6,9.86269
427,5564,4607,224977,66117.5,62046.3,9.69128
428,5577,778,137905,46044.3,40245.4,9.74386
429,5590,2269,123965,46244.9,35726.5,9.79331
430,5603,680,295329,64045.7,68964.6,9.67571
431,5616,3371,234117,66757.3,66018.7,9.67874
432,5629,1174,175232,58837.8,48373.7,9.64115
433,5642,3039,705803,85605.8,131339,9.74277
434,5655,362,167635,51606.5,46614.9,9.7346
435,5668,947,229461,69650.8,58317.5,9.64968
436,5681,2100,314945,50734.3,61677.3,9.69314
437,5694,571,329998,61069.4,65027.8,9.72792
438,5707,2517,151682,35484.4,37244.8,9.72001
439,5720,84,235044,45418.8,52172.1,9.75556
440,5733,6978,145085,44177,38482.2,9.79691
441,5746,4285,402769,54527.7,72401.8,9.78382
442,5759,3916,205477,65034.2,52246.5,9.77693
443,5772,1544,145024,48770.2,46328,9.82566
444,5785,4697,165167,45028.7,40981.6,9.99284
