generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize
0,13,0,1,0.0666667,0.253708,9.41405
1,26,0,2,0.2,0.610257,9.08959
2,39,0,8,1.7,2.11969,8.95075
3,52,0,5,1.66667,1.74856,9.00246
4,65,0,8,2.13333,2.11291,9.04393
5,78,0,12,2.6,2.64705,9.02946
6,91,0,6,2.4,1.47625,9.24313
7,104,1,15,7.2,3.61415,9.42016
8,117,1,20,8.26667,5.30409,9.62126
9,130,5,21,12.1667,3.64912,9.86852
10,143,2,33,17.4333,8.13118,10.192
11,156,9,52,23.2667,9.42459,10.3316
12,169,7,35,18.9,6.2165,10.161
13,182,8,76,38.1667,16.7066,9.92198
14,195,9,83,50.0333,21.1668,9.90377
15,208,36,218,101.2,44.4804,9.91995
16,221,7,309,123.9,72.8292,9.95816
17,234,49,535,225.567,138.704,10.0846
18,247,58,494,239.267,105.39,10.192
19,260,11,387,170.3,104.831,10.4223
20,273,17,488,219.733,116.373,10.8708
21,286,30,570,202.967,121.318,10.7578
22,299,51,778,289.233,161.863,10.8733
23,312,70,935,388.167,211.768,10.963
24,325,57,841,322.333,213.731,11.1981
25,338,92,1257,452.8,328.625,11.3023
26,351,77,1161,350.667,278.297,11.1616
27,364,29,774,275.533,156.579,10.8769
28,377,45,615,177.533,116.438,10.6229
29,390,35,658,189.6,146.857,10.167
30,403,81,575,198.733,110.988,9.84148
31,416,22,524,203.7,120.05,9.29566
32,429,16,389,166.733,105.73,9.03481
33,442,46,879,230.667,174.888,8.91915
34,455,23,851,246.633,213.782,8.68274
35,468,16,1131,296.533,255.085,8.46905
36,481,55,951,225.433,194.234,8.12553
37,494,3,854,211.067,174.813,7.89006
38,507,21,744,214.1,167.716,7.5684
39,520,52,692,313.567,195.947,7.50101
40,533,70,1214,350.633,268.379,7.31309
41,546,52,961,390.9,231.45,7.12888
42,559,87,1226,452.2,294.432,6.88057
43,572,103,1182,428.267,290.847,6.80349
44,585,12,1527,400.1,334.752,6.81395
45,598,54,1499,440.633,351.302,6.74817
46,611,133,798,355.433,189.074,6.63849
47,624,100,1277,435.067,268.878,6.39658
48,637,61,1599,486.6,391.835,6.28818
49,650,59,2014,552.967,535.712,6.16297
50,663,125,2470,446.433,465.748,6.04877
51,676,33,1245,367.867,292.176,6.02558
52,689,117,1976,480.633,396.831,5.82615
53,702,33,1750,428.067,400.497,5.95641
54,715,62,3042,667.567,706.455,5.85217
55,728,118,4264,869.267,861.141,5.75411
56,741,127,2801,960.367,690.086,5.78963
57,754,275,3366,1174.63,930.752,5.83891
58,767,72,3260,1067,920.866,5.80658
59,780,31,8569,1673.17,2023.91,5.85449
60,793,54,2892,1026.87,859.274,5.92137
61,806,122,3644,1064.47,1019.27,5.90049
62,819,93,4539,1162.7,1029.19,5.88206
63,832,183,7963,2554.53,2251.78,5.88703
64,845,186,5389,1621.43,1359.64,6.09417
65,858,334,7951,1988.9,1774.74,6.16273
66,871,202,4518,1390.13,1019.16,6.2148
67,884,50,4565,1422.67,1275.9,6.27915
68,897,49,4528,1318.87,1395.54,6.2789
69,910,133,6640,1324.2,1476.94,6.35822
70,923,66,4057,1477.03,1121.12,6.37876
71,936,32,7353,1737.17,1540.29,6.27462
72,949,158,3764,1403.27,1076.27,6.0597
73,962,231,21901,5730.4,5288.13,5.93516
74,975,96,12425,4274.33,3292.16,5.7074
75,988,379,17594,3678.1,3441.85,5.56917
76,1001,237,8158,2709.3,2075.18,5.45143
77,1014,69,9427,2668.77,2244.51,5.51258
78,1027,118,43500,9153.7,9076.64,5.52038
79,1040,364,10252,3323.2,2920.81,5.30883
80,1053,95,7339,2133.17,1924.87,5.11854
81,1066,203,10230,3297.63,2655.47,5.14059
82,1079,128,6589,2247.33,1633.41,5.15254
83,1092,208,11355,2430.17,2275.27,5.16206
84,1105,197,22863,4347.93,4763.47,5.14149
85,1118,99,6203,1441.87,1555.06,5.17864
86,1131,149,8326,2584.5,2197.56,5.17772
87,1144,133,6969,2038.03,1961.54,5.31341
88,1157,107,9573,2917.53,2971.75,5.48102
89,1170,254,14581,3001.53,3609.63,5.58219
90,1183,176,15610,4029.6,4313.09,5.73518
91,1196,410,16559,4952.63,4204.75,5.73023
92,1209,184,30535,5295.93,6534.47,5.54484
93,1222,134,32006,4475.17,6420.83,5.3145
94,1235,350,35318,7457.37,7824.06,5.3355
95,1248,74,27069,5416.47,5508.83,5.28178
96,1261,41,55675,8321.33,11136.8,5.29842
97,1274,467,38089,8129.13,8934.34,5.32355
98,1287,101,24701,5497.67,5281.64,5.33547
99,1300,685,46226,7568.4,9016,5.33914
100,1313,612,18409,7302.67,5449.38,5.35914
101,1326,249,21008,5918.93,4743.52,5.38151
102,1339,1306,43691,10358.7,10964.2,5.40496
