generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize
0,13,0,9,1.5,1.75676,9.30239
1,26,0,1,0.1,0.305129,8.62723
2,39,0,5,0.633333,1.3257,8.40543
3,52,0,4,0.966667,1.29943,8.18926
4,65,0,17,2.83333,3.52414,8.09707
5,78,1,19,8.16667,4.71303,8.35104
6,91,3,33,12.3,6.03524,8.58081
7,104,4,23,11.4333,5.25674,8.48656
8,117,0,21,4.66667,5.29367,8.67311
9,130,5,45,21.4333,10.1257,8.96046
10,143,8,97,33.4667,20.2616,9.1083
11,156,11,153,81,41.7901,9.52055
12,169,14,213,97.4667,41.1404,9.91063
13,182,24,392,137.533,86.4223,10.4151
14,195,19,227,81.0333,49.1293,10.7815
15,208,24,217,91.1333,45.4242,11.5423
16,221,1,166,62.6667,39.8465,12.277
17,234,17,293,97.2667,61.2957,12.7064
18,247,46,500,177.2,110.083,12.9546
19,260,9,221,84.8667,47.6052,13.2564
20,273,38,453,157.433,92.5719,13.2862
21,286,37,258,116.533,65.5037,13.6671
22,299,18,214,113.533,52.2063,14.0116
23,312,17,547,152.633,121.614,13.9222
24,325,51,541,186.1,116.034,13.8229
25,338,45,395,179.5,109.41,13.8325
26,351,47,335,158.8,76.0732,14.4435
27,364,38,360,147.9,81.2876,15.4093
28,377,33,426,105.267,73.4443,16.18
29,390,40,390,151.5,88.5647,16.6805
30,403,22,669,198.433,136.663,16.7771
31,416,30,364,172.833,84.2644,17.0426
32,429,28,906,154.167,153.666,17.3887
33,442,50,423,168.933,102.043,17.2341
34,455,59,564,193.833,135.233,16.2713
35,468,56,537,208.2,123.969,15.5417
36,481,64,724,265.533,161.218,14.8583
37,494,50,547,202.967,111.421,14.3225
38,507,38,848,241.5,198.113,13.8049
39,520,44,792,237.5,191.887,13.5519
40,533,94,636,265.2,141.464,12.9994
41,546,81,1132,313.767,231.397,12.7837
42,559,100,729,323.533,182.993,12.4043
43,572,86,922,366.833,267.331,11.9211
44,585,85,1334,407.133,346.564,12.1336
45,598,39,726,353.667,194.606,12.2625
46,611,8,777,295.1,206.863,12.6764
47,624,62,715,288.467,173.079,13.1147
48,637,80,1362,382.9,281.905,13.3582
49,650,51,1985,681.5,546.267,13.4175
50,663,69,1436,500.267,356.176,13.4754
51,676,83,1604,558.733,456.824,13.4186
52,689,87,1695,610.433,465.23,13.2973
53,702,31,2237,570.2,474.913,13.3243
54,715,32,2204,830.967,662.569,13.4784
55,728,52,2236,855.833,583.801,13.8788
56,741,177,5148,1378.8,1200.87,14.2827
57,754,125,4861,1364.97,1042.95,14.2918
58,767,34,6185,1483.73,1797.35,14.4948
59,780,282,12466,3777.7,3037.15,15.1996
60,793,86,15503,5007.23,4256.18,15.8335
61,806,108,29120,7730,7141.48,16.1943
62,819,34,9645,3541.23,2773.07,16.1874
63,832,261,21335,6796.33,5541.08,15.8174
64,845,231,10399,2997.53,2589.66,15.7438
65,858,342,14201,5246.63,4015.8,15.6065
66,871,188,41287,8562.2,9695.56,15.5956
67,884,670,34188,8061.23,7991.8,15.5945
68,897,424,27802,10610.4,7218.93,15.7296
69,910,386,30334,6971.67,7140.59,15.674
70,923,302,34575,9730.97,8538.96,15.7223
71,936,328,13974,4532.1,3598.14,15.6964
72,949,217,29905,10191.9,8029,15.4668
73,962,198,24851,6733.8,6352.51,15.3609
74,975,137,40135,10253.2,9018.76,15.069
75,988,417,52547,12185.8,11485.4,14.5466
76,1001,238,46849,14181,13551.8,14.1438
77,1014,122,52011,10580.8,12045.1,13.7501
78,1027,78,25604,5056.07,4998.88,13.8917
79,1040,159,16675,5859,4217.83,13.4844
80,1053,497,23865,7499.53,5837.06,13.1037
81,1066,151,90253,11096.1,16951.4,12.6625
82,1079,59,50402,11038.3,12031.7,11.9319
83,1092,224,32238,9686.17,8400.37,11.3604
84,1105,96,98444,15930.4,21355.4,11.463
85,1118,989,49088,13339.3,12305.5,11.5775
86,1131,444,53939,11915,13346.3,11.9265
87,1144,972,70772,19954.8,17112.6,12.1427
