generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize
0,13,0,8,2.03333,1.75152,9.50508
1,26,0,10,2.66667,2.61736,9.33861
2,39,0,15,5.13333,3.55967,9.28864
3,52,0,15,7.16667,3.92238,8.9401
4,65,2,23,10.6,5.2889,8.76462
5,78,1,27,12.6667,6.35357,8.71222
6,91,6,39,17.7,7.70647,9.06785
7,104,0,35,12.9667,8.77883,9.18266
8,117,3,33,14.0333,7.16545,9.2533
9,130,10,51,23,8.55006,9.12235
10,143,5,66,30.9333,14.553,9.0935
11,156,3,65,25.9333,17.3641,9.09553
12,169,49,205,124.867,40.1873,8.96204
13,182,13,138,86.2667,35.3377,9.02878
14,195,27,245,94.8667,52.0641,9.32974
15,208,33,392,154.033,84.9371,9.47659
16,221,25,357,134.967,87.2869,9.60255
17,234,44,379,149.133,84.8937,9.7698
18,247,89,407,205.8,85.2058,10.0178
19,260,51,538,217.733,127.398,10.2513
20,273,77,933,360.033,237.019,10.7646
21,286,50,2486,835.7,584.594,11.219
22,299,172,3171,934,756.332,11.6701
23,312,40,3132,760.1,702.41,11.7476
24,325,124,1835,572.6,462.758,11.7347
25,338,73,1907,474.133,387.386,12.0833
26,351,22,1657,244.133,302.105,12.4916
27,364,15,2156,438.433,468.977,12.829
28,377,38,2281,664.767,586.921,13.2067
29,390,92,1561,397.867,336.685,13.4722
30,403,73,2026,594.967,454.439,13.7401
31,416,105,1246,475.467,284.234,13.531
32,429,64,426,201.567,96.64,13.6194
33,442,129,1328,393.067,277.008,13.526
34,455,33,1999,509.9,436.224,13.4206
35,468,53,1532,613.3,438.961,13.0444
36,481,46,5614,1227.93,1190.27,12.8012
37,494,82,9787,2406.1,2663.51,12.6757
38,507,98,7276,2546,2162.01,12.3925
39,520,25,9902,2605.7,2672.56,12.0798
40,533,329,13933,3601.97,3190.91,11.6126
41,546,79,5814,1767.8,1438.14,11.3483
42,559,91,17866,3534.2,3920.88,11.1865
43,572,95,6808,1959.2,1602.57,10.76
44,585,217,3549,1325.03,857.887,10.5097
45,598,185,7542,2370.77,1948.82,9.90293
46,611,113,10620,2529.77,2682.04,9.21013
47,624,119,6908,2117,1835.12,8.63021
48,637,64,6475,1493.7,1483.52,8.2483
49,650,61,8316,1425.07,1714.2,7.93707
50,663,144,13437,3298.63,3050.85,7.70924
51,676,182,18743,4384.67,4703.75,7.50586
52,689,270,32340,6259.53,6521.9,7.29118
53,702,111,14326,5970.3,4170.98,7.09187
54,715,328,27411,11156.4,8753.72,7.0941
55,728,310,52145,14735.2,13196.2,7.06015
56,741,56,49592,13766.4,11888.8,7.1207
57,754,457,43807,16465.2,13591.4,7.14144
58,767,368,43875,8447.33,9830.59,7.14851
59,780,340,28695,8194.53,7068.49,7.20026
60,793,590,27086,9572.57,6775.89,7.24479
61,806,486,31879,10306.8,8262.67,7.205
62,819,157,72060,13483.6,17446.6,7.14222
63,832,998,66092,22199,18335.7,7.06219
