generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize
0,13,0,2,0.2,0.550861,9.21244
1,26,0,1,0.166667,0.379049,8.90944
2,39,0,3,0.733333,0.980265,8.62402
3,52,0,5,1.03333,1.3257,8.67877
4,65,0,5,1.5,1.4081,8.82264
5,78,0,13,2.56667,2.73777,8.95168
6,91,1,10,5,2.66523,8.99624
7,104,1,19,9.36667,4.51422,9.17815
8,117,3,36,12.3,7.33978,9.53653
9,130,5,29,15.7333,5.98235,9.71767
10,143,5,39,18.0333,8.54797,10.0258
11,156,3,42,21.9,9.43709,10.4341
12,169,3,84,30.1333,19.4453,10.603
13,182,24,123,63.1333,26.1464,10.6712
14,195,19,163,64.9333,38.416,11.0286
15,208,8,129,53.6333,24.5153,11.1497
16,221,13,127,61.4,31.9974,11.4098
17,234,18,161,62.8333,28.6923,11.8085
18,247,22,264,113.333,57.6502,11.9744
19,260,7,314,122.333,67.5703,12.3547
20,273,25,250,93.6,57.9444,12.7191
21,286,55,433,215,108.613,12.906
22,299,35,341,174.2,80.421,13.2423
23,312,60,652,250.133,168.012,13.3914
24,325,32,862,324.633,240.276,13.6777
25,338,49,1263,348.8,325.929,14.006
26,351,30,1561,346.7,291.67,14.4041
27,364,65,979,349.867,244.586,14.695
28,377,68,768,321.6,159.769,15.1042
29,390,67,1060,350.633,281.68,15.762
30,403,72,753,282.5,180.95,15.8888
31,416,41,882,275.767,180.091,15.3827
32,429,66,877,323.733,221.357,15.3337
33,442,64,495,237.933,125.032,15.1887
34,455,45,1055,259.7,192.232,14.7606
35,468,50,531,197.133,123.581,14.4966
36,481,49,830,251.867,172.842,13.99
37,494,36,750,237.633,178.86,13.6998
38,507,42,916,340.3,228.342,13.1772
39,520,116,1611,386.7,289.309,12.7781
40,533,54,877,296.5,227.075,12.5313
41,546,59,795,289.233,186.605,12.5345
42,559,33,626,215.567,141.779,12.9411
43,572,32,861,221.967,175.535,13.2209
44,585,37,767,278.6,146.492,13.4501
45,598,39,1750,432.467,334.17,13.4817
46,611,102,1032,352.2,257.601,13.1782
47,624,38,1152,322,246.109,12.9563
48,637,68,825,268.5,163.866,12.6639
49,650,36,791,228.067,145.227,12.4343
50,663,30,801,221.533,171.648,12.0975
51,676,68,847,345.267,216.24,11.949
52,689,133,1583,499.767,361.78,11.7336
53,702,44,2569,585.067,562.873,11.6287
54,715,108,1164,391.7,252.892,11.6538
55,728,12,928,366.667,259.245,11.4945
56,741,33,1493,436.067,352.374,11.4864
57,754,66,706,262.6,167.811,11.2112
58,767,29,1115,284.8,237.158,10.8878
59,780,19,613,336.133,172.09,10.8047
60,793,3,1185,423.1,335.904,10.7105
61,806,7,1156,427.6,314.341,10.8021
62,819,11,1166,432.733,295.006,10.7546
63,832,67,1521,569.933,406.362,10.6613
64,845,103,737,337.133,175.459,10.8395
65,858,76,1483,410.5,306.299,10.8823
66,871,80,1913,552.7,385.353,10.6724
67,884,170,2639,680.333,546.608,10.3861
68,897,49,1882,615.3,468.762,10.0153
69,910,177,3373,1099.13,907.676,9.93732
70,923,86,1929,627.533,434.066,9.88308
71,936,87,1560,450.333,348.435,9.53247
72,949,116,3315,728.533,603.316,9.25315
73,962,37,2833,825.833,714.751,9.02012
74,975,160,2329,705.333,528.654,8.46146
75,988,100,2873,824.567,613.376,8.00666
76,1001,21,1861,703.733,550.3,7.77312
77,1014,43,2692,695.167,621.133,7.60352
78,1027,60,1976,491.567,407.189,7.65311
79,1040,41,1698,595.767,449.106,7.61023
80,1053,46,2107,432.967,430.812,7.5252
81,1066,107,2042,547.967,471.438,7.20517
82,1079,143,3157,715.233,595.427,7.08262
83,1092,74,2105,672.5,541.356,7.06269
84,1105,52,1859,604.033,489.707,6.93028
85,1118,46,1851,596.267,496.16,6.75367
86,1131,55,2382,673.1,575.17,6.58007
87,1144,87,1696,533.667,372.46,6.35508
88,1157,106,2909,697.033,675.807,6.18247
89,1170,44,1510,610.567,366.821,6.03287
90,1183,59,1878,705.667,467.773,6.0791
91,1196,8,3195,1182.2,831.195,6.12927
92,1209,81,3778,725.233,664.914,6.30768
93,1222,109,1744,612.7,411.765,6.59262
94,1235,82,6100,978.367,1206.46,6.65826
95,1248,131,2966,858.967,662.016,6.45668
96,1261,83,2443,783.5,516.512,6.2477
97,1274,111,2327,670.833,526.125,6.14411
98,1287,121,3546,1062.23,857.369,5.87437
99,1300,57,3950,759.2,781.032,5.69942
100,1313,62,1889,531.267,426.881,5.63086
101,1326,7,3851,684.133,750.959,5.51332
102,1339,166,2211,662,410.883,5.38821
103,1352,95,2703,770,639.818,5.29281
104,1365,14,1354,529.033,356.306,5.23292
105,1378,41,2919,956.933,699.148,5.1933
106,1391,117,2683,897.9,740.402,5.2184
107,1404,52,3045,630.567,592.318,5.19687
108,1417,97,1554,697.6,443.061,5.21909
109,1430,104,3755,1015.57,843.606,5.20587
110,1443,61,2510,807.833,753.974,5.11749
111,1456,55,6591,1097.77,1332.37,5.11806
112,1469,146,2893,898.833,749.124,5.10904
113,1482,61,2085,788.8,580.26,4.93769
114,1495,33,5748,903.7,1020,4.75041
115,1508,78,3014,884.367,873.421,4.55529
116,1521,70,3915,986.267,939.908,4.39004
117,1534,159,2083,813.9,564.438,4.27234
118,1547,90,2098,618.7,490.064,4.16261
119,1560,246,1851,813.533,469.911,4.1157
120,1573,64,3261,781.667,713.776,4.02716
121,1586,77,2538,774.833,600.797,4.09151
122,1599,30,2392,724.733,589.231,4.26856
123,1612,50,3404,846.733,815.123,4.27471
124,1625,84,2840,950.567,671.061,4.22482
125,1638,40,2500,655.2,586.277,4.25637
126,1651,36,4337,1109.23,941.891,4.30546
127,1664,153,1744,779.433,497.171,4.21923
128,1677,79,3267,1004,904.571,4.11595
129,1690,165,1748,770.767,453.048,4.08691
130,1703,195,2952,743.133,682.761,4.08068
131,1716,139,2613,600.767,525.007,4.07034
132,1729,52,2292,832.667,615.77,4.03431
133,1742,111,3910,964.333,774.32,4.02917
134,1755,120,1639,619.533,365.936,4.0618
