generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize
437,5694,518,22207,8090.43,6056.01,2.04235
438,5707,117,29319,6246.03,7672.05,2.00886
439,5720,382,44395,9544.53,10650.8,2.01621
440,5733,567,44562,10395.4,10836.3,2.00458
441,5746,515,51990,8947.43,9895.3,1.98856
442,5759,232,46269,11830.2,11796.8,1.91573
443,5772,228,26944,7134.13,6967.82,1.8378
444,5785,68,41514,12004.1,11302.9,1.75984
445,5798,177,36072,10330,9511.4,1.66175
446,5811,159,32137,8433.33,7819.07,1.63617
447,5824,162,28603,10793.8,8478.49,1.59149
448,5837,748,35963,9910.27,10126.4,1.55183
449,5850,271,34508,7727.7,8570.27,1.52063
450,5863,99,26191,6654.87,6954.64,1.51662
451,5876,62,28237,7672.3,6984.49,1.50179
452,5889,104,56620,10553,11623.8,1.51338
453,5902,494,41903,10617.5,10804.2,1.51014
454,5915,277,28433,8672.4,7232.92,1.50721
455,5928,259,33251,10477.1,10410.6,1.52951
456,5941,280,44877,8027,8695.39,1.47903
457,5954,48,34687,9295.03,8946.99,1.46109
458,5967,316,48713,11178.8,9766.46,1.44666
459,5980,399,34364,11705.4,9876.21,1.44604
460,5993,404,28110,7721.1,7109.91,1.41293
461,6006,485,23057,8476.73,6034.44,1.3688
462,6019,306,32953,8647.77,7364.22,1.35115
463,6032,687,40287,8298.53,8313.16,1.32015
464,6045,324,26078,8166.43,7609.28,1.29938
465,6058,295,38272,8699.53,9135.96,1.29432
466,6071,75,31550,8144.4,8145.82,1.31288
467,6084,589,42426,10050.3,9985.18,1.29006
468,6097,211,34476,8261.9,7772.36,1.29774
469,6110,370,37406,8229.93,8155.58,1.28852
470,6123,135,41143,8805.37,11755,1.2737
471,6136,302,40773,11370.6,11741.4,1.25315
472,6149,265,66811,10009.3,12322.2,1.23802
473,6162,204,42204,11390.9,10887.6,1.21941
474,6175,790,42364,10175.3,10547.3,1.20889
475,6188,957,35341,8327.03,7660.69,1.20942
476,6201,44,42191,9479.5,9348.28,1.21417
477,6214,625,43656,8599.53,8781.91,1.24685
478,6227,74,47470,10979.1,10452.4,1.2721
479,6240,198,51817,10867.2,11903.9,1.30476
480,6253,283,37130,7770.13,8060.68,1.34042
481,6266,310,23412,7794.8,6078.6,1.36539
482,6279,75,35826,8757.93,8246.24,1.36542
483,6292,283,30696,9988.93,7482.4,1.43836
484,6305,748,39622,10093.2,10055.6,1.49584
485,6318,244,32419,8661.83,7559.49,1.53566
486,6331,236,46402,9636.37,9498.41,1.58092
