generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
0,50,0,5,0.9,1.51658,0.191693,-2.29667,-4.14078,1.18724,-1.16192,-1.54852,-1.04166,-4.43475,-1.9274,2.30338,-2.09265,-6.47441,1.41014,-3.93671,-1.28578,-0.0745656,0.116433,1.30559,-3.43452,-0.529669,-3.1233,-1.62296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,4,5,5
1,100,0,4,0.833333,1.05318,-1.70394,-5.74835,-5.47026,2.31955,-1.78312,-5.65506,4.57588,-6.52319,-2.16125,2.71521,0.878934,-9.59099,-1.16659,-6.53818,3.76671,-3.40988,3.69249,-1.26038,-6.35157,-0.455083,-2.18515,-6.13459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4
2,150,0,23,8.03333,5.30116,-1.56596,-10.884,-2.28243,2.51485,-1.39226,-6.6321,-3.67956,-7.42832,-0.153819,-0.456563,-1.74237,-7.45973,-4.36012,-5.21122,0.934176,-5.80566,13.3298,-4.40374,-8.84585,-1.43329,-11.679,-14.6942,0,0,0,2,3,3,5,5,5,5,6,6,7,7,7,7,8,9,9,10,10,10,11,12,12,12,14,14,19,23
3,200,10,54,29.2667,11.2799,-1.01019,-0.850156,-3.86124,2.95827,-0.507686,-5.74954,-2.11005,-7.87955,-5.32387,-4.08323,-2.97723,-6.13351,-2.69352,-5.85175,-1.43895,-9.87755,5.83744,-8.40025,-6.6505,-1.60848,-13.2487,-14.9168,10,12,15,16,18,19,19,20,21,23,23,24,24,27,27,30,31,32,36,36,36,37,37,37,38,38,42,43,53,54
4,250,18,80,44.1333,18.2582,-3.24126,3.26434,-7.64548,1.19107,-2.65862,-5.89677,-1.36214,-6.67493,-6.03884,-7.6642,-3.66185,-8.17917,-4.12155,-9.94667,-2.76437,-10.1506,5.51435,-9.63501,-5.35971,-3.8141,-20.738,-17.6946,18,19,22,22,22,23,23,25,28,33,39,40,41,42,42,46,47,51,51,52,52,53,53,55,55,67,72,75,76,80
5,300,29,141,61.8,24.3132,-5.23708,0.539016,-8.07018,3.44939,-1.83796,-6.69308,-0.0660879,-4.52293,-5.71673,-4.89713,-3.16357,-9.08407,-4.59472,-9.39273,-1.12144,-9.68774,5.27442,-9.16238,-5.61255,-5.06092,-29.9775,-20.2939,29,31,32,32,37,38,41,48,49,52,52,54,55,56,59,59,59,60,62,62,72,73,76,80,81,83,85,97,99,141
6,350,30,190,92.4,43.0394,-5.97489,-0.00217889,-6.03891,-2.41748,-1.47489,-7.71908,-1.45677,-1.74365,-8.44136,-3.58036,-2.29247,-8.06393,-7.97229,-8.49897,-3.32001,-9.84987,0.377715,-10.2445,-7.29749,-5.88696,-27.4493,-22.7876,30,31,31,37,54,55,55,63,63,68,69,76,76,79,84,84,84,91,93,112,114,123,131,131,136,140,153,158,161,190
7,400,26,202,88.0667,43.1948,-7.634,0.511656,-7.01433,-3.95491,0.225905,-8.00746,-2.2161,-3.18049,-11.5453,-5.81081,-3.80952,-10.3665,-10.1589,-6.98519,-3.82278,-11.1175,-1.4338,-7.06553,-5.829,-4.42489,-29.9915,-24.0281,26,36,38,42,44,45,56,57,58,59,67,68,71,75,85,87,87,88,90,96,99,99,107,111,131,145,147,156,170,202
8,450,37,245,101.567,52.5401,-8.33279,-2.34792,-5.89076,-2.71787,-2.03061,-9.17795,-2.51927,-3.2689,-8.89825,-5.38399,-3.63185,-12.1526,-8.75834,-6.23834,-5.65467,-13.433,-2.42651,-8.59847,-7.37485,-4.40642,-26.1857,-28.0205,37,39,43,45,48,48,50,53,57,60,65,78,83,84,94,98,101,101,102,132,134,138,139,146,151,160,164,167,185,245
9,500,24,330,123.367,70.9806,-9.01896,-1.08897,-6.80905,-4.30187,0.00324768,-9.05182,-2.90247,-5.3064,-4.89944,-6.39834,-2.14838,-11.3482,-8.88674,-6.98571,-5.57147,-13.9822,-1.34515,-8.23878,-10.2341,-5.63871,-27.7264,-28.9589,24,33,43,51,53,60,65,67,74,75,77,86,87,99,113,116,122,124,133,135,167,173,174,175,195,199,203,209,239,330
