generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
0,50,0,22,8.66667,5.99041,3.3778,1.77785,-2.75232,-3.90131,-6.46054,-1.07228,0.479959,-4.17712,-0.322311,-3.80367,4.4552,-7.17656,0.371208,-0.0430097,-1.87997,1.01497,-1.90535,-2.17502,-0.30095,-1.59478,-0.449199,-5.96331,0,1,1,2,3,3,3,3,4,4,5,5,6,8,8,9,9,10,10,11,12,12,12,13,13,16,17,18,20,22
1,100,3,27,9.9,5.84483,2.61344,0.258809,-8.39318,-1.65452,-6.74533,-4.84465,-2.07896,-11.4892,-1.36356,-4.05532,7.08326,-7.66054,1.0449,-3.46784,-0.524261,-4.83947,-1.55564,1.62219,6.64792,-2.48057,2.34672,-11.1795,3,3,4,4,4,4,5,6,6,7,7,7,8,8,8,9,10,10,10,12,12,12,12,13,14,15,16,16,25,27
2,150,0,26,10.7,5.89652,1.88125,0.898637,-10.781,-7.96582,-9.34175,-3.21833,-3.14853,-12.8711,-3.10835,-4.48229,3.99659,-9.30192,-1.70673,-4.2352,-4.70699,-2.57965,-0.82867,2.44907,4.43629,-1.28674,0.732772,-12.2142,0,2,3,4,4,5,6,6,7,8,8,8,9,10,10,11,11,11,12,13,14,14,15,16,16,17,18,18,19,26
3,200,1,38,13.3,9.15065,2.84389,2.02724,-14.4158,-7.77602,-13.2157,-2.82111,-3.78978,-12.2563,-1.25841,-4.12475,1.36796,-9.38751,-5.35971,-7.14976,-5.26438,-2.19521,0.166664,1.1885,1.71258,-3.24334,-2.04679,-12.8038,1,3,4,4,4,5,5,7,7,8,8,8,11,11,11,12,12,14,14,14,16,16,18,18,20,21,27,30,32,38
4,250,7,100,44.5667,21.6328,5.01339,-3.5726,-12.0103,-7.6279,-14.2415,-4.38552,-4.56705,-11.8411,-1.69237,-5.54654,2.69388,-10.8114,-5.06223,-9.6688,-7.39901,-2.97663,-1.46098,1.7527,4.37186,-5.68172,-19.5869,-19.3046,7,14,14,16,22,26,28,29,30,36,36,38,40,41,46,46,47,47,49,50,51,51,54,57,63,64,75,75,85,100
5,300,34,198,80.2,35.0403,6.07083,-5.03429,-11.0211,-6.42549,-11.8433,-6.04414,-4.51692,-11.3771,-2.11943,-10.6896,2.83749,-13.3249,-6.82895,-9.1248,-9.10976,-1.07508,-1.49815,0.693495,3.45639,-7.8863,-24.1678,-20.0351,34,34,35,41,47,53,54,57,57,63,65,67,71,73,73,73,75,78,82,91,93,97,100,103,104,114,116,123,135,198
6,350,43,128,80.0667,21.2586,8.57572,-4.04029,-11.0974,-8.38587,-12.043,-7.12874,-5.15573,-9.60852,-1.85418,-10.3496,2.41615,-13.475,-6.39469,-8.68875,-11.576,-3.97992,-6.62416,-3.43489,4.23996,-8.1928,-31.756,-22.0614,43,44,48,58,61,62,63,64,65,68,70,78,79,80,80,83,84,84,85,87,87,88,89,90,92,93,105,117,127,128
7,400,23,265,117.1,63.5894,6.894,-3.81526,-9.27665,-10.4457,-9.54781,-7.87361,-6.29192,-7.25019,-4.15302,-8.59833,-2.1614,-12.3406,-6.63853,-9.27418,-9.93545,-4.7842,-7.08121,-3.81339,2.82672,-8.775,-32.615,-24.9564,23,24,43,45,51,53,62,65,65,73,79,83,93,98,101,112,127,134,142,148,153,160,165,172,179,179,183,189,247,265
8,450,51,462,157.067,87.8914,9.19563,-4.38847,-9.78173,-10.902,-9.3911,-7.75,-7.42496,-7.44641,-3.92713,-9.40553,-5.71392,-11.4514,-4.38984,-9.57265,-9.74762,-5.4111,-7.64183,-6.59209,0.9972,-8.56245,-31.8189,-28.92,51,51,62,65,72,78,86,103,111,118,131,132,133,135,141,147,149,156,157,160,174,196,201,210,211,217,217,224,362,462
9,500,38,412,135,81.6198,10.0931,-3.97461,-9.11394,-11.3221,-11.7443,-6.96954,-4.1113,-8.22624,-4.53397,-7.61405,-5.83017,-10.3038,-4.81565,-8.97017,-11.4865,-5.35412,-7.54716,-8.20592,0.826192,-8.73647,-28.3607,-31.293,38,49,51,59,62,66,66,71,76,78,81,85,94,97,111,140,141,144,154,157,163,180,183,184,184,192,206,257,269,412
10,550,48,331,135.4,74.2584,14.2393,-2.80983,-9.35409,-9.42228,-10.7477,-7.59342,-6.06582,-8.39367,-5.73534,-8.23176,-6.05681,-7.55578,-4.83405,-11.1835,-12.254,-6.8233,-6.8132,-7.46537,-1.29257,-6.67873,-28.6032,-30.5227,48,58,58,72,72,87,89,90,92,92,93,94,95,101,111,112,112,121,122,131,139,143,151,179,228,231,248,270,292,331
11,600,42,509,217.7,126.909,16.8091,-0.462132,-10.305,-8.85674,-12.3337,-7.87322,-2.99834,-10.6634,-7.53357,-10.1333,-5.78648,-9.06552,-3.88203,-9.89606,-12.9849,-6.75321,-8.48084,-8.1346,-1.81677,-6.89898,-27.3409,-35.6067,42,49,50,51,97,103,112,115,127,134,139,149,170,187,192,203,227,230,242,255,272,278,319,329,332,372,383,421,442,509
12,650,72,1194,465.733,313.855,17.985,0.110717,-10.1315,-7.8972,-12.2839,-8.40798,-4.38279,-9.87826,-7.76348,-11.5683,-4.19781,-9.04747,-4.51121,-7.83942,-12.937,-7.02671,-9.73613,-7.564,-0.238332,-7.54069,-23.1231,-41.8968,72,87,126,127,144,152,156,187,235,239,241,289,299,303,372,411,421,507,558,609,618,668,743,809,819,836,856,929,965,1194
13,700,90,1219,387.6,323.423,16.8597,0.867357,-10.9074,-8.64675,-11.4673,-8.16029,-5.48872,-12.5073,-8.96424,-12.6289,-3.2876,-9.25184,-3.48141,-8.49876,-13.4506,-6.41191,-10.4817,-8.22441,-0.967749,-8.04297,-23.991,-42.9582,90,113,114,126,130,158,160,166,181,185,199,208,221,225,244,250,285,287,292,308,327,431,505,605,777,885,892,962,1083,1219
14,750,39,1244,395,283.649,21.3021,-1.5178,-11.2512,-8.1902,-9.90463,-8.36437,-4.6841,-12.5175,-10.3436,-12.1394,-3.34393,-10.9508,-2.99323,-9.12106,-12.2708,-6.30282,-10.8952,-7.74297,-3.10478,-8.2802,-22.6765,-44.8787,39,70,93,96,113,160,186,200,222,240,277,299,300,301,316,323,328,391,410,418,422,462,504,602,635,643,709,791,1056,1244
15,800,108,2400,737.2,639.818,20.5159,0.0834029,-10.2336,-7.89222,-11.8677,-7.72243,-4.82702,-12.9183,-10.4527,-12.0602,-1.72376,-10.6624,-3.67095,-10.3301,-11.854,-6.7928,-11.2514,-8.31742,-3.79042,-9.8081,-22.4802,-46.1407,108,120,177,179,211,217,228,252,350,361,377,506,574,598,647,688,691,703,705,761,781,797,801,815,824,904,1603,2364,2374,2400
16,850,106,2021,548.267,479.225,20.4625,0.387794,-11.8002,-8.86398,-12.8061,-8.29004,-5.02958,-12.9816,-11.9224,-12.2078,-0.821459,-11.9431,-4.99621,-9.11147,-11.782,-6.21474,-9.97078,-8.22509,-4.34057,-9.9443,-21.4151,-48.1359,106,115,118,139,147,154,180,206,213,244,246,247,249,256,277,388,469,498,550,590,632,723,729,912,1023,1121,1174,1207,1514,2021
17,900,61,2526,748.233,667.527,12.2412,0.210149,-12.0496,-11.5199,-12.4108,-7.19886,-7.17095,-12.4708,-12.5444,-13.5111,-1.57518,-8.53566,-7.27053,-6.44502,-13.7563,-11.2805,-9.10586,-8.33662,-8.65813,-11.0101,-20.6432,-48.7544,61,173,185,232,259,324,337,342,359,382,387,405,409,430,496,515,516,520,549,607,692,932,938,943,981,1659,1799,2170,2319,2526
