generation,agents,score,stepsize
209,2730,74684.1,0.0225468
210,2743,110119,0.0216356
211,2756,75167.7,0.0207766
212,2769,74904.2,0.0200679
213,2782,105109,0.0195025
214,2795,62610.6,0.0185904
215,2808,46081,0.0181731
216,2821,41312.8,0.0178648
217,2834,51514.4,0.0180828
218,2847,78238.1,0.017856
219,2860,38422.7,0.0176267
220,2873,68801.4,0.0174312
221,2886,62091,0.0178204
222,2899,67029.4,0.0181863
223,2912,65747.2,0.0178097
224,2925,58138.1,0.0176245
225,2938,66223.9,0.0180381
226,2951,86788.3,0.0178229
227,2964,73364.7,0.0178808
228,2977,94477.6,0.0182193
229,2990,90225.7,0.0185476
230,3003,76134.4,0.0188845
231,3016,62177.3,0.0191686
232,3029,67090.3,0.0189397
233,3042,60240.4,0.0189822
234,3055,62310.7,0.0185367
235,3068,36011.2,0.0184302
236,3081,68431.7,0.0179193
237,3094,45908.8,0.0175841
238,3107,64379.9,0.0178729
239,3120,88233.5,0.0179081
240,3133,52131.2,0.0179377
241,3146,48749.9,0.0180527
242,3159,56722.2,0.0179691
243,3172,61192.3,0.0181455
244,3185,68275.2,0.0183044
245,3198,60382,0.0177381
246,3211,73244.2,0.0168648
247,3224,81860.3,0.0164426
248,3237,68573.3,0.0160204
249,3250,71580.2,0.0157931
250,3263,81874.6,0.0157896
251,3276,93813,0.0163384
252,3289,90966.9,0.0167434
253,3302,104797,0.0169667
254,3315,104142,0.0175343
255,3328,98716.4,0.0175058
256,3341,114828,0.0172538
257,3354,84974.8,0.0170076
258,3367,98144.5,0.0164043
259,3380,108263,0.0158765
260,3393,96781.4,0.0152686
261,3406,86243.3,0.0148718
262,3419,82233,0.0146256
263,3432,104400,0.0146001
264,3445,123709,0.0141355
265,3458,149580,0.014197
266,3471,94443.2,0.0140542
267,3484,183569,0.013849
268,3497,128117,0.0137275
269,3510,76175.5,0.013733
270,3523,67806.5,0.0138083
271,3536,127531,0.0133674
272,3549,78553.2,0.0129265
273,3562,101167,0.0127805
274,3575,83028.4,0.012445
275,3588,99654.9,0.0120217
276,3601,104980,0.0117423
277,3614,100694,0.0113041
278,3627,126903,0.010913
279,3640,106594,0.0104682
280,3653,87522.7,0.010484
281,3666,97335.2,0.0102937
282,3679,120248,0.0104915
283,3692,115408,0.0109043
284,3705,118234,0.0111806
285,3718,163970,0.0115688
286,3731,86518.8,0.0121613
287,3744,104098,0.0127407
288,3757,90524,0.0128407
289,3770,104156,0.0129597
290,3783,70884,0.0132773
291,3796,78806.9,0.0139084
292,3809,51242.4,0.01463
