generation,agents,score,stepsize
0,13,0.3,0.190208
1,26,2.06667,0.184001
2,39,2.16667,0.182882
3,52,3.3,0.180958
4,65,2.16667,0.179706
5,78,5.93333,0.176117
6,91,12.0667,0.175542
7,104,10.7333,0.175656
8,117,16.5667,0.176727
9,130,17.8333,0.180658
10,143,19.0333,0.18107
11,156,30.7667,0.183758
12,169,26.4667,0.18932
13,182,37.8,0.188907
14,195,48.7,0.194145
15,208,69.0667,0.196766
16,221,53.7667,0.199194
17,234,78.2667,0.206212
18,247,103.667,0.210778
19,260,91.9,0.215572
20,273,98.1667,0.218462
21,286,101.333,0.220006
22,299,130.967,0.222571
23,312,147.033,0.218998
24,325,113.067,0.208577
25,338,97.7667,0.198313
26,351,118.1,0.188554
27,364,103.1,0.189568
28,377,90.3667,0.188198
29,390,92.3,0.184813
30,403,123.333,0.179284
31,416,121.233,0.172684
32,429,123.933,0.169482
33,442,117,0.167465
34,455,152.033,0.161923
35,468,157.3,0.158887
36,481,132.433,0.155912
37,494,161.967,0.152798
38,507,126.567,0.15158
39,520,119.833,0.153392
40,533,167.8,0.153263
41,546,140.9,0.152212
42,559,171.4,0.152168
43,572,178.967,0.155934
44,585,156.9,0.160559
45,598,118.267,0.165253
46,611,101.767,0.172037
47,624,148.5,0.182308
48,637,131.767,0.191355
49,650,118.267,0.20097
50,663,122.2,0.204372
51,676,121.767,0.20913
52,689,156.033,0.206199
53,702,156.733,0.201831
54,715,257.267,0.203939
55,728,238.7,0.208549
56,741,236.5,0.209301
57,754,222.767,0.204745
58,767,218.633,0.199477
59,780,253.1,0.19056
60,793,299.933,0.184764
61,806,408.2,0.175061
62,819,350.833,0.173049
63,832,209.4,0.170198
64,845,287.067,0.168446
65,858,323.767,0.164381
66,871,480.633,0.159037
67,884,328.633,0.156789
68,897,318.6,0.156575
69,910,514.1,0.158578
70,923,451.467,0.155882
71,936,546.3,0.151041
72,949,455.667,0.14831
73,962,581.3,0.146614
74,975,453.333,0.142069
75,988,425.633,0.138595
76,1001,573.133,0.136552
77,1014,585.533,0.133348
78,1027,383.9,0.132406
79,1040,490.867,0.134182
80,1053,647.667,0.140526
81,1066,394.8,0.144263
82,1079,564.6,0.144963
83,1092,640.433,0.150516
84,1105,553.267,0.156217
85,1118,893.7,0.162749
86,1131,878.033,0.16975
87,1144,989.3,0.176662
88,1157,670.133,0.185484
89,1170,751.9,0.189711
90,1183,424.9,0.187299
91,1196,1025,0.177989
92,1209,808.467,0.180095
93,1222,891.6,0.182468
94,1235,1305.2,0.18409
95,1248,617.767,0.19188
96,1261,839.2,0.197127
97,1274,1072.63,0.196746
98,1287,839.233,0.197129
99,1300,1433.43,0.201025
100,1313,898.333,0.200757
101,1326,1400.43,0.199713
102,1339,1907.57,0.197766
103,1352,1654.47,0.191412
104,1365,1101.9,0.186397
105,1378,816,0.184995
106,1391,744.467,0.183627
107,1404,843.867,0.178897
108,1417,997.733,0.173104
109,1430,1113.97,0.167779
110,1443,995.1,0.163012
111,1456,1373.2,0.157972
112,1469,1218.93,0.154955
113,1482,1517.33,0.151075
114,1495,1207.4,0.147708
115,1508,1152.3,0.144045
116,1521,1030.73,0.143373
117,1534,1523,0.147428
118,1547,1194.8,0.153864
119,1560,1751.07,0.162947
120,1573,2138.07,0.165714
121,1586,1810.17,0.165072
122,1599,1704.5,0.162821
123,1612,2117.1,0.158799
124,1625,2023.93,0.160545
125,1638,3261,0.166553
126,1651,2808.23,0.172236
127,1664,2656.13,0.176976
128,1677,3250.33,0.18132
129,1690,1689.7,0.182849
130,1703,2566.17,0.182372
131,1716,2150.13,0.184513
132,1729,2322.33,0.178182
133,1742,2455.03,0.174122
134,1755,1896.13,0.170471
135,1768,1534.3,0.170612
136,1781,1782.23,0.168915
137,1794,1780.5,0.162237
138,1807,1606.43,0.154364
139,1820,2507.93,0.151107
140,1833,2278.27,0.147214
141,1846,1393.63,0.14805
142,1859,1462.1,0.144734
143,1872,1643.63,0.140306
144,1885,1537.43,0.134589
145,1898,3131.73,0.132876
146,1911,3720.47,0.132264
147,1924,2870.57,0.132566
148,1937,2241.9,0.128813
149,1950,3639.87,0.129012
150,1963,3469.93,0.126967
151,1976,4523.27,0.126329
152,1989,3488.5,0.122646
153,2002,6637.33,0.121101
154,2015,4559.37,0.117559
155,2028,4065.3,0.114574
156,2041,7142.47,0.111753
157,2054,5184.93,0.106178
158,2067,4517.3,0.105971
159,2080,6743.23,0.107816
160,2093,7143.73,0.109077
161,2106,6122.6,0.105548
162,2119,6199.93,0.104734
163,2132,7209.47,0.103135
164,2145,11300.2,0.104059
165,2158,11017.2,0.100635
166,2171,11769.2,0.098285
167,2184,7341.9,0.0971937
168,2197,12598.3,0.0974684
169,2210,9709.1,0.100632
170,2223,11647.5,0.103817
171,2236,17789.3,0.107771
172,2249,10513.4,0.112263
173,2262,8407.6,0.114314
174,2275,13674.7,0.117072
175,2288,14633.1,0.119365
176,2301,10272.5,0.121149
177,2314,8828.43,0.125522
178,2327,8011.43,0.12952
179,2340,18984.4,0.131545
180,2353,17348,0.133596
181,2366,12154.8,0.133603
182,2379,16585.9,0.1325
183,2392,16788.4,0.129904
184,2405,16569.9,0.126753
185,2418,10701,0.12807
186,2431,13896.1,0.125083
187,2444,13942,0.121036
188,2457,12789.2,0.117902
189,2470,26304.4,0.118044
190,2483,25151.1,0.116081
191,2496,27603.5,0.11582
192,2509,35338.7,0.117593
193,2522,39085.6,0.121647
194,2535,25617.9,0.123268
195,2548,23924.2,0.122298
196,2561,31931.2,0.116524
197,2574,26653.2,0.113283
198,2587,31650.7,0.111591
199,2600,29577.2,0.110157
200,2613,24725,0.107941
201,2626,30239.4,0.105988
202,2639,26484.9,0.105643
203,2652,25398.8,0.104086
204,2665,36947.8,0.102955
205,2678,22185.3,0.0990346
206,2691,30229.3,0.0968064
207,2704,41402.3,0.095484
208,2717,32991.7,0.0955077
209,2730,40973.4,0.0980921
210,2743,38053.5,0.0977668
211,2756,33604.1,0.0956844
212,2769,31478.8,0.0957709
213,2782,31842,0.0954158
214,2795,38267.6,0.0962844
215,2808,38750.4,0.0980315
216,2821,38475.1,0.0988637
217,2834,48438.2,0.100284
218,2847,42291.6,0.0999177
219,2860,36986.4,0.101805
220,2873,29872,0.103133
221,2886,32225.1,0.105298
222,2899,30415.1,0.104946
223,2912,41800.9,0.100077
224,2925,67472,0.0974423
225,2938,44529.2,0.0968043
226,2951,62224.7,0.0959314
227,2964,41089.3,0.098467
228,2977,30012.8,0.0993419
229,2990,41053.5,0.102117
230,3003,44492.9,0.101751
231,3016,42286.1,0.102432
232,3029,40789.7,0.103995
233,3042,28281.8,0.104404
234,3055,35159.3,0.103506
235,3068,42696.6,0.100171
236,3081,59174.1,0.0993666
237,3094,53688.8,0.0968976
238,3107,41873.1,0.0935711
239,3120,50270.8,0.0928368
240,3133,55636.1,0.0916429
241,3146,44088.8,0.0901675
242,3159,42126.2,0.091986
243,3172,45969.4,0.0923618
244,3185,54238.6,0.0895009
245,3198,46665.2,0.087371
246,3211,67983.4,0.0857342
247,3224,52997.2,0.0862045
248,3237,34608.5,0.0862465
249,3250,39749,0.0869651
250,3263,36921.8,0.0881655
251,3276,37523.6,0.0890498
252,3289,60619.1,0.087936
253,3302,40781.9,0.08947
254,3315,30203.8,0.0915383
255,3328,35471.9,0.0909904
256,3341,60359.4,0.0916643
257,3354,56885.6,0.0920362
258,3367,42923.9,0.0910413
259,3380,35082.3,0.0888595
