agents,score,clow,chigh,Q1,Q2,Q3,means
1625,30591.720000000005,47639.18252992867,22529.60455185004,2691.65,31143.2,48927.85,"[474.5, 1918.93, 3464.37, 28094.6, 30591.72, 31143.2, 40062.7, 43774.8, 44146.0, 53709.7, 59128.4]"
1638,27176.177000000003,42320.302897929556,20014.190801990942,1700.235,28087.9,43003.9,"[461.6, 1546.6, 1853.87, 20612.7, 27176.177000000003, 28087.9, 35645.3, 36982.2, 38085.5, 47922.3, 60563.8]"
1651,23868.760000000006,37169.80328020329,17578.40761954595,1799.05,32750.1,36445.2,"[420.6, 1788.53, 1809.57, 14294.1, 23868.760000000002, 32750.1, 33633.2, 35221.6, 35391.3, 37499.1, 45879.5]"
1664,30732.9093,47859.05061299077,22633.58494575899,2647.93,36566.2,47857.7,"[788.133, 2480.93, 2814.93, 22677.7, 30732.9093, 36566.2, 36994.0, 39451.7, 44321.6, 51393.8, 69840.1]"
1677,25506.7473,39720.571133936406,18784.721162228492,2407.12,31530.0,42586.3,"[509.133, 1806.77, 3007.47, 20924.1, 25506.747299999995, 31530.0, 31995.8, 34656.3, 40938.2, 44234.4, 45465.3]"
1690,27731.759299999998,43185.48754920438,20423.35542284283,1959.53,31344.5,44288.6,"[429.233, 1363.63, 2555.43, 27630.0, 27731.759299999998, 31344.5, 31818.4, 36274.9, 38732.1, 49845.1, 57324.3]"
1703,33263.5307,51799.8795297285,24497.288569237804,3065.7200000000003,33562.3,59262.65,"[517.467, 1684.77, 4446.67, 17968.9, 33263.5307, 33562.3, 41458.2, 42180.3, 55608.4, 62916.9, 72291.4]"
1716,32090.11340000001,49972.56674906511,23633.112650286548,2152.9335,32658.6,50310.850000000006,"[449.367, 977.767, 3328.1, 32090.11340000001, 32162.2, 32658.6, 32897.0, 45858.1, 46216.8, 54404.9, 71948.3]"
1729,32543.812700000006,50679.09334405228,23967.24442890021,3046.43,32543.812700000002,58122.45,"[499.267, 1932.03, 4160.83, 18427.7, 27736.3, 32543.812700000002, 37030.9, 44585.0, 57161.9, 59083.0, 74821.2]"
1742,32454.343000000004,50539.765991121545,23901.353496308886,1975.065,32454.343000000004,57126.8,"[550.1, 1550.03, 2400.1, 20721.2, 23940.4, 32454.343000000004, 41122.4, 45887.6, 51211.4, 63042.2, 74118.0]"
1755,29794.953299999997,46398.411685560684,21942.81705931668,1902.8000000000002,29794.9533,49510.25,"[593.833, 1837.7, 1967.9, 19096.8, 21519.3, 29794.9533, 37168.8, 38809.4, 44915.8, 54104.7, 77935.3]"
1768,28262.506699999994,44011.99786852886,20814.230111775734,2386.35,26967.6,45612.25,"[444.767, 1966.1, 2806.6, 18088.1, 20030.3, 26967.6, 28262.506699999998, 40890.7, 43590.5, 47634.0, 80206.4]"
1781,30691.573699999997,47794.680443762496,22603.142894056327,2113.035,42288.5,48249.25,"[433.267, 2059.17, 2166.9, 13829.7, 30691.573699999997, 42288.5, 42892.4, 46282.9, 48200.0, 48298.5, 60464.4]"
1794,28189.6737,43898.57813988326,20760.591457645638,1887.835,31935.7,45975.95,"[512.367, 1644.9, 2130.77, 21352.9, 28189.673700000003, 31935.7, 41213.3, 41691.7, 43983.7, 47968.2, 49463.2]"
1807,29387.5103,45763.91805631912,21642.751235380678,1747.635,29387.5103,49573.85,"[524.233, 1122.77, 2372.5, 17790.8, 29062.3, 29387.5103, 41081.4, 46750.7, 48683.6, 50464.1, 56022.7]"
1820,38692.8433,60254.71678515061,28495.76481922887,1544.5,32997.4,67123.1,"[683.233, 1451.37, 1637.63, 24563.8, 24592.4, 32997.4, 38692.8433, 62525.4, 64220.5, 70025.7, 104231.0]"
1833,35862.296299999995,55846.82650658692,26411.17772914614,2226.165,35862.2963,68784.70000000001,"[427.133, 1222.7, 3229.63, 12428.9, 35377.8, 35862.2963, 41732.0, 55087.8, 68230.1, 69339.3, 71547.6]"
1846,35246.0303,54887.14171406827,25957.32193814288,1884.2849999999999,35246.0303,64719.7,"[540.633, 1172.87, 2595.7, 17599.7, 22127.2, 35246.0303, 41103.9, 61524.4, 63929.9, 65509.5, 76356.5]"
1859,36608.97029999999,57009.59012289721,26961.073908542003,2432.4515,36608.9703,61534.75,"[506.1, 990.433, 3874.47, 20279.0, 28499.2, 36608.9703, 55051.2, 55200.1, 59238.1, 63831.4, 78619.7]"
1872,39777.867,61944.377977577795,29294.84231112488,2568.135,39976.5,69103.35,"[665.9, 1100.97, 4035.3, 16995.7, 39777.867, 39976.5, 54025.4, 63902.5, 65939.7, 72267.0, 78869.7]"
1885,37028.3193,57662.62445881371,27269.90803552846,3124.08,37028.3193,59683.75,"[461.633, 1759.13, 4489.03, 23300.7, 23939.6, 37028.3193, 43296.8, 50969.8, 54313.4, 65054.1, 102699.0]"
1898,38598.5007,60107.80107260655,28426.28518649186,2055.32,38598.5007,67418.85,"[526.767, 1115.57, 2995.07, 17213.8, 27574.7, 38598.5007, 50863.5, 53559.7, 61343.8, 73493.9, 97298.2]"
1911,35836.596000000005,55806.80452407749,26392.25046399519,2080.13,35836.596000000005,62186.6,"[458.3, 1563.23, 2597.03, 15909.2, 23574.7, 35836.596000000005, 40782.6, 45114.7, 52822.0, 71551.2, 103993.0]"
1924,40380.647,62883.06159672017,29738.766190912098,2219.335,40380.647,74023.3,"[293.6, 1284.9, 3153.77, 20193.1, 32881.8, 40380.647, 42041.3, 47663.4, 70475.1, 77571.5, 108248.0]"
1937,34717.08730000001,54063.441310007045,25567.776119193535,2433.22,34717.0873,57491.7,"[584.033, 1050.57, 3815.87, 21114.8, 31126.4, 34717.0873, 42848.4, 43342.0, 55115.0, 59868.4, 88305.4]"
1950,43085.4033,67095.06337611258,31730.713353350984,1751.15,43085.40329999999,61994.95,"[354.433, 1253.43, 2248.87, 28245.1, 42130.8, 43085.40329999999, 49667.4, 55371.1, 60503.8, 63486.1, 127593.0]"
1963,35668.1563,55544.500553801,26268.20121694951,1927.265,40679.0,61585.6,"[377.333, 1347.73, 2506.8, 17447.5, 35668.1563, 40679.0, 44154.5, 49322.4, 54030.7, 69140.5, 77675.1]"
1976,38146.889299999995,59404.525875357205,28093.69106451678,2054.28,38146.889299999995,58067.7,"[366.733, 1098.53, 3010.03, 33806.5, 36188.2, 38146.889299999995, 39949.6, 54216.5, 56482.7, 59652.7, 96697.4]"
1989,40714.973600000005,63403.6941705673,29984.984647709054,1845.8515,40714.973600000005,69123.45000000001,"[480.233, 934.333, 2757.37, 18872.5, 36620.0, 40714.973600000005, 44852.7, 67082.6, 68303.6, 69943.3, 97303.1]"
2002,39099.647,60888.21485973256,28795.359823734318,2589.185,39099.647,68636.9,"[512.0, 1411.37, 3767.0, 22051.0, 24292.3, 39099.647, 52171.9, 57955.1, 61091.3, 76182.5, 91562.0]"
2015,35085.04,54636.438377111466,25838.758882659775,2797.35,35085.04,64801.4,"[523.2, 2186.33, 3408.37, 27052.4, 29964.0, 35085.04, 36105.6, 39097.3, 58355.8, 71247.0, 82910.4]"
2028,39678.473300000005,61789.59640215068,29221.642740916177,2599.1,39678.4733,64739.15,"[523.033, 1735.3, 3462.9, 34708.1, 36261.0, 39678.4733, 51684.5, 62361.6, 62990.0, 66488.3, 76570.0]"
2041,39766.094000000005,61926.04438613786,29286.17195736939,3162.0699999999997,42917.7,65196.0,"[338.6, 1735.07, 4589.07, 22162.2, 39766.094000000005, 42917.7, 52082.2, 57287.0, 62580.3, 67811.7, 86157.1]"
2054,42410.0533,66043.36958702236,31233.34450864099,2762.1,42410.0533,73037.65,"[423.233, 1685.93, 3838.27, 25532.6, 38539.7, 42410.0533, 58650.0, 62576.7, 62868.4, 83206.9, 86778.8]"
2067,40986.09999999999,63825.90776490858,30184.6586305896,3526.55,40581.7,69014.4,"[395.4, 1435.77, 5617.33, 30392.8, 32665.1, 40581.7, 40986.09999999999, 58017.1, 59824.0, 78204.8, 102727.0]"
2080,39994.01299999999,62280.97293683846,29454.02538110147,2852.415,50843.9,63088.3,"[331.3, 1914.5, 3790.33, 28681.3, 39994.01299999999, 50843.9, 54806.1, 62388.0, 62535.7, 63640.9, 71008.1]"
2093,38858.013999999996,60511.93008096711,28617.406575709123,2956.37,38858.013999999996,77276.1,"[366.3, 1172.77, 4739.97, 20620.1, 30372.2, 38858.013999999996, 40530.3, 48888.3, 74956.9, 79595.3, 87338.0]"
2106,35561.94070000001,55379.09552407643,26189.97758437058,2266.67,35561.94070000001,59244.15,"[404.767, 1081.97, 3451.37, 24421.0, 30825.9, 35561.94070000001, 48887.3, 53705.2, 55936.4, 62551.9, 74353.6]"
2119,44215.8396,68855.44367621199,32563.23544789345,3606.5314999999996,38815.1,67964.7,"[342.533, 970.833, 6242.23, 21131.0, 36497.0, 38815.1, 44215.8396, 51045.3, 63573.6, 72355.8, 151185.0]"
