generation,agents,score,stepsize
0,13,1.16667,0.464841
1,26,1.53333,0.445558
2,39,0.5,0.429784
3,52,1.93333,0.413904
4,65,6.16667,0.411918
5,78,14.8333,0.404433
6,91,16.7,0.400498
7,104,13.2333,0.38936
8,117,5.4,0.384673
9,130,6.16667,0.387069
10,143,7.7,0.393845
11,156,8.66667,0.394569
12,169,6.03333,0.411952
13,182,9.33333,0.424546
14,195,8.7,0.436876
15,208,11.5333,0.451446
16,221,20.9667,0.468774
17,234,27.2667,0.467067
18,247,47.7667,0.463557
19,260,50.9,0.464605
20,273,43.9,0.466574
21,286,59.6667,0.461083
22,299,54.2333,0.447436
23,312,77.9,0.428015
24,325,97.3667,0.427434
25,338,95.3,0.42695
26,351,122.067,0.431291
27,364,130.1,0.437336
28,377,193.433,0.438555
29,390,231.733,0.442312
30,403,272.467,0.437825
31,416,369.333,0.43723
32,429,216.167,0.436384
33,442,203.1,0.441037
34,455,168,0.455096
35,468,270.467,0.462311
36,481,266.533,0.470731
37,494,259.967,0.459743
38,507,625.2,0.440166
39,520,748.5,0.427868
40,533,1297.37,0.42731
41,546,1079.73,0.427284
42,559,2659.97,0.420795
43,572,3189.03,0.432167
44,585,5068.33,0.446668
45,598,2139.4,0.448162
46,611,5418.2,0.448015
47,624,1446,0.441358
48,637,839.8,0.447688
49,650,1758.73,0.446605
50,663,913.5,0.443252
51,676,1573.27,0.439716
52,689,1185.6,0.424322
53,702,1323.6,0.406253
54,715,2250.77,0.396917
55,728,2970.57,0.391449
56,741,3716.17,0.400249
57,754,3574.47,0.39184
58,767,3185.2,0.377165
59,780,2503.03,0.365962
60,793,7179.03,0.351213
61,806,15479.7,0.343094
62,819,21137.5,0.339322
63,832,17777.7,0.335999
64,845,19081.4,0.329448
65,858,9423.13,0.324877
66,871,15158.5,0.32544
67,884,17743.3,0.310454
68,897,14599.5,0.310549
69,910,20492.9,0.313319
70,923,25195.6,0.312562
71,936,23611.4,0.309043
72,949,20513.1,0.298001
73,962,20140.5,0.286768
74,975,26938.5,0.269424
75,988,19377.2,0.255029
76,1001,34169.6,0.249975
77,1014,48033.7,0.245169
78,1027,26088.8,0.245167
79,1040,31065.3,0.240902
80,1053,44627.9,0.236481
81,1066,37616.4,0.234369
82,1079,16509.2,0.2344
83,1092,16474.7,0.228388
84,1105,25884.9,0.219978
85,1118,25810.3,0.211864
86,1131,22072.1,0.203826
87,1144,13887,0.203333
88,1157,16513.1,0.197191
89,1170,25252,0.189589
90,1183,24502.8,0.18823
91,1196,18153.3,0.187648
92,1209,30969.7,0.180412
93,1222,22765.2,0.171781
94,1235,30033.5,0.167283
95,1248,44953.2,0.162667
96,1261,38776.1,0.154157
97,1274,43671.3,0.148274
98,1287,41886.1,0.143385
99,1300,44781.7,0.137784
100,1313,43256,0.138064
101,1326,61158.9,0.133471
102,1339,33307.3,0.129772
103,1352,43049.6,0.125629
104,1365,47658,0.121668
105,1378,53969.1,0.118367
106,1391,36942.6,0.114223
107,1404,34519.2,0.110018
108,1417,43870.6,0.110972
109,1430,59083.3,0.111149
110,1443,73236.7,0.109652
111,1456,63826.8,0.105568
112,1469,86756,0.10166
113,1482,51265,0.0980005
114,1495,48333.2,0.0966008
115,1508,47779.6,0.0957617
116,1521,44582.1,0.0922116
117,1534,45267.3,0.08873
118,1547,50622.8,0.0884089
119,1560,40960.3,0.0897944
120,1573,29432.8,0.09006
121,1586,36431.2,0.0899495
122,1599,45527.7,0.0891164
123,1612,36146.3,0.0860737
124,1625,59128.4,0.082724
125,1638,60563.8,0.079647
126,1651,33633.2,0.0807883
127,1664,44321.6,0.0810678
128,1677,44234.4,0.0799534
129,1690,57324.3,0.0779958
130,1703,55608.4,0.0751205
131,1716,54404.9,0.075935
132,1729,57161.9,0.0755315
133,1742,74118,0.0762265
134,1755,44915.8,0.076021
135,1768,26967.6,0.0739622
136,1781,42892.4,0.0736641
137,1794,43983.7,0.0712081
138,1807,41081.4,0.0687793
139,1820,70025.7,0.0671441
140,1833,71547.6,0.0665843
141,1846,65509.5,0.0662761
142,1859,55200.1,0.0669963
143,1872,63902.5,0.0673588
144,1885,54313.4,0.066341
145,1898,53559.7,0.0622857
146,1911,40782.6,0.0575657
147,1924,77571.5,0.0555595
148,1937,59868.4,0.051911
149,1950,42130.8,0.0505635
150,1963,54030.7,0.0508629
151,1976,54216.5,0.0521545
152,1989,69943.3,0.0528858
153,2002,57955.1,0.0513614
154,2015,71247,0.0499561
155,2028,66488.3,0.0487375
156,2041,62580.3,0.0484597
157,2054,62868.4,0.047483
158,2067,59824,0.0460031
159,2080,54806.1,0.0453083
160,2093,48888.3,0.0441242
161,2106,62551.9,0.0432418
162,2119,63573.6,0.042946
163,2132,47326.6,0.0430051
164,2145,56111.4,0.045044
165,2158,75351.2,0.0454782
166,2171,74673.8,0.0440998
167,2184,72804.2,0.0446683
168,2197,59475.2,0.0446462
169,2210,72428,0.0445477
170,2223,58508.8,0.0433907
171,2236,82071,0.0440925
172,2249,79110.4,0.0439667
173,2262,68907,0.0427771
174,2275,60956.3,0.0414064
175,2288,68925,0.0397311
176,2301,59563.6,0.038442
177,2314,64011.4,0.0372983
178,2327,43990.4,0.0359154
179,2340,58696.4,0.0360237
180,2353,79202,0.0362005
181,2366,75351.3,0.0357564
182,2379,72371.5,0.0355138
183,2392,66279.7,0.0359106
184,2405,74750.9,0.0361143
185,2418,55181.6,0.0369841
186,2431,72485.7,0.0383037
187,2444,92511.7,0.0413019
188,2457,61209,0.0430407
189,2470,93531.8,0.0450737
190,2483,62740.5,0.0457338
191,2496,80187.3,0.0465449
192,2509,70463.7,0.0468218
193,2522,63185.7,0.0459986
194,2535,79379.1,0.0452905
195,2548,52342.6,0.0438987
196,2561,70027.6,0.0421677
197,2574,57576.9,0.0417068
198,2587,98248.5,0.0405636
199,2600,92007.4,0.0403782
200,2613,96885.7,0.0393869
201,2626,80962.8,0.0391864
202,2639,109860,0.0375643
203,2652,64751.4,0.0360119
204,2665,104596,0.0351014
205,2678,62958.2,0.0345829
206,2691,73191,0.0339551
207,2704,67833,0.0344328
208,2717,69494.6,0.0351404
209,2730,90075.5,0.0353906
210,2743,78334.6,0.0352897
211,2756,44684.9,0.0351783
212,2769,89068.3,0.0352294
213,2782,67494.8,0.0364884
214,2795,47212.3,0.0378824
215,2808,67248.1,0.0383571
216,2821,61668.3,0.0390795
217,2834,74684.1,0.0393169
218,2847,61360.1,0.0396415
219,2860,92558.5,0.0395068
220,2873,77435,0.0404275
221,2886,80363.2,0.039601
222,2899,71166.4,0.0399346
223,2912,84474.4,0.0397169
224,2925,78537.6,0.0401261
225,2938,98077.7,0.0387622
226,2951,74833.3,0.0385278
227,2964,98894.2,0.0383461
228,2977,104168,0.0386246
229,2990,111246,0.0386229
230,3003,80537.2,0.039323
231,3016,76665,0.0389631
232,3029,113450,0.0379091
233,3042,64402.1,0.0380219
234,3055,101500,0.0380937
235,3068,93258,0.0368015
236,3081,122688,0.0359032
237,3094,91783.7,0.0348371
238,3107,67108.1,0.034553
239,3120,81771.3,0.0333044
240,3133,73133.9,0.0329152
241,3146,79302.6,0.0326778
242,3159,109152,0.0327391
243,3172,77911.4,0.0329548
244,3185,78565.8,0.0320389
245,3198,104123,0.0304284
246,3211,72241.2,0.0288734
247,3224,83147.1,0.0279515
248,3237,90656.1,0.0275484
249,3250,72544.6,0.0281947
250,3263,127139,0.0279291
251,3276,101604,0.0279261
252,3289,68001.2,0.0282207
253,3302,76924.6,0.0286193
254,3315,78774,0.02861
255,3328,82454,0.0283252
256,3341,75646.1,0.0276136
257,3354,100484,0.0266355
258,3367,88732.8,0.0258094
259,3380,72770,0.025153
260,3393,59851.1,0.0245647
261,3406,74822.2,0.0246669
262,3419,90778.3,0.0233667
263,3432,93512.8,0.022899
264,3445,71855.6,0.0230667
265,3458,115932,0.0232236
266,3471,65180.1,0.0242358
267,3484,73305.1,0.0247923
268,3497,74203.1,0.0255981
269,3510,98230,0.0257644
270,3523,105669,0.0257762
271,3536,60599.5,0.0267067
272,3549,78318.2,0.0260884
273,3562,58424.8,0.0257246
274,3575,76771.3,0.0256312
275,3588,123163,0.0249774
276,3601,83057.9,0.0243739
277,3614,68509.5,0.0235422
278,3627,91321.2,0.0231656
279,3640,83329.7,0.0233746
280,3653,76648.3,0.022581
281,3666,89841,0.0223467
282,3679,79511.7,0.0217047
283,3692,72249.5,0.0211485
284,3705,122704,0.0208056
285,3718,78238.6,0.0209041
286,3731,66935.2,0.0215926
287,3744,71801.3,0.021776
288,3757,75681,0.0215073
289,3770,96027,0.020902
290,3783,125641,0.0205663
291,3796,59494.1,0.0202285
292,3809,100658,0.0198624
293,3822,68852.4,0.019306
294,3835,94846.2,0.0193998
295,3848,84748,0.0194688
296,3861,97692.8,0.0195947
297,3874,100995,0.0201944
298,3887,103663,0.0213008
299,3900,86750.2,0.0215467
300,3913,82184.8,0.0218525
301,3926,117011,0.0222526
302,3939,81571.6,0.0226203
303,3952,77935.8,0.0234031
304,3965,77051.2,0.024965
305,3978,84461.4,0.0262834
306,3991,94175.8,0.026489
307,4004,97847.3,0.0271776
308,4017,68482.2,0.0272489
309,4030,82856.1,0.027481
310,4043,104420,0.027702
311,4056,89056.9,0.0272137
312,4069,101740,0.0270494
313,4082,74136,0.0264349
314,4095,95287.7,0.0259164
315,4108,60111.1,0.0261862
316,4121,92940.8,0.0261276
317,4134,120442,0.0264673
