generation,agents,score,stepsize
0,13,0.566667,0.46102
1,26,0.6,0.438746
2,39,1.26667,0.426143
3,52,1.1,0.407541
4,65,0.933333,0.404119
5,78,2.56667,0.402121
6,91,2.56667,0.40816
7,104,2.73333,0.400916
8,117,8.73333,0.39948
9,130,13.3,0.395437
10,143,18.4,0.386014
11,156,24.0333,0.387553
12,169,66.4667,0.386501
13,182,107.533,0.378937
14,195,128.167,0.3839
15,208,98.9333,0.384929
16,221,97.6333,0.381051
17,234,106.933,0.380918
18,247,220.7,0.380898
19,260,217.567,0.383428
20,273,271.7,0.385255
21,286,334.033,0.378233
22,299,452.733,0.368581
23,312,611.567,0.365512
24,325,629.467,0.354693
25,338,645.933,0.340019
26,351,3431.13,0.340646
27,364,1997.07,0.343158
28,377,830.3,0.347998
29,390,1126.4,0.33657
30,403,1828.83,0.34023
31,416,1121.33,0.348404
32,429,2044.63,0.363202
33,442,1897.1,0.365051
34,455,3486.97,0.370297
35,468,2877.17,0.364355
36,481,2161.93,0.356506
37,494,4036.8,0.343609
38,507,4993.67,0.33555
39,520,10332.2,0.317855
40,533,6779.5,0.311916
41,546,6004.9,0.302834
42,559,9672.9,0.297848
43,572,11721,0.293212
44,585,8905.7,0.295267
45,598,15206.4,0.296719
46,611,7822.03,0.293678
47,624,6688.4,0.294602
48,637,14348.5,0.293256
49,650,10564.3,0.297456
50,663,8613.7,0.311389
51,676,9999.67,0.320909
52,689,12339.6,0.332173
53,702,14389.5,0.341081
54,715,17084.3,0.336965
55,728,21751.6,0.346092
56,741,26926.3,0.359625
57,754,12513.1,0.375951
58,767,29562.3,0.382963
59,780,30432.3,0.386056
60,793,28233,0.39313
61,806,23629.2,0.400462
62,819,22200.5,0.409698
63,832,20151.2,0.408221
64,845,21814.9,0.406225
65,858,30372.5,0.405607
66,871,23210.8,0.402902
67,884,37017.2,0.396195
68,897,43773,0.39717
69,910,32017.1,0.407942
70,923,24371.1,0.41039
71,936,24444,0.408289
72,949,32207.5,0.397127
73,962,25304.8,0.380799
74,975,20082.9,0.363409
75,988,24523.8,0.35597
76,1001,31754.1,0.335715
77,1014,27681.9,0.315861
78,1027,25447.8,0.301515
79,1040,36451.1,0.283082
80,1053,41699.1,0.271045
81,1066,27554.7,0.259813
82,1079,37606.8,0.248064
83,1092,31130,0.241369
84,1105,30531.8,0.235546
85,1118,49418.8,0.230631
