generation,agents,score,stepsize
205,2678,371.8,0.536046
206,2691,289.267,0.53664
207,2704,353.833,0.523571
208,2717,385.933,0.515375
209,2730,299.4,0.502324
210,2743,365.567,0.485558
211,2756,321.967,0.468108
212,2769,378.5,0.450423
213,2782,382.233,0.443722
214,2795,358.333,0.44031
215,2808,485.567,0.439402
216,2821,349.567,0.437066
217,2834,421.167,0.441412
218,2847,386.033,0.441241
219,2860,467.967,0.443571
220,2873,433.933,0.440703
221,2886,517.133,0.438769
222,2899,433.367,0.432309
223,2912,400.667,0.422191
224,2925,412.267,0.409707
225,2938,400.433,0.395299
226,2951,384.233,0.391983
227,2964,406.767,0.394223
228,2977,361.6,0.387515
229,2990,478.4,0.390569
230,3003,626.233,0.389703
231,3016,410.2,0.387555
232,3029,433.033,0.392309
233,3042,377.5,0.401625
234,3055,455.767,0.411248
235,3068,500.5,0.42046
236,3081,451.833,0.422074
237,3094,468.667,0.426615
238,3107,582.533,0.443879
239,3120,386.367,0.452557
240,3133,410.1,0.446222
241,3146,418.767,0.46456
242,3159,392.5,0.459963
243,3172,544.1,0.456126
244,3185,409.367,0.44903
245,3198,428.2,0.445984
246,3211,466.967,0.447569
247,3224,416.933,0.455251
248,3237,400.767,0.465881
249,3250,336.6,0.482472
250,3263,426.833,0.481789
251,3276,364,0.484461
252,3289,361.333,0.48452
253,3302,389.367,0.480704
254,3315,299.267,0.482127
255,3328,416.6,0.472583
256,3341,404.467,0.460094
257,3354,358.333,0.447668
258,3367,427.667,0.44907
259,3380,489.167,0.452152
260,3393,449.867,0.438928
261,3406,354.933,0.439895
262,3419,464.767,0.441857
263,3432,348.133,0.443399
264,3445,525.433,0.451187
265,3458,435.533,0.45465
266,3471,400.6,0.458033
267,3484,376.5,0.46313
268,3497,363.633,0.475195
269,3510,316.1,0.491184
270,3523,462.6,0.498996
271,3536,540.533,0.485663
272,3549,428.833,0.471648
273,3562,376.133,0.446857
274,3575,457.767,0.433202
275,3588,495.6,0.426648
276,3601,564.4,0.436068
277,3614,395.433,0.459363
278,3627,494.133,0.465697
279,3640,437.133,0.468425
280,3653,479.267,0.451693
281,3666,394.233,0.440156
282,3679,368.733,0.442239
283,3692,453.6,0.45406
284,3705,416.667,0.458078
285,3718,446.7,0.462884
286,3731,363.333,0.465355
287,3744,442.067,0.484365
288,3757,266.733,0.495946
289,3770,409.1,0.497918
290,3783,492.4,0.491332
291,3796,440.133,0.488929
292,3809,400.3,0.479884
293,3822,473.5,0.461223
294,3835,388.2,0.45299
295,3848,436.333,0.440712
296,3861,375,0.422849
297,3874,462.967,0.407275
298,3887,468.767,0.393454
299,3900,536.2,0.387671
300,3913,534.567,0.385109
301,3926,519.9,0.392392
302,3939,348.1,0.386543
303,3952,517,0.388264
304,3965,350.567,0.392678
305,3978,487.333,0.393426
306,3991,487.5,0.378559
307,4004,388.8,0.371265
308,4017,509.267,0.36848
309,4030,423.1,0.373682
310,4043,407.933,0.375102
311,4056,483.3,0.375421
312,4069,361.133,0.370287
313,4082,443.433,0.383128
314,4095,401.9,0.396308
315,4108,426.733,0.391979
316,4121,443.1,0.383921
