0,6.633332
1,15.984849
2,79.396948
3,111.378700
4,164.733209
5,194.115182
6,277.730245
7,357.672427
8,487.912482
9,526.169300
10,641.803482
11,631.449118
12,701.812000
13,696.990636
14,844.087636
15,854.666336
16,774.521155
17,796.635909
18,999.569455
19,921.063455
20,834.847845
21,819.974700
22,1103.278818
23,943.166727
24,993.818818
25,1044.369727
26,981.742091
27,1011.715273
28,953.079636
29,1022.922091
30,925.479118
31,1066.226364
32,979.673909
33,932.739091
34,1016.714518
35,995.866727
36,1009.927000
37,906.426636
38,1002.939518
39,871.075818
40,1101.760609
41,944.878636
42,1016.012091
43,1083.097727
44,920.609000
45,1081.755545
46,994.571273
47,924.027545
48,997.670364
49,1048.766091
50,969.745545
51,923.069091
52,1029.512091
53,1062.395091
54,814.539364
55,1045.839636
56,1134.784909
57,1006.230273
58,989.691273
59,943.945455
60,1114.823936
61,1035.279364
62,940.827818
63,975.134000
64,1015.857636
65,962.393909
66,989.757818
67,1065.151182
68,1015.687545
69,918.060364
70,1012.385091
71,1078.282091
72,907.833455
73,1063.259909
74,981.608791
75,926.539700
76,879.272091
77,1022.539818
78,937.263545
79,1012.731182
80,1120.951182
