generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,22,0,6,2.33333,1.56102,3.65789,-2.1739,-6.64056,1.20068,-2.65585,4.34437,-1.64663,-1.46668,-0.686456,-1.18012,-0.364608,4.06938,-1.71464,-0.980005,1.58945,-4.74992,-5.96138,-4.56462,-1.78418,-2.88721,0.572957,-2.11161
1,44,0,10,1.9,2.74616,1.35537,-6.49916,-11.3864,4.45334,-3.6151,5.03423,-2.41502,-5.41613,2.13471,-2.85318,0.438309,3.35865,-3.65862,-2.83046,6.71167,-5.34103,-6.14119,-11.536,-8.47561,-1.80748,7.15626,-6.04115
2,66,0,18,7.33333,4.13841,-1.63087,-7.29509,-13.489,2.54449,-2.40687,9.02407,-4.62261,-9.40299,0.256908,-3.2665,3.44452,-5.7941,-8.71393,-4.44812,5.71409,-2.46065,-10.8379,-14.3904,-10.9951,1.15966,6.26924,-7.10638
3,88,1,15,7.1,3.91593,-0.230735,-5.42728,-15.3249,-1.30417,-3.39463,9.66749,-0.0430362,-7.57775,0.573548,-4.29604,4.72112,-9.22398,-4.72981,-6.77883,1.28665,-3.39871,-12.3701,-15.4113,-11.0853,-2.60187,7.03893,-10.1112
4,110,2,33,11.8,6.5147,-0.872219,-5.24923,-14.6521,-2.83344,-2.83407,6.86582,-1.34173,-8.61853,-0.930941,-1.2273,8.12243,-10.001,-8.78094,-5.50108,-3.46783,-8.72694,-14.2797,-18.1083,-10.1775,-3.58781,5.01507,-10.8524
5,132,3,15,8.6,3.54868,3.29558,-4.86487,-14.8951,-3.45058,1.17988,5.68794,-1.29342,-7.17917,-0.924231,-4.41844,10.9686,-10.1865,-4.0323,-7.08641,-6.26559,-10.2862,-21.6718,-19.8763,-12.033,-4.43148,4.46618,-10.2782
6,154,3,35,13.1333,7.29068,1.82614,-8.35681,-14.6153,-7.92743,4.62243,3.51591,-0.967401,-9.51248,-2.20069,-8.1827,10.0994,-9.24991,-4.0933,-8.64488,-6.29448,-12.4925,-23.0029,-23.5071,-11.3719,-5.25835,5.85462,-13.2707
7,176,9,39,22.3333,7.76079,3.3902,-6.2608,-15.4431,-9.53228,-0.93706,0.966589,2.81656,-10.2286,-2.42396,-10.2912,6.64967,-8.25031,-4.92617,-8.62918,-2.0072,-19.7844,-24.7508,-23.2109,-13.7189,-5.05494,1.41408,-14.1475
8,198,8,56,25.6,11.4549,2.009,-5.56015,-16.9871,-11.9491,-0.847306,2.5445,-0.729851,-10.4987,-2.9064,-10.334,5.81523,-5.66698,-3.7034,-10.007,-1.7291,-19.5188,-29.7928,-25.0609,-15.7753,-5.07703,-5.56377,-14.7415
9,220,8,44,25.5667,11.8545,-1.80032,-5.65221,-13.6493,-15.0732,0.953429,3.98193,-2.26861,-14.2454,-1.55343,-8.00988,5.69957,-4.92502,-5.8938,-8.46177,-2.37585,-19.438,-31.4957,-29.0321,-14.2441,-5.38054,-3.78094,-15.7104
10,242,11,70,33.0333,14.4305,-11.0639,-7.43735,-13.1813,-12.9736,-1.94306,2.13638,-4.75423,-15.57,-2.57521,-11.7702,4.17432,-5.33728,-4.854,-7.00214,-2.08597,-18.3704,-31.9791,-28.5924,-13.1814,-4.50862,-1.82569,-18.3294
11,264,10,53,27.0333,12.6422,-18.2448,-6.27097,-12.9024,-9.11349,-4.79063,-2.53584,-8.57653,-13.2632,-4.47557,-12.8087,3.6058,-6.27284,-5.72452,-6.22749,-3.58585,-20.0658,-35.6172,-28.1726,-13.7445,-6.09307,0.233715,-18.1372
12,286,20,121,64.9,30.3433,-16.3499,-6.45228,-11.5366,-10.9924,-6.66195,-1.76515,-1.87263,-20.0974,-5.36113,-13.169,3.88523,-7.54443,-4.60001,-9.3467,-6.15437,-18.5979,-29.4462,-27.3467,-15.4446,-6.28145,2.05068,-18.6222
13,308,27,149,73.9333,29.2998,-21.1434,-7.64173,-12.1097,-11.3314,-9.82742,-0.355272,-1.63759,-21.0394,-3.62073,-13.1988,3.48272,-7.71927,-6.12582,-9.26645,-7.11007,-18.0711,-25.8451,-27.6036,-14.6344,-6.92456,1.84439,-21.6166
14,330,32,185,83.8,32.0134,-18.1098,-7.2151,-11.8876,-10.8016,-12.0113,-3.65076,-0.750112,-22.3379,-4.05678,-14.5739,0.105263,-9.66589,-4.42169,-10.1669,-10.2617,-20.9423,-24.3912,-26.5204,-14.4964,-5.95579,3.43769,-22.546
15,352,27,257,85.1667,52.474,-12.4697,-6.99052,-10.5042,-8.55478,-12.5825,-5.28532,-2.23855,-22.7399,-4.24444,-15.6956,0.399786,-9.16191,-5.5408,-10.4167,-8.17623,-18.5909,-24.5196,-25.8317,-15.7971,-7.45791,3.12613,-23.1551
16,374,17,231,71.9,41.8358,-13.1624,-5.6085,-10.5254,-7.64644,-13.4964,-5.46048,-1.85971,-23.6686,-3.77246,-13.8135,0.309999,-9.33375,-6.72499,-11.1474,-9.08327,-19.3444,-23.3399,-25.5466,-14.4933,-7.83193,3.06747,-21.717
17,396,28,200,76.9333,35.3748,-17.4033,-6.01668,-9.36205,-8.74965,-14.4826,-4.69627,-2.55661,-19.7733,-4.28225,-14.5354,0.383773,-9.6261,-6.18965,-11.5382,-7.3887,-18.0873,-25.3392,-24.8338,-13.5305,-7.74267,3.27069,-22.9788
