generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,22,0,1,0.1,0.305129,0.0925924,-0.956941,-2.26793,-0.030622,1.21353,-0.81191,-2.17801,3.44371,2.69909,0.966081,7.31916,-6.89007,4.3755,-0.281769,-4.05784,0.461988,0.32239,-0.44252,1.53794,0.315768,-2.92248,-0.632815
1,44,0,1,0.0333333,0.182574,-2.29692,-1.18083,-3.37951,-0.0863696,3.59275,-8.27184,-0.361658,4.96496,1.62831,1.09158,11.0048,-8.73169,3.09513,-1.72195,-3.89266,3.95513,-0.271309,-6.94398,-3.68719,0.41539,-1.78679,1.1849
2,66,0,2,0.0666667,0.365148,1.56737,-1.98265,-1.6904,-1.72823,3.72836,-6.18576,-2.41577,5.36304,4.02952,4.16296,9.77724,-10.0949,5.13151,-0.698243,-4.51877,3.25708,2.59005,-12.2362,-1.40158,-1.21236,-3.0295,2.87182
3,88,0,0,0,0,1.73852,-0.0762392,2.28773,-3.61013,4.12245,-1.77881,-2.5469,6.08746,3.43654,7.1537,10.74,-9.61343,6.61008,-3.47141,3.30288,5.65677,-3.68667,-9.65265,-0.308692,-2.95206,-2.77265,4.33545
4,110,0,1,0.0333333,0.182574,2.27285,1.32661,-3.26024,-2.83886,2.3991,-3.97524,0.308016,9.67684,3.5338,9.84861,10.3066,-10.3122,1.55766,-6.2035,-3.92703,5.16778,-5.21942,-10.8409,5.62012,-4.92183,-1.36873,3.50921
5,132,0,2,0.166667,0.461133,-0.38638,5.11242,-5.47069,-3.31761,0.891085,-4.58021,3.42619,11.1159,6.208,12.9779,9.49603,-13.4363,2.96701,-6.00716,-3.74774,6.77922,-7.27501,-11.6319,6.53001,-5.02658,-2.99725,1.18986
6,154,0,1,0.0666667,0.253708,-1.84368,4.69472,-9.11177,-3.23285,0.232352,-4.31568,-0.862444,11.2362,5.5251,18.4417,10.9306,-14.3525,2.4266,-7.19608,-6.17501,7.00242,-3.10041,-11.7857,5.64038,-7.83805,-2.34807,1.4572
7,176,0,0,0,0,-1.60334,6.35005,-10.3969,-0.914691,1.06603,-4.55716,-5.22061,11.2146,8.80382,15.5163,10.67,-13.2456,-0.292042,-7.65638,-2.7585,6.08909,2.93391,-15.1389,2.57001,-8.04267,-5.34096,-2.03812
8,198,0,1,0.1,0.305129,-0.165349,5.36492,-14.5007,2.93003,1.99575,-4.48118,-5.27861,11.3427,3.51552,17.3956,10.6732,-12.1202,1.75719,-4.59719,-1.68262,3.54652,5.63667,-9.72285,2.90487,-9.43133,0.300965,-0.112536
9,220,0,2,0.166667,0.461133,-0.0284242,5.07227,-19.1299,1.96093,5.53544,-5.07644,-6.55599,13.4571,3.85013,19.2983,13.4449,-12.7436,1.56984,-4.67621,-1.37109,-0.176877,11.1975,-11.9138,2.95069,-3.79049,1.36249,-0.347904
10,242,0,3,0.333333,0.711159,-0.596738,4.25937,-21.9703,9.49615,6.91422,-5.22096,-5.77757,11.2831,6.20898,20.6611,14.0499,-9.37755,2.96337,-5.94414,-0.57486,-0.265817,5.60538,-9.5983,2.92998,-0.63557,1.32483,-5.47308
11,264,0,3,0.7,0.915386,-1.44974,0.283764,-21.6158,11.2427,7.91441,-4.93267,-6.70843,12.6887,2.23215,22.3401,9.2417,-5.5528,4.09616,-6.06939,-0.936181,-1.43736,4.84671,-14.2413,1.70151,-3.12745,-0.221097,-12.1793
12,286,0,5,1.6,1.52225,-0.839914,1.06012,-30.8584,9.73717,10.625,-3.84206,-5.85068,11.5741,0.878371,25.3879,8.44576,-4.53693,2.755,-7.09256,-3.90239,-1.50408,-5.86709,-13.8877,1.27717,-1.6229,-1.75928,-13.696
13,308,0,8,1.2,1.73006,0.837334,-0.48148,-40.0203,10.1365,10.4901,-3.86463,-5.87905,10.2681,0.917402,20.7503,8.36571,-5.68068,2.81536,-6.16169,-1.73749,-1.87563,-3.06336,-13.8552,0.573077,0.475696,-1.99285,-12.6137
14,330,0,6,1.5,1.52564,-5.05202,-3.27473,-42.9894,10.5234,9.94474,-3.80247,-4.7736,7.14968,-1.63001,20.8585,6.52156,-7.94637,1.43562,-8.98216,-1.08282,-1.78962,4.10852,-16.9289,0.0486309,1.37246,-4.45873,-14.4168
15,352,0,5,2.53333,1.45586,-7.47759,-4.54202,-40.0213,9.30269,8.4304,-2.53181,-4.57416,7.52196,-1.39448,17.041,8.75353,-10.7581,-1.26753,-9.84084,0.496499,-3.26068,-1.50104,-18.2835,0.189601,-0.832112,-5.3352,-17.0008
16,374,0,6,3.43333,1.6955,-4.40406,-2.61974,-46.2067,7.55757,8.59724,-3.86429,-3.98342,6.02413,-0.590876,16.7674,11.4964,-10.1553,-0.125634,-12.7195,-2.40556,-3.66433,0.152388,-17.3074,0.455331,3.49021,-6.23778,-18.9217
17,396,0,9,3.23333,2.22344,-5.57527,-2.2463,-47.9022,8.23326,5.4745,-2.34835,-5.5175,5.74588,-2.24277,15.2063,11.6151,-10.3389,-1.08679,-12.0004,-2.2143,-3.83065,-4.76044,-21.5083,0.658107,3.97337,-8.21013,-17.9366
18,418,0,9,3.23333,2.23889,-0.423043,-1.15814,-45.3489,6.19187,7.69648,-0.127842,-6.99976,5.67427,-2.58508,11.0753,19.2045,-11.3933,-2.39933,-12.9149,-1.35061,-6.42676,-1.6648,-19.3607,1.61837,1.63962,-7.50353,-16.7261
19,440,0,12,4.63333,2.76035,-2.19116,-0.85494,-47.3074,3.23777,4.9865,0.290643,-6.40439,7.98089,-2.41234,9.30012,18.6112,-15.834,-2.86205,-13.3313,-3.14259,-4.45748,-4.94095,-20.3091,2.0069,2.39752,-4.34338,-21.3175
20,462,0,15,5.56667,3.2767,-0.931061,-2.46889,-51.0468,3.05566,4.87296,-1.27499,-5.80213,5.91691,-3.27535,9.89099,18.9922,-19.4619,-2.56636,-15.0848,-2.30748,-6.154,-7.11135,-16.2743,0.0361686,3.04125,-2.87034,-20.6119
21,484,1,11,6.23333,2.80004,-0.404202,-3.14248,-54.9451,3.39985,5.24431,-0.4851,-5.39033,5.37819,-0.557944,2.63007,21.1816,-16.7256,-1.66304,-14.8656,-2.39936,-6.36136,-6.15093,-16.1857,-1.4313,3.35462,-2.22726,-21.0839
22,506,1,12,5.86667,2.87358,2.83301,-3.53471,-50.9704,4.02588,4.82488,-3.70482,-5.00088,4.91604,0.928019,3.11672,22.293,-18.4204,-1.0347,-14.3629,0.0677561,-5.39865,-4.05281,-15.237,-1.10421,0.305695,-1.0986,-26.3468
23,528,3,15,8.63333,3.33718,1.57491,-1.10586,-48.5401,4.16041,3.18463,-3.88684,-4.16222,3.17255,-0.272222,0.650265,22.0612,-18.5252,-2.10583,-14.2142,0.021902,-7.24961,-5.78852,-12.2682,-2.45186,1.30641,-1.24194,-29.929
24,550,1,25,10.8,6.20567,1.75613,-1.40373,-46.7931,1.56235,3.12497,-5.25268,-7.09506,2.19756,0.889397,0.423078,23.2635,-19.5306,-4.44183,-15.4158,-0.81271,-6.38796,-10.3146,-14.0586,-2.03995,-0.688341,-1.65024,-35.6829
25,572,2,24,12.1667,6.27025,0.809738,-1.94576,-42.6102,0.867028,1.44602,-3.5293,-7.69293,2.22023,-0.0149151,-0.485894,23.0568,-20.9243,-2.13435,-14.5823,-3.63957,-6.94475,-9.06137,-13.9162,-1.08907,-3.08681,-1.43622,-35.0502
26,594,6,32,14.1333,6.35031,1.24123,-0.863307,-38.8431,2.62695,-1.99355,-3.8683,-8.95647,-1.08898,2.09857,-0.101815,23.4201,-23.1175,-1.9138,-14.1036,-4.66224,-8.07157,-11.8471,-12.9101,-2.23556,-2.37913,-1.02198,-37.6049
27,616,2,33,15.0333,7.15582,0.537563,0.958795,-37.1049,3.91856,-4.85533,-3.71354,-7.77978,-0.6271,1.97323,-0.54547,26.0518,-23.118,-4.68065,-14.4484,-4.84279,-9.33204,-12.6663,-12.7294,-2.14398,-1.61644,-2.77863,-38.657
28,638,8,34,20.3667,6.62015,0.335112,-0.50306,-32.0117,4.52608,-3.15299,-2.41746,-5.15033,-2.86657,0.436269,-1.3997,23.0127,-24.0218,-4.24558,-14.4874,-4.47238,-9.16305,-12.5776,-13.5348,-2.54196,-3.22715,-3.48518,-39.5129
29,660,6,45,23.6333,10.1726,0.583072,0.215463,-31.3254,4.09135,-4.56421,-2.97221,-5.69805,-4.25402,2.13434,-2.68437,21.602,-20.3052,-4.39759,-14.4308,-3.38764,-9.50896,-12.7116,-13.8943,-3.83684,-2.84848,-4.19516,-42.2005
30,682,5,43,21.0333,10.1454,2.5032,-0.602268,-29.9517,3.84956,-5.71379,-2.32917,-3.08958,-8.04554,0.891773,-2.88618,21.9879,-18.2974,-5.20981,-13.2563,-2.838,-8.98187,-13.7479,-16.1508,-2.56328,-2.45205,-4.93848,-41.0573
31,704,6,69,29.5667,15.8912,-2.04786,-1.3897,-31.02,4.00808,-6.10623,-3.90803,-1.07201,-11.2936,0.601173,-5.31558,24.9733,-19.8362,-7.255,-14.4367,-2.33418,-8.82192,-15.0096,-15.7617,-7.60282,0.0844859,-5.49787,-43.5252
32,726,5,87,32.8333,19.0934,-1.80139,-1.14482,-30.7609,4.06987,-4.75506,-4.60166,-2.16116,-13.9996,-2.13305,-6.60272,22.8232,-20.1416,-7.8001,-13.2363,-2.50475,-9.62392,-13.5388,-17.2142,-5.69411,-0.99441,-4.29167,-43.1712
33,748,9,197,65.7667,47.3983,-4.77908,0.412659,-29.0322,7.12974,-5.95888,-6.55654,0.993659,-13.007,-1.15681,-7.03885,20.862,-19.9715,-10.716,-12.9619,-4.42425,-9.47563,-14.587,-17.8874,-7.40043,-3.23532,-4.94858,-45.0477
34,770,32,334,107.6,78.161,-4.25786,0.761722,-24.1649,6.34161,-6.035,-5.93738,2.55637,-12.176,-4.15476,-5.84324,17.7164,-19.9179,-10.5824,-13.3786,-5.77693,-8.57903,-16.8553,-15.9184,-7.22413,-3.19663,-5.19438,-46.1667
35,792,41,237,103.333,46.528,-5.06139,0.498944,-28.2266,6.59748,-7.90578,-6.48499,-0.279236,-13.6158,-7.0142,-4.61496,15.6449,-16.6239,-14.2735,-12.6676,-7.99116,-9.40746,-17.6007,-16.3169,-6.02612,-7.19802,-6.34748,-48.5179
36,814,104,548,242.367,109.268,-6.04491,-1.63234,-22.5875,6.121,-6.83895,-6.96887,1.58456,-15.7631,-6.39667,-6.85567,15.7614,-15.5559,-14.2501,-13.3577,-9.53111,-14.7593,-19.6093,-16.1991,-8.08714,-10.4329,-7.34944,-50.0986
37,836,68,548,228.167,106.644,-5.18012,1.35929,-27.9211,8.70073,-7.85381,-6.47033,2.96199,-15.3262,-7.16863,-9.1789,14.4916,-16.1911,-15.0742,-14.3179,-11.4006,-15.031,-21.2783,-15.9419,-10.5198,-10.8365,-6.35469,-52.778
38,858,64,647,286.933,160.781,-5.97491,0.420798,-24.5106,4.79542,-6.66846,-7.49806,0.796594,-15.4278,-8.95854,-9.7221,14.0655,-15.9852,-15.0187,-15.3795,-15.1315,-14.566,-19.769,-14.6945,-12.0166,-10.6438,-7.4701,-51.6817
39,880,58,1040,365.233,255.411,-2.00828,0.0280751,-25.0305,4.46189,-7.03761,-7.52855,1.86141,-14.4234,-8.93133,-11.2559,14.8439,-15.5343,-14.6063,-14.9371,-16.342,-14.0281,-20.3355,-14.4081,-12.949,-12.2426,-7.11117,-54.862
