generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,50,0,10,2.96667,2.72262,6.17896,2.84888,-4.0533,-0.663347,-1.30092,-3.61963,-4.35548,1.30498,-0.733803,-7.82667,0.50594,3.56339,3.66022,-1.48803,-0.694687,1.35449,1.88914,-4.43537,-2.69141,-2.43217,-5.96072,-8.01034
1,100,0,28,11.0333,7.66309,-3.53272,0.244742,-4.52418,2.28341,-5.86754,-7.52881,-3.21193,-0.946663,4.92317,-12.8392,-7.75028,-5.16241,-7.46144,-7.24162,-8.81566,0.128075,3.06485,-9.12632,-2.98598,-7.93055,-7.72437,-11.8783
2,150,6,51,22.2,11.4392,-3.47168,-0.441302,-4.3961,-0.0101383,-5.26725,-9.44699,3.20439,-2.09907,0.041862,-9.09295,-3.62394,-2.53483,-13.4548,-5.96183,-11.296,3.42327,3.59649,-10.5162,-3.8445,-6.98928,-5.72573,-13.0411
3,200,9,82,35.6,15.208,-4.96942,-2.35515,-4.62694,-0.775527,-8.94511,-11.1832,-0.520419,-0.839511,-1.9108,-9.20644,-6.22554,-3.45633,-16.4701,-9.76745,-11.5594,-6.06576,2.61593,-10.4803,-7.256,-6.48827,-6.14457,-12.9409
4,250,12,108,42.7333,20.556,-7.49546,0.0911761,-4.35773,-0.109639,-9.39814,-13.1018,-0.387199,-0.231878,-3.89447,-8.77577,-6.49915,-6.40189,-17.0221,-10.2454,-11.9908,-8.79124,0.711963,-9.50703,-7.86372,-8.34986,-6.68454,-14.8464
5,300,21,88,51,16.8687,-11.1619,-2.91765,-4.62413,-1.36847,-7.9873,-12.7477,-2.04314,-0.442112,-6.34247,-9.71728,-6.509,-11.6126,-16.1504,-7.90166,-12.3669,-10.8811,0.785571,-10.1902,-5.65159,-8.0434,-9.80851,-15.3772
6,350,17,141,44.5,21.7029,-11.7324,-4.32976,-7.22087,-0.383963,-4.84257,-11.2513,-4.93251,0.674,-9.08521,-17.0531,-4.77915,-11.0736,-13.3839,-14.2651,-16.7845,-10.4458,-2.61018,-11.855,-6.39052,-5.38542,-9.50959,-13.629
7,400,24,123,57.9,25.6358,-12.5064,-3.88769,-10.6923,-1.03425,-6.7536,-7.79661,-6.23697,-1.77791,-8.52051,-15.5089,-4.74114,-7.77864,-15.0103,-12.4769,-16.3614,-9.83003,-3.3746,-11.7656,-8.25133,-6.88473,-8.10679,-14.0933
8,450,23,183,56.2667,31.5681,-16.647,-2.68309,-11.2166,0.448277,-6.80794,-9.88881,-11.6597,-0.376883,-6.57694,-12.5844,-4.74019,-11.8092,-15.2958,-11.9042,-18.7736,-9.58621,-4.65502,-10.246,-7.1164,-5.07579,-6.87231,-15.5626
9,500,34,190,80.9,31.4734,-9.25283,-2.46457,-13.0752,-1.12493,-6.68884,-10.4494,-8.02785,-5.31953,-7.6185,-13.6648,-3.57777,-8.56739,-17.3904,-13.3538,-18.1155,-9.41137,-4.54623,-10.2265,-5.91237,-5.77357,-9.69405,-15.3187
