generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
39,880,89,1083,329.467,245.844,-1.62757,1.61092,-13.9906,-14.0089,-9.57603,-12.4872,5.06432,-6.38041,-5.45513,-19.532,3.92099,-5.90417,-15.5498,-15.2469,-14.0825,-19.6112,-10.854,-17.2768,-10.7223,-10.6629,-8.02985,-47.7447
40,902,79,1646,410.733,334.738,-1.44972,2.98454,-16.1941,-15.5742,-7.42065,-12.7334,4.22387,-6.96945,-6.20685,-18.2531,5.31914,-7.14607,-16.8407,-14.821,-13.4645,-19.8981,-8.35316,-15.6844,-11.4049,-10.1644,-8.40117,-49.9854
41,924,74,1382,420.133,338.684,-5.19156,4.40324,-14.1703,-15.5011,-5.20631,-11.5297,4.53276,-6.75244,-4.35961,-15.9994,4.65725,-6.02051,-16.5524,-14.486,-15.4166,-19.1159,-5.35017,-13.9823,-10.5326,-9.12567,-7.17645,-49.4845
42,946,97,3032,837.067,716.122,-4.20442,2.06218,-12.3372,-10.995,-3.04764,-13.0009,3.45869,-11.0104,-3.68489,-15.4058,4.10446,-5.55458,-16.7739,-11.9366,-17.6098,-19.8906,-13.1546,-12.6538,-7.58312,-8.38449,-8.75509,-50.4935
43,968,80,1993,643.7,491.642,-0.916724,1.72952,-10.9497,-6.43486,-1.50958,-18.1926,4.89747,-9.36386,-3.81978,-16.2566,5.77718,-3.20201,-16.147,-13.9128,-17.5199,-17.8921,-14.49,-13.496,-9.21869,-10.1864,-8.2453,-49.8597
44,990,106,2277,615.567,531.456,1.59849,0.794197,-10.2797,-5.62424,-3.46407,-15.458,5.76937,-9.32976,-3.49318,-16.7675,4.2041,-5.19745,-13.2246,-13.2071,-19.0016,-19.379,-13.6445,-14.1391,-8.31051,-9.18251,-5.92904,-53.4701
45,1012,103,1860,737.367,452.086,1.37908,-0.619462,-10.5261,-6.49172,-4.78622,-13.9335,4.17996,-10.5062,-1.7747,-17.6842,2.01657,-10.6176,-14.3973,-14.2835,-20.5975,-21.7792,-11.3685,-11.8274,-6.35004,-7.08625,-6.08806,-53.5648
46,1034,105,8106,1569.37,1751.06,5.62138,-0.966109,-10.3604,-7.26758,-5.56291,-14.4247,6.73381,-12.8236,-1.00532,-17.1936,3.42776,-13.4865,-13.2827,-12.1921,-17.0681,-21.6401,-11.5357,-9.45611,-7.55952,-11.4525,-6.88216,-54.4614
47,1056,197,6804,1615.1,1749.73,4.12861,4.26417,-11.7087,-3.39589,-5.65887,-10.2102,6.53952,-11.9823,0.948144,-17.6947,4.81413,-15.7859,-13.713,-12.3689,-17.906,-20.6912,-13.0481,-10.212,-9.78044,-10.5027,-7.15223,-57.0595
48,1078,170,7606,1600.63,1857.04,2.13869,3.32003,-10.0714,-4.08868,-5.78168,-9.67441,7.6052,-13.0737,1.06208,-17.6955,3.65097,-15.7355,-13.5816,-14.3685,-20.4252,-20.5038,-13.1183,-9.5186,-8.28703,-11.6308,-7.22033,-60.0352
