generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,50,0,3,0.633333,1.03335,-1.37597,-3.08496,-1.35732,8.83226,0.66449,9.6616,0.799103,-1.0554,1.20919,5.51116,-0.39114,2.57276,3.57568,-4.23062,-3.35371,-6.23369,-3.146,-1.93602,1.25493,-8.13088,1.58845,-5.16161
1,100,3,18,10.3667,3.87283,-2.41151,-2.52855,-5.29533,1.20198,-0.356886,-3.23882,-0.987165,-3.35913,0.0731997,7.30261,1.37526,-0.636161,-2.85714,-8.32078,-4.2789,-6.58549,-2.87521,-5.39486,-2.81924,-5.16811,5.15476,-10.2575
2,150,16,159,72.0667,33.9634,-8.03528,-1.78371,-8.14873,1.30921,1.34622,-3.09447,-1.79026,-4.39654,-0.526865,-0.508495,-5.34299,0.516067,-2.793,-8.00929,-3.95782,-2.46841,-3.75608,-3.25074,-4.19239,-10.3594,-7.9772,-17.6625
3,200,8,272,99.3667,57.6879,-4.43518,-1.87311,-7.88733,0.0576395,-2.75975,-3.55464,-2.84565,-9.33415,0.727134,-0.0683486,-3.36254,-0.237245,-8.41043,-6.87705,-5.15086,-1.62072,-7.36153,-5.33684,-4.98911,-9.26352,-7.92676,-16.8869
4,250,26,331,126.8,71.6988,-4.53298,-2.05131,-5.79053,-0.902843,-4.21362,-4.57924,-3.75235,-8.60428,2.07674,-0.346923,-2.72965,-4.21585,-8.72194,-4.47447,-5.53642,-4.07631,-7.92695,-7.72354,-8.33802,-7.21191,-7.21046,-18.2119
5,300,50,242,125.833,53.1732,-3.52581,-1.71312,-7.96348,-2.14521,-4.44175,-4.67393,-1.07789,-5.30109,0.610045,-1.46188,-2.48427,-5.28285,-12.4779,-4.91495,-8.49991,-4.29306,-6.19749,-6.94095,-5.6024,-7.03272,-8.05114,-20.891
6,350,18,320,104.633,75.4383,-6.24713,-0.145067,-6.52346,-2.14001,-3.71067,-4.66489,-0.271507,-3.15068,2.38772,-0.888568,-3.67154,-5.15847,-10.248,-3.73634,-7.73239,-4.85023,-7.1457,-9.35,-6.36116,-7.51114,-8.45045,-20.8243
7,400,26,411,159.233,89.3527,-6.06025,0.624115,-7.63733,-2.52507,-5.20073,-3.40493,-1.59955,-5.53211,2.91467,-2.02586,-2.76998,-4.39804,-9.76525,-4.28587,-7.8157,-4.97525,-6.91952,-10.213,-5.40697,-7.31142,-9.72134,-21.1801
8,450,53,600,210.933,161.189,-6.05995,1.92434,-5.6048,-1.58376,-3.4177,-3.98469,-3.42691,-6.35345,1.96782,-2.48187,-1.70973,-7.54506,-8.36735,-3.69542,-6.40122,-4.69572,-6.42273,-9.83105,-4.58674,-5.2989,-9.75463,-20.4443
9,500,65,1056,251.4,208.82,-5.166,2.56948,-4.82248,-0.64983,-3.37242,-2.17645,-4.15359,-4.69874,0.314494,-1.65972,-1.14614,-7.31029,-7.82939,-2.64108,-6.23461,-6.02957,-6.92203,-8.43295,-4.23498,-5.51774,-7.38726,-20.9865
10,550,60,520,208.533,122.193,-5.79663,4.56225,-5.80839,-1.36972,-3.02983,-4.20402,-5.26471,-3.61413,-0.197225,-0.865927,-3.7723,-7.64048,-7.28589,-3.54169,-8.48813,-6.29445,-7.24441,-6.87954,-3.97994,-6.49646,-7.8227,-21.2314
