generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
0,13,0,19,3.9,4.27785,-9.58749,-9.89503,-4.81535,-16.2353,-2.14619,-4.89945,-22.6742,3.9066,-5.5186,-9.39467,-10.544,-7.12834,-12.8039,11.0875,9.77547,-20.1585,14.3353,-10.8326,-0.206296,6.62898,2.15319,-22.0275,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,3,3,3,3,4,5,5,5,7,7,7,9,11,11,19
1,26,0,10,3.5,3.14862,-10.594,-7.63089,-4.79373,-17.5283,-0.99028,-7.40264,-22.0826,2.8714,-7.03496,-9.83045,-11.5423,-11.7564,-12.2019,12.633,5.19297,-22.7124,11.6087,-6.21474,-2.25697,3.38883,-1.07488,-24.3709,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,4,5,5,5,6,7,8,8,9,10,10
2,39,0,12,3.6,2.88396,-10.7479,-6.10423,-3.41269,-19.8382,-0.163284,-3.10779,-24.5544,5.54726,-4.08318,-10.3647,-7.71241,-8.33486,-11.1258,9.48807,1.09113,-21.1615,8.97419,-5.52665,-4.05535,1.93804,1.21212,-26.4772,0,0,0,0,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,6,6,7,8,10,12
3,52,0,9,2.33333,2.55064,-12.877,-2.04171,-4.0122,-21.8085,3.36099,-2.21471,-24.3288,5.89918,-5.02888,-11.6959,-6.45869,-8.16215,-10.5413,10.1013,1.48747,-24.5412,11.4297,-6.7891,-3.05788,2.9881,-0.288591,-29.1363,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,3,4,4,4,5,5,6,6,8,9
4,65,0,13,3.56667,3.57851,-12.2806,-3.44591,-5.31436,-21.811,1.15908,1.43705,-21.3033,4.11547,-7.74756,-10.893,-7.59822,-4.72795,-10.4065,13.3044,0.448085,-24.8647,10.6568,-7.65076,-5.21415,4.29196,-1.72776,-28.6913,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,8,9,10,12,13
5,78,0,19,3.63333,3.84603,-10.0992,-4.67562,-6.39917,-20.6552,1.35491,3.41546,-22.1681,4.39108,-7.56035,-10.7047,-4.58281,-6.1443,-7.75202,13.4825,3.73248,-24.8837,7.72561,-5.27052,-4.04646,-0.111875,-2.80675,-28.0509,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,5,5,7,7,8,8,9,19
6,91,0,13,3.23333,3.79367,-10.0059,-2.53545,-4.0201,-19.0676,2.34023,6.09047,-19.7227,-2.12441,-7.57361,-10.9963,-2.9319,-2.98371,-6.76107,14.4588,3.61544,-25.1976,6.86631,-4.70734,-3.47494,3.66254,-1.90656,-30.1163,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,4,4,4,5,6,6,7,8,11,12,13
7,104,0,14,5.13333,3.66468,-12.1741,-1.5467,-4.65978,-21.4256,1.40249,6.27692,-18.4205,-5.91219,-7.77134,-11.2577,-2.23309,-5.88668,-4.29315,13.5046,7.01384,-27.162,6.89732,-7.35995,-6.65622,-1.50404,-1.09546,-32.4467,0,0,1,1,1,2,2,2,3,3,3,4,4,4,4,5,5,5,6,6,6,7,7,8,9,9,9,11,13,14
8,117,0,28,8.23333,7.35636,-12.3836,-3.71879,-3.59066,-19.2842,0.883033,5.49826,-17.7148,-1.96408,-3.11586,-13.7238,-7.28574,-5.35766,-4.05259,10.286,1.83059,-27.2643,5.658,-4.55709,-6.53234,-3.06234,0.158939,-33.0678,0,0,0,1,1,2,2,2,3,3,3,4,5,5,6,7,7,7,9,10,10,12,13,15,16,17,18,20,21,28
9,130,0,22,6.03333,5.40423,-12.5958,-5.62548,-3.24626,-19.9766,0.696007,12.2973,-17.5793,0.57066,-6.65654,-15.8011,-4.97594,-0.874579,-8.318,9.79063,2.00175,-24.5935,7.89456,-1.36389,-7.09403,-3.79839,2.87461,-34.0154,0,0,0,0,1,1,2,2,2,2,3,3,3,4,4,5,6,7,7,7,9,9,9,9,10,11,12,15,16,22
10,143,0,18,6.4,5.06237,-13.9343,-6.93224,-6.07596,-21.0623,2.70538,12.732,-15.2375,0.116471,-5.26874,-16.0496,-3.5008,-1.71504,-6.80931,10.5061,3.29033,-25.5766,5.7462,-3.66663,-11.5274,-4.66293,-0.686964,-34.2328,0,0,0,1,1,1,2,2,3,3,4,5,5,5,6,6,6,6,7,7,8,8,10,10,10,12,13,16,17,18
11,156,0,32,8.36667,7.38817,-13.3495,-8.09094,-7.09543,-22.361,3.88023,9.80946,-15.802,1.46543,-2.79159,-18.4506,-3.96057,0.661862,-6.46201,9.01404,2.84063,-23.5341,7.29897,-5.0077,-12.1535,-4.48187,3.72667,-37.9871,0,1,1,1,1,2,3,3,3,4,4,4,5,6,7,7,9,9,9,9,9,9,11,12,13,17,18,20,22,32
12,169,1,25,12.4333,5.76364,-9.54889,-9.91248,-6.21317,-19.4103,7.06152,10.2717,-13.2226,1.6918,-2.11809,-19.98,-3.03303,-1.77776,-9.78628,10.2088,7.1269,-22.1003,7.71826,-3.71401,-10.91,-6.81162,3.97477,-38.0937,1,5,5,6,6,7,8,8,9,9,9,10,11,11,11,12,13,13,14,14,15,16,18,18,18,19,20,21,21,25
