generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
0,200,0,11,2.93333,2.94704,1.17634,-0.256122,-1.85053,-1.43032,1.76724,-2.49463,1.29235,1.08732,0.348671,0.364796,2.2462,-2.86932,-0.963497,0.828572,0.0405621,-2.00962,-0.435484,-0.184923,-1.42384,1.19447,-1.29822,-2.83314,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,4,4,4,5,5,5,6,6,6,7,9,11
1,400,0,49,19.4667,13.2606,2.39247,-1.23236,-2.96008,-1.81323,3.24587,-4.6677,0.655446,-1.87209,-0.278801,-0.809043,2.71258,-4.25268,-1.42701,-0.241727,-0.212441,-3.27517,-1.10626,-4.03767,-1.85732,-2.75107,-1.6921,-8.48285,0,2,4,6,6,6,7,8,8,8,12,14,14,14,18,20,20,20,24,25,25,25,30,31,34,35,37,38,44,49
2,600,24,253,82.3,44.7369,0.0253636,-0.632664,-5.71743,-3.53701,2.90613,-4.80813,-2.97428,-3.12328,-1.4885,-1.43572,0.344392,-5.58126,-5.13914,-2.14162,-0.660625,-5.19221,-3.61652,-6.4289,-2.16892,-5.23845,-5.40644,-12.0362,24,31,36,46,48,54,54,56,56,60,63,65,65,67,72,74,76,85,85,87,88,93,94,99,105,106,125,137,165,253
3,800,38,214,94.6,42.1562,-0.408745,1.23834,-7.1389,-4.67417,4.30148,-5.98791,-3.29169,-6.31596,-2.60947,-4.18715,-1.39573,-5.22948,-6.66836,-2.9761,-1.76163,-7.06326,-7.96192,-9.42475,-1.9291,-5.60632,-9.54655,-16.3671,38,47,48,49,54,58,60,62,65,69,71,74,74,80,81,84,85,98,100,109,110,117,118,122,136,139,142,161,173,214
4,1000,45,302,144.567,63.0947,-0.55023,-0.713797,-8.22599,-6.84488,0.0718159,-7.87845,-4.63112,-5.99087,-2.1528,-4.71301,-2.94748,-6.83023,-8.29741,-3.98417,-2.16867,-8.3228,-8.67145,-11.3756,-4.15083,-6.74064,-11.8716,-20.3224,45,57,68,73,78,88,89,106,110,114,114,115,116,117,134,139,147,155,159,161,167,170,179,193,198,205,215,253,270,302
5,1200,33,270,137.867,67.3369,-5.31613,1.56865,-7.05013,-7.07432,0.175683,-6.31453,-3.81148,-6.6502,-1.51833,-5.65561,-2.20439,-6.56877,-11.4649,-5.42103,-4.75073,-10.0115,-8.826,-12.4202,-7.35335,-6.80936,-14.4271,-24.7265,33,50,55,56,70,71,72,80,80,100,109,111,115,119,124,136,143,147,148,149,155,173,196,197,211,227,239,241,259,270
6,1400,53,499,152.167,96.1909,-3.6194,1.6892,-7.66729,-8.07662,-0.47436,-7.62372,-4.99838,-7.75135,-1.69524,-8.64848,-0.644886,-8.27179,-10.5585,-6.63643,-6.71169,-12.6013,-10.0845,-13.734,-8.51206,-6.26768,-17.2508,-27.7283,53,56,64,67,72,81,87,88,102,106,114,115,118,127,127,130,131,132,138,147,150,150,172,185,200,232,301,302,319,499
7,1600,66,322,186.367,79.0689,-3.55217,1.67561,-9.01153,-10.3979,-0.592115,-8.46575,-4.98353,-8.01866,-2.07255,-10.2208,-0.0641326,-7.59031,-11.6074,-8.93708,-7.95885,-11.7372,-11.0355,-13.7423,-8.72972,-6.71668,-18.2594,-30.9439,66,69,73,99,108,113,116,118,132,136,144,154,156,162,166,170,172,179,189,242,250,260,270,275,276,278,286,293,317,322
8,1800,28,759,226.433,183.948,-3.5326,1.8655,-7.9527,-11.3954,-1.3405,-8.58765,-5.51978,-7.02342,-3.04481,-9.58458,-0.129217,-7.32683,-11.3914,-9.70128,-8.94731,-11.4021,-11.1834,-13.3571,-9.35058,-6.2144,-17.5889,-32.9095,28,43,69,70,81,85,99,113,113,118,127,128,129,136,155,162,163,172,173,197,218,264,310,387,412,469,490,532,591,759
9,2000,128,851,348.3,209.069,-3.13283,0.741206,-8.83681,-10.8401,-2.78858,-7.56762,-7.12598,-6.52806,-2.46676,-10.104,0.152911,-9.57777,-11.7961,-10.1464,-10.396,-12.1361,-11.7383,-14.3044,-9.14769,-7.36585,-15.4946,-34.9502,128,135,145,153,167,168,168,172,173,179,193,215,217,262,276,303,323,346,353,369,373,486,495,511,575,611,645,648,809,851
