generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
0,250,0,12,4.13333,3.23487,2.04584,-0.0201031,0.137695,-0.0464044,-0.209096,0.0840864,-0.0507288,0.0776044,0.0835402,-0.187265,-0.19269,-0.00309147,0.114624,-0.0704522,-0.167481,0.144641,-0.100645,-0.110324,-0.0251471,-0.0855809,0.0400018,-0.050786,-0.243516,0,0,0,1,1,1,1,2,2,2,2,2,3,4,4,4,5,5,5,5,5,5,5,6,6,6,8,10,12,12,1.14458,1.10607,1.07132,1.04964,1.03958,1.00657,1.00183,0.99124,0.986274,0.977803,0.977561,0.971617,0.970569,0.962986,0.960944,0.959783,0.958609,0.958271,0.957119,0.956211,0.956106,0.955689
1,500,0,1,0.1,0.305129,2.08778,-0.297987,-0.207805,-0.665234,-1.13864,0.678864,-0.0994243,-0.527435,-0.324244,-1.27938,0.0602132,-0.34394,-0.753676,0.555433,0.0238864,-0.255457,-0.251432,-0.264489,0.587035,0.322544,-0.473805,-1.03091,-0.97047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.17452,1.13267,1.104,1.09917,1.07102,1.04311,1.01289,1.00264,0.978545,0.97538,0.964824,0.960351,0.950443,0.946009,0.940442,0.937539,0.93324,0.929552,0.925988,0.923635,0.921228,0.917674
2,750,0,18,6.26667,5.22549,2.25836,0.747777,0.155309,-1.30447,-2.1795,0.475634,-0.111997,-0.56299,-0.807072,-0.882158,-0.771747,0.309385,-1.49388,0.07624,-0.583244,-0.092697,-0.469722,-0.28585,0.0327887,0.460854,-0.85781,-1.1188,-2.66973,0,0,0,0,1,1,2,3,3,3,3,4,4,5,5,5,6,6,7,7,7,8,9,10,12,12,14,15,18,18,1.23235,1.18054,1.13506,1.10663,1.08529,1.07762,1.03244,1.01115,0.98315,0.976972,0.966565,0.957094,0.952836,0.930915,0.928675,0.917076,0.91293,0.90689,0.902404,0.895777,0.892138,0.88977
3,1000,38,226,88.7667,41.2023,2.45425,0.943335,0.32538,-2.11096,-1.98468,-0.319206,-0.237744,-1.24863,-0.420057,-0.0870864,-1.46103,0.100713,-1.1396,-1.06193,-1.14265,-0.64286,-0.192174,-1.82382,0.248869,-0.172978,-1.99681,-0.991236,-3.26352,38,43,45,45,47,58,59,64,67,68,70,72,72,73,74,79,85,85,88,94,100,102,105,112,116,118,141,151,166,226,1.3253,1.24839,1.15627,1.12882,1.11252,1.06002,1.03021,1.00535,1.0032,0.978103,0.960243,0.951791,0.938372,0.927145,0.910841,0.90654,0.895941,0.893468,0.885576,0.879303,0.86758,0.861555
4,1250,21,219,99.3,56.2189,2.68205,1.12306,1.27676,-2.97979,-1.98619,-0.712685,0.715794,-0.682888,-0.530462,-0.812525,-1.75902,-0.080129,-1.2213,-1.51532,-1.33414,-1.61197,-0.76658,-2.38552,-0.360226,-1.13879,-2.03677,-1.06739,-4.53823,21,35,36,43,46,48,56,58,58,63,66,77,79,80,87,91,93,96,99,105,106,107,124,139,161,170,194,204,218,219,1.43777,1.27685,1.19426,1.14607,1.09874,1.07108,1.03192,1.00159,0.979508,0.963997,0.956718,0.942136,0.929837,0.911487,0.904015,0.894676,0.885979,0.882317,0.871592,0.859975,0.854994,0.84391
5,1500,26,214,90.0667,48.8939,2.94596,1.29999,0.1827,-3.41562,-2.23391,-0.929063,0.702798,-0.650246,-1.19876,-0.693899,-1.78175,-0.147421,-2.07669,-1.79962,-1.53163,-1.38675,-0.749146,-3.06859,-1.18064,-1.42868,-4.28755,-2.15594,-5.7828,26,36,38,44,47,58,60,61,62,64,68,72,73,73,73,75,76,82,83,97,99,105,108,109,113,128,140,208,210,214,1.60461,1.31177,1.21037,1.13745,1.13226,1.05865,1.02921,0.997156,0.980519,0.968111,0.934214,0.929548,0.920786,0.905293,0.885338,0.881586,0.872749,0.857755,0.847897,0.838861,0.837641,0.819699
6,1750,26,195,88.7,42.7068,3.75095,1.85298,0.29783,-4.56904,-4.20422,-1.902,-0.253359,0.539386,-1.80292,-1.41291,-2.40689,-0.647695,-3.03752,-1.61643,-3.02349,-3.44657,-1.28261,-5.88179,-2.70265,-1.5728,-5.7207,-3.2433,-8.67239,26,30,37,40,46,54,60,61,67,68,71,71,72,78,81,82,82,83,87,90,96,97,117,124,126,127,155,161,177,195,2.11414,1.31296,1.21679,1.11471,1.11007,1.05014,1.02011,1.00371,0.981022,0.957551,0.941581,0.932525,0.904845,0.895839,0.882409,0.87028,0.862481,0.84423,0.83123,0.827546,0.812471,0.795087
7,2000,38,231,97.9667,49.4741,4.99355,1.67523,-1.23484,-5.545,-5.0415,-2.02848,-1.80471,-1.45347,-2.972,-2.0162,-3.4899,0.136803,-3.30549,-4.63469,-5.04721,-4.32067,-1.34699,-7.45595,-5.13618,-5.0414,-6.6231,-5.19667,-11.3144,38,39,40,45,54,56,57,57,62,65,65,70,76,77,87,87,97,99,101,110,116,123,126,133,143,149,165,183,188,231,2.40663,1.30389,1.21651,1.10403,1.09274,1.04513,1.02601,1.00116,0.972404,0.961411,0.941342,0.930946,0.89593,0.890841,0.871471,0.865453,0.840171,0.830172,0.81991,0.806583,0.789922,0.773662
8,2250,24,275,92.5,51.206,6.29277,2.75171,-4.95812,-6.70915,-5.06748,-0.185664,-1.131,0.257851,-4.91279,-5.26768,-4.22133,0.177267,-5.13151,-5.49957,-4.32356,-5.08453,-3.22405,-9.00943,-7.03192,-5.05997,-7.15204,-5.46105,-15.0156,24,35,46,48,49,61,64,69,70,70,71,72,73,74,75,80,86,89,91,100,100,101,101,106,116,119,123,184,203,275,2.54654,1.3261,1.22088,1.15071,1.1056,1.03025,1.01335,0.994725,0.969018,0.956365,0.934991,0.910662,0.907209,0.891452,0.880773,0.852969,0.829054,0.810682,0.803297,0.792763,0.780031,0.748611
9,2500,26,289,107.7,63.3715,8.11755,5.87852,-3.54273,-11.6524,-7.89252,0.634508,-3.80768,-1.36812,-4.50735,-7.53752,-5.43173,0.448811,-6.51999,-7.13619,-5.7342,-3.67737,-5.43829,-12.4163,-7.89538,-9.86248,-9.73441,-8.2934,-22.1565,26,36,40,46,52,52,60,64,64,67,70,76,81,86,93,100,102,105,107,110,112,124,141,151,164,170,190,217,236,289,2.79363,1.3074,1.21716,1.147,1.08448,1.03614,1.00875,0.993287,0.960572,0.95111,0.927766,0.917333,0.911706,0.878507,0.862641,0.842322,0.839556,0.793845,0.792725,0.781675,0.75974,0.731353
