generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
0,250,0,3,0.433333,0.773854,2.04562,-0.222616,0.128703,-0.130293,0.0384247,-0.26267,0.207145,0.00334171,-0.0348818,-0.172019,-0.0720978,0.109198,-0.0868874,-0.134206,-0.212066,0.200257,0.370449,0.0385015,-0.238315,0.215407,-0.0904113,-0.0531305,-0.0024967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,1.18963,1.06607,1.05135,1.03142,1.03021,1.01271,0.997624,0.989182,0.9845,0.979033,0.97613,0.970133,0.967113,0.96546,0.962326,0.960727,0.958989,0.95778,0.957129,0.9569,0.955998,0.955899
1,500,0,46,15.3667,10.1148,2.09392,-0.107118,0.0476635,-1.24745,-0.389346,-0.295549,-0.502551,-1.05455,0.312179,-0.31236,0.127333,0.602506,-0.262546,-0.330878,0.320827,0.072205,-0.460918,-0.270655,-0.421866,-0.404136,-0.758801,-0.740506,-1.99248,0,2,2,3,5,5,5,8,9,10,11,12,13,14,14,16,17,17,17,18,20,20,21,23,24,25,27,28,29,46,1.25538,1.13389,1.08527,1.05606,1.05142,1.02563,1.01685,1.00663,0.994538,0.974684,0.968691,0.962401,0.959026,0.950662,0.946029,0.940964,0.9384,0.932281,0.926606,0.924448,0.921175,0.919493
2,750,11,152,52.7333,32.967,2.28278,-0.524934,0.293615,-1.37521,-0.172543,-1.25648,-1.48425,-0.740101,0.03749,-0.814825,-0.471161,0.891904,-0.842163,-0.302164,-0.17313,-0.639608,-0.520444,0.14312,-0.997096,-1.39697,-0.985056,-1.17186,-3.41447,11,24,24,25,26,27,29,29,31,32,35,36,38,39,39,44,47,48,48,49,50,68,70,76,79,80,85,120,121,152,1.30529,1.22886,1.10295,1.09791,1.06723,1.02632,1.01346,1.00703,0.983633,0.977691,0.963091,0.94802,0.94101,0.940308,0.935756,0.92254,0.918239,0.916356,0.898951,0.894706,0.893101,0.890881
3,1000,21,145,69.9667,29.1837,2.6649,-0.357159,1.05185,-2.10779,-0.907861,-1.73198,-1.94873,0.0691695,0.544744,-0.599604,-1.35039,-0.698615,-1.73088,-1.91572,-0.364937,-1.00375,-0.668573,0.601621,-2.11834,-1.21372,-2.4841,-1.72903,-4.16298,21,28,34,38,40,42,48,51,56,57,57,58,60,61,69,71,72,76,78,78,78,79,82,87,88,88,104,115,138,145,1.4134,1.24338,1.1612,1.0947,1.08067,1.03581,1.01847,1.01037,0.97416,0.965069,0.94811,0.941715,0.935254,0.922757,0.92049,0.911198,0.904717,0.894829,0.881699,0.878206,0.867546,0.866459
4,1250,35,272,97.2667,54.4344,3.13179,-0.121017,1.22584,-2.92265,-1.44849,-1.74072,-3.23218,-0.190208,1.19153,-1.64313,-1.67381,-0.574812,-2.14864,-1.81694,-0.302424,-1.74288,-1.60736,0.364055,-2.53204,-2.32002,-3.07008,-3.82233,-5.6858,35,42,44,45,46,58,63,70,73,75,78,78,80,84,86,93,94,94,96,97,98,103,107,107,116,120,138,164,262,272,1.54803,1.24409,1.14769,1.13138,1.08859,1.04372,1.03363,1.01378,0.970304,0.954684,0.94055,0.932422,0.928395,0.914551,0.899066,0.894704,0.89052,0.870786,0.862973,0.854381,0.85129,0.843811
5,1500,39,207,80.3,39.0695,3.76276,-0.59786,2.66106,-3.29482,-1.21588,-2.4009,-3.21439,0.0821215,2.55375,-1.43309,-1.36057,-0.13095,-3.51051,-1.27524,-1.61756,-2.86767,-2.79977,-0.13156,-3.74483,-2.62899,-4.11782,-5.48199,-7.70589,39,42,46,48,51,55,56,56,59,60,62,62,64,65,69,70,71,71,73,74,83,84,85,87,91,122,145,153,159,207,1.63337,1.23568,1.14532,1.1217,1.07033,1.06055,1.02386,1.00404,0.9852,0.975522,0.946252,0.921267,0.911265,0.899594,0.897655,0.887124,0.878263,0.854626,0.848288,0.836151,0.833856,0.829316
6,1750,26,146,79.9,32.0424,4.80978,-2.10089,2.13652,-5.51765,-0.848547,-3.94562,-3.53312,-0.104749,1.52103,-1.82782,-1.54822,-0.331092,-5.32632,-2.36354,-3.81105,-4.7714,-2.58216,-1.50085,-5.44084,-3.61406,-4.07794,-8.30801,-10.7101,26,28,30,32,41,50,51,59,60,62,64,65,71,77,81,85,89,89,90,100,101,103,107,109,109,112,112,122,126,146,1.72165,1.23556,1.16067,1.12995,1.07418,1.04923,1.03642,1.00666,0.988172,0.979226,0.936743,0.922558,0.907711,0.896516,0.88633,0.880572,0.864188,0.860469,0.833768,0.826226,0.816812,0.813248
7,2000,25,234,92.2333,50.6861,6.16186,-4.92957,2.97093,-9.60832,-1.74328,-2.66571,-2.39564,-1.83164,2.00918,-2.56496,-2.38516,-1.25832,-6.24369,-3.45329,-3.54771,-6.72357,-2.25199,-1.38563,-9.60422,-3.43789,-6.50609,-9.06505,-13.6571,25,29,38,41,47,53,53,56,64,69,70,74,76,76,81,83,83,86,89,90,99,100,110,116,124,158,160,181,202,234,1.83159,1.24075,1.1518,1.14604,1.06962,1.04683,1.02379,1.00955,0.99672,0.970768,0.930938,0.917637,0.910867,0.893885,0.873827,0.859203,0.85355,0.836816,0.821349,0.810846,0.802027,0.792105
8,2250,40,163,98.4,35.6231,8.22036,-5.06565,3.28735,-9.69116,-4.89623,-4.07856,-4.95071,-3.16119,1.6844,-6.66562,-2.5938,-0.889861,-6.8515,-8.40197,-1.84525,-7.21036,-4.11312,-1.15233,-13.5262,-6.35766,-10.9162,-12.1262,-20.4742,40,42,49,51,59,62,62,68,75,78,85,89,90,90,93,94,99,106,116,119,121,121,122,130,134,141,146,151,156,163,1.93716,1.23634,1.15989,1.133,1.0494,1.04576,1.00458,1.00221,0.991785,0.963415,0.930528,0.923211,0.898298,0.892821,0.863192,0.85846,0.835903,0.826381,0.813395,0.795038,0.78514,0.770342
9,2500,33,260,109.833,58.3616,12.1529,-7.29198,7.78121,-15.0399,-7.85721,-6.99583,-7.03098,-5.65145,-1.16387,-8.64235,-4.73188,1.57039,-8.46885,-11.5586,-7.88184,-11.2897,-4.12311,-4.71891,-18.019,-9.48459,-18.8246,-17.6144,-31.4892,33,36,41,46,55,58,68,70,74,78,80,81,89,90,94,95,96,100,102,113,114,132,157,171,177,185,186,203,211,260,2.11644,1.25127,1.15926,1.12084,1.06208,1.03513,1.00126,0.996225,0.963555,0.955009,0.919682,0.908003,0.885647,0.872957,0.846676,0.835135,0.82098,0.807694,0.801162,0.784845,0.765328,0.755612
