generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
0,250,0,10,3.33333,2.56412,2.04585,0.100636,0.0380968,-0.00959969,-0.255212,-0.0235481,0.0543765,0.17671,-0.214155,-0.203492,-0.230222,0.159297,-0.110976,0.0300973,-0.126586,-0.103914,-0.218624,0.0934647,-0.136946,0.049816,-0.0142585,0.11822,-0.308504,0,0,0,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,5,5,7,7,7,9,10,1.14191,1.11533,1.04922,1.02256,1.01851,1.0111,1.00253,0.996167,0.981317,0.978908,0.972776,0.968985,0.96646,0.964276,0.96185,0.961006,0.958952,0.957637,0.956744,0.956328,0.956072,0.955678
1,500,1,35,10.6667,8.14664,2.08571,0.215432,-0.25509,-0.74142,-0.506073,0.00261049,-0.00950483,-0.0745685,0.104627,-0.544012,-0.376789,0.11002,-0.643599,-0.154924,-0.737455,0.652847,-0.186822,0.644996,0.109791,-0.473202,-0.48065,-0.985078,-1.65192,1,2,2,2,3,4,4,5,5,5,6,6,7,8,8,10,10,11,12,12,13,14,14,15,15,19,21,23,28,35,1.19805,1.14564,1.10448,1.06817,1.05519,1.03843,1.01244,1.00233,0.989308,0.983988,0.966773,0.964441,0.961126,0.956473,0.947106,0.938461,0.937892,0.934425,0.929484,0.92742,0.922913,0.919503
2,750,10,78,31.5333,18.9568,2.27432,0.494815,0.77624,-0.83425,-0.304426,-0.850263,-0.622271,0.452223,-1.16575,-1.23767,-0.267587,-0.0283198,-0.849785,0.334707,-2.05919,0.486511,-0.572285,-0.731882,-0.0877162,-0.373753,-0.812587,-1.99055,-2.27572,10,10,12,12,12,13,13,14,19,21,23,24,27,27,27,28,30,32,32,33,35,35,35,45,49,53,57,62,78,78,1.28039,1.17125,1.12242,1.08524,1.06905,1.03747,1.01886,1.0021,0.99313,0.976514,0.961484,0.953698,0.946968,0.94582,0.928736,0.921802,0.917766,0.914835,0.901215,0.899987,0.896755,0.892964
3,1000,27,331,102.433,64.1096,2.51972,0.717579,0.953298,-0.933679,-0.527253,-0.375212,0.095703,-0.0723305,-1.19758,-1.09042,-0.206639,-0.0390412,-1.18642,-0.480039,-3.27999,0.487155,-1.50162,-0.980842,-0.761977,-0.697257,-0.432656,-2.51471,-4.01627,27,28,36,41,45,49,53,56,58,67,67,77,81,83,84,88,101,112,116,117,117,124,127,139,144,146,154,182,223,331,1.40225,1.21404,1.14328,1.08938,1.06789,1.04948,1.02682,1.00581,0.978054,0.958381,0.954696,0.952252,0.930984,0.92546,0.914704,0.903011,0.898176,0.892607,0.889664,0.881884,0.868464,0.861983
4,1250,34,210,110.067,42.638,3.15551,0.620449,0.414561,-2.16205,-1.08614,-1.18223,-1.40873,-0.38087,-2.82543,-2.23209,-1.52544,0.112126,-3.33072,-0.776508,-3.97532,-0.404321,-2.18062,-1.10318,-2.08606,-1.92473,0.56237,-3.6116,-5.48246,34,55,55,58,65,71,77,77,77,80,94,100,103,104,105,110,114,116,117,118,124,124,130,142,145,165,168,177,187,210,1.70247,1.20303,1.12524,1.09144,1.07384,1.0525,1.02445,1.00314,0.979821,0.962594,0.949794,0.940862,0.931003,0.9206,0.903514,0.897697,0.880763,0.875947,0.863045,0.859864,0.84922,0.832578
5,1500,32,609,186.9,115.664,3.53602,0.319453,0.437517,-2.0145,-1.45538,-1.48171,-1.64732,-0.571663,-3.36001,-1.91448,-1.95343,0.539536,-2.34262,-1.15754,-4.21048,0.221377,-1.41189,-2.76906,-2.67969,-2.24225,-1.20266,-3.97857,-7.09939,32,64,72,73,78,89,108,119,119,126,127,146,161,162,164,167,170,179,185,189,195,207,217,257,276,309,324,328,355,609,1.85336,1.24969,1.11554,1.0882,1.07702,1.04621,1.02118,0.996189,0.971359,0.954709,0.947907,0.940643,0.926555,0.920513,0.903397,0.888394,0.865314,0.855033,0.853224,0.838896,0.836479,0.813975
6,1750,69,315,156.667,62.4121,4.11648,2.51897,-0.234361,-2.39777,-2.66001,-2.42691,-2.44855,-0.859749,-3.58994,-2.72199,-2.83227,0.192483,-4.45581,-1.56123,-4.3667,0.229492,-3.65638,-3.53745,-2.77592,-3.32223,-1.73352,-6.10508,-9.40626,69,73,82,83,95,96,111,111,112,113,113,119,130,130,135,144,167,169,181,190,193,197,201,202,204,211,240,251,263,315,2.13217,1.21982,1.13945,1.10219,1.08404,1.03481,1.0101,1.00015,0.975765,0.956148,0.93644,0.919483,0.913495,0.91033,0.889249,0.869493,0.863682,0.85271,0.838391,0.831494,0.814259,0.798214
7,2000,49,246,124.5,55.002,4.71102,3.14488,-1.60679,-3.30388,-2.41911,-2.5625,-2.65921,-0.891041,-3.63907,-2.44784,-3.16668,0.00792189,-5.02395,-1.92771,-4.96448,-0.423332,-5.47677,-4.15709,-3.96017,-4.86183,-2.82619,-8.21345,-11.8878,49,56,59,66,71,74,76,83,88,93,93,98,107,109,118,121,122,123,125,127,140,144,152,159,161,196,210,224,245,246,2.29293,1.21083,1.14171,1.13319,1.07035,1.02178,1.01142,0.99085,0.982696,0.953331,0.931655,0.908416,0.896389,0.888294,0.872873,0.869163,0.854503,0.826956,0.819326,0.813189,0.797674,0.780484
8,2250,36,317,118.867,64.7199,5.61137,4.4502,-1.79296,-5.91087,-3.38767,-1.48366,-3.36776,-1.0961,-3.73519,-4.37764,-3.52695,-0.33215,-6.03023,-2.45626,-7.83811,-0.451738,-9.21154,-4.40916,-6.85565,-5.82542,-2.54341,-10.4516,-15.8012,36,46,46,55,59,62,64,65,66,69,69,82,91,98,106,116,121,124,126,136,147,158,163,167,177,178,203,204,215,317,2.62198,1.23913,1.1346,1.13294,1.07246,1.02473,0.988608,0.973121,0.957844,0.932747,0.9196,0.910937,0.890326,0.878044,0.860436,0.856054,0.842085,0.830106,0.814169,0.796377,0.790072,0.762746
9,2500,33,228,109.367,49.8401,7.14234,8.51413,-3.53662,-6.80472,-2.09642,-2.67232,-3.83291,-2.13818,-5.98279,-7.31393,-7.58263,-0.274775,-10.6164,-5.45815,-10.0466,-2.02506,-9.11259,-7.2182,-6.69968,-8.75154,-4.64292,-14.3224,-20.8647,33,43,63,65,66,66,75,75,75,75,76,77,85,89,93,93,93,108,110,120,125,143,149,153,170,172,175,181,205,228,2.91506,1.24008,1.13551,1.1068,1.06019,1.03601,1.02043,0.987865,0.980174,0.938863,0.921937,0.888081,0.870154,0.865001,0.848494,0.842722,0.835684,0.828604,0.791373,0.78189,0.768635,0.749505
