generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
68,17250,198,19317,2876.73,4110.95,1.34664e+06,124533,38177,-1.43242e+06,-937938,-1.60636e+06,-1.33506e+06,-371541,-1.94197e+06,-1.31641e+06,-1.07401e+06,-305958,-1.95317e+06,-1.42114e+06,-1.88849e+06,-1.94045e+06,-1.4374e+06,-2.01408e+06,-2.41645e+06,-1.66707e+06,-1.89929e+06,-1.58483e+06,-9.01641e+06,198,306,311,362,467,493,500,523,568,625,713,834,999,1053,1247,1319,1452,1627,1715,1744,2409,2818,3428,4790,5198,6125,6180,6797,12184,19317,6.05193,1.01273,0.88015,0.831311,0.745947,0.699824,0.670754,0.619573,0.57006,0.561093,0.51073,0.487107,0.466342,0.429139,0.420759,0.392453,0.369711,0.364026,0.334249,0.316077,0.298739,0.279269
69,17500,155,6022,1775.77,1546.94,1.60689e+06,132076,48840.9,-1.83223e+06,-1.09644e+06,-1.95851e+06,-1.50873e+06,-744381,-2.6839e+06,-1.64538e+06,-1.43196e+06,-342210,-2.29929e+06,-1.8836e+06,-2.61126e+06,-2.76671e+06,-1.74713e+06,-2.35783e+06,-2.82014e+06,-2.12871e+06,-2.62666e+06,-2.0693e+06,-1.14975e+07,155,216,220,292,312,327,469,509,667,810,945,1131,1133,1285,1309,1310,1383,1406,1690,1736,2258,2343,2622,2824,3031,3350,3829,4818,4871,6022,6.15378,1.04218,0.8628,0.825018,0.734649,0.695636,0.648401,0.604952,0.562702,0.551845,0.507508,0.487626,0.467003,0.423878,0.415426,0.384278,0.36317,0.358026,0.33092,0.308634,0.292357,0.277955
70,17750,175,7647,2449.67,2040.09,2.06236e+06,365891,-149158,-2.74251e+06,-2.08979e+06,-2.71642e+06,-2.32586e+06,-1.43754e+06,-3.94323e+06,-2.45517e+06,-2.5479e+06,2491.37,-2.96312e+06,-2.26574e+06,-3.81124e+06,-3.68415e+06,-2.2212e+06,-3.06858e+06,-3.73806e+06,-3.44431e+06,-3.86011e+06,-2.95985e+06,-1.51205e+07,175,255,380,382,425,482,725,891,1090,1106,1277,1315,1388,1629,1981,2030,2453,2472,2702,2770,2804,2816,3039,3844,4024,4927,5580,6079,6802,7647,6.50844,1.04168,0.85329,0.803995,0.717559,0.700187,0.650692,0.600344,0.553103,0.541353,0.510766,0.483914,0.474223,0.416746,0.412672,0.377895,0.359235,0.353396,0.32717,0.302972,0.287489,0.272613
71,18000,456,7818,3172.73,2157.83,2.63685e+06,1.36066e+06,-105730,-3.35958e+06,-2.37786e+06,-2.78379e+06,-3.26846e+06,-1.31143e+06,-4.39064e+06,-3.34149e+06,-2.89179e+06,-197793,-3.81436e+06,-3.14336e+06,-4.32862e+06,-3.95846e+06,-2.80535e+06,-4.24913e+06,-4.27114e+06,-4.11645e+06,-4.50911e+06,-3.33457e+06,-1.89937e+07,456,472,580,715,882,942,973,1457,1682,1758,1957,2209,2266,2556,2578,2905,3108,3202,3327,4142,4170,4359,4519,4870,5178,5323,6355,6829,7594,7818,6.61924,1.04018,0.850421,0.794585,0.71224,0.686092,0.641131,0.59795,0.542854,0.53159,0.513304,0.491962,0.458532,0.412614,0.404667,0.369749,0.361445,0.34656,0.324025,0.293419,0.283737,0.266638
72,18250,178,9785,2956.5,2124.31,3.36798e+06,1.82412e+06,403596,-4.57506e+06,-2.92398e+06,-4.68387e+06,-5.04534e+06,-2.39948e+06,-4.45808e+06,-3.67555e+06,-3.89723e+06,-106556,-4.90117e+06,-3.95073e+06,-5.78895e+06,-4.56014e+06,-3.83027e+06,-4.46691e+06,-5.08132e+06,-4.63957e+06,-5.43468e+06,-3.82101e+06,-2.36063e+07,178,233,326,981,998,1173,1350,1518,1621,1844,2461,2466,2494,2526,2574,2679,2806,2894,2992,3089,3212,3237,3369,4099,4379,4472,4992,6771,7176,9785,6.64871,1.02365,0.837528,0.786534,0.734901,0.668749,0.635084,0.592119,0.540085,0.519257,0.511214,0.492568,0.468583,0.410934,0.395882,0.366111,0.357747,0.342544,0.317956,0.285376,0.278621,0.260688
73,18500,346,11825,2942.2,3319.47,3.94232e+06,1.91904e+06,359286,-5.38205e+06,-2.96241e+06,-6.1338e+06,-4.96164e+06,-3.04429e+06,-5.39452e+06,-3.54213e+06,-3.39327e+06,-579936,-6.63289e+06,-3.92782e+06,-6.1043e+06,-4.98493e+06,-4.73237e+06,-6.31035e+06,-6.13735e+06,-5.45609e+06,-5.56381e+06,-4.35897e+06,-2.64111e+07,346,461,478,512,555,648,693,711,1027,1212,1293,1343,1368,1407,1453,1748,2134,2141,2431,2469,2810,2826,3437,3591,3830,4551,8578,10669,11719,11825,6.50994,1.00709,0.840891,0.807089,0.716621,0.664179,0.624822,0.580776,0.52726,0.518394,0.505058,0.498432,0.462911,0.404871,0.39723,0.361488,0.357258,0.339409,0.309895,0.283685,0.277593,0.254964
74,18750,112,6421,2322.03,1942.18,4.6666e+06,2.69656e+06,134759,-7.04369e+06,-3.82139e+06,-7.86845e+06,-6.41615e+06,-4.28793e+06,-7.10856e+06,-4.80728e+06,-5.77324e+06,-79535.5,-7.66478e+06,-5.26812e+06,-8.4351e+06,-6.88616e+06,-6.82488e+06,-7.53878e+06,-8.13722e+06,-7.82152e+06,-8.23999e+06,-5.89797e+06,-3.35831e+07,112,167,261,424,428,483,545,545,580,966,1226,1405,1455,1547,1828,1886,1934,2453,2501,2562,2648,3282,3749,3761,3774,5203,5447,5811,6257,6421,6.64398,1.0371,0.821646,0.797372,0.704278,0.656817,0.618536,0.590757,0.525014,0.519491,0.503264,0.496278,0.461212,0.398754,0.394025,0.355059,0.35102,0.339499,0.307558,0.281858,0.272371,0.254572
75,19000,261,17189,3792.27,4028.95,5.98087e+06,5.53803e+06,348442,-7.97696e+06,-6.91588e+06,-9.47637e+06,-6.67205e+06,-5.13515e+06,-8.22802e+06,-7.38129e+06,-8.70472e+06,930704,-8.75785e+06,-6.26492e+06,-1.04621e+07,-9.12193e+06,-8.62727e+06,-8.58812e+06,-1.17431e+07,-8.0491e+06,-9.92376e+06,-8.20731e+06,-4.33941e+07,261,291,468,468,526,534,628,678,690,1233,1684,1715,2521,2681,2692,2821,3174,3189,3364,3864,4010,4341,5218,5668,6202,7422,7509,8263,14464,17189,6.71488,1.05246,0.844361,0.796484,0.705527,0.648864,0.632565,0.590638,0.519982,0.515358,0.497887,0.486823,0.453809,0.399231,0.391293,0.359587,0.351381,0.331574,0.306589,0.280758,0.268095,0.251973
76,19250,331,13458,3066.6,2744,6.87418e+06,6.04404e+06,-379537,-9.33833e+06,-5.71861e+06,-7.89947e+06,-5.94569e+06,-5.12731e+06,-9.33544e+06,-5.48944e+06,-8.63828e+06,231218,-6.9557e+06,-5.25577e+06,-1.16295e+07,-1.03012e+07,-8.48116e+06,-9.53614e+06,-1.33779e+07,-7.24118e+06,-1.16655e+07,-7.38657e+06,-4.55781e+07,331,374,575,604,642,760,807,968,1252,1297,1412,1778,2130,2292,2393,2486,2555,2625,3326,3365,3908,4231,4304,4335,4864,5700,6214,6402,6610,13458,6.54402,1.05195,0.845812,0.792892,0.694728,0.631045,0.629143,0.573109,0.515352,0.50985,0.490553,0.474965,0.448403,0.4047,0.39172,0.36268,0.349614,0.331103,0.300765,0.273355,0.268087,0.24773
77,19500,39,7949,2491.57,1997.42,7.93909e+06,5.85881e+06,-2.09414e+06,-9.87278e+06,-1.09509e+07,-9.57381e+06,-7.04257e+06,-9.24226e+06,-1.08723e+07,-7.73883e+06,-1.06969e+07,-244711,-7.77547e+06,-5.8981e+06,-1.37182e+07,-1.04257e+07,-9.9679e+06,-9.44818e+06,-1.5609e+07,-8.99165e+06,-1.45156e+07,-8.37698e+06,-5.60804e+07,39,281,382,419,590,618,876,916,922,1057,1326,1548,1623,1946,2318,2356,2409,2589,2679,2702,2774,3457,3622,3680,3863,4703,4766,4865,7472,7949,6.57119,1.05132,0.836616,0.790208,0.70078,0.625626,0.620236,0.560446,0.522087,0.503364,0.476798,0.472979,0.454543,0.39846,0.386476,0.356339,0.341314,0.330584,0.293919,0.271614,0.263972,0.242549
