generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
0,250,0,15,3.9,3.74488,2.04579,0.307042,0.00143044,-0.147724,-0.0153785,-0.101579,-0.222276,0.0107248,-0.0117759,-0.435729,-0.172938,0.00839908,-0.0826561,0.0917385,-0.327639,0.135628,-0.215092,-0.0519501,-0.19506,-0.130476,-0.169921,0.306593,-0.183033,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,4,4,4,4,5,5,5,6,6,8,9,10,12,15,1.22716,1.09523,1.06392,1.05642,1.0408,1.01857,1.01365,1.00194,0.996246,0.98157,0.97728,0.973803,0.971343,0.96694,0.964177,0.961991,0.96021,0.957134,0.956769,0.956459,0.956183,0.95574
1,500,0,29,9.16667,7.85245,2.44405,-0.155622,-0.582113,-0.364781,-0.175862,-0.759604,-0.198132,0.1271,-0.523083,-1.13137,-1.14763,0.329501,-1.60435,0.814333,-1.49877,0.324061,0.195217,-0.506572,-1.28883,-0.403943,-0.364109,1.55824,-2.12959,0,1,1,2,2,3,3,3,4,4,4,5,6,6,6,8,8,9,10,11,11,11,12,13,15,16,18,26,28,29,1.45429,1.16774,1.10565,1.0783,1.06537,1.03287,1.01672,1.00772,0.988272,0.985997,0.977089,0.962127,0.958417,0.950667,0.946864,0.94196,0.937773,0.93504,0.930833,0.927908,0.921562,0.920187
2,750,6,47,21.3,9.44366,2.80719,-0.477096,-0.826573,-0.0453279,0.120131,-1.56301,-0.32021,-0.35643,-0.470794,-1.83343,-1.45149,0.658863,-1.44443,0.7104,-2.54039,-0.439889,-1.0707,-1.8337,-1.52002,-1.06499,-0.581225,1.29157,-3.26385,6,9,10,12,13,13,14,15,15,15,16,17,17,18,18,21,21,22,23,24,25,26,26,27,30,32,33,35,39,47,1.52203,1.15932,1.14564,1.10459,1.07686,1.03373,1.01709,1.00832,1.0001,0.99584,0.973114,0.961486,0.954735,0.945742,0.930082,0.924531,0.9197,0.909924,0.909037,0.903973,0.896659,0.890604
3,1000,9,48,27.9,10.2565,3.47449,0.680014,-1.29836,-0.925694,0.260001,-3.02699,-2.25175,-0.685971,-1.12236,-3.42147,-3.08667,0.722971,-2.81264,0.416169,-4.09854,-0.936274,-2.47899,-2.0588,-2.8005,-1.39613,-1.02652,0.388079,-4.06676,9,16,16,16,17,18,19,21,22,22,23,24,24,24,25,25,26,26,30,33,33,35,35,35,41,42,43,44,45,48,1.60881,1.16806,1.13185,1.09664,1.07452,1.06357,1.04402,1.01945,1.00368,0.987269,0.962179,0.948153,0.941725,0.928378,0.915029,0.908741,0.905831,0.899492,0.891162,0.885765,0.877402,0.866313
4,1250,12,86,39.9667,16.1448,4.18079,-0.0195451,-1.65707,-1.60087,1.04672,-3.07377,-2.83263,-1.13223,-1.49761,-4.30327,-3.81602,1.65595,-2.99906,-0.334667,-4.66041,-0.731166,-4.65781,-2.38459,-3.35792,-2.00555,-1.85594,-0.990193,-6.04665,12,17,18,19,22,27,27,28,31,31,34,35,36,38,39,41,42,42,43,43,45,48,50,53,54,55,58,60,65,86,1.6333,1.16618,1.15363,1.12009,1.08541,1.05896,1.02227,1.01135,0.995595,0.981905,0.947113,0.933826,0.92516,0.921199,0.910472,0.890785,0.882294,0.879719,0.877225,0.865931,0.860388,0.847316
5,1500,49,356,118.667,61.7952,5.18955,-0.585198,-1.19292,-1.57338,-0.728611,-3.05522,-2.06535,-2.2529,-2.73484,-4.11413,-3.27975,2.79379,-4.04506,-2.52303,-5.14904,-2.00677,-5.76277,-3.79028,-4.29967,-5.15945,-3.00653,-3.3033,-8.81361,49,52,56,60,61,62,80,80,80,87,93,93,93,97,103,106,116,116,119,127,129,134,148,152,171,177,182,190,191,356,1.65093,1.21848,1.14475,1.12936,1.08063,1.06726,1.03718,1.02058,0.993643,0.974336,0.955947,0.932355,0.924855,0.905236,0.892264,0.881118,0.870155,0.862158,0.859525,0.844349,0.837111,0.832388
6,1750,43,277,126.033,58.8379,6.17953,0.324578,-0.0957857,-4.22879,-0.601059,-3.69396,-0.289241,-1.98455,-3.48974,-3.65309,-4.78502,2.70797,-6.30339,-3.61166,-5.26964,-3.38517,-7.49661,-4.47684,-6.26807,-5.71517,-2.65106,-4.16326,-10.8284,43,57,60,69,69,73,81,82,87,90,91,100,103,111,113,122,123,130,131,135,139,144,149,158,172,182,198,221,271,277,1.63949,1.18928,1.15213,1.10492,1.08955,1.04494,1.03934,1.00856,0.970575,0.954072,0.941274,0.923582,0.909549,0.888733,0.882125,0.869124,0.867205,0.849167,0.843224,0.829415,0.824486,0.808277
7,2000,25,157,84.5333,36.4878,7.34808,-2.37484,0.737556,-6.02003,0.698579,-4.01595,-3.62093,-0.924525,-4.80105,-4.85409,-7.42663,2.43405,-8.81982,-3.17489,-5.84696,-5.06499,-10.3333,-5.70988,-7.01039,-7.06971,-2.17205,-6.12751,-13.6327,25,31,31,39,40,50,60,61,66,67,67,71,71,74,76,82,87,91,92,94,97,99,115,116,117,130,132,149,149,157,1.65272,1.24085,1.1498,1.0776,1.06984,1.0432,1.02505,0.996701,0.977053,0.949853,0.928781,0.924176,0.90158,0.88109,0.877382,0.862048,0.846799,0.83868,0.826842,0.815218,0.802185,0.797461
8,2250,30,237,109.667,57.4482,8.85389,-2.60394,-0.842577,-5.82597,-1.94805,-3.83369,-5.34624,-1.18433,-3.34695,-8.07045,-11.5909,4.93723,-12.67,-4.48542,-7.80432,-1.00268,-12.1915,-8.04249,-7.61741,-6.83625,-3.96048,-8.22751,-19.1447,30,39,39,54,60,64,66,68,73,75,78,79,84,86,89,94,94,112,114,116,122,131,134,161,171,180,199,214,227,237,1.65965,1.23103,1.15456,1.10324,1.06056,1.04175,1.02503,0.994495,0.962651,0.954545,0.930201,0.921544,0.894341,0.876211,0.869048,0.854184,0.848248,0.831203,0.817685,0.810155,0.789449,0.783334
9,2500,62,234,129.367,44.4185,11.1723,1.15936,-3.78829,-7.52548,-1.95951,-9.93145,-7.68633,-3.34312,-8.50811,-7.91097,-14.5449,1.97051,-18.5891,-4.55771,-15.132,-0.704809,-13.3372,-12.3724,-8.77308,-10.6647,-5.3603,-4.91612,-26.8348,62,70,83,88,92,93,97,101,102,102,106,111,111,112,115,119,124,127,130,134,135,142,144,153,179,188,195,206,226,234,1.7717,1.2488,1.16655,1.08946,1.04996,1.03598,1.00855,0.995456,0.981166,0.942378,0.932751,0.906301,0.881915,0.862277,0.85771,0.840594,0.83346,0.823257,0.817515,0.790127,0.777293,0.763257
