generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
0,100,0,4,1.1,1.26899,2.1596,6.30582,1.45878,2.17645,-6.99324,-9.46647,1.03426,-6.07278,-4.5939,-0.769451,-1.55042,-1.91665,-0.500965,4.25256,-0.640568,1.69586,-2.62614,1.81641,-2.0401,-3.6485,-3.11438,-4.8932,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4
1,200,0,7,2.76667,2.20788,-0.16216,6.23387,-4.72824,4.02833,-8.75983,-12.2411,1.80154,-0.349855,2.70287,-1.63424,-2.96177,-9.61899,-5.20945,4.0647,-6.71638,-0.707282,-1.37122,3.57471,-0.30888,-6.74044,-4.58229,-7.62046,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,5,6,7,7,7,7
2,300,0,9,3.9,2.30965,-0.875923,4.16235,-6.34715,6.32869,-9.69479,-11.4393,-0.657876,-0.606538,-1.61777,-3.01046,-8.05512,-9.01128,-4.66888,2.82198,-9.88865,-4.11655,-1.17834,2.61137,-3.47041,-17.0716,-4.57551,-10.4372,0,0,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,8,8,9,9
3,400,1,20,7.63333,3.66233,5.41676,1.44584,-7.05484,7.75189,-6.76392,-5.5723,-4.68727,-3.6592,-1.68137,-4.27973,-9.08239,-11.6003,-7.62402,2.45421,-10.8053,-5.44664,-3.47859,-0.362151,-2.52446,-21.8945,-7.34978,-12.8422,1,3,4,4,4,5,5,6,6,6,6,6,6,6,7,7,7,7,8,8,9,10,10,11,11,11,11,12,12,20
4,500,9,55,27.5667,12.8027,7.83598,-0.455627,-7.60726,0.321498,-7.88972,-6.31662,-4.73842,-2.6318,-3.53044,-4.88974,-9.89472,-8.54252,-9.18395,1.66912,-13.4061,-7.95432,-6.07593,-0.574871,-2.48945,-19.4311,-10.3098,-14.8073,9,11,12,13,13,15,17,18,20,22,22,24,24,24,25,25,26,28,28,28,30,31,35,38,39,44,45,53,53,55
5,600,21,98,49.4333,18.2392,10.2966,-2.90676,-9.94575,1.1043,-7.40524,-8.53509,-6.87415,-4.58819,-5.08457,-7.27543,-7.99847,-11.2721,-9.72195,-1.0901,-15.3634,-9.33142,-6.62211,-1.04178,-2.38373,-15.6215,-12.5861,-17.3932,21,26,29,31,31,32,33,34,34,36,38,38,47,48,49,50,50,50,52,54,55,56,61,66,69,70,71,73,81,98
6,700,19,159,70.1333,34.1576,9.39421,-5.0435,-9.64743,-2.68587,-7.44914,-8.35757,-7.71906,-5.03375,-4.44657,-8.7525,-7.26431,-10.3981,-8.24825,-1.94321,-13.9003,-11.6139,-6.13819,-1.4968,-2.71654,-15.4821,-13.8118,-19.5512,19,24,26,28,30,31,31,43,51,51,62,63,66,67,74,75,76,77,78,78,80,81,89,92,95,96,101,117,144,159
7,800,23,106,63.8667,24.6293,6.18682,-3.08736,-12.6576,-2.8172,-7.9707,-7.86613,-8.55525,-4.04443,-4.38571,-9.19895,-6.23602,-11.0305,-7.05711,-2.28986,-16.0837,-9.95716,-4.97509,-3.78214,-1.86588,-14.5176,-15.2732,-21.1843,23,34,36,37,38,38,39,39,40,40,45,46,57,57,64,69,70,74,75,77,80,81,83,85,93,93,95,98,104,106
8,900,30,132,75.6,24.6669,5.71515,-2.64145,-14.0701,-4.07278,-8.66491,-7.08821,-9.03426,-5.15423,-4.04167,-7.94905,-5.547,-7.56744,-6.48394,-3.1594,-14.394,-10.0807,-6.5603,-4.94861,-3.21921,-13.9285,-18.1064,-22.2254,30,41,43,45,45,50,54,62,62,63,64,66,68,68,68,74,76,80,89,89,90,92,95,99,99,100,100,108,116,132
9,1000,32,218,106.067,52.3924,4.54342,-0.709985,-15.2595,-4.0031,-9.19144,-6.82796,-7.98412,-5.92331,-4.17725,-8.00957,-3.85584,-7.70054,-5.91766,-2.24619,-10.7172,-10.4903,-6.27019,-5.80445,-3.89159,-13.7389,-17.014,-24.782,32,40,45,52,52,52,55,57,57,60,74,78,91,98,104,107,109,116,117,127,132,134,139,146,154,162,167,195,212,218
10,1100,36,191,99.2,39.4072,1.63781,0.0154896,-14.9952,-4.66382,-7.0855,-7.24317,-7.28901,-7.18184,-5.05676,-6.04985,-3.95756,-10.3788,-5.72421,-1.79354,-11.573,-11.9381,-9.34598,-6.79524,-3.85376,-14.1247,-15.7968,-26.0858,36,37,59,60,62,64,67,69,71,74,76,77,86,86,89,92,104,104,107,110,116,117,128,129,137,143,148,159,178,191
11,1200,44,200,102.7,44.6597,1.61273,1.00325,-14.666,-5.70694,-6.73747,-6.8816,-8.37355,-6.99189,-6.27162,-5.09795,-3.47458,-11.4446,-5.77265,-2.37943,-12.03,-10.2169,-11.5432,-5.67279,-4.31543,-13.3258,-14.7803,-26.8716,44,48,50,51,60,61,65,69,73,75,76,80,83,85,87,88,93,110,112,112,122,124,129,146,149,155,157,183,194,200
12,1300,24,351,129.367,77.5182,7.10584,2.87154,-13.4116,-5.79786,-8.90286,-6.31298,-7.91783,-7.02324,-7.02225,-7.34032,-5.54063,-11.6206,-7.07154,-3.61991,-10.3527,-9.72919,-11.7397,-6.8246,-6.38867,-12.2799,-14.7929,-27.7374,24,40,45,48,49,49,55,72,76,84,88,95,97,108,108,113,123,133,139,146,153,171,180,186,210,220,225,227,266,351
13,1400,38,232,96.2,48.6319,6.71204,4.04543,-14.114,-4.50952,-11.1531,-5.43577,-8.43666,-5.61794,-6.57343,-7.82141,-4.91311,-11.4208,-7.80277,-4.59572,-10.6336,-9.91117,-10.7324,-7.61724,-6.39283,-12.7142,-13.9445,-29.1878,38,39,50,58,59,60,61,64,66,67,68,71,75,77,79,84,86,89,90,92,99,100,114,133,142,149,156,172,216,232
14,1500,54,371,137.467,62.6868,6.38593,3.56712,-13.8896,-6.63343,-11.3414,-6.62891,-9.09965,-4.87855,-9.21716,-8.47337,-2.45312,-10.0412,-8.38285,-5.30707,-10.1489,-9.70051,-9.86759,-7.07581,-5.09512,-13.3822,-13.2529,-29.4826,54,62,65,75,80,83,92,98,102,105,107,111,121,123,130,137,137,140,147,151,151,152,157,164,182,194,204,214,215,371
15,1600,43,392,174.5,80.9741,7.78733,3.6136,-13.3161,-5.61207,-10.5831,-6.5438,-10.7112,-4.49527,-8.73319,-6.93158,-3.08401,-9.56029,-6.98743,-7.3398,-10.1339,-10.6764,-8.97466,-8.22431,-3.62155,-10.9221,-12.6328,-31.238,43,52,56,71,94,104,107,113,124,138,140,146,155,167,171,178,185,186,187,197,199,211,219,222,253,257,284,290,294,392
16,1700,30,326,161.633,71.1068,6.61662,3.81215,-11.4664,-5.38514,-9.04211,-5.50098,-9.73999,-3.22029,-6.58411,-5.49377,-3.41459,-9.06362,-7.40211,-8.15451,-11.3452,-10.642,-10.0808,-7.3013,-2.44806,-9.68164,-12.92,-33.4726,30,60,63,77,93,93,110,115,124,125,126,134,150,153,158,159,160,169,171,176,179,210,212,214,215,228,248,253,318,326
17,1800,27,527,164.6,107.391,6.20263,2.1227,-12.9592,-8.23186,-8.23538,-6.96836,-11.0396,-3.43667,-6.73828,-7.62976,-3.98335,-9.69446,-7.73544,-9.8325,-11.3984,-10.0641,-12.2431,-8.26008,-3.20017,-9.64056,-11.9466,-34.7017,27,49,67,67,70,76,97,100,103,104,107,115,118,120,131,155,159,165,170,174,195,197,198,212,217,258,260,270,430,527
18,1900,68,501,187.467,100.282,3.24933,3.12133,-11.9898,-6.30964,-7.12117,-6.84707,-11.6237,-4.98653,-8.62782,-8.46178,-4.21304,-11.2597,-6.90985,-9.73931,-10.6574,-11.4795,-11.9112,-7.45034,-1.16868,-10.2388,-10.5542,-36.8827,68,72,82,86,94,99,108,120,123,128,141,145,157,165,167,172,175,177,181,183,198,199,219,252,260,314,333,337,368,501
19,2000,49,742,237.233,186.679,1.93318,1.91121,-10.6926,-6.72771,-8.74936,-5.42932,-12.0305,-5.56994,-7.48766,-8.85557,-4.28348,-9.5401,-6.303,-9.82919,-11.6774,-9.55476,-11.6623,-6.68964,-0.405945,-8.78159,-11.9789,-37.1425,49,71,74,79,94,94,97,97,110,122,141,152,164,165,168,182,201,215,227,232,245,248,264,274,355,407,513,628,707,742
20,2100,28,649,203.767,143.772,2.05284,-0.927077,-9.62789,-6.46151,-9.55409,-5.28767,-12.1948,-4.45841,-7.59775,-8.49418,-5.14682,-9.71888,-7.20228,-9.36412,-11.2388,-11.1049,-10.9088,-8.51601,0.0732287,-10.7754,-11.8375,-42.529,28,69,72,72,76,79,100,119,121,121,122,128,147,158,160,166,174,180,190,204,214,233,252,281,336,337,378,400,547,649
21,2200,12,368,143.533,90.2539,1.29893,-3.47042,-9.00309,-6.01877,-11.491,-4.3048,-9.46212,-5.87049,-8.38597,-10.4105,-4.77914,-11.0821,-6.82025,-8.5639,-11.9311,-13.875,-12.7256,-9.23999,-1.53607,-11.2953,-12.0394,-44.6981,12,37,53,58,59,64,64,79,99,99,101,106,110,111,113,121,132,144,148,151,166,174,191,195,206,216,235,342,352,368
22,2300,63,834,191.267,163.891,1.93641,-4.17792,-10.2426,-5.93974,-12.6673,-3.93448,-9.90506,-7.84991,-9.57846,-8.64673,-4.01747,-10.1216,-9.33137,-10.746,-12.5542,-12.4849,-13.7456,-10.4742,-0.668382,-14.5551,-12.9496,-47.3709,63,65,68,77,78,90,94,95,105,106,109,121,125,128,130,143,162,171,185,195,197,203,210,244,260,264,273,323,620,834
23,2400,26,364,169.3,102.093,2.75792,-1.87019,-10.6309,-6.09554,-13.3464,-3.07349,-9.83011,-8.01244,-9.63779,-9.12895,-4.31941,-10.385,-8.4733,-10.3471,-11.5324,-12.7777,-16.1526,-12.495,-1.28423,-14.1395,-12.4245,-46.5166,26,31,45,49,63,65,84,107,107,110,113,113,121,128,142,165,165,167,180,186,190,198,259,291,297,308,323,330,352,364
24,2500,52,648,226.3,137.929,3.1439,-1.41804,-11.9252,-6.99317,-14.6878,-3.97118,-10.226,-6.75946,-10.2791,-10.2565,-4.22817,-13.0004,-7.84457,-10.2808,-12.3496,-12.4974,-15.5934,-10.5585,-3.35899,-15.9213,-12.7699,-50.6094,52,72,79,94,112,121,121,125,145,156,159,173,179,183,208,212,213,218,223,247,255,264,287,293,293,333,350,358,616,648
25,2600,54,777,230.533,171.299,0.990796,-2.08503,-11.8423,-6.45939,-15.9078,-3.87403,-10.7256,-6.07735,-9.26674,-9.78652,-4.70833,-12.3844,-7.35266,-11.4424,-11.9976,-13.3661,-14.4626,-12.3693,-6.70519,-15.6366,-13.5117,-51.1601,54,58,73,90,90,118,125,127,137,138,138,141,158,178,202,207,212,213,216,227,234,250,252,269,284,317,380,599,652,777
26,2700,61,582,215.133,119.632,2.59641,-2.18719,-11.6045,-7.67117,-16.3331,-3.24386,-10.5675,-9.98395,-9.7457,-7.87402,-4.33087,-13.3088,-9.61302,-11.2655,-11.5987,-12.7012,-14.329,-12.3485,-6.14039,-14.4934,-13.5432,-53.6899,61,61,102,106,111,113,116,126,130,137,141,167,186,191,193,199,200,209,217,218,251,251,265,270,276,326,411,418,420,582
27,2800,75,894,269.667,191.553,1.31687,-2.13444,-11.0865,-8.29926,-14.3635,-4.93228,-8.65164,-8.85961,-7.5115,-10.4504,-3.83668,-14.2641,-6.91559,-13.9448,-12.4427,-13.4719,-14.5029,-14.9016,-6.71421,-13.8349,-11.3895,-56.0145,75,84,88,100,110,120,128,129,135,141,142,149,152,205,212,231,264,268,268,294,310,312,323,323,421,494,515,584,619,894
28,2900,61,915,338.067,208.75,4.61985,-1.79058,-10.822,-8.74271,-12.4668,-7.27093,-8.88234,-8.20896,-7.86954,-10.5646,-4.08173,-14.5101,-7.72808,-13.6987,-11.6167,-14.991,-14.4423,-13.721,-5.11254,-12.247,-9.07962,-55.5262,61,73,87,101,135,140,147,161,169,214,230,246,249,270,301,317,323,331,366,422,434,452,454,542,552,567,588,635,660,915
29,3000,52,1019,353.733,210.297,3.11947,-1.3167,-9.94052,-8.55706,-11.0057,-7.93867,-8.78436,-7.20595,-9.24231,-11.6804,-2.8366,-15.6152,-8.96894,-11.4454,-12.3479,-15.5349,-14.6646,-12.9527,-3.79545,-12.1731,-7.39689,-55.8315,52,59,74,148,175,176,193,227,229,255,266,295,303,306,315,320,328,334,365,395,396,405,464,492,497,553,558,670,743,1019
