generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
0,100,0,12,3.36667,3.21079,4.33885,1.71726,0.604711,4.80323,5.22956,0.78549,0.0309176,1.09302,-3.78092,-4.7215,-7.88944,-7.06765,-1.23202,-6.04303,-1.64361,-1.06465,-1.84395,-3.90502,5.14668,1.03975,-1.777,-7.97533,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,4,4,5,5,5,6,6,6,7,7,8,9,12
1,200,5,33,13.7,6.59754,6.27101,3.45899,-4.64987,1.75139,-0.069934,0.0862883,-1.80596,-0.868065,-3.67256,-7.58759,-10.963,-7.05666,-1.60361,-13.3921,-5.70195,-3.64239,-2.57055,-7.43365,5.28377,-4.06198,-2.25936,-13.8539,5,5,7,7,7,8,8,8,9,11,11,11,12,12,12,13,13,13,13,14,14,17,17,18,20,22,22,24,25,33
2,300,13,191,54.1,36.2723,6.33927,5.33623,-5.25218,-2.02145,-3.99607,-2.82402,-4.98612,-2.04181,-4.7944,-10.2326,-8.37369,-5.41708,-7.29549,-13.2972,-14.7657,-5.71172,-4.13274,-11.4173,-2.41698,-6.80026,-4.93982,-20.8727,13,16,26,26,29,29,29,30,31,32,33,37,37,44,45,46,46,46,54,56,56,61,63,69,79,86,93,106,114,191
3,400,17,93,47.7333,18.4577,5.77483,8.05327,-8.5885,-2.54151,-2.58166,-3.35444,-6.0747,-8.81341,-4.71587,-11.0777,-7.83031,-7.41153,-13.5209,-16.5565,-16.6719,-8.30856,-3.61988,-13.044,-1.1922,-4.43001,-8.89408,-25.0998,17,22,24,31,33,34,36,37,37,40,40,40,41,41,44,44,46,46,48,48,50,55,56,58,59,70,74,76,92,93
4,500,26,190,83.2,40.5551,6.70899,6.26078,-7.9611,-0.845012,-3.68575,-2.69849,-6.84556,-10.2991,-2.46657,-13.0063,-3.16018,-5.92829,-13.9567,-19.0011,-22.312,-13.3649,-5.62865,-11.8321,-0.900112,-5.85809,-9.19631,-33.8135,26,27,28,34,40,43,45,48,65,67,69,70,76,76,77,81,82,88,88,91,97,102,104,109,114,117,124,152,166,190
5,600,38,227,92,48.786,6.10426,5.68375,-9.48366,-2.34867,-5.87581,-3.19,-6.65323,-10.297,-2.7926,-15.0289,-2.55849,-8.13505,-15.2779,-19.5422,-20.0649,-15.9242,-6.67155,-10.2314,1.08473,-5.53058,-12.4432,-39.8716,38,47,47,48,51,54,55,57,59,63,63,63,67,70,76,77,85,95,98,100,103,105,107,117,123,125,128,193,219,227
6,700,45,415,157.767,83.0732,6.00284,3.71534,-11.1011,-2.51476,-6.89179,-2.48183,-6.08064,-10.5831,-2.58786,-12.3714,0.930735,-8.64794,-12.8906,-14.8576,-19.9921,-18.5437,-7.04666,-9.33804,1.296,-6.79168,-12.7447,-44.2129,45,51,59,59,61,76,91,93,112,117,132,132,133,143,146,158,162,162,167,168,176,183,189,211,211,251,256,287,287,415
7,800,11,334,150.1,86.9079,8.37676,3.32738,-8.45053,-0.992917,-6.93131,-2.79266,-7.25149,-9.44278,-3.59714,-11.7345,4.34185,-8.46415,-13.856,-12.1634,-20.1205,-19.2218,-9.88585,-8.46835,0.453411,-8.04806,-16.2486,-45.8062,11,37,38,45,48,52,70,72,84,106,108,128,131,141,143,162,166,168,171,181,186,191,199,204,207,222,263,306,329,334
8,900,6,326,122.433,81.0873,8.06982,3.95144,-9.80467,-1.7161,-6.49496,0.696577,-7.2796,-9.07018,-3.68299,-10.8183,3.12,-4.54722,-14.2659,-11.2972,-20.1912,-15.844,-9.53868,-8.81994,-1.40898,-6.43147,-15.8538,-45.2638,6,11,33,50,54,61,67,77,78,80,86,86,87,94,95,99,103,122,123,126,127,142,155,174,183,193,265,273,297,326
9,1000,17,298,128.733,60.6402,6.46971,3.50243,-11.4752,-0.0190065,-6.19191,-2.03785,-6.96116,-7.80119,-4.34449,-11.156,3.08412,-4.18288,-14.3065,-15.0382,-18.2686,-14.7881,-10.0193,-9.18849,-0.870238,-5.92891,-18.8083,-45.6098,17,26,46,57,63,77,86,87,101,104,110,110,115,117,122,123,133,143,145,145,156,163,165,173,179,188,191,195,227,298
10,1100,44,493,179.267,111.019,6.00708,2.83132,-10.6842,0.805744,-6.80841,-1.99069,-7.1955,-8.13072,-4.26684,-11.6004,2.93025,-7.19003,-12.1589,-14.512,-18.2012,-13.8795,-9.82854,-8.89311,-1.66787,-7.776,-18.9553,-48.0951,44,74,81,86,88,92,103,103,105,109,121,123,123,125,136,144,161,171,172,178,195,201,208,221,303,304,319,334,461,493
11,1200,41,381,165.867,104.795,6.00266,3.26682,-12.4037,-0.748167,-9.51581,-1.86968,-10.6808,-8.65625,-2.47918,-11.8761,4.86285,-8.82235,-13.5217,-13.775,-18.9024,-9.11432,-12.5847,-8.32807,-2.54656,-5.6077,-19.0448,-50.0439,41,42,49,50,55,58,71,89,89,90,94,102,112,126,136,140,153,184,194,198,205,213,234,240,298,303,311,348,370,381
12,1300,31,375,156.5,90.7326,6.11049,3.24333,-12.291,-0.215754,-9.47225,-2.25051,-10.4965,-8.57841,-1.73439,-12.6873,6.13218,-8.67413,-15.0099,-11.6783,-17.8511,-9.85786,-13.3206,-8.51307,-3.4922,-5.08079,-23.2995,-50.4175,31,32,47,66,71,76,82,90,91,106,113,114,115,129,131,156,160,169,171,173,178,196,197,198,214,246,296,315,357,375
13,1400,35,485,174.967,107.444,5.73386,3.54613,-10.6009,-0.141073,-11.1768,-3.08917,-10.5083,-9.43525,-3.44321,-12.4223,5.92588,-9.05573,-13.5866,-12.1012,-16.3475,-10.8956,-12.7692,-8.18376,-3.70333,-7.37526,-22.7338,-52.4548,35,53,54,68,68,83,84,90,91,99,115,116,127,127,158,170,176,178,179,199,215,218,228,273,277,290,298,308,387,485
14,1500,46,536,199.033,131.262,8.1966,3.82317,-10.0928,-1.42334,-9.92436,-5.03833,-9.89334,-8.91183,-1.43422,-12.3425,5.48943,-12.1649,-11.768,-12.045,-15.056,-9.41957,-11.8431,-8.02033,-2.4582,-5.41542,-22.2337,-54.373,46,47,59,70,75,78,84,101,118,119,127,138,145,167,176,180,185,187,195,206,210,229,230,259,336,368,387,421,492,536
15,1600,27,771,218.1,183.461,8.95729,2.55659,-10.0625,-2.19514,-10.5718,-4.3168,-10.2185,-8.81971,-3.00011,-13.4505,5.22369,-11.3257,-11.4113,-13.4857,-15.8491,-9.8022,-10.1628,-7.36988,-2.66977,-7.42387,-22.3116,-52.3238,27,48,54,64,65,80,88,102,103,105,118,135,138,140,145,148,150,168,170,203,267,282,296,310,358,398,408,558,644,771
16,1700,29,776,176.767,144.776,9.37183,2.84714,-10.5642,-2.66763,-12.0086,-4.48288,-11.6672,-10.1372,-2.44151,-13.7807,5.7814,-10.5988,-13.1742,-14.5285,-14.8976,-9.54518,-9.10559,-8.38607,-2.69732,-8.51383,-20.6191,-54.0709,29,47,51,87,94,97,98,100,100,100,103,105,106,111,128,129,129,136,161,163,175,187,210,261,276,317,337,340,350,776
17,1800,11,560,205.833,138.151,9.0018,3.19968,-9.0126,-3.4804,-11.68,-5.07775,-9.46597,-10.7358,-3.24596,-12.3498,5.55272,-10.9903,-7.74729,-13.7432,-16.7476,-9.18624,-7.41987,-7.73214,-3.52979,-9.09955,-22.4136,-54.0069,11,21,38,78,87,91,95,97,118,118,138,142,144,146,148,171,184,215,235,239,265,281,282,283,317,358,388,458,467,560
18,1900,32,751,252.333,171.361,9.27358,3.18149,-8.67795,-3.11638,-12.1549,-5.19877,-8.08362,-11.3832,-3.16103,-11.0027,5.814,-13.1128,-6.90376,-13.7678,-14.7742,-9.88075,-9.18698,-7.46148,-3.3164,-9.71127,-21.3548,-53.4049,32,62,90,110,114,132,136,141,153,157,159,162,164,173,193,207,218,231,236,277,282,290,292,325,407,420,436,570,650,751
19,2000,65,804,257.267,172.767,7.6697,2.01104,-10.5204,-2.88091,-12.4141,-3.71546,-6.69944,-10.7976,-4.32318,-11.3252,5.2162,-13.3061,-6.86999,-12.2351,-15.7279,-9.23852,-10.7695,-6.2999,-3.05214,-10.3044,-18.2927,-55.8132,65,70,85,91,93,95,108,130,135,144,162,166,166,204,213,219,225,261,280,289,291,315,374,376,384,407,490,519,557,804
20,2100,21,841,232.033,174.494,8.7215,4.09867,-9.16265,0.501205,-10.3404,-3.60151,-6.28039,-10.449,-2.60007,-10.9049,4.47055,-14.3129,-7.96872,-13.4627,-16.2372,-10.9467,-9.76773,-6.97223,-1.81436,-12.0037,-18.3952,-57.4454,21,22,37,56,74,75,78,122,130,140,163,165,179,188,194,198,199,240,261,267,270,297,313,322,333,340,446,450,540,841
21,2200,34,1014,362.533,266.265,10.5682,5.47692,-10.5453,-2.31527,-10.6644,-2.98376,-5.2776,-10.3498,-4.76547,-11.5165,4.93091,-14.9452,-7.66051,-13.5322,-17.6667,-12.6455,-10.3425,-6.78506,-2.56899,-12.1197,-18.5655,-58.5205,34,67,96,109,111,126,129,132,201,240,246,248,251,262,288,291,314,329,357,379,396,405,420,552,635,665,754,872,953,1014
22,2300,54,1022,259.267,196.241,10.5276,7.19809,-9.76521,-2.69841,-9.21174,-3.92139,-4.08388,-10.4595,-5.27551,-10.7327,5.42377,-13.4259,-7.16252,-13.5807,-15.4486,-12.8472,-11.9761,-6.44082,-4.18881,-11.7378,-16.7897,-58.277,54,84,85,108,109,128,153,159,160,162,163,169,170,184,202,208,209,217,219,222,260,275,316,341,383,421,473,512,610,1022
23,2400,70,1346,459.167,304.353,8.97865,7.5585,-8.162,-5.51957,-7.17681,-2.65764,-3.44733,-8.56404,-4.21874,-9.01212,6.6448,-12.3349,-7.96712,-12.5862,-14.9584,-12.3604,-10.7912,-10.0974,-5.89445,-12.2126,-17.0197,-58.9428,70,97,149,153,187,219,246,284,290,295,301,328,331,383,389,404,420,425,427,458,497,543,574,575,631,764,820,990,1179,1346
24,2500,54,1527,526.867,380.104,10.5742,6.94877,-8.11246,-2.17559,-5.73484,-3.67116,-2.06128,-9.18986,-4.57958,-8.21755,7.00556,-12.3203,-8.24229,-12.8124,-15.5564,-12.4484,-9.10919,-9.59625,-6.22006,-14.2064,-15.669,-60.1399,54,90,141,144,155,167,196,198,216,255,280,308,317,457,464,467,527,550,564,639,652,759,767,797,803,911,939,1060,1402,1527
