generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
25,2600,48,456,193,110.833,-0.18433,-0.763166,-16.3427,-12.0817,-11.7798,-10.3049,-13.2848,-10.2594,-10.3485,-20.2074,0.95368,-11.2053,-13.4974,-9.62512,-9.45869,-7.72552,-7.26953,-3.71762,-7.40783,-8.91094,-14.3882,-39.5144,48,50,65,74,78,85,86,99,119,123,135,140,144,168,173,173,207,207,213,217,224,234,253,254,312,318,332,369,434,456
26,2700,20,457,209.167,106.005,-0.466396,-0.0308415,-17.1045,-13.9227,-13.4844,-9.81149,-14.1739,-10.1921,-11.2023,-18.728,0.524199,-11.5165,-11.6072,-9.04151,-8.78722,-8.36512,-6.48182,-4.64913,-6.97171,-10.5323,-13.9702,-42.1245,20,55,101,109,119,120,126,127,131,137,143,163,170,171,179,183,199,207,223,243,261,287,296,300,310,321,351,353,413,457
27,2800,35,501,199.733,130.548,1.69346,0.171901,-19.0013,-16.2424,-11.0826,-8.50786,-15.3727,-10.04,-11.8736,-19.6702,0.13853,-10.4305,-11.4683,-10.0058,-8.36429,-8.61776,-9.61226,-4.37391,-6.55604,-11.1249,-14.7574,-42.8335,35,57,59,83,86,92,103,105,110,114,116,122,124,126,128,139,170,189,192,254,261,276,277,314,316,346,402,447,448,501
28,2900,43,473,212.7,137.691,2.86887,-0.0544617,-19.1091,-16.0292,-11.4342,-9.38705,-16.422,-10.7303,-12.614,-18.0463,0.0613248,-12.2924,-11.0946,-14.0747,-10.5651,-7.81068,-9.85868,-3.36,-8.75387,-9.91331,-15.3554,-44.5518,43,45,61,82,84,84,89,98,101,103,103,105,113,143,146,154,181,231,276,311,318,352,366,367,368,375,386,400,423,473
29,3000,100,433,205.767,98.3988,1.75104,0.130629,-18.4342,-15.1263,-12.0726,-10.5755,-17.3532,-11.253,-12.5863,-20.7118,-0.275548,-14.9769,-12.9681,-14.14,-10.018,-9.21051,-10.1803,-5.42019,-9.25003,-8.41748,-14.5141,-47.5613,100,107,107,110,110,122,134,136,136,139,140,142,153,162,166,172,181,198,212,216,216,240,257,288,301,327,372,374,422,433
30,3100,74,1177,285.2,233.391,-0.943748,0.247568,-19.683,-14.7159,-12.0826,-13.7875,-17.6908,-12.9105,-12.1369,-20.7617,-0.412654,-12.2733,-13.2361,-14.2216,-11.9194,-7.77825,-10.9683,-5.5379,-9.73947,-9.48974,-14.3535,-46.7731,74,77,79,79,90,93,104,117,119,119,120,133,136,166,182,251,300,301,305,395,395,395,399,411,455,486,499,529,570,1177
31,3200,54,865,197.667,150.517,-2.12123,-0.642932,-21.7037,-16.1463,-12.3349,-15.0178,-16.919,-12.918,-11.6523,-21.0967,-0.691618,-13.482,-11.8617,-14.0858,-11.5275,-7.6835,-10.6757,-6.85509,-9.55407,-9.50571,-13.0181,-48.5973,54,66,76,86,105,106,106,110,111,113,115,123,128,134,146,178,200,205,213,217,226,229,244,249,258,274,287,327,379,865
32,3300,56,471,213.6,118.55,-2.25028,0.929726,-20.7147,-17.2146,-14.1416,-15.2438,-17.1049,-12.7542,-12.5682,-21.3717,-0.0375958,-11.3544,-10.8061,-11.6081,-12.4449,-9.54824,-13.0564,-7.54292,-9.66172,-10.8629,-12.6197,-48.6216,56,79,81,83,91,96,107,111,112,114,142,146,178,191,193,197,200,213,219,229,239,267,329,339,371,379,384,385,406,471
33,3400,56,1274,273.767,260.438,-1.99501,-0.0722164,-21.5902,-16.4482,-14.0479,-15.3998,-17.4512,-12.4709,-12.8237,-22.2054,-2.04258,-11.7897,-11.3054,-12.1162,-14.1116,-9.66147,-12.1853,-7.87752,-9.47443,-12.8588,-12.8096,-50.9321,56,57,92,97,99,103,125,127,140,145,159,168,188,203,205,206,206,207,220,233,258,268,271,304,365,420,499,589,929,1274
34,3500,11,637,212.3,127.725,-0.512219,0.263747,-21.1407,-15.9512,-14.134,-15.8941,-17.714,-12.8211,-13.5185,-24.1064,-1.03095,-9.89236,-11.3036,-10.2936,-14.3969,-10.037,-11.8657,-10.0496,-8.55125,-14.001,-14.0968,-51.779,11,75,78,82,91,100,136,137,142,143,145,149,158,165,181,184,203,212,228,234,246,273,279,290,304,312,342,414,418,637
35,3600,47,607,258.533,147.189,0.424662,0.722454,-22.1075,-14.9306,-13.6671,-15.964,-17.8795,-13.2942,-14.841,-23.4789,-0.680127,-10.6152,-11.5294,-12.9485,-14.5047,-11.8653,-10.8861,-9.77315,-7.35908,-13.0991,-14.0658,-52.9995,47,60,76,95,103,113,115,122,122,160,177,187,188,202,229,259,296,297,322,341,355,368,375,382,383,388,393,475,519,607
36,3700,76,703,270.733,151.209,0.107444,0.782714,-19.7232,-13.8624,-13.8264,-14.8063,-19.498,-13.4567,-16.9178,-23.7489,-0.13998,-12.1175,-12.778,-11.9064,-14.3207,-15.9599,-9.86178,-12.4472,-7.78382,-13.053,-15.1856,-53.7632,76,86,106,119,122,142,153,167,183,193,206,211,213,218,222,232,257,276,279,285,286,303,307,357,416,441,472,486,605,703
37,3800,76,750,302.8,167.923,1.78338,1.04417,-20.8735,-15.6268,-15.9198,-16.3666,-18.3835,-13.4996,-15.2245,-22.9076,-0.963216,-13.8109,-11.6173,-13.9731,-15.3715,-16.0855,-12.1316,-11.8495,-7.96209,-13.1741,-15.5598,-54.7982,76,98,117,130,130,142,159,166,205,228,231,232,239,245,256,272,300,311,314,314,319,355,400,413,449,464,526,578,665,750
38,3900,74,1211,264.333,224.557,0.870029,-2.12421,-21.3789,-14.8135,-16.3921,-17.2908,-18.3498,-14.8532,-14.3434,-22.8528,-1.78081,-14.6071,-11.274,-15.1814,-16.3342,-15.4374,-11.6234,-11.1649,-7.9746,-15.87,-16.0381,-55.7918,74,100,110,110,116,119,129,140,142,148,151,162,170,174,176,177,208,208,223,236,282,286,313,363,380,401,457,556,608,1211
