generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
0,100,0,7,1.66667,2.24888,-0.355099,0.68488,-0.730966,2.73291,-5.30886,-0.812556,-7.77101,-2.83942,-3.90953,-3.14677,-0.767463,-4.13596,-5.19621,-1.94676,0.752031,0.206915,-8.15168,2.82245,-6.35866,0.545401,0.253132,-6.05093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,4,5,5,6,7,7
1,200,2,33,12.3333,5.54812,-2.04948,-0.0898703,-2.24765,0.561993,-9.71059,-5.49882,-10.3285,-0.18664,-3.25462,-2.71593,0.289594,-1.27839,-9.84083,-5.09206,-6.61422,-0.0199621,-10.9402,1.10931,-6.89265,-5.72501,0.990112,-11.247,2,5,6,6,7,9,9,9,10,11,11,11,11,11,12,12,12,13,13,13,13,14,15,16,16,17,17,17,19,33
2,300,15,72,38.5333,14.4788,-0.870732,0.27051,-3.58185,-0.370598,-14.9213,-6.69038,-17.8205,-1.86552,-5.35168,-4.1252,-1.95887,-5.72901,-5.00907,-11.4389,-9.51022,-2.73469,-13.6177,-4.17987,-8.29604,-6.36574,-3.79538,-11.9142,15,19,22,23,24,25,26,26,29,29,30,32,32,34,35,36,38,38,41,44,48,48,49,52,53,56,57,60,63,72
3,400,14,112,57.7667,24.1614,-7.30209,-2.28064,-4.74422,-2.11742,-16.8705,-7.07091,-16.6708,-2.76311,-7.01862,-9.24679,-0.828128,-5.96349,-3.67014,-13.7156,-4.48175,-2.47983,-13.4393,-4.1699,-10.2407,-6.52446,-5.76105,-14.5244,14,21,25,25,34,38,40,43,43,45,46,46,46,49,56,57,58,63,66,66,70,76,76,77,83,83,85,89,101,112
4,500,26,110,55.8333,24.2588,-5.5947,-1.0739,-4.90138,-1.50623,-19.2308,-8.77166,-15.5493,-2.58897,-5.20002,-7.60612,-1.69801,-8.7018,-3.45355,-12.9418,-8.72088,-4.63711,-13.1374,-10.5675,-9.69262,-7.03921,-5.88291,-17.4737,26,26,30,33,33,34,37,38,39,40,43,45,46,47,48,50,53,53,54,57,57,63,69,74,80,88,91,101,110,110
5,600,25,142,68.8333,30.1549,-0.495361,-0.81167,-5.30072,-1.23775,-17.2951,-5.99891,-15.5582,-3.69081,-3.4021,-7.85582,-2.10823,-6.53057,-3.72673,-13.142,-4.91364,-6.97321,-12.9046,-9.62948,-11.4256,-6.93842,-6.91386,-19.3082,25,27,30,32,38,39,43,44,54,54,55,56,59,62,66,66,67,75,76,76,77,82,86,87,93,95,109,115,135,142
6,700,27,187,75.4333,37.5047,0.326504,-1.49472,-6.44564,-2.21586,-18.956,-6.79131,-13.372,-5.47009,-3.11927,-12.1433,-2.17039,-6.75006,-6.65598,-13.6315,-10.7532,-6.60853,-11.9515,-9.40807,-12.1771,-9.16314,-6.66549,-21.9326,27,32,37,37,38,39,42,44,47,56,56,59,59,62,63,64,73,74,75,77,98,102,107,109,109,115,116,119,140,187
7,800,37,287,109.833,61.8257,0.860151,-0.616497,-5.64029,-1.0855,-18.0717,-5.17543,-12.5481,-5.80982,-2.38484,-12.0351,-2.07171,-6.78028,-5.96781,-14.5426,-10.2904,-6.73569,-10.1173,-8.24565,-11.9618,-12.3905,-7.66631,-25.1131,37,38,59,59,63,64,69,70,70,71,73,74,78,78,79,96,99,108,111,112,112,127,129,142,144,193,194,200,259,287
8,900,37,294,133.867,69.1364,-2.4132,-0.444288,-6.86403,-2.3545,-16.3232,-5.04106,-10.6238,-7.13177,-5.06294,-12.0351,-2.83873,-5.51393,-6.45947,-15.2733,-11.7116,-8.57512,-9.22412,-8.26931,-11.1321,-11.126,-7.43777,-25.811,37,49,49,63,78,80,80,81,87,90,94,97,110,118,119,119,122,127,130,134,158,161,165,186,198,199,263,263,265,294
9,1000,30,378,146.933,91.6357,-5.28473,-1.15727,-8.7469,-3.12691,-15.0608,-4.58823,-12.3457,-6.17787,-5.9476,-12.3062,-3.19162,-5.32999,-6.09187,-14.1423,-10.7601,-10.2778,-10.0777,-10.5275,-8.17424,-10.562,-8.28223,-27.0881,30,35,53,58,65,68,72,74,80,90,92,112,113,122,138,139,141,152,153,156,156,159,170,184,201,246,308,319,344,378
