generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
0,13,0,3,0.1,0.547723,0.912397,-0.151224,0.122434,-0.0139881,0.313013,-0.244178,-0.00366279,0.661513,-0.43904,-0.478892,0.0430923,-0.701406,-0.402872,0.301038,0.229199,0.429876,-0.08109,0.511636,0.479545,0.162733,0.360982,-0.263002,-0.443019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.02782,1.02354,1.00623,1.00259,0.99633,0.9911,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945
1,26,0,4,1.16667,1.34121,0.870953,0.344428,-1.22582,-0.642854,0.342408,0.13244,-0.246655,0.641094,-0.748512,-0.147687,-0.0422288,-0.433414,-0.292481,0.933318,0.237994,-0.37532,0.62613,-0.263358,0.986405,0.262988,0.0175016,-0.543492,-1.29651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,1.08168,1.03017,1.01813,1.00249,0.998867,0.993984,0.989918,0.986921,0.98646,0.982255,0.980368,0.979567,0.979011,0.979011,0.979011,0.979011,0.979011,0.979011,0.979011,0.979011,0.979011,0.979011
2,39,0,11,1.66667,2.50975,0.854691,0.0523106,-1.73958,-0.545157,0.107541,0.178203,-0.377412,0.28257,-0.897087,0.251007,-0.171478,0.290444,-1.40355,1.24143,0.463161,0.311361,0.518393,0.0244544,0.589498,0.0910938,-0.320212,-0.612334,-2.18002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,3,4,8,11,1.12119,1.05425,1.03526,1.02257,0.999474,0.996109,0.988612,0.984884,0.97925,0.97867,0.977438,0.973274,0.970843,0.970234,0.969678,0.969349,0.969044,0.968766,0.968682,0.968682,0.968682,0.968682
3,52,0,28,6.83333,7.29234,0.841604,-0.106622,-1.55797,-0.790309,-0.202903,0.0556394,-0.152962,0.211498,-0.347263,0.0806632,-0.221034,0.55648,-0.949851,0.551263,-0.0880238,0.739862,1.15226,-0.0786769,0.402047,-0.124485,-0.963345,-1.37987,-2.75205,0,0,0,0,0,0,1,1,2,2,2,3,3,4,4,5,6,6,6,7,7,9,11,12,13,15,18,20,20,28,1.14891,1.0816,1.0349,1.01879,1.01551,0.990396,0.987873,0.979553,0.977719,0.971284,0.969954,0.969288,0.965285,0.96403,0.962597,0.961935,0.960287,0.959471,0.959378,0.958973,0.958852,0.958498
4,65,0,15,7.36667,4.53708,0.842111,-0.139321,-1.39223,-1.20274,-0.552569,-0.201353,0.418816,0.37558,-0.747486,0.23252,-0.473662,0.263289,-0.947945,0.749775,-1.10431,0.537011,1.40453,0.12194,-0.188531,0.594877,-0.87661,-2.04487,-2.95592,0,1,1,1,1,2,3,3,3,5,5,6,7,8,8,9,9,9,9,9,9,10,11,11,12,13,13,14,14,15,1.1925,1.08241,1.04412,1.02861,1.02041,0.996042,0.988539,0.980559,0.976614,0.970722,0.969716,0.964685,0.963114,0.959139,0.957674,0.954576,0.953891,0.95184,0.951634,0.94987,0.949301,0.948883
5,78,0,23,4.96667,4.97915,0.859484,0.128406,-1.55293,-0.682498,-0.801401,0.403458,0.126121,-0.612564,-0.172722,1.12162,-0.795347,-0.260794,-1.33005,0.761711,-1.448,0.405107,1.22753,0.287185,0.108746,1.24637,-1.65131,-2.38946,-3.20905,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,4,5,6,6,6,6,6,6,8,9,10,10,12,12,23,1.25842,1.08182,1.04147,1.03351,1.0162,1.0134,1.00415,0.986271,0.981977,0.973481,0.963868,0.961674,0.960725,0.953013,0.950561,0.949841,0.946689,0.94523,0.942322,0.941116,0.94066,0.93934
6,91,0,19,5.96667,5.31415,0.867559,0.587982,-0.817772,-0.700042,-0.681835,0.471059,-0.160749,-0.151068,-0.167915,1.0252,-0.266969,-0.358987,-1.43422,0.205491,-1.78116,-0.0876402,1.44815,-0.797775,-0.805894,0.977799,-1.79431,-2.67637,-3.26743,0,0,0,0,0,1,2,2,2,3,3,3,3,4,5,5,5,6,6,7,7,8,9,10,12,12,13,15,17,19,1.30483,1.10235,1.04993,1.02811,1.0131,1.00948,1.00248,0.984888,0.97585,0.96776,0.966146,0.962133,0.953966,0.952618,0.948565,0.943397,0.942569,0.937111,0.936295,0.933379,0.932369,0.931116
7,104,1,68,24.7667,13.8307,0.869083,0.378701,-0.969037,-1.34234,-1.19894,0.51072,0.232797,-0.153664,0.431596,-0.343467,0.317304,-0.393645,-0.808796,-0.174219,-2.41532,-0.576584,1.16871,-1.02474,-0.546838,0.0870213,-1.74879,-2.63783,-3.04179,1,2,8,9,10,12,14,16,18,21,22,22,22,23,24,24,25,27,27,30,30,30,30,33,34,34,36,40,51,68,1.33191,1.17059,1.05171,1.034,1.01698,1.00187,0.994316,0.987413,0.974833,0.967573,0.959953,0.959285,0.953363,0.946282,0.94149,0.939327,0.933961,0.931277,0.928791,0.928189,0.924543,0.922677
8,117,11,63,32.9667,14.5471,0.901311,0.00615787,-1.06951,-0.945854,-1.13478,0.78699,0.0976463,0.432524,0.0883016,-0.527495,0.596294,-0.213238,-0.961907,-0.900429,-3.70026,-0.460984,0.602974,-1.33326,-0.69535,0.228573,-2.06676,-3.59847,-3.18843,11,12,17,17,17,18,18,19,20,24,25,27,27,28,32,32,32,37,38,39,41,43,45,46,48,49,50,55,59,63,1.4009,1.18945,1.08296,1.03561,1.01736,0.998597,0.990231,0.983578,0.979437,0.965703,0.962412,0.954168,0.948816,0.943629,0.936406,0.933084,0.928774,0.926913,0.921486,0.919614,0.915925,0.914346
9,130,2,47,23.2667,10.0239,0.975473,0.373588,-1.39899,-0.623337,-0.516911,1.74127,0.458244,0.83192,1.07671,-0.610768,0.397148,0.0237191,-1.7348,-0.405435,-4.26357,-0.68038,0.635072,-2.38095,-1.31605,-0.416211,-2.33328,-4.7515,-4.0464,2,8,11,11,12,14,14,16,18,20,20,21,22,23,23,24,25,25,26,27,27,28,28,29,30,32,35,37,43,47,1.57067,1.18945,1.08169,1.04261,1.01676,1.00072,0.990711,0.982174,0.974247,0.968808,0.960503,0.956376,0.944291,0.938293,0.935831,0.930226,0.924841,0.920157,0.915131,0.911971,0.910405,0.905388
