generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
0,13,0,2,0.3,0.534983,0.933572,-0.356508,-0.187533,-0.708225,0.251828,-0.5054,0.0375046,-0.25712,-0.293083,0.518906,-0.15566,0.0553728,-0.359392,-0.173446,0.758578,-0.305319,0.169701,-1.66006,0.463227,-0.328856,-0.034439,-0.1703,0.00604198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1.05341,1.03871,1.01014,0.998704,0.997634,0.992114,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945
1,26,0,5,1.13333,1.38298,0.897382,0.093094,0.0280902,-0.640999,-0.0401305,-0.600661,-0.232143,-0.177142,-1.00582,0.768664,-0.686797,0.870087,-0.656949,-0.139434,1.05221,-0.717449,0.036996,-1.69249,0.118483,-1.15192,-0.843755,-0.491062,0.280726,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,4,5,1.09955,1.05138,1.04038,1.02304,1.00151,0.998339,0.996321,0.98623,0.985424,0.98434,0.980684,0.979847,0.979011,0.979011,0.979011,0.979011,0.979011,0.979011,0.979011,0.979011,0.979011,0.979011
2,39,0,4,1.3,1.20773,0.877266,0.226045,0.100682,-0.25751,0.109997,-0.904562,-0.961204,-0.821387,-0.862184,0.961704,-0.285406,0.443202,-1.79641,-0.506061,0.846313,-1.47701,-0.176846,-1.75609,0.444692,-0.873789,-1.10459,-0.576107,0.0088485,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,1.12314,1.05736,1.03763,1.02794,1.01339,1.00357,0.997088,0.990245,0.985509,0.984551,0.979191,0.976301,0.972884,0.972197,0.970309,0.969671,0.969045,0.968697,0.968682,0.968682,0.968682,0.968682
3,52,0,6,2.43333,1.71572,0.844389,0.748644,0.03349,-0.209886,0.430169,-0.310951,-0.675422,-0.314456,-0.780206,0.495672,-0.612129,0.337655,-2.01062,-1.41233,0.444654,-1.08756,0.407409,-1.6604,0.638072,-0.856961,-0.590244,-0.943155,-0.469244,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4,4,5,5,5,5,6,1.14095,1.05168,1.04446,1.0276,1.0167,0.999629,0.992483,0.99009,0.981431,0.979419,0.977716,0.974227,0.972034,0.967885,0.964416,0.962399,0.961662,0.960569,0.960007,0.959264,0.958875,0.958526
4,65,0,9,3.03333,2.35597,0.817185,1.352,0.708769,-1.0162,0.394994,-0.551959,-0.288928,-0.3925,-1.14345,0.389805,-0.954755,0.254379,-1.89017,-1.08992,0.405129,-1.19057,0.751325,-1.72938,0.685346,-1.25201,-0.863687,-0.855918,-0.468957,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,5,5,5,7,7,8,9,1.16437,1.06687,1.05131,1.03292,1.02056,1.01194,0.995195,0.987205,0.982605,0.97911,0.971763,0.969678,0.966672,0.965684,0.958008,0.956297,0.953862,0.952767,0.9514,0.95024,0.949568,0.949202
5,78,0,9,3.83333,2.32057,0.815791,1.24628,1.23788,-0.903771,1.18806,-0.382883,0.0440404,0.185603,-1.11424,0.719265,-1.26946,-0.122346,-2.60825,-1.62743,-0.0732268,-0.845876,0.867822,-1.89882,0.644876,-1.53346,-0.55823,-0.965578,-1.07275,0,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,5,5,5,5,5,5,6,6,7,8,8,9,1.21118,1.08381,1.05952,1.03433,1.01489,1.00943,0.999856,0.988937,0.980903,0.975708,0.967915,0.964256,0.959086,0.958143,0.952747,0.951658,0.946968,0.944822,0.943112,0.941711,0.941155,0.94018
6,91,1,13,5.7,2.97287,0.817775,1.87829,0.318481,-0.772832,1.06781,0.00640742,0.919061,-0.187083,-0.912456,0.167405,-0.773158,-0.280669,-2.90494,-1.68174,-0.321753,-0.553767,0.448805,-2.02989,0.855163,-0.622532,-0.469813,-0.686163,-2.04163,1,1,1,2,3,3,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,7,7,7,8,8,9,11,12,13,1.23948,1.11668,1.04996,1.02751,1.02493,1.00811,1.00144,0.992464,0.989357,0.972222,0.970875,0.958403,0.954386,0.952006,0.948017,0.943795,0.941586,0.937592,0.934208,0.933245,0.932649,0.931711
7,104,0,13,5.16667,3.04091,0.805073,1.75279,0.503163,-1.31587,0.410324,0.784627,0.632134,-0.610693,-1.44842,0.339266,-0.581516,0.0555926,-2.50055,-1.81672,-0.188901,-1.14432,0.500488,-2.24658,0.368746,0.163902,-0.624689,-0.826898,-1.91268,0,0,1,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,6,6,6,6,6,8,8,9,9,10,10,13,1.26302,1.1155,1.04977,1.04,1.01816,1.01104,0.994926,0.989353,0.98246,0.977601,0.966599,0.960584,0.951986,0.945472,0.944548,0.93898,0.936898,0.932498,0.929948,0.927974,0.924967,0.923268
8,117,2,18,7.36667,3.71839,0.807044,2.42616,0.323167,-1.5134,0.310724,0.745313,0.526557,-1.24304,-1.75499,0.237203,-0.250481,0.364669,-1.7719,-1.92492,-0.279345,-1.00804,0.234219,-2.77855,0.53768,0.031136,-1.18443,-1.71098,-2.11555,2,2,2,2,3,5,5,5,5,6,6,6,6,7,7,7,8,8,8,8,8,9,9,9,10,12,12,13,13,18,1.2969,1.10975,1.07283,1.03858,1.02557,1.00935,1.00193,0.986679,0.980069,0.97109,0.96145,0.959258,0.948245,0.945889,0.941765,0.933488,0.932023,0.925306,0.92214,0.920108,0.919657,0.914627
9,130,3,35,15.7667,7.49567,0.816436,2.65624,0.181357,-0.805872,0.324639,0.538383,0.124235,-1.53336,-2.31943,0.60703,-0.524001,0.841951,-1.31902,-2.14395,-0.0195305,-1.27491,-0.201047,-2.51647,-0.364926,0.0237897,-1.44654,-1.88462,-2.64657,3,4,7,7,7,8,9,10,10,11,12,14,14,15,15,15,15,16,20,21,21,21,21,22,23,23,24,25,25,35,1.32671,1.1436,1.10285,1.03242,1.02818,1.00443,0.999485,0.979785,0.97478,0.971392,0.963527,0.956273,0.950067,0.941456,0.938722,0.929347,0.926488,0.918114,0.915582,0.91421,0.911154,0.906348
10,143,6,37,21.0333,8.06646,0.831383,1.80956,0.216714,-1.18846,1.00939,0.287048,0.25316,-1.09496,-2.03036,0.168527,-0.0543101,1.65842,-0.655485,-2.02394,-0.623084,-1.40138,-0.934499,-2.65602,-0.276493,-0.0640482,-1.25067,-2.81104,-2.81992,6,9,11,12,12,13,14,16,17,17,18,19,19,20,20,20,20,21,23,24,24,25,25,28,28,29,30,37,37,37,1.36754,1.17702,1.0961,1.04917,1.02458,1.00763,1.00061,0.989519,0.976634,0.96661,0.956522,0.953608,0.944141,0.934275,0.930857,0.92511,0.920085,0.915213,0.910651,0.906853,0.906357,0.898461
