generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
155,2028,5921,263495,66140.5,62873.8,0.376625,11.505,6.09591,-4.25175,-1.24473,-2.61344,1.49046,-2.12767,-3.81964,1.30359,-4.13343,6.83487,-10.1506,-4.8657,-8.29034,-5.11517,-7.67216,-6.57261,-10.5055,-5.84772,-9.56452,-6.1574,-40.5973,5921,6254,7902,8251,11378,14251,17640,19078,19181,19850,20589,24613,33010,38823,48728,49721,56280,66256,67145,74794,82391,86468,93483,120034,122634,127527,130975,141533,206009,263495,3.16649,1.6204,1.25525,1.21332,1.10962,1.03975,0.978577,0.888034,0.864871,0.802409,0.764448,0.729962,0.689869,0.660623,0.638015,0.604291,0.565646,0.54747,0.533147,0.505106,0.497785,0.455933
156,2041,3714,242663,64313.5,63250.8,0.367543,11.4457,6.2306,-4.4836,-1.35623,-2.43345,1.87029,-2.13519,-3.79536,1.54528,-4.41395,6.72027,-10.4457,-4.83946,-8.65148,-5.25073,-7.7255,-6.64175,-10.6486,-6.0991,-9.60932,-6.20733,-40.6264,3714,7316,8768,9227,9577,11002,11176,14446,21167,22441,22903,27277,29078,31482,33996,43556,47492,51635,55092,57217,81075,95985,103534,115957,121434,132358,159432,168186,190219,242663,3.16226,1.61028,1.26344,1.23216,1.10556,1.03397,0.994854,0.887793,0.858882,0.802847,0.764401,0.734011,0.691564,0.655337,0.63324,0.602019,0.561724,0.547148,0.530915,0.504974,0.496916,0.453983
157,2054,465,264837,80166.6,73180,0.365447,11.4852,6.23363,-4.55539,-1.37087,-2.30468,2.0966,-2.16102,-3.6462,1.59986,-4.27908,6.67745,-10.6677,-4.92709,-8.76155,-5.10048,-7.56722,-6.76709,-10.7783,-6.30505,-9.67203,-6.18282,-41.0848,465,599,2650,5307,8348,14858,20232,23744,35177,41354,43092,45761,46386,49588,51485,52946,56466,76698,83821,87235,106547,111921,125315,127967,131192,153050,178889,197676,261392,264837,3.18469,1.59737,1.26352,1.22724,1.10271,1.02994,1.01838,0.884093,0.858237,0.804689,0.759752,0.734647,0.693488,0.652066,0.628969,0.598211,0.559941,0.545458,0.52977,0.502695,0.497744,0.454398
158,2067,2225,259326,63942.5,59350.6,0.366439,11.4682,6.33864,-4.48521,-1.28506,-2.27985,2.00321,-2.23929,-3.66482,1.59179,-4.06156,6.79422,-10.7618,-5.20153,-9.16384,-5.10491,-7.41398,-6.70702,-10.8081,-6.02718,-9.81398,-5.92055,-41.24,2225,4510,4768,8733,11355,15983,17596,20908,21620,22499,30984,35645,39371,41714,42770,44192,45875,46261,76786,81570,88013,88326,89043,100256,102442,121250,129178,140318,184759,259326,3.18601,1.58729,1.27134,1.22083,1.09862,1.04191,1.01501,0.883948,0.863,0.800385,0.754424,0.733917,0.706492,0.655728,0.627284,0.597135,0.55883,0.540426,0.531725,0.501715,0.495766,0.451082
159,2080,2944,195355,65616.4,50799.2,0.37133,11.3357,6.07868,-4.43705,-1.35177,-2.56518,2.30062,-2.11745,-3.96771,1.58313,-4.30636,6.76538,-10.4827,-5.08644,-9.22751,-4.89512,-7.21459,-6.61209,-11.0319,-6.15744,-9.86436,-5.70778,-41.2016,2944,6721,7532,9699,15455,15769,23439,25797,28907,32769,43672,47565,49472,51415,58623,58771,62074,72940,79552,80087,81172,81721,90969,91430,95581,96927,101008,173037,188088,195355,3.17637,1.58508,1.27063,1.24094,1.10198,1.04564,1.01635,0.884787,0.863078,0.795697,0.751804,0.742448,0.704421,0.651292,0.623203,0.60239,0.554866,0.541206,0.528472,0.497703,0.49458,0.447751
160,2093,356,242104,69418.7,69381.2,0.360745,11.0844,6.0322,-4.63239,-1.55775,-2.64727,2.17698,-2.17995,-3.69418,1.52231,-4.34393,6.82404,-10.4351,-4.98514,-9.02138,-5.21152,-7.20147,-6.5361,-10.6884,-5.98633,-9.91711,-5.82049,-40.8043,356,389,775,6015,8667,10169,14816,17909,18866,20651,21871,27596,27968,29927,36798,49345,57729,67126,77928,84147,86418,105177,105264,110473,118018,126651,189110,195234,225063,242104,3.1693,1.5875,1.26539,1.24522,1.10173,1.04723,1.01599,0.87698,0.857353,0.790552,0.752608,0.739723,0.708454,0.647425,0.622773,0.599426,0.554459,0.537222,0.523568,0.497185,0.49188,0.445099
161,2106,807,258130,60093.4,61498.2,0.350272,11.1115,6.24885,-4.7176,-1.55444,-2.84482,1.83817,-2.15776,-3.81346,1.4793,-4.40989,6.89668,-10.5445,-4.99711,-9.32394,-5.26649,-7.183,-6.66558,-10.5199,-5.92707,-10.0173,-6.09774,-41.4473,807,919,2401,3885,7371,12148,14031,14803,16207,19815,27092,27691,34129,35293,37514,39823,41505,55031,63894,64417,76033,85120,85390,86339,99201,102969,132899,167554,190392,258130,3.21645,1.58022,1.26928,1.24405,1.10077,1.04449,1.007,0.876424,0.854647,0.791414,0.762647,0.734167,0.703429,0.646008,0.617656,0.594721,0.550426,0.533304,0.523581,0.49769,0.488421,0.443469
162,2119,1851,121936,39041.7,30239.6,0.343577,11.0924,6.22443,-4.95752,-1.63268,-2.70949,1.6189,-2.1212,-3.73918,1.3568,-4.5139,6.93397,-10.5636,-4.91315,-9.20289,-5.48863,-6.85929,-6.64837,-10.6973,-6.05155,-9.95624,-6.28824,-40.6579,1851,2615,5598,6820,8517,9578,13971,19740,20646,21139,24104,24816,26725,34075,35653,36637,37511,38843,39818,41900,42442,44400,53930,55132,59980,66399,75147,94177,107152,121936,3.2171,1.60642,1.25851,1.23627,1.10189,1.06508,1.0006,0.871055,0.85019,0.788446,0.756513,0.737056,0.702246,0.644712,0.612669,0.592586,0.548281,0.528806,0.521057,0.495738,0.488556,0.440803
163,2132,653,287755,49784,65665.6,0.335647,10.8667,6.02676,-5.08375,-1.53413,-2.56587,1.64656,-2.17487,-3.99304,1.2756,-4.34355,6.77028,-10.5392,-4.71824,-9.29322,-5.43477,-6.81027,-6.81586,-10.6642,-5.83395,-9.80702,-6.49708,-40.7436,653,2096,3692,4375,6061,6977,7968,11022,11594,12111,12898,15372,16168,16625,17055,21204,23697,24978,29115,31749,37079,64088,68950,83515,102619,120827,141168,143579,168530,287755,3.18803,1.62347,1.25682,1.22953,1.094,1.07159,0.994135,0.86881,0.853896,0.790466,0.751768,0.733236,0.699656,0.641242,0.610525,0.590824,0.549347,0.52731,0.521864,0.49194,0.484391,0.439733
164,2145,585,241972,49622,50393.6,0.328662,11.0531,6.08593,-4.99404,-1.49087,-2.76489,1.5436,-2.20401,-4.03599,1.3252,-4.29195,6.87795,-10.4976,-4.51918,-9.41991,-5.14402,-6.94887,-6.5313,-10.8828,-5.93474,-9.65028,-6.66839,-40.7281,585,1613,4474,10173,11747,13210,15978,17615,22088,23990,26982,27574,28830,30845,33821,34939,35905,35906,48918,52883,56461,60527,60574,73769,75923,82033,88762,118590,151974,241972,3.18603,1.62241,1.26325,1.23207,1.08839,1.07237,0.992267,0.871992,0.851606,0.785888,0.749538,0.727925,0.695335,0.640554,0.605363,0.58879,0.546656,0.524215,0.521643,0.492143,0.489196,0.43587
