generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
0,13,0,10,2.66667,2.57753,0.921702,-0.626818,0.524364,-0.105345,-0.672726,-0.527428,-0.782515,0.359685,-0.444177,-0.101276,-0.210614,0.081995,0.236964,-0.140267,-0.625347,-0.438566,-0.491458,-0.605428,-0.0797373,-0.240151,0.285843,0.0925239,-0.34196,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,3,3,3,4,4,4,4,5,5,6,7,7,10,1.07591,1.03371,1.01939,1.01064,0.996021,0.991351,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945
1,26,0,8,1.66667,1.72873,0.896395,0.479012,0.88531,-0.175959,-0.928057,0.62534,-1.21966,-1.06601,-0.183538,0.726834,-0.604513,0.3987,-0.135203,-0.502768,-0.236818,-0.829579,-1.02446,-1.12649,0.367111,0.571342,0.265551,0.594131,-0.959105,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,8,1.11544,1.08278,1.02897,1.01339,1.01162,1.00017,0.99315,0.987996,0.985814,0.98111,0.980521,0.979482,0.979011,0.979011,0.979011,0.979011,0.979011,0.979011,0.979011,0.979011,0.979011,0.979011
2,39,0,15,4.83333,3.85141,0.918484,1.01546,1.12836,0.0299348,-1.84512,0.804032,-1.11406,-1.40969,-0.588082,0.693834,-0.375875,-0.15864,-0.443581,-0.741453,-0.477513,-0.602484,-1.75541,-2.1238,0.0494897,1.30487,-0.130781,-0.466259,-2.07589,0,0,0,0,1,1,2,3,3,3,3,3,4,4,4,4,4,5,5,6,6,6,6,7,7,7,11,12,13,15,1.23655,1.07285,1.04415,1.02419,1.01894,0.9996,0.993094,0.989163,0.984975,0.978049,0.977265,0.975123,0.972814,0.970626,0.969744,0.969232,0.968968,0.968757,0.968682,0.968682,0.968682,0.968682
3,52,2,23,14,6.02867,0.94388,1.34527,0.919819,0.548964,-1.81894,-0.656196,-0.513069,-1.83348,-1.55919,-0.0112721,-0.988778,-0.336995,-0.465807,-0.712078,-0.747309,-0.507687,-1.77223,-2.27174,-0.545634,0.657192,-0.441311,-0.209501,-2.81692,2,3,5,5,6,7,8,10,11,12,12,14,14,14,15,15,15,16,17,17,17,19,19,19,19,20,21,22,23,23,1.30565,1.10211,1.05819,1.03301,1.0142,1.00464,0.997535,0.990825,0.987307,0.980673,0.974133,0.968444,0.967019,0.96486,0.961894,0.960898,0.960339,0.95988,0.958924,0.958628,0.958586,0.958521
4,65,1,18,8.83333,4.43406,1.00436,0.995074,1.92096,0.970774,-2.21711,-1.38489,-0.78239,-2.30017,-2.25795,0.166405,-0.607629,-1.29374,-0.805123,-2.07467,-0.586527,-0.583069,-2.55586,-2.82008,-0.309665,0.461813,-1.30487,0.395493,-2.60014,1,3,3,4,4,4,5,6,6,6,6,7,8,8,9,9,9,9,9,10,11,11,12,12,13,13,16,16,17,18,1.42098,1.12443,1.07043,1.0468,1.02296,1.00953,1.00696,0.994781,0.98363,0.97821,0.973295,0.966587,0.963626,0.960429,0.958006,0.953783,0.952713,0.952021,0.951117,0.950247,0.948929,0.948584
5,78,2,44,23.9333,10.5632,1.06898,1.90356,1.38443,0.0500157,-2.56633,-2.15521,-1.76459,-2.30891,-1.96838,-0.580023,-0.744049,-1.57066,-0.477131,-2.80117,-1.47705,-1.07819,-2.3778,-2.73923,-0.663582,-0.184024,-1.72831,-0.3117,-3.02431,2,7,12,12,15,15,16,17,17,17,17,18,19,19,23,23,24,24,30,31,31,32,34,34,35,36,36,37,41,44,1.53499,1.15076,1.06619,1.04315,1.03196,1.01298,1.00068,0.994159,0.977674,0.97522,0.970981,0.963685,0.958989,0.955848,0.950067,0.9494,0.946736,0.943491,0.942355,0.94187,0.940416,0.939098
6,91,3,57,32.5,12.9608,1.12128,2.11106,1.28147,0.307002,-2.89499,-1.4396,-1.6249,-2.35134,-1.17093,-0.303689,-0.909525,-1.54122,-0.747981,-2.45171,-1.63516,-1.13492,-2.54108,-3.96781,-0.712839,-1.11331,-2.20878,-1.27409,-3.41107,3,8,15,16,18,21,23,25,25,26,26,29,31,33,34,35,37,37,38,38,38,38,42,42,46,46,47,49,52,57,1.64934,1.15706,1.06072,1.04798,1.03278,1.01498,1.00414,0.998654,0.983149,0.972541,0.964637,0.962288,0.956039,0.950513,0.946893,0.943865,0.939644,0.937166,0.934456,0.933689,0.932991,0.930817
7,104,10,69,34.6,14.5166,1.21839,2.32022,1.82896,-0.189415,-3.1886,-1.41007,-1.15227,-3.21332,-0.831921,-0.674887,-0.21682,-3.05035,-0.955409,-2.35537,-2.0555,-1.66966,-3.86223,-4.89845,-0.88219,-1.64441,-3.07687,-1.83135,-4.27075,10,14,16,19,21,21,24,24,25,26,27,27,30,31,31,31,31,32,41,41,44,45,46,47,49,49,52,54,61,69,1.84208,1.16023,1.07479,1.04931,1.03413,1.01613,1.00675,1.00043,0.974932,0.970196,0.963654,0.961022,0.950107,0.944768,0.94245,0.93998,0.934598,0.933207,0.929191,0.926468,0.923494,0.922334
8,117,22,89,54.0333,17.9664,1.31211,2.36583,1.09482,-0.792058,-2.90349,-2.09133,0.237126,-3.93448,-2.05642,-2.0015,-0.795216,-2.7727,-1.19455,-3.65158,-3.00595,-2.19403,-4.52774,-4.61857,-1.25868,-1.30469,-2.45153,-2.04627,-4.42065,22,25,27,27,37,41,42,42,44,44,46,46,46,50,51,52,58,59,60,62,62,64,68,68,71,75,77,81,85,89,1.9683,1.16194,1.0788,1.04693,1.04203,1.0352,1.00108,0.997244,0.974313,0.970847,0.963319,0.955045,0.946805,0.939069,0.935451,0.934182,0.929523,0.928624,0.92465,0.921502,0.917998,0.917116
9,130,22,123,51.7667,24.207,1.45823,3.30631,0.779333,-1.6005,-3.17556,-1.54284,0.432802,-4.53852,-2.92956,-3.76498,-0.963761,-4.00252,-0.588838,-4.04203,-4.29088,-1.94416,-5.48227,-4.30124,-1.84387,-0.484665,-3.37972,-2.65225,-5.89733,22,23,24,25,29,29,33,34,38,42,42,43,45,48,50,51,51,52,52,53,54,55,60,64,64,65,80,89,113,123,2.15292,1.16586,1.08956,1.05261,1.03938,1.03403,0.995885,0.992786,0.969824,0.9633,0.957114,0.952645,0.946901,0.935724,0.930505,0.930122,0.923131,0.921503,0.918196,0.915091,0.914674,0.910016
10,143,31,156,67.9,29.3649,1.55842,1.73605,0.0577293,-3.07954,-3.65334,-0.679216,1.1078,-4.71019,-2.78072,-3.39884,-0.702278,-2.36519,-1.74452,-3.50979,-3.90074,-2.14039,-5.28913,-4.13495,-1.78005,-1.3971,-3.49763,-2.9358,-6.13,31,35,36,39,40,40,41,41,46,48,49,51,52,58,64,68,71,73,73,75,81,82,85,91,94,94,94,101,128,156,2.28092,1.16424,1.08546,1.05216,1.03465,1.02883,1.00272,0.985393,0.967183,0.961316,0.958083,0.949046,0.940488,0.936321,0.931172,0.924706,0.919274,0.915251,0.913699,0.910829,0.908598,0.905293
11,156,23,122,63.9,26.0799,1.68379,3.408,1.06083,-4.8721,-4.89657,-1.77422,0.738268,-5.68922,-2.91823,-3.32343,-0.479038,-2.84503,-0.97726,-4.90711,-3.82667,-3.45642,-5.29196,-4.99434,-1.6388,-1.36586,-4.22076,-3.58872,-7.82869,23,29,34,35,37,38,44,48,49,50,53,58,58,58,59,60,65,66,68,68,70,70,71,71,74,98,107,113,121,122,2.50011,1.16326,1.08193,1.04989,1.03509,1.02557,1.00166,0.991931,0.968315,0.960114,0.950396,0.942781,0.937063,0.933614,0.924282,0.922139,0.919712,0.915435,0.908233,0.904813,0.904212,0.896151
