generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
409,5330,541,226553,59495.4,62194.3,62.8615,33.5923,-33.7505,5.01894,-14.023,-10.7199,-4.78479,-11.633,5.78621,-15.49,21.6364,-45.6369,-23.8152,-23.1376,-32.7854,-36.549,-22.9972,-50.5553,-19.2245,-44.016,-23.5144,-179.858,541,620,1340,3808,4449,9680,10821,11087,15117,15212,18299,20504,31771,31814,35337,38810,41423,43507,60180,65888,71555,75867,85465,108915,118849,128122,138832,167698,202798,226553
410,5343,680,193078,52615.2,47677.8,64.6173,36.8925,-35.5599,4.28496,-12.2107,-10.2784,-6.10246,-10.1391,3.0587,-15.3402,24.5544,-44.145,-23.4683,-24.8961,-33.2764,-33.9601,-26.3765,-51.4318,-18.6683,-45.5334,-23.4116,-180.292,680,711,3480,4340,8521,11202,12009,18069,18279,19528,23573,24271,27313,31664,35527,41672,46101,54417,65529,68085,70501,73626,75703,82433,90227,100068,104479,114149,159222,193078
411,5356,1136,197144,66458,61481,62.8613,36.4832,-33.6266,5.08144,-13.4777,-9.13826,-6.06347,-8.94434,4.5846,-14.5194,24.0788,-44.0836,-22.9199,-24.919,-33.3072,-37.4845,-27.5889,-49.0685,-20.6579,-45.5343,-22.7239,-178.342,1136,1295,3586,7920,9902,12662,12745,13800,14713,14919,25051,26260,30832,36712,43380,54855,55246,59433,70885,79648,85380,90212,116778,125933,132531,152238,162432,167898,188214,197144
412,5369,445,187758,54533,50399,59.3485,35.8415,-31.6214,4.4451,-13.868,-9.07043,-6.31875,-9.528,5.11398,-15.4159,23.8559,-42.7163,-23.7184,-24.9602,-34.0971,-40.8432,-27.8094,-48.7429,-22.1585,-46.5441,-24.1222,-180.455,445,919,5462,5955,6107,8431,11275,13137,14517,17429,17896,30399,32706,34746,35688,43571,46998,55379,58804,60334,64058,68912,75492,95249,118358,120049,123974,126674,155268,187758
413,5382,2111,158842,51288.2,41207.4,62.2442,34.5026,-31.0925,7.92242,-14.2031,-5.22828,-7.03695,-10.0505,4.51726,-15.1253,27.2405,-45.8191,-23.983,-27.3711,-34.0304,-40.8597,-26.7722,-50.0164,-25.4404,-45.1077,-25.8826,-179.613,2111,6613,6749,9214,10468,12719,15715,16645,19004,19857,28289,39636,40575,40987,41435,48523,50792,51349,57240,58650,61424,64455,67012,67328,84216,85031,100200,117250,156316,158842
414,5395,2034,111095,41944.4,35429.4,62.0531,34.4793,-30.168,6.85093,-14.7742,-4.68008,-7.75063,-13.8733,3.15404,-13.7035,29.1489,-51.822,-24.139,-28.6208,-32.6626,-42.1451,-27.6189,-49.0028,-22.6593,-43.2884,-24.9096,-179.226,2034,2124,2163,6708,7900,9020,9073,11467,14850,15455,18914,22253,23777,25624,27351,30323,39960,44465,44696,46411,50358,52285,73888,79990,90862,95336,96983,98280,104688,111095
415,5408,6373,221024,69201.4,64027.5,61.1723,33.1798,-33.7677,5.31876,-13.4075,-4.79919,-7.32792,-14.9757,3.35278,-17.0926,27.1836,-53.517,-22.9995,-29.0872,-32.5317,-45.4199,-26.7293,-48.3673,-21.9358,-45.1853,-20.3313,-178.17,6373,10513,15005,18930,19666,21994,25711,27075,28604,28881,29996,37478,39175,39821,40263,40702,41876,55633,56606,66992,67312,69759,75939,111834,118502,167456,174216,204815,213890,221024
416,5421,482,133377,40219.8,39928.9,64.4171,34.6573,-34.1986,9.39786,-12.4542,-5.86823,-7.82278,-16.3238,0.517281,-18.9982,26.0416,-53.0261,-24.2833,-30.1026,-33.1128,-49.9968,-25.7381,-46.3462,-21.0507,-46.067,-22.7284,-178.376,482,2019,2389,4280,10662,11515,11678,11863,13089,14567,15813,16884,17098,17759,22083,26010,32758,35169,36964,37045,41493,43194,43658,65345,92423,98623,104915,119117,124322,133377
417,5434,742,106881,27676.8,26653.7,64.5867,31.9847,-33.5952,9.96555,-13.2323,-6.66104,-8.56555,-18.4977,2.83783,-18.6823,26.6464,-55.5385,-25.6444,-29.4322,-32.5189,-51.5379,-25.2449,-47.1882,-20.2316,-49.9077,-22.249,-177.932,742,895,1407,1425,1722,2063,4145,5183,9305,9918,10749,11986,12956,16495,19736,26105,27241,28360,28379,35091,36285,40145,41003,43520,43636,51810,58806,69824,84490,106881
418,5447,1185,62337,19082.2,17411.9,66.9616,32.3792,-33.7299,9.85876,-13.1616,-6.99881,-5.32072,-18.092,3.76081,-19.6766,27.8058,-55.5507,-25.202,-27.4604,-35.3385,-51.6747,-24.2426,-45.7906,-19.8666,-52.2238,-24.6096,-176.417,1185,1668,1952,2089,2248,2930,3481,4259,5295,5729,8389,9878,13083,13748,14584,15919,16424,18848,20554,21214,23688,24333,25528,25542,35656,36283,44187,52994,58440,62337
