generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
0,13,0,2,0.166667,0.461133,4.83832,3.32934,0.823681,-2.7795,1.67939,-0.559459,-5.97396,2.17803,4.06914,-4.84412,-2.70606,4.65707,-3.50151,-1.25565,6.50095,-1.06255,-1.99079,3.89851,-2.13387,-0.0129643,-0.565619,-2.24813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
1,26,0,6,1.76667,1.38174,4.79643,2.31149,3.84271,-0.316763,2.93563,-9.75297,-5.28389,3.44842,3.62972,-7.73454,-1.22785,0.703354,-1.57742,-4.24141,0.123938,-4.16325,-1.68828,0.554435,0.990779,1.22384,-1.87259,-3.53571,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,4,5,6
2,39,0,0,0,0,3.06624,1.85952,3.05841,1.25023,4.35176,-14.3414,-6.80796,0.0243891,4.55606,-6.88526,-6.00641,0.0134872,-1.47231,-0.639476,2.2301,-3.66586,-3.06517,-2.78172,1.56766,9.9713,0.0323155,-6.76839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,52,0,5,0.833333,1.34121,-0.152203,0.13516,-1.06607,0.425847,3.74773,-17.4783,-6.8611,1.54495,2.79593,-4.73147,-8.08931,-0.0369272,0.372815,-5.99485,1.87904,-6.06206,-0.9985,-4.38618,1.04628,6.52587,-1.02586,-8.21914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,3,5
4,65,0,8,2.2,2.57843,-0.899879,-7.5094,-1.35542,-1.4791,1.709,-18.0196,-6.71462,2.72297,3.26375,-2.89396,-6.46428,-5.72777,-1.24628,-8.08675,0.303064,-6.53814,-0.25314,-5.73339,9.2313,4.59445,0.385953,-12.9415,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,6,7,7,8,8
5,78,0,5,2,1.68154,-0.283491,-6.34455,-6.16348,-5.08907,2.79742,-18.3308,-5.23403,3.49168,1.01454,-2.40533,-6.33161,-8.45983,-3.03726,-9.96066,-0.650618,-7.03341,0.402725,-6.75848,18.7449,0.664207,-3.1038,-14.3341,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,4,4,4,4,5,5,5
6,91,0,10,4.06667,3.02784,-0.346679,-5.53578,-5.16428,-8.87617,7.26258,-22.7707,-6.49222,2.87975,-0.576064,-2.6839,-7.58498,-6.00277,-0.800606,-14.0104,-1.87906,-6.22545,1.58123,-8.6176,11.6355,-0.956829,-6.205,-13.3501,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,5,6,6,6,6,7,8,8,10,10,10
7,104,1,13,4.46667,3.35007,1.03339,-6.07773,-4.51366,-6.17633,4.97843,-26.8474,-8.62909,0.971137,-6.47522,-3.80053,-9.36157,-3.90257,-3.02203,-13.3482,-1.96018,-17.0967,1.39899,-10.2806,13.1035,0.281277,-6.82459,-14.6227,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5,6,6,6,7,7,9,10,10,11,13
8,117,0,11,2.7,2.54816,1.02867,-4.96458,-3.2622,-4.79619,3.44298,-26.9938,-7.3425,1.63918,-5.26877,-4.25586,-8.56478,-8.85039,-5.54242,-14.5283,-0.556329,-18.4483,1.20013,-10.5369,14.1873,2.30335,-7.9443,-11.2033,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,5,6,7,11
9,130,0,10,3.06667,2.49044,0.561553,-3.6828,-4.14968,-5.32359,0.882308,-26.1264,-7.72549,1.53511,-6.9491,-3.31638,-8.95769,-8.67715,-5.97361,-13.3969,-2.35743,-19.4384,2.05431,-10.4838,14.8641,2.39518,-7.36125,-11.0135,0,0,0,0,0,1,1,1,1,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,5,5,6,6,9,10
10,143,0,12,3.76667,3.43093,-1.53772,-4.75826,-4.52991,-10.8567,-2.71362,-29.221,-8.20013,-0.875541,-8.02622,-2.92346,-8.19787,-9.62739,-3.82219,-10.6981,-5.06677,-21.4693,2.32195,-9.03301,13.6734,-0.0961629,-6.28876,-9.38057,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,6,8,8,9,10,11,12
