generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
0,100,0,4,0.666667,1.02833,-0.769455,0.913462,-0.946366,-0.969059,-0.668661,-2.23636,-3.22582,-5.05901,-0.339808,-4.45778,-2.18144,-2.05551,0.823277,-2.83914,-1.66134,-2.9761,0.55013,5.04174,2.13527,-0.706198,-4.25092,-1.47406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,4
1,200,0,23,10.8,5.62874,1.83712,0.965823,-5.66234,-2.36286,-1.05343,-6.56076,-5.9254,-3.59512,-0.938653,-3.64435,-3.38366,-6.55503,1.90108,0.765634,0.933723,-3.60736,-3.09852,2.08444,-0.873794,-3.84987,-6.5065,-3.68373,0,4,4,4,4,5,6,6,6,7,8,8,8,9,9,12,13,13,14,14,15,15,15,16,16,16,18,18,18,23
2,300,17,87,45.9667,20.3918,2.34625,-3.45816,-3.25021,-6.47327,-1.46201,-6.96253,-9.73025,-3.2021,-1.45291,-4.46436,-5.78498,-9.0441,-0.168375,-3.90403,-0.524554,-7.48003,-7.73931,-1.4645,-2.78534,-5.33991,-10.3859,-6.24093,17,18,20,21,21,21,23,28,31,34,35,37,41,42,48,48,50,50,50,56,56,58,61,63,65,66,69,79,84,87
3,400,7,74,37.8333,16.3287,-0.531441,-6.36898,-3.12629,-3.58802,-2.76322,-6.18264,-10.2003,-1.9763,-1.56778,-4.95448,-6.24419,-14.9511,-0.707327,-8.98841,-1.69922,-9.57162,-10.5863,-0.263059,-3.93036,-4.83605,-14.8849,-8.18237,7,15,18,19,21,23,23,27,30,30,30,30,32,33,36,37,39,39,40,42,43,48,48,52,54,54,58,63,70,74
4,500,13,84,42.7333,16.5632,-1.17323,-9.76032,-7.53654,-8.08809,-4.90055,-5.84494,-9.54649,-4.66357,-1.85474,-8.57208,-6.02568,-13.9195,-1.0303,-10.3391,-4.33895,-11.5646,-10.3725,-2.30111,-3.35478,-4.21712,-15.4566,-10.0047,13,18,22,24,26,27,27,27,28,35,37,37,40,41,42,44,45,47,48,48,50,53,53,54,56,58,58,70,70,84
5,600,20,169,57.8,29.5954,0.695169,-7.90661,-6.88619,-7.35174,-7.84883,-3.97684,-7.97974,-8.06603,-1.77462,-10.0151,-5.5131,-13.4264,-1.32016,-12.3299,-8.2395,-11.7748,-10.7217,-5.18586,-5.74189,-5.0117,-18.0098,-13.305,20,22,28,29,32,32,37,37,45,47,49,49,50,51,51,54,57,58,60,60,63,64,64,66,68,76,89,99,108,169
6,700,28,200,79.1333,40.9926,-0.408895,-6.72778,-9.19337,-11.0966,-8.65821,-2.39205,-10.0893,-11.4842,-2.49758,-10.1623,-4.67946,-12.8981,-3.40833,-12.3091,-7.11467,-11.3397,-12.0684,-5.71067,-5.28347,-4.28296,-18.0316,-17.6207,28,28,32,40,45,46,47,49,53,54,61,62,63,67,69,73,74,76,80,86,89,89,92,96,104,119,141,152,159,200
7,800,31,259,98.7,54.0945,0.272342,-6.85301,-9.1695,-11.5529,-9.28163,-3.7893,-9.95956,-10.0373,-3.76146,-11.2289,-3.94977,-12.5837,-4.57282,-13.3796,-8.28497,-11.4701,-13.3752,-7.29317,-6.49494,-6.9898,-17.7579,-19.2988,31,37,52,52,57,57,58,69,70,73,78,79,80,81,82,83,87,91,94,94,97,106,110,122,132,134,152,209,235,259
8,900,49,208,95.8333,40.8108,-0.82218,-5.54691,-10.8157,-12.9909,-10.2282,-6.88338,-9.32245,-9.26419,-5.92636,-11.9025,-3.66883,-13.2662,-5.99966,-12.7011,-7.61439,-12.3969,-14.5846,-8.99152,-4.66793,-6.54636,-17.5623,-20.482,49,49,50,57,58,59,60,64,73,76,76,76,81,82,82,84,90,91,91,97,98,106,115,131,140,142,145,164,181,208
9,1000,36,390,154.133,91.7954,-1.50345,-6.06917,-10.8533,-13.445,-11.3269,-6.26037,-11.7634,-10.066,-6.09666,-11.9233,-2.9777,-12.5406,-6.20377,-10.6157,-7.06995,-11.9187,-16.4322,-9.21097,-5.75075,-8.08172,-17.3828,-23.4367,36,39,61,63,75,80,91,93,95,97,97,106,114,117,125,148,148,154,158,165,168,184,192,198,205,250,269,344,362,390
10,1100,44,360,167.533,77.3838,0.326433,-7.16831,-8.49472,-13.0603,-12.8163,-6.14162,-11.3597,-10.8811,-8.11676,-12.5529,-2.3545,-12.6388,-6.40961,-9.65922,-7.22227,-14.0528,-17.7126,-10.2134,-6.74494,-6.6558,-17.4295,-24.7833,44,46,76,83,86,92,101,104,109,113,144,157,158,164,166,168,168,169,179,191,194,195,201,207,231,239,276,281,324,360
11,1200,46,418,184.833,99.0107,-0.472332,-7.15809,-9.82603,-12.467,-14.0005,-6.0345,-12.0683,-11.7403,-8.17044,-12.8436,-0.836636,-12.4936,-6.94361,-10.5012,-7.62475,-11.2748,-17.4648,-10.4441,-9.31029,-8.82205,-16.5707,-28.5655,46,48,93,96,101,102,106,107,109,115,125,130,139,144,153,154,181,194,199,217,222,227,228,263,272,273,311,356,416,418
12,1300,73,674,247.6,151.114,0.712764,-7.36872,-11.4075,-11.2934,-12.9312,-5.79921,-13.4451,-11.7882,-8.35507,-12.5608,-0.678868,-13.0698,-6.36822,-12.7661,-7.06427,-12.8201,-17.6113,-11.724,-8.82643,-8.63726,-16.3041,-30.8485,73,87,90,102,118,118,118,122,129,138,167,172,176,184,193,209,222,230,262,271,291,319,327,357,409,417,430,458,565,674
13,1400,82,538,246.6,131.865,2.10881,-6.34948,-11.5442,-13.3683,-11.2313,-6.48821,-13.2904,-11.5531,-10.067,-12.7427,-0.170279,-12.6526,-6.04513,-13.7803,-7.19778,-12.4601,-19.609,-11.8616,-10.7645,-8.7858,-15.6406,-33.4873,82,92,97,107,137,139,140,150,156,174,174,188,189,196,200,208,215,242,256,264,269,291,296,333,350,394,487,506,528,538
14,1500,79,2625,538.767,503.427,1.44786,-4.66523,-11.48,-14.372,-11.5542,-7.42982,-14.6971,-11.4905,-11.1803,-13.9281,-0.888422,-12.782,-4.56818,-13.4082,-7.98319,-11.834,-15.2645,-12.4518,-10.292,-7.82473,-13.5033,-34.5944,79,104,117,123,139,151,210,211,249,281,284,290,328,339,414,502,506,514,522,547,553,600,646,703,839,882,1047,1103,1255,2625
