generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,100,0,6,0.933333,1.61743,-0.372336,-1.66627,-0.0864736,-2.60671,-3.90549,-5.52701,-2.54068,-3.51924,-2.19329,-2.99816,4.12827,-1.75363,0.988005,-2.07346,5.67266,0.755771,-0.949104,0.20672,5.38188,-3.38144,0.367386,-2.75094
1,200,0,5,0.533333,1.35782,-4.0452,-3.59311,-2.80147,-3.80075,-1.234,-14.971,0.477855,-6.98593,3.33391,-7.00422,-0.366543,-3.79607,-1.40339,0.119597,2.72906,-1.3942,-4.21217,-1.64495,6.62661,-0.0269162,1.59041,-4.09521
2,300,0,15,4.96667,3.3475,-0.984728,-2.42891,-10.4843,-2.33488,-1.87289,-19.0623,0.355817,-10.242,3.94584,-13.8153,-0.867596,-3.48598,-3.6469,-2.03627,1.44541,-5.34427,-7.85064,-0.33798,-1.78104,-3.74507,1.61265,-8.60719
3,400,3,42,14.3667,7.97619,1.60958,-0.687383,-12.5783,-0.609559,0.438265,-11.4176,-1.46028,-10.1339,2.71836,-14.7639,-1.93447,-3.67393,-4.42104,0.0651845,1.13657,-8.11275,-10.0911,-0.111223,-3.12618,-4.1168,-0.546308,-9.17451
4,500,1,30,11.4333,8.50835,-1.98582,-0.527353,-14.7634,-4.73292,-1.24767,-15.7366,-1.04162,-9.90826,1.03322,-11.3944,-0.770105,-3.90831,-6.7194,0.96854,0.400141,-11.1341,-25.6374,-0.385554,-3.31251,-5.71856,0.0870513,-11.1047
5,600,3,60,20.4333,12.8108,-0.239702,-0.876007,-15.356,-4.38062,-3.61997,-16.2357,-2.9123,-11.4428,1.36184,-15.5701,-0.47383,-5.63488,-9.0035,-0.463766,0.272775,-12.6079,-24.5909,-3.16261,-7.80562,-7.76635,0.467924,-12.9801
6,700,18,99,50.2,23.3908,-2.12021,1.6554,-16.2355,-5.12226,-6.39212,-11.18,-1.7776,-11.3109,-1.38986,-16.2775,-0.632721,-8.74475,-12.5169,-3.23649,-0.0390168,-11.8028,-22.5172,-5.63278,-8.19026,-7.85748,-0.173858,-13.8479
7,800,38,166,83.4,36.1526,-2.1386,0.775945,-16.1724,-8.00473,-6.14797,-11.1705,-1.35396,-14.6649,-2.73349,-15.0553,-0.35668,-9.03547,-9.24636,-3.28198,0.345777,-9.92308,-14.7733,-7.96586,-5.89877,-8.15776,-1.93883,-15.2395
8,900,28,203,102.4,44.351,-2.64776,2.82312,-17.8252,-8.84199,-5.71514,-11.9986,-1.77967,-14.6093,-2.61003,-14.1176,-0.276782,-7.86114,-8.27087,-3.59749,0.474863,-9.72107,-12.5453,-8.88339,-6.92035,-9.05436,-2.03554,-16.4596
9,1000,40,364,135.367,79.771,-2.32096,2.61726,-17.1398,-9.11279,-6.94137,-11.9848,-2.178,-14.8887,-5.11644,-14.7262,0.0321289,-8.60361,-10.4237,-2.59731,0.596239,-10.1572,-10.9947,-9.3344,-7.11539,-8.01192,-3.66401,-17.7934
10,1100,39,378,136.133,84.0717,-2.64497,2.37508,-17.2846,-9.30557,-6.61764,-11.8596,-2.12743,-14.8457,-5.18239,-14.4338,0.187976,-8.32709,-10.7675,-2.80474,0.381075,-8.5672,-11.009,-9.39485,-6.82991,-8.0397,-3.67056,-18.5946
11,1200,37,319,123.6,70.0471,-1.88511,2.37216,-17.2601,-9.42721,-6.21175,-11.1352,-2.66313,-13.6921,-6.05437,-14.1013,0.256858,-9.0021,-11.6169,-2.78878,0.508999,-7.52508,-11.7458,-9.88417,-6.93993,-7.6238,-3.85037,-19.9137
12,1300,53,306,151.567,73.7473,-1.65489,2.71955,-15.7923,-9.98312,-6.89878,-10.1483,-2.82907,-13.2411,-5.66401,-13.9723,0.0107977,-9.18492,-11.738,-2.75414,0.34866,-7.83786,-10.8228,-9.91211,-7.01359,-7.52134,-4.77314,-20.9243
13,1400,83,539,201.567,105.416,-1.87348,2.76989,-14.769,-11.2479,-7.27857,-10.3415,-2.29093,-13.4945,-5.75399,-13.6195,-0.0400307,-10.0214,-11.9072,-2.84549,0.186106,-6.86264,-9.90308,-10.4145,-6.88738,-7.75217,-5.11798,-24.0796
14,1500,59,530,211,108.615,-1.28299,2.84914,-14.2533,-10.7936,-7.60004,-10.6334,-2.12891,-13.9292,-5.77188,-13.2519,0.133126,-10.2374,-11.9677,-3.02059,0.108095,-6.97542,-10.4755,-10.7385,-6.98147,-7.77531,-5.65046,-25.7126
15,1600,66,610,247.733,151.091,-1.51128,2.89538,-13.2187,-11.1262,-6.69747,-10.8295,-1.33366,-14.2329,-5.9591,-13.0223,0.120158,-9.97268,-11.7846,-3.16712,0.112921,-7.36032,-9.42747,-10.7661,-6.41712,-7.85704,-5.51107,-27.5045
16,1700,94,1097,328.067,235.079,-0.986834,3.20478,-13.3413,-11.5953,-6.97004,-10.8078,-1.64749,-14.5914,-6.53109,-13.0651,0.0489672,-9.50305,-11.6235,-3.19054,0.0930763,-8.17769,-8.53243,-10.8763,-6.07344,-7.76549,-5.65985,-28.7224
17,1800,22,948,291.3,210.725,-1.46087,3.25056,-12.8482,-11.8529,-6.94789,-10.2515,-2.03834,-14.8159,-5.48785,-13.1472,0.270098,-9.48864,-11.7168,-3.24861,0.0776441,-8.66724,-8.41664,-10.9938,-6.10323,-7.7028,-5.56804,-29.446
18,1900,86,1532,320.8,277.979,-1.7652,3.10814,-12.6069,-11.5682,-7.15071,-10.467,-2.17862,-14.5787,-5.08771,-12.4336,-0.0839682,-9.40692,-11.914,-3.15864,0.0743368,-8.59697,-8.41436,-10.8787,-6.17057,-7.74866,-5.69872,-30.4187
