generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
56,5700,84,2228,897.9,694.944,-14.6521,-2.25837,-9.41916,-8.15043,-5.63947,-6.0292,-6.64291,-10.2259,-3.85259,-10.9478,-0.913407,-3.19959,-4.11988,-4.10892,-1.59526,-5.0442,-6.37283,-7.47279,-6.18949,-6.96216,-7.43116,-25.8732
57,5800,101,2395,945.867,657.196,-14.6449,-2.2586,-9.41922,-8.14975,-5.63995,-6.02968,-6.6431,-10.2699,-3.85255,-10.9454,-0.912954,-3.24892,-4.12,-4.10442,-1.58663,-5.0443,-6.39127,-7.46814,-6.19,-6.96274,-7.42945,-25.8732
58,5900,51,5967,854.733,1152.92,-14.644,-2.26063,-9.4189,-8.14992,-5.63995,-6.02881,-6.64317,-10.3123,-3.8527,-10.95,-0.908383,-3.19216,-4.11998,-4.10473,-1.57951,-5.04639,-6.41607,-7.46742,-6.18544,-6.96202,-7.42713,-25.8731
59,6000,210,3461,1176.13,999.201,-14.6465,-2.26277,-9.41952,-8.14902,-5.63752,-6.02942,-6.64322,-10.3332,-3.85264,-10.9459,-0.90757,-3.29041,-4.12001,-4.11596,-1.58076,-5.04415,-6.42213,-7.46853,-6.19075,-6.9614,-7.42523,-25.8731
60,6100,85,3791,1009.1,874.182,-14.6463,-2.26365,-9.41939,-8.14909,-5.6373,-6.0297,-6.64319,-10.3739,-3.85238,-10.9463,-0.912394,-3.23835,-4.11983,-4.09918,-1.57742,-5.04323,-6.4151,-7.46602,-6.19071,-6.96006,-7.42308,-25.8731
61,6200,131,5398,893,1067.85,-14.6444,-2.26505,-9.41929,-8.14834,-5.6329,-6.03049,-6.64328,-10.2945,-3.85223,-10.9451,-0.908254,-3.25982,-4.11981,-4.08981,-1.57677,-5.04333,-6.42923,-7.46728,-6.19172,-6.95981,-7.42166,-25.8731
62,6300,53,3553,829.167,722.337,-14.645,-2.26562,-9.41932,-8.14835,-5.63162,-6.03192,-6.64337,-10.379,-3.85293,-10.9453,-0.907801,-3.27082,-4.11982,-4.10276,-1.57373,-5.04387,-6.43189,-7.46542,-6.19033,-6.96023,-7.42012,-25.8731
63,6400,99,3260,934.967,734.999,-14.6429,-2.26504,-9.41931,-8.14834,-5.6317,-6.0305,-6.64336,-10.4351,-3.85295,-10.9454,-0.912769,-3.30516,-4.11972,-4.10526,-1.57559,-5.04342,-6.43169,-7.46269,-6.18887,-6.95949,-7.41885,-25.8731
64,6500,53,3405,878.967,715.386,-14.6394,-2.26409,-9.41936,-8.14848,-5.63433,-6.03095,-6.64338,-10.3191,-3.8529,-10.9427,-0.909737,-3.35947,-4.11977,-4.08842,-1.58142,-5.0438,-6.43144,-7.46135,-6.18757,-6.95914,-7.41911,-25.8731
65,6600,80,2302,822.567,651.146,-14.6393,-2.26488,-9.41937,-8.14852,-5.63293,-6.0311,-6.64341,-10.3933,-3.85278,-10.9431,-0.91058,-3.41719,-4.11962,-4.07599,-1.58198,-5.04366,-6.42839,-7.45979,-6.18904,-6.95902,-7.41629,-25.8731
