0,2.13333
1,9
2,23.5333
3,50.8333
4,126.833
5,190.667
6,323.8
7,357.367
8,423.167
9,384.767
10,453.467
11,407.533
12,506.9
13,458.433
14,482.133
15,562.633
16,381.333
17,544.2
18,527.067
19,456.1
20,493.333
21,781
22,675.167
23,446.167
24,639.1
25,545.033
26,631.733
27,394.6
28,436.933
29,598.8
30,663.167
31,592.4
32,509.833
33,502.133
34,610.333
35,613.567
36,508.467
37,617.233
38,638.633
39,595.367
40,612.8
41,493.6
42,514.767
43,403.4
44,498.033
45,605.967
46,601.8
47,540.767
48,552.367
49,598.967
50,663.9
51,644.333
52,588.567
53,781.667
54,664.633
55,563.733
56,675.667
57,493.533
58,668.7
59,554.967
60,619.767
61,492.933
62,659.333
63,498.067
64,591.467
65,652.733
66,459
67,507.333
68,536.933
69,450.633
70,507.867
71,767.633
72,459.5
73,539.533
74,652.1
75,496.967
76,496.033
77,704.167
78,528.5
79,695.133
80,616.1
