generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5
0,6,0,10,2.7,2.57508,0.95679,0.485355,0.276988,-0.867938,-0.636264,-0.569263,-1.28411
1,12,129,16738,2990.87,4013.43,0.987244,-1.01154,0.102119,-0.71191,-1.89284,-0.99218,-1.42986
2,18,110,1569,396.5,354.574,1.01051,-1.17804,-0.590971,-1.43593,-1.72907,-1.76727,-1.64902
3,24,67,2640,698.9,630.873,1.02,-0.92833,-0.729029,-0.974513,-2.60688,-2.41272,-1.44987
4,30,484,15439,5919.5,4767.43,1.07911,-2.87806,-0.240806,-1.3583,-2.69312,-2.64386,-2.08668
5,36,506,23562,7402.93,7013.9,1.15425,-3.74179,0.296834,-1.15636,-3.39484,-3.1682,-2.49844
6,42,381,50729,16583.8,15447.5,1.2379,-3.80426,-0.475952,-1.16099,-4.04147,-4.8321,-1.84064
7,48,877,60188,21516.5,15219.2,1.24591,-4.21362,-0.478189,-1.46009,-4.32059,-5.18643,-2.12727
8,54,1490,70778,19108,17804.4,1.2113,-2.29489,0.0384135,-2.23374,-4.64647,-4.8481,-1.95763
9,60,309,34427,11781.4,9356.99,1.15164,-2.58065,0.325194,-2.14565,-4.24119,-5.56358,-1.36559
10,66,1348,53193,13345.8,11311.4,1.10905,-1.94425,0.692415,-2.15035,-5.05243,-5.69629,-1.3354
11,72,387,47824,16376.6,12836,1.03442,-2.08699,0.903314,-1.72768,-5.54711,-5.53117,-1.90906
12,78,970,135325,31971.2,30100.8,0.969917,-2.71822,-0.0144877,-1.58258,-5.96739,-4.72177,-1.95797
13,84,111,114185,25986,29319.7,0.830882,-2.82457,0.588206,-1.72051,-5.60366,-4.87938,-1.81556
14,90,106,86693,23295.9,20540.7,0.788083,-3.45322,0.631109,-1.31801,-6.19886,-4.67902,-2.2619
15,96,272,69596,11934.4,15077,0.748318,-3.04256,-0.427035,-1.68157,-5.78597,-4.16979,-1.93968
16,102,110,36747,10432.3,10162.1,0.731084,-3.02885,-0.443117,-1.40126,-4.56292,-4.2456,-1.25083
17,108,65,55126,20421.7,15930.9,0.74904,-4.44548,-0.174244,-1.89176,-6.69099,-4.59402,-2.195
18,114,247,43346,17216,12627.5,0.871938,-6.08271,0.143202,-2.08569,-7.73527,-5.49814,-3.3222
19,120,184,51547,17440.1,16741,0.973932,-6.15307,0.00570453,-2.09763,-9.03787,-6.73538,-3.26132
20,126,882,97626,22260.2,28703,1.14908,-6.48285,0.687493,-2.31147,-11.1434,-8.08115,-4.19606
21,132,949,49991,16363.6,12204.8,1.24297,-5.8192,0.718434,-2.12417,-9.98389,-8.42394,-4.97174
22,138,479,76240,15787.4,17717.3,1.4414,-8.86805,0.828802,-3.34781,-12.3691,-11.3379,-5.83288
23,144,144,44999,14621.3,12104.6,1.51139,-7.31559,-0.255504,-3.1621,-8.07568,-9.64496,-4.35759
24,150,1923,147272,25223.4,32166,1.56876,-7.57578,0.124123,-2.95769,-11.3505,-12.2886,-5.60022
25,156,889,102775,24775.5,24378.2,1.47003,-6.38931,-0.63905,-2.58067,-9.59671,-10.904,-4.07254
26,162,40,48669,13405,12345.7,1.58047,-9.48063,-0.955707,-2.33128,-12.5901,-14.3604,-5.94662
27,168,202,29838,9957.6,8056.02,1.63682,-11.5292,-0.609197,-2.9431,-13.1072,-14.6727,-4.90209
28,174,130,32055,8316.63,7976.13,1.6607,-12.1876,0.14438,-2.07454,-14.0748,-15.4793,-5.21895
29,180,217,41314,10472.8,10348.6,1.66847,-12.4355,1.74609,-2.11762,-16.0986,-16.0082,-5.92187
30,186,810,38177,9693.43,9128.63,1.76038,-16.159,1.49653,-2.68854,-16.7907,-15.4636,-7.05347
31,192,899,36838,8458.83,9463.22,1.65768,-12.1834,0.408914,-2.80084,-16.5131,-14.3103,-5.27803
32,198,595,54214,15286.8,16216.7,1.6563,-11.1754,1.37989,-3.14999,-17.6566,-13.4544,-5.33018
33,204,346,40881,9391.47,9191.72,1.59222,-13.0942,1.36811,-2.8056,-17.3706,-12.8972,-5.15346
34,210,1256,74592,18229.9,17750.3,1.44501,-11.6239,0.964315,-3.00314,-14.8618,-11.6622,-5.69475
35,216,290,85405,21158.1,19673.5,1.36026,-10.3618,0.847066,-3.33868,-15.6415,-10.8562,-5.46785
36,222,185,115929,19196.5,23234.6,1.2523,-8.76004,0.524032,-2.6654,-13.4284,-9.5044,-4.26501
37,228,747,29792,11273.3,6787.23,1.23448,-7.16631,0.317063,-2.55549,-11.4383,-8.30312,-2.75721
38,234,62,54786,10669.7,12667.8,1.15627,-7.82839,0.871003,-2.64537,-12.404,-8.33733,-2.95117
39,240,299,35116,9867.33,8133.56,1.04539,-9.05143,1.26065,-2.78743,-14.2184,-10.1877,-3.45464
40,246,282,67647,17023,16688.7,0.97494,-7.49252,0.969242,-2.95189,-13.8153,-10.2979,-3.38389
41,252,400,67504,17813.4,17332.1,0.958692,-6.40682,0.659029,-3.31346,-12.5745,-9.77881,-3.32948
42,258,2576,140389,30878.7,34005.9,0.918609,-6.5102,1.21649,-3.34916,-12.5099,-9.04884,-3.69408
43,264,466,122699,25940.6,30294.5,0.924832,-5.3453,1.66122,-2.92165,-12.5578,-8.47835,-3.63483
44,270,326,53638,14618.7,12756.7,0.831846,-5.85318,1.42438,-3.16595,-12.8445,-8.50431,-3.6505
45,276,1734,95527,29026.9,28371.8,0.77755,-6.81722,1.79786,-3.58555,-13.3918,-9.33915,-3.90811
46,282,150,71973,17308.2,17187.1,0.755032,-7.68171,1.7378,-3.79052,-13.9686,-10.0287,-3.65658
47,288,853,66104,18651.9,15685,0.759556,-8.36771,1.67297,-4.06053,-13.8812,-10.5164,-3.71458
48,294,541,63425,17350.7,15025.4,0.765325,-8.90326,1.36464,-4.13539,-14.1248,-10.8399,-3.43648
