generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5
0,100,25,108,51.1333,18.8857,-13.2501,1.14124,-10.3494,-2.36994,-4.01392,-6.14184
1,200,43,2085,802.833,580.577,-11.5601,0.920121,-4.86806,-5.61271,-7.823,-5.29071
2,300,119,5062,2119.03,1582.63,-12.1584,4.10298,-4.391,-6.74969,-10.457,-5.3367
3,400,1029,31309,12254.4,9369.02,-9.11851,3.68489,-3.97218,-8.00397,-11.5937,-4.20226
4,500,1728,64952,23030.2,17572.7,-7.45974,4.15289,-4.29086,-10.2773,-12.732,-5.62453
5,600,687,171392,19644.2,30163.3,-7.65844,5.937,-5.18215,-12.5125,-14.5582,-5.78981
6,700,1959,104591,24030.6,22587,-7.85014,5.3093,-4.89257,-13.7104,-13.3407,-6.11594
7,800,2164,50421,24037.9,13392.6,-7.98646,5.77135,-5.48459,-14.9372,-14.751,-6.58726
8,900,695,140410,23396,28609.7,-7.52696,8.1443,-5.12934,-14.8067,-14.7592,-6.56713
9,1000,842,105653,24911,27276.8,-7.41456,8.40718,-6.26166,-15.5253,-13.078,-6.35881
10,1100,2641,97369,26283.6,20564.2,-6.87016,8.45511,-6.0874,-16.851,-13.3924,-6.28296
11,1200,494,99365,26868.9,24956.9,-7.26583,8.78279,-6.58671,-17.3043,-14.5124,-6.90455
12,1300,440,148081,27231.8,33339.4,-7.28311,8.39451,-6.58555,-16.4738,-17.1307,-6.70748
13,1400,423,75697,24781,19706.5,-7.29749,9.67638,-7.89782,-16.4109,-16.86,-6.4691
14,1500,815,86303,25518.1,25321.1,-8.00872,8.98961,-7.3836,-16.6564,-17.1214,-6.5984
15,1600,984,86057,27603.5,22627.2,-7.60472,8.60641,-8.12831,-16.4346,-18.3727,-6.3551
16,1700,891,95887,30109.2,25386.7,-7.97702,7.73263,-7.49557,-17.0547,-17.2918,-7.51588
17,1800,250,81286,20617,22762.8,-8.16962,8.41183,-7.36515,-16.8625,-19.4544,-8.87976
18,1900,2617,97582,25775.2,23627.8,-7.99165,7.72029,-8.10564,-17.3597,-19.047,-7.91646
19,2000,227,100340,22669.3,22522.4,-8.72136,6.72373,-7.86674,-17.9363,-20.8275,-7.59501
20,2100,533,138208,33928.6,31950.6,-8.16883,6.13814,-7.54435,-18.1575,-21.5312,-8.52773
21,2200,2317,220661,35167.2,42351,-9.97287,4.98273,-8.16425,-18.9336,-23.9673,-8.73143
22,2300,563,182251,34258.7,38183.6,-10.3388,5.99493,-7.1633,-18.7008,-24.4292,-7.58128
23,2400,705,123124,40181.6,34689,-10.9135,6.60689,-7.68772,-18.9103,-23.1321,-8.02713
24,2500,2267,111968,29269,25801.1,-10.7925,6.92252,-7.54884,-19.3535,-22.5895,-7.88569
25,2600,337,152196,29920.5,38117.2,-10.5143,7.56161,-6.76284,-19.4957,-23.5131,-8.41466
26,2700,1019,145177,28899.6,33408.5,-11.2225,7.99988,-6.96522,-19.702,-23.2669,-9.20225
27,2800,1466,114887,37049.7,31235.3,-10.8915,8.11835,-7.01746,-20.0514,-22.8377,-9.29337
28,2900,2086,74864,33383.2,22504,-11.3292,8.21413,-7.85272,-19.969,-22.3473,-8.36792
29,3000,205,100760,33361.3,25885.5,-12.1914,7.89867,-8.23065,-19.6915,-21.9668,-9.07666
30,3100,1917,142331,33785.3,35304.9,-11.608,8.24221,-8.64583,-20.0656,-22.0895,-9.76515
31,3200,345,90831,27539.3,20926.8,-11.1207,7.67771,-8.50635,-19.785,-23.8599,-9.2415
32,3300,1461,102347,37243.7,31751.5,-11.7794,7.9033,-8.28613,-20.919,-23.1967,-10.1134
33,3400,539,107382,30930,23487.4,-12.1307,8.62901,-8.40614,-20.8591,-24.6727,-9.60984
34,3500,252,158808,29028.9,33371.3,-11.9961,9.23369,-8.69453,-20.5027,-24.2268,-8.95281
35,3600,918,93489,20650.7,18494.7,-12.2612,10.2111,-9.25135,-22.2513,-23.0542,-9.82945
36,3700,4517,132186,28140,25499.9,-10.7244,10.7118,-9.80067,-22.986,-23.7017,-9.50773
37,3800,147,69795,16836.5,16028.3,-10.9587,10.6433,-9.47031,-23.0713,-23.9015,-10.0433
38,3900,1827,94021,31321.9,24970.3,-10.8117,11.4755,-8.99138,-23.4727,-24.0422,-9.14302
