generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5
0,100,94,5302,1398.1,1346.14,-11.6982,-0.209319,-3.30674,-6.94523,-10.1738,-8.91117
1,200,156,9976,2667.57,2542.06,-15.904,1.60676,-4.35745,-10.1421,-11.0114,-7.60048
2,300,725,47491,10524.6,10998,-12.9885,2.09636,-4.46648,-10.1516,-15.2002,-6.64487
3,400,1282,110194,23290.9,22558.8,-10.4271,2.32371,-4.97762,-11.5394,-16.8531,-6.61137
4,500,210,105000,26258,24871.8,-10.2118,1.75474,-4.821,-12.2452,-16.2153,-6.47265
5,600,892,98352,23463.8,26060.6,-10.639,2.24682,-4.96497,-13.3638,-16.4382,-6.88343
6,700,2027,194266,34316.5,39899.7,-10.0354,2.30274,-5.05067,-13.5398,-18.2544,-6.69748
7,800,652,112171,25859.2,24190.3,-10.3978,2.30367,-5.18606,-13.5003,-18.7923,-6.58119
8,900,1543,141064,27966.9,28241.6,-10.3988,1.54578,-4.75712,-13.4803,-17.8196,-6.59395
9,1000,923,71795,22933.8,21668.2,-10.5496,1.13034,-4.99893,-13.3445,-17.9336,-6.68931
10,1100,1154,121587,33335.9,28677.7,-10.2732,1.06746,-5.02018,-13.3206,-18.0108,-6.77125
11,1200,1907,54911,20025,13880.2,-10.0939,1.06349,-4.93743,-13.4202,-17.5986,-6.46169
12,1300,962,71672,20958.7,15037.5,-10.1715,1.22463,-4.96785,-13.4187,-17.423,-6.26996
13,1400,182,108720,22254.4,25378.7,-9.59621,1.14725,-4.78602,-13.4346,-17.3774,-6.39459
14,1500,564,127453,24171,25791,-9.81652,1.22664,-4.76567,-13.4401,-17.1829,-6.2679
15,1600,1062,84495,20404.5,20948.5,-9.86768,1.19405,-4.82192,-13.4286,-17.2991,-6.32145
16,1700,1024,72500,17019.3,15895.9,-10.7348,1.21542,-4.69299,-13.4318,-17.3485,-6.28213
17,1800,809,102413,25785.3,25126.2,-10.4662,1.19368,-4.74267,-13.4168,-17.1729,-6.18803
18,1900,99,160393,27135.8,35747.3,-10.31,1.16661,-4.75158,-13.4227,-16.9696,-6.07678
19,2000,159,107858,22229.4,20527.9,-10.3288,1.15877,-4.80292,-13.4125,-16.9444,-6.14469
20,2100,494,82226,24791.2,24002.7,-9.91158,1.19785,-4.78066,-13.4175,-16.9283,-6.21128
21,2200,1417,69328,23524.3,17557.2,-9.84876,1.22733,-4.79225,-13.4268,-16.9781,-6.24472
22,2300,3092,62491,19968.3,16053.9,-9.78084,1.21854,-4.77823,-13.4282,-17.0457,-6.13648
23,2400,827,109447,22413.7,23041.7,-9.66966,1.23729,-4.81103,-13.4302,-17.0235,-6.11884
24,2500,1151,72712,26529.9,19815.9,-9.56489,1.21416,-4.8865,-13.4319,-17.1658,-6.12692
25,2600,426,118072,21609.3,28439.5,-9.50014,1.20465,-4.87587,-13.4319,-17.163,-6.12773
26,2700,2333,79279,24718.5,19532.4,-9.56386,1.20369,-4.86376,-13.4303,-17.2515,-6.18538
27,2800,1194,121834,25545.2,26595.8,-9.51106,1.1997,-4.82471,-13.4313,-17.182,-6.19083
28,2900,332,113822,32057,32022,-9.56055,1.21508,-4.83079,-13.4348,-17.1465,-6.19178
29,3000,83,90168,25092,25120.7,-9.56304,1.21134,-4.81631,-13.4363,-17.3088,-6.18794
30,3100,172,125316,28663.8,30190.2,-9.56643,1.22253,-4.83166,-13.4367,-17.3515,-6.188
31,3200,1818,136692,39673.4,34409.5,-9.58198,1.21764,-4.87472,-13.4341,-17.3635,-6.19431
32,3300,1695,148070,33553.1,32921.8,-9.50834,1.22228,-4.8739,-13.4359,-17.3162,-6.1835
33,3400,1180,82037,22438.2,20788.8,-9.5035,1.22169,-4.83982,-13.4375,-17.309,-6.18436
34,3500,841,125514,25245.2,31048.7,-9.53418,1.22454,-4.87239,-13.4375,-17.3063,-6.17868
35,3600,782,61731,21672.5,17898.4,-9.54495,1.22368,-4.87059,-13.4379,-17.3232,-6.18102
36,3700,687,161535,26033.5,36346,-9.52535,1.23156,-4.88045,-13.4388,-17.3068,-6.18437
37,3800,189,94768,26943.6,23342.2,-9.53348,1.2457,-4.90038,-13.44,-17.3155,-6.18853
38,3900,569,105781,24690.6,22589.5,-9.54245,1.24567,-4.91145,-13.4423,-17.309,-6.18724
39,4000,856,109655,35773,30846.4,-9.56317,1.25351,-4.91637,-13.4423,-17.3119,-6.18745
40,4100,1748,92983,27812.7,23390.4,-9.54835,1.25577,-4.91122,-13.443,-17.3162,-6.18668
41,4200,500,91958,23790.5,21704.3,-9.55352,1.25749,-4.91089,-13.4421,-17.2999,-6.18548
42,4300,597,112205,27128.8,25341.5,-9.5291,1.25685,-4.90766,-13.4416,-17.3087,-6.18605
43,4400,621,95693,19779.4,22574.5,-9.51704,1.25435,-4.91374,-13.4416,-17.3057,-6.18494
44,4500,660,95571,28647.8,27612.3,-9.51851,1.25434,-4.91893,-13.4425,-17.3121,-6.1841
45,4600,445,141453,34674.1,31711.7,-9.51547,1.25406,-4.92007,-13.4418,-17.3209,-6.18446
46,4700,350,88972,23426.9,24992.8,-9.51623,1.25415,-4.91844,-13.4423,-17.3217,-6.185
47,4800,1517,112077,24816.7,28501.4,-9.52006,1.25625,-4.92155,-13.4419,-17.3259,-6.18472
48,4900,222,60819,17372.3,16931.2,-9.52692,1.2562,-4.92153,-13.4425,-17.3231,-6.18481
49,5000,1007,73089,22749,19084.2,-9.53127,1.2562,-4.91826,-13.4424,-17.3297,-6.18502
50,5100,2025,75981,24369.3,19351.1,-9.53122,1.25589,-4.91787,-13.4419,-17.3204,-6.18454
51,5200,1558,94606,22851.7,22183.8,-9.52926,1.25547,-4.91532,-13.4422,-17.2997,-6.18442
52,5300,824,111193,29814.2,32081.9,-9.52915,1.25536,-4.91475,-13.442,-17.3002,-6.18404
53,5400,234,67446,19654.3,16647.5,-9.51614,1.25556,-4.91713,-13.4422,-17.3033,-6.18405
54,5500,266,103207,26578.1,29358.4,-9.5167,1.25576,-4.92022,-13.4423,-17.2987,-6.18378
55,5600,747,95623,22545.9,22056.5,-9.51631,1.25601,-4.92064,-13.4424,-17.2898,-6.18333
56,5700,949,118309,29457,29267.8,-9.51134,1.25588,-4.92099,-13.4423,-17.2801,-6.18322
57,5800,753,93305,20465.1,20794.4,-9.50692,1.25585,-4.92164,-13.4426,-17.2865,-6.18321
58,5900,614,89367,24726.4,22073.6,-9.50813,1.25588,-4.92185,-13.4427,-17.2827,-6.18321
59,6000,1650,197410,26482.8,40321.1,-9.50943,1.25579,-4.92168,-13.4427,-17.286,-6.18318
60,6100,277,59278,21696.9,17925.6,-9.51001,1.25575,-4.92116,-13.4427,-17.2914,-6.18305
61,6200,533,98979,23051.2,22344.5,-9.51188,1.25587,-4.92155,-13.4426,-17.2887,-6.18303
62,6300,2894,113611,34560.5,27567,-9.51314,1.256,-4.92158,-13.4426,-17.2815,-6.18303
63,6400,196,71766,22242.1,20252.9,-9.5119,1.25611,-4.92148,-13.4426,-17.2821,-6.183
64,6500,228,112424,23050.9,25117.8,-9.51599,1.25607,-4.92151,-13.4426,-17.2801,-6.183
65,6600,410,134946,28709.6,33317.2,-9.51596,1.25597,-4.92133,-13.4426,-17.2787,-6.18299
66,6700,253,75747,19432.2,17002.2,-9.51687,1.25608,-4.92132,-13.4426,-17.2766,-6.18299
67,6800,1146,97649,26667,23729.6,-9.51682,1.25614,-4.92154,-13.4426,-17.2765,-6.18298
68,6900,353,72952,26575.3,23786.6,-9.517,1.25614,-4.92138,-13.4426,-17.2763,-6.18296
69,7000,258,86243,30883.5,21768.6,-9.51797,1.25614,-4.92151,-13.4426,-17.2765,-6.18296
70,7100,1207,106208,28401,27139,-9.51809,1.25614,-4.92144,-13.4426,-17.2769,-6.18295
71,7200,1401,193537,34655.5,42362,-9.51926,1.25614,-4.92151,-13.4426,-17.2764,-6.18298
72,7300,1925,171412,35371.5,34884.4,-9.51933,1.25614,-4.92154,-13.4426,-17.2765,-6.18296
73,7400,172,96186,26681.7,25281.2,-9.51973,1.25614,-4.92153,-13.4426,-17.2765,-6.18298
74,7500,1054,164825,27635.2,33485.1,-9.51985,1.25614,-4.92152,-13.4426,-17.2756,-6.18297
75,7600,1210,138006,28329.2,33235,-9.52049,1.25614,-4.92153,-13.4426,-17.2749,-6.18297
76,7700,466,96721,27804,24484.1,-9.5203,1.25614,-4.92151,-13.4426,-17.2749,-6.18297
77,7800,1832,72981,23363.3,20780.6,-9.52041,1.25614,-4.92146,-13.4426,-17.2746,-6.18297
78,7900,361,107456,29185.4,29082.1,-9.51951,1.25613,-4.92146,-13.4426,-17.2746,-6.18297
79,8000,1144,149129,32643.5,29865.4,-9.51924,1.25613,-4.92148,-13.4426,-17.275,-6.18296
80,8100,875,150316,24267.5,31395.8,-9.51946,1.25613,-4.92137,-13.4426,-17.2748,-6.18296
