generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,13,0,5,1.7,1.39333,0.924202,0.5244,-0.276847,0.00782153,0.188055,-0.509797,0.279797,0.254204,0.335198,-0.20443,-0.211922,0.268888,-0.626514,-0.419283,0.158742,-0.566699,0.617711,-0.227555,-0.134229,-0.563234,-0.918086,0.37706,-0.712033
1,26,0,3,0.7,0.987857,0.901827,0.974127,-0.807469,-0.42538,1.24879,0.100501,0.566935,0.00040849,0.779866,-0.440464,0.280256,0.338761,-0.389045,0.164256,0.275358,-0.465007,0.421386,0.222241,-1.10518,-0.915921,-1.26044,1.10186,-1.6174
2,39,0,5,0.966667,1.40156,0.878091,0.746721,-0.924532,0.147982,0.551609,-0.0817941,0.826291,-0.159435,0.789708,-0.701042,-0.935115,0.860872,-0.847979,-0.731531,-0.220283,-1.12218,-0.105923,0.524671,-0.315244,-1.0594,-1.58778,0.834139,-1.78544
3,52,0,4,1.53333,1.4077,0.87429,1.62966,-0.00687689,0.0669549,0.70648,-0.863974,1.0289,0.21665,1.11855,-1.00287,-1.92186,0.977279,-1.0697,-0.309096,0.217469,-0.615723,0.126623,0.454135,-0.128388,-0.718101,-2.2164,0.517724,-2.01618
4,65,0,2,0.433333,0.678911,0.886908,2.07688,0.745692,0.436982,1.18552,-1.27006,0.369289,0.505112,1.29228,-1.76977,-1.97241,0.931446,-0.546271,0.53738,0.582922,-0.541578,0.762425,1.17593,-0.235873,-0.393675,-2.33896,-0.0407268,-1.94902
5,78,0,11,4.3,2.32156,0.877151,1.6209,0.955469,0.00711455,0.513065,-1.33515,-0.664118,0.851954,1.41333,-1.15822,-1.7676,0.758099,-0.908695,0.617465,0.357783,-1.05818,0.801398,0.577589,-0.722693,-0.838263,-1.39558,-0.282038,-2.81994
6,91,0,20,7.36667,4.67925,0.88587,1.62634,0.129056,0.621149,-0.214806,-2.44118,-1.04681,0.711441,0.50232,-1.79446,-1.6526,0.615701,-2.0953,0.384987,0.12442,-0.686746,0.653378,0.453569,-0.870883,-1.22791,-1.58978,-0.500108,-2.99815
7,104,1,43,10.1,7.78748,0.906887,1.48627,0.315975,0.664237,-0.936578,-2.47045,-1.33119,0.24098,1.02614,-1.46586,-2.26464,0.692717,-1.75359,0.554444,0.381197,-0.450637,0.552323,1.15247,-1.48927,-1.1913,-1.99381,-0.0247988,-4.19854
8,117,2,19,10.4,4.34384,0.926077,1.71184,0.251787,0.349619,-0.10989,-3.1486,-1.06852,-0.160834,0.740973,-1.50625,-2.05325,0.127854,-1.5336,0.549904,0.502125,-1.00404,0.792721,0.935465,-1.51388,-1.1198,-2.26984,-0.0125369,-5.26142
9,130,0,18,6.9,4.4594,0.948459,1.38946,0.471939,0.998234,-0.395654,-2.85701,-1.67436,-0.11893,0.502389,-1.35583,-2.01246,0.0185044,-0.922471,0.447483,0.240682,-1.22604,0.92695,0.671216,-1.16446,-1.50493,-0.991625,1.32819,-5.96588
