generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,13,0,6,1.33333,1.24106,0.96044,-0.632143,0.781013,0.317114,-0.237287,-1.66994,-0.691553,0.937079,-0.188087,0.563031,-0.609597,0.264276,-0.484967,-0.426408,-0.157256,-0.612092,-0.147771,0.0337325,0.169632,-0.300951,-0.00694855,1.09925,-1.07068
1,26,0,9,2.56667,2.04574,0.942205,-0.225796,0.329797,0.212197,-0.841747,-1.89659,-1.35608,1.32589,0.139339,0.715453,-0.794664,0.350653,-1.0395,-0.323454,-0.956522,-0.391266,-0.545038,-0.133965,0.663043,-0.0391628,-1.33518,0.867161,-1.16918
2,39,0,10,1.3,1.93248,0.937144,-0.322656,0.235989,-0.467878,-0.197453,-2.15156,-2.30965,1.69569,-0.0929834,0.93073,-1.36747,0.574768,-0.512587,-0.868506,-0.2104,-1.02642,0.230939,-0.547933,0.058252,0.0600697,-1.22686,1.52652,-1.22194
3,52,0,7,2.73333,1.96404,0.942346,-0.9283,0.238537,-1.09528,0.994435,-2.31306,-2.70071,1.27596,0.157754,0.834715,-1.58062,0.695504,-0.734009,-0.547226,-1.35445,-1.5003,-0.275822,-0.0391611,-0.123542,-0.673727,-1.33054,1.26415,-1.44803
4,65,1,25,7.7,5.45293,0.922748,-0.61334,0.353145,-0.700075,0.414653,-2.25385,-1.50478,1.00192,0.212515,0.103271,-1.42815,0.35574,-0.241229,0.165171,-1.82248,-1.4055,-1.03144,-0.567312,-0.686053,-1.0084,-1.86942,0.451997,-1.86815
5,78,5,38,20.6,9.66187,0.94885,-0.472921,1.47819,-1.14781,0.726192,-2.69653,-1.66994,0.904842,0.490435,0.242264,-1.86222,0.143918,-0.0856317,-0.690742,-2.45451,-1.55594,-2.13367,-0.792137,-1.05503,-1.88042,-1.46555,-0.014449,-2.50518
6,91,1,53,19.5667,12.5277,0.976612,-0.913182,1.37922,-1.81915,1.40269,-2.45257,-1.20861,0.579557,-0.254824,0.137378,-1.63606,0.622886,-0.064837,-0.194362,-2.48267,-1.90884,-2.45954,-1.00777,-1.62935,-1.43417,-1.00228,-1.139,-2.78379
7,104,24,157,71.5,31.0014,0.99536,-0.709071,1.2814,-1.34955,0.196843,-2.02267,-0.611129,-0.356984,0.427293,-0.641163,-1.39892,0.179894,-0.576802,0.0324793,-2.13246,-1.61786,-1.79962,-1.1636,-2.11002,-1.21056,-1.27445,-2.35363,-3.33327
8,117,34,257,79.6,45.5757,1.03005,-0.308762,1.0376,-1.38261,0.175891,-1.40352,-0.599233,-0.830484,0.335454,-0.568684,-1.51528,0.0354669,-1.13497,-0.938367,-2.25532,-2.49878,-1.68724,-1.19432,-2.27674,-1.15992,-0.920228,-2.93307,-4.35119
9,130,18,197,71.8,35.8266,1.05578,-1.08538,1.17005,-1.04309,0.372,-1.12882,-0.983524,-0.286457,0.152336,-0.308726,-1.51844,-1.03317,-0.668569,-1.80465,-2.79751,-1.91909,-2.6569,-1.68,-1.52061,-0.80405,-1.72051,-2.34666,-5.29611
10,143,16,209,83.2333,39.979,1.07501,-1.0987,0.869882,-1.04589,-0.188979,-1.37089,-0.989148,-0.342219,-0.551711,-0.519443,-1.59844,-0.984943,-0.830032,-2.76659,-2.35488,-1.89519,-1.0744,-1.71024,-1.78738,-0.980425,-1.61633,-2.97251,-5.65541
