generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5
67,6800,548,100973,32563.2,26923.9,-13.7252,10.7492,-10.2113,-29.8623,-23.397,-10.8229
68,6900,1095,106233,30571.1,26244.7,-13.7496,10.737,-10.1723,-30.0147,-23.0577,-10.8332
69,7000,821,93210,24844.3,24730.8,-13.7563,10.7654,-10.1805,-30.0691,-23.1072,-10.8255
70,7100,553,118694,29131.8,32102.5,-13.7487,10.7668,-10.1956,-30.0538,-23.0246,-10.8269
71,7200,808,150396,29961.6,30232.6,-13.7472,10.7609,-10.1953,-30.065,-23.104,-10.8164
72,7300,294,139472,28403.4,27587.7,-13.7401,10.7516,-10.1877,-30.13,-23.1405,-10.8187
73,7400,514,107322,31382.7,28725.3,-13.7417,10.7398,-10.1877,-30.212,-23.0966,-10.8205
74,7500,320,90636,27077.1,22436.2,-13.7379,10.75,-10.1771,-30.2246,-23.0545,-10.8328
75,7600,86,112298,32008.2,31630.3,-13.7368,10.7542,-10.1613,-30.1824,-23.0562,-10.8108
76,7700,211,120001,27207,29899.8,-13.7363,10.7595,-10.1418,-30.219,-22.9545,-10.796
77,7800,444,118747,27683.3,29357.5,-13.7376,10.7611,-10.1376,-30.1829,-23.0028,-10.7892
78,7900,1106,115554,38713.2,29760.3,-13.7365,10.7626,-10.141,-30.3052,-23.0656,-10.7945
79,8000,885,179670,29192.1,35941,-13.736,10.7584,-10.1226,-30.3378,-23.2223,-10.8188
80,8100,1202,105252,30500.3,32531.6,-13.7343,10.7671,-10.1335,-30.2902,-23.2282,-10.8342
