generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,13,0,4,1.16667,1.14721,0.932573,-0.377925,-0.725884,0.270244,-0.58153,-0.346475,-0.198876,0.352586,0.100224,-0.243974,-0.441508,0.836443,-0.89756,-0.615297,0.552697,-0.480968,-0.142918,-0.250114,0.309296,-0.800671,-0.446281,-0.400152,-0.19789
1,26,0,4,0.7,0.952311,0.882653,-0.347365,-0.964086,-0.197013,-0.354805,0.00522375,-0.0756276,-0.978618,-0.273587,0.41646,-0.622806,0.415217,-0.341195,0.148169,0.412819,-0.717544,0.301749,-0.157035,0.571228,-1.46174,-0.451173,-0.69047,-0.864768
2,39,0,8,2.66667,1.93575,0.872983,-0.750552,-0.499045,-0.14106,-0.034911,-0.12093,-0.731154,-1.24373,-0.0152359,0.708764,-1.00474,1.11974,-0.703457,1.05533,0.141867,-0.89159,1.09264,0.162659,1.02352,-1.14044,-1.09633,-1.16354,-1.53953
3,52,0,16,6.56667,4.35243,0.856318,-0.163573,-0.49094,-0.348525,-0.15193,-1.00013,-1.0091,-0.971803,-0.461375,0.0427106,-1.57611,1.23759,-0.746033,0.948911,0.384493,-1.18693,0.840439,0.260571,0.517846,-1.59595,-0.992931,-0.822111,-1.92124
4,65,0,20,9.43333,5.79943,0.844604,0.0665033,-0.196816,-0.434997,0.349545,-1.122,-1.44604,-1.16271,-0.560975,0.521923,-0.98832,0.682146,-0.855412,0.436591,0.569387,-1.74225,0.806079,0.138835,-0.0354029,-0.527458,-1.48543,-0.583317,-2.68141
5,78,3,15,8.2,3.94269,0.836708,-0.219115,0.209584,-0.392638,-0.156131,-1.20982,-1.95938,-0.826602,0.0297399,1.13773,-1.01466,0.699744,-1.57475,0.497542,0.336007,-1.91532,0.614879,-0.134693,-0.401262,-0.602911,-1.82597,-1.01291,-2.66087
6,91,3,24,13.0333,5.18275,0.816083,-0.844067,0.268442,-0.646421,0.384784,-0.360717,-2.04565,-1.07578,0.022096,0.622847,-1.25805,0.230843,-1.61423,0.180289,0.391877,-2.16452,0.588745,-0.16911,-0.432627,-0.616159,-1.65242,-0.774294,-2.81981
7,104,4,28,12.7667,6.99105,0.808867,-0.634678,0.685099,-0.367331,-0.254316,-0.385465,-2.08109,-0.939763,-0.127041,1.45767,-1.54875,0.166404,-2.2139,0.574893,-0.00717529,-2.46619,0.391192,-0.625631,-0.216416,-1.10175,-1.58538,-1.71089,-2.88959
8,117,1,24,11.5667,5.87034,0.811958,-1.267,0.104218,-0.644812,-0.0844985,-0.207236,-1.95187,-0.271398,0.269459,1.52867,-1.88181,1.0281,-2.25701,-0.351521,-0.100156,-3.2656,0.738926,-0.370505,-0.860407,-0.984857,-1.34465,-1.2814,-3.34245
9,130,2,21,11.5667,5.21723,0.836671,-1.02545,0.110327,-1.26841,0.0676199,-0.265024,-1.93695,-0.821953,0.38049,2.34235,-1.70169,1.21407,-2.39674,-0.770843,-0.218204,-3.73351,-0.0398531,-0.42104,-0.734299,-1.56014,-0.697585,-1.77915,-4.07296
10,143,4,50,24.5667,12.0793,0.833138,-0.800785,-0.0549916,-1.0164,-0.123235,0.327316,-1.58531,-0.783185,0.227945,1.99341,-1.84457,1.03954,-2.15081,-0.314791,0.538333,-3.45275,-0.0788986,-0.786235,-1.55083,-1.86774,-1.16229,-1.73366,-4.18506
11,156,15,113,59.0667,24.7358,0.850966,-0.875637,0.221882,-0.84488,0.200868,0.0769661,-1.21084,-0.477284,-0.570201,1.43499,-1.79689,1.04955,-2.55323,-0.71561,-0.161303,-3.68056,-0.855828,-1.76634,-2.20417,-2.00856,-0.757059,-1.85573,-4.53098
12,169,14,140,64.0667,32.8055,0.850149,-0.976851,-0.354239,-0.670837,0.658436,0.402622,-1.0597,-0.205567,-0.535388,0.856074,-1.13782,0.543306,-2.37765,-0.59251,-0.101432,-3.03135,-1.30197,-0.84435,-2.0056,-1.9275,-0.540353,-2.71583,-4.5388
