generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,13,0,16,5.43333,4.08262,0.938134,0.162833,-1.05197,0.0854278,-0.224536,0.239738,0.129833,-0.0552974,0.00196354,0.266236,-0.143469,-0.458583,-0.157731,0.316498,-0.482564,-0.616043,-1.0138,-0.470881,-0.152344,0.356016,0.0823993,-0.866187,-1.2433
1,26,0,9,3.2,2.88157,0.920166,-0.899053,-1.26842,-0.450907,-0.802902,0.31622,0.413147,0.417325,0.241772,-0.321055,-0.412443,-1.22552,0.0315138,0.702025,-0.778565,-0.826569,-0.54397,-1.00425,-0.336437,1.52449,0.599541,-1.04207,-1.52426
2,39,1,14,5,2.91252,0.888938,-0.178239,-1.69967,-1.14293,-0.41257,-0.639679,0.59196,0.254628,0.0491157,0.22866,-1.11983,-1.51683,-0.113184,0.909505,-0.319111,-0.0734029,-1.0853,-0.860621,-0.452571,0.460909,0.0981671,-1.25755,-0.920999
3,52,0,10,5,2.63923,0.883492,0.0931879,-1.70013,-1.01799,-0.416919,-1.61713,0.575643,0.430734,0.643486,1.12532,-1.44075,-0.946638,-0.348078,1.46519,-0.810564,-0.150568,-1.14691,-0.619287,-0.342702,0.199875,-0.853412,-0.748929,-2.02743
4,65,0,17,6.1,4.32594,0.864794,-1.00905,-2.07187,-0.236542,-0.89557,-1.29812,-0.0326702,0.24529,0.175409,0.425501,-1.58416,-1.32747,-0.582272,1.38278,-1.43333,-0.406005,-0.591904,-1.18954,-0.259056,0.583593,-0.3737,-0.713835,-2.29317
5,78,3,29,12.5,5.53204,0.842159,-0.813704,-0.919434,-0.406161,-0.744403,-0.387553,-0.219547,-0.165985,-0.198861,0.681011,-0.859365,-0.991349,-1.13393,1.19494,-1.56801,-1.06567,-0.756385,-1.15629,-0.648484,0.936042,-0.607655,-1.63609,-2.86336
6,91,4,26,12.3,6.23754,0.829561,-0.339258,-1.29107,-0.543479,-1.60688,-0.114163,-0.049933,-0.937514,-1.26523,1.03349,-0.725915,-1.38286,-0.793088,0.831141,-1.35305,-0.902194,-0.124957,-0.86969,-0.879359,1.10681,-0.515667,-1.7458,-2.91817
7,104,2,25,11.1,6.65582,0.844894,-0.0887824,-1.47631,-1.08984,-2.10876,-0.22189,-0.554076,-1.08991,-0.262528,1.42781,-0.679209,-1.79609,-1.49728,0.76049,-1.24677,-0.839049,-0.136825,-1.71192,-1.37489,1.19257,-1.03848,-1.95707,-3.88495
8,117,6,69,31,16.6132,0.839798,0.28572,-1.30769,-0.911963,-2.06202,-0.182069,-0.148889,-1.12758,-0.860794,0.644865,-0.877861,-1.58686,-1.29735,0.282943,-1.82035,-0.771277,0.360758,-1.77488,-0.944772,0.736275,-1.36357,-2.57944,-3.57335
9,130,5,49,23.4,11.9383,0.847231,0.608041,-2.1041,-0.584287,-1.35346,-0.746666,0.39467,-1.37517,-0.454574,0.853992,-0.738609,-0.847128,-1.72182,0.0500601,-2.47317,-0.271543,0.498206,-1.8416,-0.442359,0.976827,-1.49362,-2.22923,-4.4988
