generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5
0,6,0,2,0.166667,0.461133,0.90695,-0.604061,0.692291,-0.200442,-0.700913,0.576017,0.290813
1,12,0,1,0.0333333,0.182574,0.903061,-1.15028,1.03362,0.198419,-1.09609,1.61728,0.190468
2,18,0,1,0.0333333,0.182574,0.836688,-1.33792,0.404301,0.777318,-1.07069,0.694717,-0.285235
3,24,14,73,36.7333,14.8787,0.791005,-2.01862,0.496951,-0.240775,-0.73369,0.896207,-0.301218
4,30,11,140,59.8667,31.3322,0.798504,-2.49738,0.0763505,-0.549717,-1.53366,1.30857,-0.522945
5,36,17,151,68.7,33.4098,0.787885,-2.15658,-0.26366,-0.684334,-2.02611,0.559134,0.142573
6,42,3,106,29.5667,20.8106,0.797114,-1.05826,-0.554388,-1.20989,-1.03966,-0.453233,0.181839
7,48,164,10649,2996.1,2793.02,0.786335,-1.37426,0.727942,-0.663149,-1.29642,-0.736395,-0.468301
8,54,54,9263,2872.07,2739.79,0.789345,-1.48033,1.19154,-0.177444,-1.86416,-0.918865,-0.489574
9,60,90,9386,2446.1,2255.27,0.880812,-1.85685,2.35302,-1.08364,-2.25551,-1.21287,-0.6414
10,66,292,11382,3965.53,3133.7,0.968221,-2.27845,2.6433,-1.09629,-3.14733,-1.20087,-1.2815
11,72,97,19862,3722,3702.25,1.03624,-2.28514,3.23232,-0.829853,-3.96584,-0.842239,-1.46911
12,78,91,20391,3710.97,4747.01,1.11051,-3.10571,2.9606,-0.82572,-5.17539,0.220252,-1.28961
13,84,176,19803,3706,4501.64,1.13572,-2.85803,2.39236,-1.31104,-5.64631,0.145032,-0.589665
14,90,681,27430,7684.6,5725.89,1.03741,-2.98837,2.02365,-1.32003,-4.9985,-0.292147,-1.34235
15,96,513,21091,5081.07,5263.53,0.920237,-2.89861,1.58247,-1.03494,-4.03031,-1.10649,-0.895195
16,102,196,11807,3769.2,2946.03,0.833472,-2.83759,1.6921,-1.1597,-3.75195,-0.303712,-1.72941
17,108,450,9371,3038.47,2352.72,0.802417,-3.262,0.510629,-1.10671,-3.67245,0.14214,-1.42843
18,114,548,69515,17685.2,21009.4,0.81682,-2.36261,0.963569,-1.08453,-4.29584,-1.4685,-1.99543
19,120,1235,85922,24113.7,21939.8,0.903591,-2.76263,1.02204,-1.26124,-5.20946,-2.62881,-1.33799
20,126,460,89985,23675.4,20068.1,0.924072,-2.85634,0.97102,-1.36563,-5.51411,-2.51196,-2.07143
21,132,965,132585,28147.6,30876.1,0.92637,-2.93854,1.59982,-1.65094,-6.36449,-2.75185,-2.13276
22,138,1099,93208,30547.2,24255.3,0.882904,-2.10134,1.92687,-1.82747,-5.95982,-2.81621,-1.91075
23,144,221,79129,22916.7,23324.4,0.803173,-1.76778,1.58018,-1.71898,-5.44258,-2.5531,-1.41505
24,150,805,79154,23952.9,19651,0.717891,-1.91955,2.15089,-1.40568,-5.61488,-2.85802,-1.67255
25,156,1299,56395,19338.8,16111.4,0.651435,-2.43585,2.27154,-1.39284,-5.52687,-2.3873,-2.29245
26,162,700,97535,18971.7,17617.6,0.629916,-2.09437,2.98477,-1.67544,-6.09848,-2.95224,-2.3728
27,168,506,95308,27071.5,24718.6,0.581089,-1.64072,2.01551,-1.72806,-5.43157,-3.27326,-2.03142
28,174,1117,221733,40711.5,49270.5,0.563193,-2.36096,1.82718,-1.85532,-6.456,-2.84977,-1.95165
29,180,1650,119522,35771.3,29584,0.489161,-2.09871,1.72776,-1.70527,-5.68008,-2.5261,-2.05312
30,186,256,78097,17394.8,18814.8,0.470022,-2.16431,2.34341,-1.93152,-6.20685,-2.23229,-2.23122
31,192,333,86519,17719.4,19592.5,0.494886,-2.41149,2.90358,-1.88307,-7.01782,-2.08967,-2.27069
32,198,1358,60998,18934.3,15416.1,0.558577,-2.99456,3.12297,-1.71577,-7.85358,-1.82866,-2.45777
33,204,930,73573,20788,15729.6,0.550436,-2.66675,2.92556,-1.79718,-7.60236,-2.01711,-2.66731
34,210,365,93454,18325.3,19163.5,0.526586,-2.91078,3.031,-1.58971,-7.73324,-1.72495,-2.51755
35,216,897,75218,22399,20107.4,0.519123,-2.47388,3.02653,-1.3645,-6.73027,-1.70905,-2.05343
36,222,1301,51020,19328.4,15433.1,0.475766,-2.53012,3.43261,-1.54027,-7.27372,-2.18638,-2.48479
37,228,588,52205,19019.7,15013.1,0.464972,-2.08807,3.5618,-1.75482,-7.16479,-1.96446,-2.30467
38,234,370,65485,14263.7,13432.7,0.460568,-2.01705,3.5395,-1.69364,-7.22111,-1.65898,-2.58903
39,240,589,67289,13861.1,14768.6,0.474157,-1.80517,3.73663,-1.7881,-7.31133,-1.35062,-2.41604
40,246,979,52838,13144.7,12657.2,0.456499,-1.65119,3.07412,-1.98091,-6.94096,-1.79323,-2.17191
41,252,132,71736,20586,16666.5,0.457685,-1.93744,2.99052,-2.18726,-7.55597,-1.58957,-2.23251
42,258,268,46372,11288.2,11026.9,0.418903,-1.62697,3.2799,-1.95131,-7.01037,-2.12111,-2.45757
43,264,324,50114,11890.5,13941.2,0.397966,-1.64995,3.5859,-2.1857,-7.1542,-2.16634,-2.42931
44,270,352,40899,11270.4,10948.4,0.3643,-1.58344,3.51681,-2.10773,-6.93597,-1.96976,-2.56313
45,276,284,37379,9304.17,9454.37,0.33835,-1.4522,3.52301,-2.14749,-7.00124,-1.80893,-2.58585
46,282,151,62257,16391.4,12964.9,0.312961,-1.85751,3.45939,-1.99963,-7.18852,-1.49,-2.46603
47,288,361,69151,18335.7,16484.4,0.318007,-2.06037,3.6379,-2.07613,-7.37323,-1.1677,-2.49312
48,294,169,70965,20519.4,20569.5,0.34813,-2.28598,3.62425,-1.95396,-8.01171,-0.896971,-2.49489
49,300,414,27141,12052,8319.17,0.386994,-2.68871,3.55374,-1.87744,-8.31883,-0.610774,-2.53041
