generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
451,5876,49,529,201.767,113.114,0.524571,-2.16551,-4.61881,-11.3621,-6.10073,-8.98886,-10.0364,-6.48222,-8.79741,-8.06667,-11.8738,-0.344475,-8.56014,-0.674136,-5.22051,-3.50618,-6.15519,-8.20155,-3.09483,-7.98731,-6.73519,-6.69223,-19.8246
452,5889,24,482,173.4,117.685,0.515658,-2.64881,-4.34953,-11.4816,-5.75413,-9.13457,-10.0828,-6.5664,-9.03745,-7.87923,-12.0619,-0.253965,-8.54276,-0.610909,-5.16178,-3.54713,-5.91396,-8.18342,-2.87,-7.6514,-6.66981,-7.08176,-20.0639
453,5902,23,511,144.567,100.854,0.495322,-2.84707,-4.28767,-11.2944,-5.69658,-9.03574,-10.041,-6.56659,-8.47289,-7.82107,-12.1443,-0.144578,-9.0255,-0.610798,-4.68455,-3.38424,-5.73869,-8.17779,-2.97943,-7.70821,-6.48926,-6.64744,-19.9386
454,5915,75,395,152.733,79.0735,0.500624,-3.35315,-3.99739,-11.2203,-5.72121,-8.77915,-10.0046,-6.71112,-8.30965,-7.71717,-12.6836,-0.0639966,-9.20069,-1.04685,-4.39346,-3.72455,-5.17265,-8.01806,-3.20918,-7.25176,-6.34067,-6.95434,-20.2354
455,5928,61,419,177.567,84.5147,0.522294,-3.70726,-4.15103,-11.1541,-6.03345,-8.65548,-10.4657,-6.88222,-8.72973,-7.36934,-13.1076,-0.150882,-9.21628,-1.60145,-4.17758,-3.66756,-4.71114,-7.50615,-3.48882,-7.12913,-6.49603,-7.60952,-20.1988
456,5941,38,318,152.533,74.1567,0.546216,-3.50145,-3.65805,-11.2557,-6.16258,-8.57244,-10.3871,-7.06312,-8.48212,-7.26222,-13.4201,0.213932,-9.37638,-1.61849,-4.03337,-3.66408,-4.4333,-7.13859,-3.09883,-7.04483,-6.91924,-6.99429,-19.8693
457,5954,38,440,192.9,119.761,0.567535,-3.79246,-3.5367,-11.5134,-5.71939,-8.98272,-10.5824,-7.07188,-9.03273,-7.50091,-13.2334,-0.204698,-9.52716,-1.81188,-4.49169,-3.63324,-4.33818,-7.23861,-2.83621,-6.88928,-7.07323,-6.68689,-20.0828
458,5967,25,380,182.133,99.0255,0.572527,-3.26212,-3.45922,-11.7935,-5.74311,-8.94078,-10.7612,-7.15781,-8.96473,-7.54257,-13.1115,0.0765708,-9.05846,-1.54074,-4.49671,-3.61994,-4.68446,-7.3318,-3.12138,-7.33352,-7.43547,-6.66975,-19.9872
459,5980,15,523,158.867,122.077,0.57152,-2.92392,-3.47471,-11.9881,-5.87103,-8.54576,-10.4148,-7.33527,-8.73396,-7.48431,-13.2064,0.404026,-8.83569,-1.75803,-4.85182,-3.66219,-4.64595,-7.49676,-3.05713,-7.16354,-7.56695,-6.82388,-19.7189
460,5993,10,594,188.8,126.865,0.576195,-3.17007,-3.14755,-12.2531,-6.02887,-8.4573,-10.5647,-7.39114,-8.64661,-7.90275,-13.6568,0.47633,-9.14421,-1.80478,-4.70062,-3.78935,-4.48063,-7.10397,-3.44412,-6.6263,-7.4282,-7.33835,-19.9543
461,6006,46,518,172.667,114.861,0.556332,-3.12994,-3.57824,-12.0492,-6.13019,-8.41149,-10.4971,-7.31267,-8.8296,-8.14326,-13.5567,0.571976,-8.84316,-1.88645,-4.61247,-3.91787,-4.54209,-7.09212,-3.51953,-7.16922,-7.2179,-7.31556,-20.2717
462,6019,27,477,182.867,100.718,0.536572,-2.90563,-3.65961,-11.4831,-6.36063,-8.48626,-10.888,-6.95001,-8.56314,-8.22138,-13.2448,0.524108,-8.6634,-1.72426,-4.21974,-3.68343,-4.70403,-7.01601,-3.03473,-7.15988,-7.48107,-6.83953,-20.1306
463,6032,32,626,199.867,149.804,0.530038,-2.45411,-3.71075,-11.7427,-6.62295,-8.29965,-10.9074,-6.82868,-8.4476,-8.16379,-13.542,0.663402,-8.46006,-1.70031,-4.70538,-3.88599,-4.6377,-6.54359,-3.2181,-7.39512,-7.40456,-6.91972,-20.034
464,6045,11,591,168.133,113.635,0.511119,-2.90447,-3.71702,-11.6446,-6.47588,-8.0846,-10.8502,-7.08064,-8.59111,-8.06769,-13.6133,0.683,-8.42497,-1.98484,-4.43479,-3.82652,-4.51454,-6.47203,-3.03604,-7.14118,-7.36552,-7.37834,-20.0564
465,6058,49,580,186.967,138.937,0.489237,-3.4235,-3.77671,-11.6405,-6.18476,-8.6625,-10.9516,-6.97845,-8.63721,-8.20331,-13.4272,0.678753,-8.68012,-2.1309,-4.45766,-3.98961,-4.45088,-6.56923,-3.21395,-7.51917,-7.25374,-7.02957,-20.26
466,6071,37,665,202.967,140.53,0.476756,-3.48553,-3.80106,-11.9703,-6.37296,-8.58748,-10.7059,-6.97482,-8.40843,-8.34396,-13.435,0.730645,-8.82059,-2.18245,-4.38355,-4.12893,-4.85792,-6.50793,-3.18511,-7.40817,-7.06818,-7.13477,-20.6702
467,6084,44,482,183.033,113.171,0.477943,-3.79692,-3.76561,-12.313,-6.61065,-8.97463,-10.6047,-6.91022,-8.81476,-8.54581,-13.4664,0.61049,-9.0557,-2.19217,-4.66308,-4.14263,-5.24261,-6.33082,-3.48575,-7.58062,-6.79078,-7.08563,-20.7655
468,6097,62,646,201.467,127.848,0.484196,-4.16556,-3.813,-12.3154,-6.75115,-9.19222,-10.5964,-7.13344,-8.86369,-8.54838,-13.6176,0.623867,-9.13395,-2.38309,-4.18768,-4.36061,-5.22601,-6.32778,-3.79468,-7.20114,-6.77644,-7.28816,-20.8355
469,6110,45,585,171.1,106.877,0.483803,-4.35311,-3.67842,-12.161,-6.7544,-9.35119,-10.5348,-7.18604,-8.9132,-8.56469,-13.3455,0.451031,-9.51946,-2.34884,-4.11293,-4.28501,-5.30251,-6.17597,-3.38505,-7.19675,-6.72476,-7.08033,-20.6916
